time;ckpt;id;money
322;gate-keeper;1;
323;vege_0;1;
435;final-crs_0;1;561
623;gate-keeper;3;
631;vege_0;3;
680;final-crs_2;3;545
928;gate-keeper;5;
953;meat_0;5;
954;final-crs_4;5;2616
1030;gate-keeper;6;
1033;vege_0;6;
1153;final-crs_2;6;2299
2191;gate-keeper;15;
2194;frui_1;15;
2205;final-crs_4;15;2694
2740;gate-keeper;19;
2742;vege_1;19;
2751;final-crs_2;19;4227
3029;gate-keeper;21;
3063;meat_0;21;
3124;final-crs_0;21;1542
3179;gate-keeper;22;
3181;vege_0;22;
3199;final-crs_2;22;713
3323;gate-keeper;23;
3346;meat_1;23;
3386;final-crs_0;23;1566
3595;gate-keeper;25;
3601;vege_0;25;
3607;final-crs_0;25;3304
3875;gate-keeper;27;
3876;vege_0;27;
3894;final-crs_3;27;2541
4493;gate-keeper;31;
4498;vege_0;31;
4517;final-crs_1;31;1835
5099;gate-keeper;36;
5102;vege_0;36;
5111;final-crs_6;36;3577
5427;gate-keeper;38;
5429;vege_0;38;
5487;final-crs_5;38;2072
5719;gate-keeper;40;
5725;vege_0;40;
5751;final-crs_3;40;732
6343;gate-keeper;44;
6344;gate-keeper;45;
6346;vege_1;44;
6347;vege_0;45;
6402;final-crs_4;44;1104
6432;final-crs_5;45;819
6631;gate-keeper;47;
6637;vege_1;47;
6667;final-crs_5;47;1127
6903;gate-keeper;49;
6910;vege_1;49;
6985;final-crs_0;49;658
7087;gate-keeper;50;
7106;meat_0;50;
7112;final-crs_4;50;3493
7606;gate-keeper;54;
7607;vege_0;54;
7612;final-crs_4;54;3843
7770;gate-keeper;56;
7777;vege_0;56;
7794;final-crs_6;56;254
8056;gate-keeper;58;
8057;vege_0;58;
8076;final-crs_3;58;1387
9003;gate-keeper;65;
9004;vege_1;65;
9014;final-crs_0;65;3335
9473;gate-keeper;67;
9474;gate-keeper;68;
9477;vege_0;67;
9478;final-crs_6;67;4013
9478;vege_1;68;
9496;final-crs_5;68;772
9796;gate-keeper;70;
9800;meat_1;70;
9810;final-crs_3;70;1898
10141;gate-keeper;72;
10142;vege_0;72;
10142;gate-keeper;73;
10148;meat_0;73;
10169;final-crs_5;72;3135
10185;final-crs_0;73;671
10420;gate-keeper;74;
10421;gate-keeper;75;
10424;vege_1;74;
10428;vege_0;75;
10436;final-crs_5;74;1618
10468;final-crs_2;75;2940
10577;gate-keeper;76;
10578;vege_0;76;
10590;final-crs_4;76;1450
10932;gate-keeper;78;
10946;meat_1;78;
10959;final-crs_2;78;3041
11272;gate-keeper;80;
11273;gate-keeper;81;
11277;vege_0;81;
11281;final-crs_1;81;3853
11292;meat_1;80;
11295;final-crs_3;80;3135
11509;gate-keeper;83;
11515;vege_1;83;
11533;final-crs_1;83;3729
12104;gate-keeper;87;
12105;vege_1;87;
12137;final-crs_0;87;307
12204;gate-keeper;88;
12212;vege_1;88;
12285;final-crs_6;88;2646
12378;gate-keeper;89;
12379;frui_0;89;
12392;final-crs_5;89;2491
12701;gate-keeper;91;
12709;meat_1;91;
12749;final-crs_4;91;2669
13010;gate-keeper;92;
13011;gate-keeper;93;
13012;gate-keeper;94;
13013;vege_1;92;
13013;frui_0;94;
13015;vege_0;93;
13016;final-crs_1;92;347
13019;final-crs_3;94;2403
13035;final-crs_6;93;4076
13144;gate-keeper;95;
13160;meat_1;95;
13199;final-crs_2;95;2135
13879;gate-keeper;99;
13880;frui_1;99;
13880;gate-keeper;100;
13886;frui_0;100;
13900;final-crs_2;99;3098
13938;final-crs_0;100;745
14139;gate-keeper;101;
14140;gate-keeper;102;
14141;vege_1;101;
14141;frui_1;102;
14193;final-crs_1;101;829
14194;final-crs_0;102;1917
14250;gate-keeper;103;
14251;frui_1;103;
14276;final-crs_6;103;1826
14594;gate-keeper;105;
14595;vege_1;105;
14615;final-crs_2;105;454
15050;gate-keeper;108;
15055;vege_0;108;
15092;final-crs_0;108;1505
15268;gate-keeper;110;
15272;vege_0;110;
15310;final-crs_0;110;1332
15592;gate-keeper;112;
15595;vege_1;112;
15633;final-crs_4;112;2173
15905;gate-keeper;114;
15906;gate-keeper;115;
15908;frui_1;114;
15913;vege_0;115;
15935;final-crs_5;114;3777
15949;final-crs_6;115;661
16521;gate-keeper;119;
16522;vege_0;119;
16559;final-crs_4;119;603
16775;gate-keeper;121;
16779;vege_1;121;
16805;final-crs_4;121;756
17087;gate-keeper;130;
17088;frui_1;130;
17113;final-crs_1;130;2035
17370;gate-keeper;133;
17385;meat_0;133;
17460;final-crs_4;133;1118
17629;gate-keeper;134;
17630;gate-keeper;135;
17632;vege_1;134;
17637;vege_0;135;
17652;final-crs_5;134;3711
17710;final-crs_4;135;1094
17903;gate-keeper;136;
17904;gate-keeper;137;
17905;vege_1;136;
17906;frui_0;137;
17938;final-crs_6;136;436
17980;final-crs_2;137;3145
18172;gate-keeper;138;
18173;gate-keeper;139;
18178;vege_0;139;
18203;meat_1;138;
18215;final-crs_3;139;1782
18235;final-crs_4;138;2241
18503;gate-keeper;140;
18504;gate-keeper;141;
18507;vege_0;140;
18507;vege_1;141;
18558;final-crs_1;140;1906
18559;final-crs_0;141;303
19141;gate-keeper;145;
19142;gate-keeper;146;
19143;vege_0;145;
19146;frui_0;146;
19167;final-crs_4;145;1016
19192;final-crs_2;146;4388
19333;gate-keeper;147;
19374;meat_1;147;
19377;final-crs_1;147;435
19429;gate-keeper;148;
19432;vege_0;148;
19547;final-crs_3;148;1493
