time;ckpt;id;money
275;gate-keeper;0;
276;frui_0;0;
276;gate-keeper;1;
277;gate-keeper;2;
288;final-crs_5;0;980
296;meat_0;1;
313;meat_1;2;
414;final-crs_0;1;1454
449;final-crs_6;2;456
576;gate-keeper;3;
577;gate-keeper;4;
578;gate-keeper;5;
581;vege_0;3;
581;vege_1;4;
581;frui_1;5;
666;final-crs_0;3;320
683;final-crs_1;4;516
689;final-crs_3;5;1096
846;gate-keeper;7;
847;gate-keeper;8;
848;gate-keeper;9;
852;vege_0;7;
853;vege_1;9;
864;meat_1;8;
900;final-crs_1;7;1701
925;final-crs_6;9;2706
953;final-crs_3;8;1360
1156;gate-keeper;11;
1157;gate-keeper;12;
1158;vege_1;11;
1158;gate-keeper;13;
1162;final-crs_2;11;339
1166;vege_0;13;
1173;meat_0;12;
1176;final-crs_6;13;739
1220;final-crs_3;12;610
1452;gate-keeper;14;
1453;gate-keeper;15;
1454;gate-keeper;16;
1455;gate-keeper;17;
1458;vege_0;14;
1458;vege_1;16;
1467;vege_0;17;
1470;meat_1;15;
1473;final-crs_5;14;2025
1495;final-crs_3;16;1943
1541;final-crs_4;17;1720
1550;final-crs_0;15;974
1590;gate-keeper;18;
1591;vege_0;18;
1636;final-crs_1;18;272
1793;gate-keeper;21;
1828;meat_1;21;
1856;final-crs_1;21;1350
2117;gate-keeper;25;
2119;vege_1;25;
2198;final-crs_4;25;432
2432;gate-keeper;29;
2465;meat_1;29;
2480;final-crs_4;29;193
3139;gate-keeper;36;
3140;vege_0;36;
3147;final-crs_6;36;1818
3336;gate-keeper;37;
3337;gate-keeper;38;
3338;meat_1;37;
3338;gate-keeper;39;
3341;vege_0;38;
3344;vege_1;39;
3372;final-crs_2;37;892
3377;final-crs_3;38;3167
3417;final-crs_6;39;1320
3439;gate-keeper;40;
3446;vege_1;40;
3490;final-crs_1;40;960
3737;gate-keeper;43;
3748;meat_0;43;
3765;final-crs_5;43;1095
3997;gate-keeper;46;
4010;meat_0;46;
4049;final-crs_0;46;1968
4322;gate-keeper;49;
4323;gate-keeper;50;
4324;vege_1;49;
4326;final-crs_6;49;2389
4354;meat_1;50;
4396;final-crs_3;50;79
4436;gate-keeper;51;
4437;gate-keeper;52;
4442;frui_1;51;
4450;final-crs_1;51;1167
4477;meat_0;52;
4479;final-crs_5;52;1378
4628;gate-keeper;53;
4629;gate-keeper;54;
4651;meat_1;53;
4668;meat_0;54;
4669;final-crs_3;53;106
4677;final-crs_4;54;1333
4949;gate-keeper;56;
4950;gate-keeper;57;
4951;vege_1;56;
4951;gate-keeper;58;
4952;vege_0;57;
4960;vege_1;58;
4975;final-crs_1;56;921
5034;final-crs_0;57;847
5036;final-crs_6;58;1783
5269;gate-keeper;61;
5270;gate-keeper;62;
5272;vege_1;61;
5277;final-crs_6;61;1197
5279;meat_0;62;
5335;final-crs_2;62;2365
5649;gate-keeper;64;
5650;gate-keeper;65;
5651;gate-keeper;66;
5654;frui_0;66;
5655;vege_0;65;
5670;meat_0;64;
5706;final-crs_4;66;456
5726;final-crs_5;65;2742
5735;final-crs_6;64;649
5938;gate-keeper;67;
5939;gate-keeper;68;
5940;gate-keeper;69;
5941;vege_0;67;
5970;final-crs_5;67;1379
5971;meat_0;68;
5983;meat_1;69;
5988;final-crs_6;68;967
5994;final-crs_1;69;831
6254;gate-keeper;71;
6255;gate-keeper;72;
6256;gate-keeper;73;
6260;vege_0;71;
6264;vege_1;72;
6266;final-crs_0;71;144
6298;final-crs_2;72;2142
6319;meat_1;73;
6340;final-crs_3;73;3013
6551;gate-keeper;74;
6552;vege_0;74;
6552;gate-keeper;75;
6553;gate-keeper;76;
6554;gate-keeper;77;
6557;vege_1;75;
6561;vege_0;76;
6564;meat_1;77;
6590;final-crs_3;74;608
6618;final-crs_4;75;1297
6636;final-crs_6;76;1958
6682;final-crs_0;77;444
6900;gate-keeper;81;
6902;vege_1;81;
