time;ckpt;id;money
568;gate-keeper;1;
569;vege_1;1;
569;gate-keeper;2;
577;vege_0;2;
622;final-crs_6;1;606
692;final-crs_4;2;1512
1623;gate-keeper;9;
1625;vege_1;9;
1650;final-crs_4;9;1287
2074;gate-keeper;12;
2077;frui_0;12;
2102;final-crs_2;12;2447
2390;gate-keeper;14;
2391;vege_1;14;
2433;final-crs_6;14;215
2523;gate-keeper;15;
2527;vege_0;15;
2562;final-crs_5;15;1837
3259;gate-keeper;20;
3263;vege_1;20;
3275;final-crs_5;20;2157
3424;gate-keeper;21;
3427;vege_1;21;
3436;final-crs_3;21;1768
3560;gate-keeper;22;
3564;frui_1;22;
3591;final-crs_2;22;1202
4124;gate-keeper;24;
4125;gate-keeper;25;
4126;vege_1;24;
4132;vege_0;25;
4135;final-crs_4;24;189
4155;final-crs_6;25;932
4449;gate-keeper;27;
4452;vege_1;27;
4489;final-crs_1;27;186
5776;gate-keeper;35;
5778;frui_1;35;
5871;final-crs_6;35;1832
6309;gate-keeper;39;
6311;vege_0;39;
6335;final-crs_6;39;2178
6670;gate-keeper;41;
6671;vege_0;41;
6686;final-crs_0;41;2948
7003;gate-keeper;42;
7004;gate-keeper;43;
7005;vege_1;42;
7009;vege_0;43;
7042;final-crs_2;42;289
7069;final-crs_6;43;1044
7276;gate-keeper;45;
7292;meat_0;45;
7332;final-crs_6;45;2237
7580;gate-keeper;46;
7581;gate-keeper;47;
7583;vege_0;46;
7586;vege_1;47;
7603;final-crs_6;46;822
7620;final-crs_4;47;950
8097;gate-keeper;50;
8099;frui_0;50;
8102;final-crs_0;50;2421
8210;gate-keeper;51;
8211;vege_1;51;
8216;final-crs_1;51;1677
8444;gate-keeper;52;
8448;vege_0;52;
8542;final-crs_2;52;477
8753;gate-keeper;54;
8763;vege_0;54;
8776;final-crs_0;54;2532
8817;gate-keeper;55;
8818;vege_0;55;
8820;final-crs_6;55;96
9067;gate-keeper;56;
9070;vege_1;56;
9102;final-crs_4;56;586
9380;gate-keeper;57;
9381;vege_0;57;
9381;gate-keeper;58;
9391;vege_1;58;
9398;final-crs_1;57;1130
9420;final-crs_3;58;233
9683;gate-keeper;59;
9684;gate-keeper;60;
9685;vege_0;59;
9688;vege_1;60;
9691;final-crs_0;59;2266
9779;final-crs_2;60;1976
10026;gate-keeper;61;
10027;gate-keeper;62;
10029;frui_0;62;
10058;final-crs_5;62;378
10067;meat_1;61;
10072;final-crs_1;61;1800
10326;gate-keeper;63;
10327;gate-keeper;64;
10328;vege_1;63;
10330;final-crs_0;63;521
10357;meat_0;64;
10428;final-crs_3;64;1260
10612;gate-keeper;66;
10620;vege_1;66;
10679;final-crs_3;66;772
10882;gate-keeper;67;
10888;vege_1;67;
10945;final-crs_3;67;1030
11221;gate-keeper;69;
11223;vege_1;69;
11247;final-crs_2;69;1017
11538;gate-keeper;72;
11540;vege_1;72;
11579;final-crs_3;72;275
11705;gate-keeper;73;
11707;vege_1;73;
11740;final-crs_2;73;1222
12040;gate-keeper;74;
12041;vege_1;74;
12041;gate-keeper;75;
12042;final-crs_3;74;1504
12042;vege_0;75;
12111;final-crs_6;75;574
12641;gate-keeper;78;
12649;vege_0;78;
12651;final-crs_1;78;1743
12906;gate-keeper;80;
12909;frui_1;80;
12932;final-crs_0;80;65
13748;gate-keeper;85;
13752;vege_0;85;
13768;final-crs_1;85;2766
14036;gate-keeper;87;
14042;vege_1;87;
14054;final-crs_3;87;1821
14336;gate-keeper;89;
14338;vege_0;89;
14341;final-crs_2;89;1803
14672;gate-keeper;90;
14673;frui_1;90;
14673;gate-keeper;91;
14677;vege_0;91;
14707;final-crs_0;90;1394
14715;final-crs_1;91;1122
14992;gate-keeper;92;
14993;gate-keeper;93;
14996;frui_1;92;
14999;frui_0;93;
15025;final-crs_3;92;335
15033;final-crs_6;93;883
15230;gate-keeper;94;
15235;vege_0;94;
15250;final-crs_3;94;206
15605;gate-keeper;96;
15606;vege_1;96;
15638;gate-keeper;97;
15644;vege_0;97;
15676;final-crs_1;96;2862
15681;final-crs_5;97;1525
15968;gate-keeper;98;
15969;gate-keeper;99;
15971;vege_0;98;
15971;frui_0;99;
15984;final-crs_4;98;365
16088;final-crs_0;99;928
16551;gate-keeper;102;
16552;frui_0;102;
16552;gate-keeper;103;
16573;meat_0;103;
16618;final-crs_0;102;119
16639;final-crs_2;103;724
16846;gate-keeper;104;
16852;vege_0;104;
16882;final-crs_2;104;1352
17119;gate-keeper;106;
17121;frui_1;106;
17125;final-crs_1;106;1935
17426;gate-keeper;108;
17427;gate-keeper;109;
17428;vege_0;108;
17428;gate-keeper;110;
17429;gate-keeper;111;
17430;gate-keeper;112;
17431;frui_1;111;
17434;vege_1;109;
17436;frui_0;112;
17437;vege_0;110;
17506;final-crs_6;108;1555
17538;final-crs_1;111;613
17604;final-crs_0;109;1669
17622;final-crs_2;112;1644
17625;final-crs_3;110;220
17687;gate-keeper;116;
17690;vege_0;116;
17718;final-crs_6;116;128
17896;gate-keeper;117;
17899;vege_0;117;
17905;final-crs_4;117;2567
18043;gate-keeper;118;
18048;vege_0;118;
18049;final-crs_1;118;1437
18407;gate-keeper;120;
18408;gate-keeper;121;
18409;frui_1;120;
18410;frui_0;121;
18420;final-crs_4;120;1922
18478;final-crs_6;121;871
19451;gate-keeper;127;
19456;vege_0;127;
19539;final-crs_0;127;2650
19568;gate-keeper;128;
19569;frui_0;128;
19662;final-crs_2;128;1563
19844;gate-keeper;129;
19845;gate-keeper;130;
19847;vege_1;129;
19849;frui_0;130;
19899;final-crs_2;129;1019
19952;final-crs_5;130;649
20073;gate-keeper;136;
20074;gate-keeper;137;
20077;frui_1;137;
20081;vege_1;136;
20126;final-crs_2;137;691
20200;final-crs_5;136;1568
20203;gate-keeper;138;
20207;vege_1;138;
20258;final-crs_6;138;1293
20735;gate-keeper;140;
20736;gate-keeper;141;
20737;vege_1;140;
20738;frui_1;141;
20762;final-crs_6;140;100
20806;final-crs_3;141;1282
21259;gate-keeper;144;
21263;vege_1;144;
21323;final-crs_3;144;116
21557;gate-keeper;146;
21558;gate-keeper;147;
21559;vege_1;146;
21559;gate-keeper;148;
21560;gate-keeper;149;
21561;frui_0;147;
21561;gate-keeper;150;
21566;vege_0;149;
21566;meat_1;148;
21588;final-crs_0;146;1140
21594;final-crs_2;147;1954
21594;meat_0;150;
21607;final-crs_1;149;2117
21632;final-crs_5;148;1513
21697;final-crs_4;150;917
22039;gate-keeper;160;
22040;gate-keeper;161;
22041;frui_1;160;
22047;vege_1;161;
22051;final-crs_5;160;496
22062;final-crs_0;161;1997
22119;gate-keeper;162;
22121;vege_0;162;
22122;final-crs_1;162;805
22641;gate-keeper;176;
22642;gate-keeper;177;
22643;gate-keeper;178;
22644;frui_1;176;
22644;gate-keeper;179;
22645;gate-keeper;180;
22647;vege_0;177;
22649;frui_0;178;
22650;vege_1;179;
22650;frui_1;180;
22694;final-crs_4;176;947
22696;final-crs_3;177;372
22742;final-crs_2;178;1915
22742;final-crs_6;179;1241
22790;final-crs_5;180;2579
22952;gate-keeper;181;
22953;gate-keeper;182;
22954;gate-keeper;183;
22955;gate-keeper;184;
22956;gate-keeper;185;
22959;vege_1;181;
22960;vege_0;182;
22966;final-crs_2;181;1231
22969;vege_1;183;
22970;vege_0;184;
22971;final-crs_3;182;461
22973;final-crs_6;183;2433
22973;meat_1;185;
23026;final-crs_0;184;1590
23064;final-crs_5;185;756
23289;gate-keeper;192;
23290;gate-keeper;193;
23296;vege_0;193;
23325;meat_1;192;
23328;final-crs_5;193;400
23339;final-crs_1;192;822
23439;gate-keeper;199;
23440;gate-keeper;200;
23441;frui_0;200;
23447;vege_1;199;
23460;final-crs_4;200;1097
23502;final-crs_2;199;83
23576;gate-keeper;201;
23577;frui_1;201;
23578;final-crs_1;201;99
24144;gate-keeper;205;
24145;gate-keeper;206;
24146;gate-keeper;207;
24147;gate-keeper;208;
24148;vege_1;205;
24148;gate-keeper;209;
24149;frui_1;208;
24150;frui_0;209;
24161;meat_1;206;
24184;meat_0;207;
24210;final-crs_6;205;201
24220;final-crs_2;208;1290
24252;final-crs_5;209;337
24270;final-crs_1;206;999
24292;final-crs_3;207;1550
24447;gate-keeper;213;
24459;meat_0;213;
24464;final-crs_2;213;1258
24721;gate-keeper;214;
24726;vege_1;214;
24759;final-crs_1;214;611
24993;gate-keeper;216;
24995;frui_0;216;
25001;final-crs_6;216;1779
25323;gate-keeper;218;
25328;frui_1;218;
25385;final-crs_5;218;2178
25492;gate-keeper;219;
25493;vege_0;219;
25534;final-crs_4;219;901
25659;gate-keeper;220;
25661;frui_0;220;
25668;final-crs_0;220;1538
26311;gate-keeper;224;
26317;vege_1;224;
26323;final-crs_3;224;919
27281;gate-keeper;231;
27282;meat_1;231;
27313;final-crs_2;231;663
27421;gate-keeper;232;
27441;meat_0;232;
27474;final-crs_0;232;4190
27734;gate-keeper;234;
27739;vege_0;234;
27789;final-crs_5;234;1031
28316;gate-keeper;237;
28322;vege_0;237;
28402;final-crs_1;237;1342
28670;gate-keeper;239;
28673;vege_0;239;
28676;final-crs_2;239;2328
28958;gate-keeper;241;
28959;vege_1;241;
28978;final-crs_5;241;548
29243;gate-keeper;243;
29250;meat_1;243;
29254;final-crs_3;243;108
29758;gate-keeper;246;
29765;vege_1;246;
29836;final-crs_0;246;2413
30902;gate-keeper;253;
30904;vege_1;253;
30923;final-crs_5;253;246
31168;gate-keeper;255;
31173;vege_0;255;
31189;final-crs_2;255;506
31504;gate-keeper;257;
31510;vege_1;257;
31536;final-crs_0;257;922
31773;gate-keeper;259;
31774;vege_0;259;
31794;final-crs_6;259;2809
32625;gate-keeper;263;
32626;gate-keeper;264;
32630;vege_0;263;
32632;vege_1;264;
32699;final-crs_6;263;2198
32703;final-crs_0;264;1233
32940;gate-keeper;266;
32945;vege_1;266;
32974;final-crs_5;266;766
33648;gate-keeper;270;
33653;frui_0;270;
33763;final-crs_3;270;2372
34414;gate-keeper;275;
34419;frui_1;275;
34456;final-crs_1;275;2172
34729;gate-keeper;277;
34731;frui_0;277;
34740;final-crs_5;277;782
34989;gate-keeper;279;
34993;vege_1;279;
35017;final-crs_2;279;1282
35321;gate-keeper;281;
35326;vege_0;281;
35335;final-crs_0;281;1108
36498;gate-keeper;287;
36501;vege_0;287;
36552;final-crs_2;287;396
36850;gate-keeper;289;
36851;gate-keeper;290;
36852;vege_1;290;
36865;final-crs_0;290;732
36885;meat_0;289;
36919;final-crs_6;289;1302
37063;gate-keeper;291;
37065;frui_1;291;
37066;final-crs_3;291;3216
37144;gate-keeper;292;
37147;frui_0;292;
37162;final-crs_5;292;2713
37435;gate-keeper;293;
37436;gate-keeper;294;
37443;vege_0;294;
37449;final-crs_5;294;1086
37457;meat_0;293;
37480;final-crs_2;293;2197
37722;gate-keeper;295;
37723;frui_1;295;
37723;gate-keeper;296;
37754;meat_0;296;
37782;final-crs_3;295;505
37834;final-crs_0;296;1348
37905;gate-keeper;297;
37906;vege_0;297;
37923;final-crs_5;297;1237
38312;gate-keeper;299;
38313;frui_1;299;
38375;final-crs_0;299;958
38913;gate-keeper;302;
38914;gate-keeper;303;
38917;vege_0;302;
38930;final-crs_2;302;3363
38968;meat_0;303;
39042;final-crs_1;303;909
39343;gate-keeper;306;
39344;vege_1;306;
39421;final-crs_2;306;653
39708;gate-keeper;308;
39713;frui_0;308;
39807;final-crs_0;308;1548
40157;gate-keeper;311;
40158;frui_0;311;
40269;final-crs_6;311;823
40712;gate-keeper;314;
40716;vege_1;314;
40776;final-crs_3;314;2274
40779;gate-keeper;315;
40782;vege_1;315;
40785;final-crs_1;315;1018
41419;gate-keeper;320;
41420;gate-keeper;321;
41421;gate-keeper;322;
41422;vege_0;320;
41422;gate-keeper;323;
41423;gate-keeper;324;
41424;vege_1;321;
41426;frui_0;324;
41430;vege_0;322;
41434;vege_1;323;
41454;final-crs_3;320;1778
41473;final-crs_0;321;3588
41488;final-crs_6;324;754
41538;final-crs_4;322;1742
41541;final-crs_1;323;387
41715;gate-keeper;327;
41716;gate-keeper;328;
41717;gate-keeper;329;
41718;gate-keeper;330;
41719;frui_0;327;
41719;gate-keeper;331;
41720;vege_1;328;
41720;frui_1;329;
41720;gate-keeper;332;
41721;gate-keeper;333;
41727;vege_0;330;
41728;final-crs_3;327;457
41730;vege_1;331;
41736;vege_0;332;
41739;vege_1;333;
41740;final-crs_6;328;632
41754;final-crs_4;329;2253
41809;final-crs_1;330;663
41848;final-crs_2;331;2596
41850;final-crs_5;332;91
41920;final-crs_0;333;176
42105;gate-keeper;335;
42106;gate-keeper;336;
42108;vege_1;335;
42114;vege_0;336;
42170;final-crs_0;335;1105
42180;final-crs_3;336;4124
42393;gate-keeper;338;
42394;vege_1;338;
42394;gate-keeper;339;
42395;gate-keeper;340;
42396;gate-keeper;341;
42397;gate-keeper;342;
42398;frui_1;341;
42399;frui_0;342;
42402;final-crs_3;338;2123
42402;vege_0;339;
42404;vege_1;340;
42414;final-crs_0;341;1079
42428;final-crs_1;342;1334
42441;final-crs_4;339;1231
42516;final-crs_6;340;292
42528;gate-keeper;343;
42529;gate-keeper;344;
42530;frui_1;343;
42537;vege_1;344;
42561;final-crs_5;343;275
42577;final-crs_2;344;1489
42971;gate-keeper;347;
42972;vege_0;347;
43005;final-crs_4;347;535
43302;gate-keeper;349;
43303;frui_1;349;
43357;final-crs_2;349;785
43587;gate-keeper;351;
43590;vege_0;351;
43591;final-crs_1;351;146
43892;gate-keeper;353;
43895;frui_0;353;
43923;final-crs_2;353;747
44226;gate-keeper;359;
44227;gate-keeper;360;
44228;gate-keeper;361;
44233;vege_0;359;
44233;vege_1;360;
44242;vege_1;361;
44275;final-crs_1;359;1578
44290;final-crs_3;360;81
44345;final-crs_5;361;883
44407;gate-keeper;362;
44408;vege_0;362;
44422;final-crs_6;362;3024
44853;gate-keeper;369;
44854;gate-keeper;370;
44855;gate-keeper;371;
44858;vege_1;369;
44870;final-crs_6;369;2479
