time;ckpt;id;money
596;gate-keeper;2;
597;gate-keeper;3;
599;vege_0;3;
603;meat_1;2;
654;final-crs_0;3;784
657;final-crs_5;2;711
1007;gate-keeper;6;
1022;meat_1;6;
1109;final-crs_0;6;719
1227;gate-keeper;8;
1243;meat_1;8;
1343;final-crs_0;8;170
1488;gate-keeper;9;
1489;meat_0;9;
1533;final-crs_5;9;1197
1978;gate-keeper;12;
1979;gate-keeper;13;
1981;vege_1;12;
1986;vege_0;13;
1998;final-crs_4;12;221
2010;final-crs_0;13;1118
2092;gate-keeper;14;
2093;vege_0;14;
2120;final-crs_3;14;401
2384;gate-keeper;15;
2403;meat_1;15;
2439;final-crs_4;15;518
2702;gate-keeper;18;
2705;vege_0;18;
2756;final-crs_5;18;825
3033;gate-keeper;19;
3034;gate-keeper;20;
3040;meat_1;19;
3052;meat_0;20;
3062;final-crs_2;19;1277
3116;final-crs_6;20;912
3351;gate-keeper;21;
3352;gate-keeper;22;
3353;meat_0;22;
3354;frui_1;21;
3440;final-crs_5;22;354
3441;final-crs_4;21;149
3577;gate-keeper;24;
3583;vege_0;24;
3616;final-crs_3;24;492
3669;gate-keeper;25;
3671;vege_0;25;
3675;final-crs_4;25;848
4261;gate-keeper;28;
4262;gate-keeper;29;
4268;vege_1;29;
4282;final-crs_6;29;760
4304;meat_0;28;
4347;final-crs_5;28;1227
4560;gate-keeper;30;
4561;gate-keeper;31;
4566;vege_1;30;
4568;vege_0;31;
4606;final-crs_5;30;1350
4624;final-crs_4;31;248
4841;gate-keeper;32;
4842;gate-keeper;33;
4847;vege_0;33;
4859;final-crs_4;33;149
4889;meat_1;32;
4929;final-crs_1;32;177
6933;gate-keeper;46;
6934;gate-keeper;47;
6935;vege_1;46;
6938;vege_0;47;
6967;final-crs_4;46;199
6985;final-crs_2;47;556
7419;gate-keeper;51;
7421;meat_1;51;
7433;final-crs_3;51;1708
8589;gate-keeper;59;
8596;vege_1;59;
8603;final-crs_0;59;917
9399;gate-keeper;64;
9400;gate-keeper;65;
9402;vege_0;65;
9410;meat_1;64;
9414;final-crs_1;65;222
9469;final-crs_2;64;287
9862;gate-keeper;68;
9865;vege_1;68;
9926;final-crs_1;68;127
10125;gate-keeper;70;
10131;vege_1;70;
10179;final-crs_5;70;708
10403;gate-keeper;72;
10408;vege_0;72;
10416;final-crs_5;72;1083
11268;gate-keeper;78;
11274;vege_1;78;
11302;final-crs_5;78;915
11382;gate-keeper;79;
11409;meat_1;79;
11417;final-crs_6;79;1103
11865;gate-keeper;82;
11907;meat_0;82;
