time;ckpt;id;money
295;gate-keeper;0;
296;gate-keeper;1;
298;vege_1;0;
303;meat_1;1;
415;final-crs_5;0;608
427;final-crs_6;1;477
941;gate-keeper;8;
942;vege_0;8;
944;final-crs_0;8;525
1502;gate-keeper;11;
1503;gate-keeper;12;
1504;vege_0;11;
1504;gate-keeper;13;
1505;vege_1;12;
1513;vege_0;13;
1570;final-crs_4;11;484
1607;final-crs_6;12;1411
1625;final-crs_5;13;424
1789;gate-keeper;15;
1790;gate-keeper;16;
1791;vege_1;15;
1797;vege_0;16;
1816;final-crs_4;15;390
1851;final-crs_5;16;516
2089;gate-keeper;18;
2090;gate-keeper;19;
2094;vege_1;19;
2113;final-crs_6;19;839
2118;meat_1;18;
2122;final-crs_5;18;1964
2385;gate-keeper;21;
2386;gate-keeper;22;
2387;vege_0;21;
2401;final-crs_2;21;310
2425;meat_0;22;
2429;final-crs_3;22;142
2610;gate-keeper;24;
2611;vege_1;24;
2619;final-crs_5;24;132
3064;gate-keeper;27;
3065;gate-keeper;28;
3066;vege_1;27;
3070;frui_0;28;
3084;final-crs_6;27;666
3085;final-crs_1;28;195
3359;gate-keeper;30;
3360;gate-keeper;31;
3361;frui_0;31;
3363;meat_1;30;
3399;final-crs_5;31;149
3438;final-crs_3;30;1684
3481;gate-keeper;32;
3482;gate-keeper;33;
3483;frui_1;32;
3484;frui_0;33;
3537;final-crs_4;32;767
3549;final-crs_6;33;321
4127;gate-keeper;38;
4128;meat_1;38;
4128;gate-keeper;39;
4129;vege_0;39;
4245;final-crs_1;38;2334
4283;final-crs_4;39;785
4469;gate-keeper;42;
4473;frui_1;42;
4483;final-crs_5;42;209
4767;gate-keeper;43;
4768;gate-keeper;44;
4770;vege_1;43;
4773;vege_0;44;
4775;final-crs_0;43;167
4779;final-crs_4;44;1065
5054;gate-keeper;45;
5055;gate-keeper;46;
5056;gate-keeper;47;
5063;vege_1;45;
5077;meat_0;46;
5129;meat_1;47;
5152;final-crs_1;45;116
5208;final-crs_2;46;1016
5225;final-crs_5;47;183
5378;gate-keeper;50;
5437;meat_0;50;
5448;final-crs_2;50;1499
5734;gate-keeper;54;
5737;meat_1;54;
5745;final-crs_3;54;1217
6068;gate-keeper;57;
6108;meat_1;57;
6160;final-crs_5;57;1437
6222;gate-keeper;58;
6229;vege_1;58;
6255;final-crs_0;58;1023
6353;gate-keeper;60;
