time;ckpt;id;money
299;gate-keeper;0;
301;vege_0;0;
421;final-crs_3;0;803
553;gate-keeper;1;
554;vege_1;1;
645;final-crs_3;1;761
896;gate-keeper;2;
902;vege_1;2;
955;final-crs_4;2;432
955;gate-keeper;3;
962;vege_0;3;
964;final-crs_2;3;272
1491;gate-keeper;4;
1493;vege_0;4;
1495;final-crs_5;4;491
1824;gate-keeper;5;
1825;gate-keeper;6;
1831;vege_0;5;
1832;vege_1;6;
1852;final-crs_3;5;460
1954;final-crs_2;6;355
2336;gate-keeper;7;
2337;vege_1;7;
2379;final-crs_1;7;773
2605;gate-keeper;8;
2608;vege_0;8;
2688;final-crs_2;8;89
2839;gate-keeper;9;
2840;frui_0;9;
2914;final-crs_2;9;288
3209;gate-keeper;10;
3212;meat_1;10;
3215;final-crs_3;10;261
3446;gate-keeper;11;
3450;vege_0;11;
3453;final-crs_4;11;423
3540;gate-keeper;12;
3542;vege_0;12;
3613;final-crs_5;12;1528
3837;gate-keeper;13;
3838;vege_0;13;
3889;final-crs_4;13;326
4125;gate-keeper;14;
4150;meat_0;14;
4165;final-crs_2;14;698
4409;gate-keeper;15;
4447;meat_0;15;
4487;final-crs_3;15;1693
4701;gate-keeper;16;
4702;vege_1;16;
4725;final-crs_3;16;1778
5019;gate-keeper;17;
5021;frui_0;17;
5057;final-crs_0;17;572
5372;gate-keeper;18;
5379;vege_1;18;
5413;final-crs_2;18;1264
5515;gate-keeper;19;
5522;vege_0;19;
5540;final-crs_4;19;1237
5692;gate-keeper;20;
5741;meat_1;20;
5760;final-crs_4;20;422
6018;gate-keeper;21;
6023;vege_0;21;
6060;final-crs_1;21;344
6349;gate-keeper;22;
6356;vege_0;22;
6421;final-crs_2;22;200
6614;gate-keeper;23;
6620;vege_0;23;
6700;final-crs_2;23;121
6946;gate-keeper;24;
6963;meat_0;24;
6964;final-crs_1;24;436
7276;gate-keeper;25;
7277;vege_1;25;
7388;final-crs_1;25;634
7393;gate-keeper;26;
7394;vege_0;26;
7416;final-crs_0;26;939
7858;gate-keeper;27;
7859;vege_1;27;
7862;final-crs_0;27;1553
8181;gate-keeper;28;
8182;gate-keeper;29;
8186;frui_1;28;
8191;final-crs_2;28;1303
8202;meat_0;29;
8265;final-crs_5;29;645
8469;gate-keeper;30;
8471;vege_1;30;
8576;final-crs_4;30;1344
8736;gate-keeper;31;
8773;meat_1;31;
8776;final-crs_4;31;907
9041;gate-keeper;32;
9082;meat_1;32;
9087;final-crs_1;32;478
9222;gate-keeper;33;
9266;meat_0;33;
9276;final-crs_3;33;884
9583;gate-keeper;34;
9585;vege_0;34;
9608;final-crs_4;34;297
9897;gate-keeper;35;
9900;vege_0;35;
9973;final-crs_3;35;683
10152;gate-keeper;36;
10156;vege_1;36;
10213;final-crs_2;36;357
10442;gate-keeper;37;
10444;frui_0;37;
10453;final-crs_3;37;104
10755;gate-keeper;38;
10757;vege_0;38;
10803;final-crs_1;38;769
11008;gate-keeper;39;
11035;meat_1;39;
11085;final-crs_5;39;502
11153;gate-keeper;40;
11187;meat_0;40;
11220;final-crs_1;40;168
11711;gate-keeper;41;
11712;gate-keeper;42;
11715;vege_1;41;
11739;meat_1;42;
