time;ckpt;id;money
320;gate-keeper;0;
325;vege_0;0;
388;final-crs_5;0;310
629;gate-keeper;1;
630;gate-keeper;2;
631;vege_0;1;
633;vege_1;2;
663;final-crs_0;1;659
672;final-crs_1;2;134
925;gate-keeper;3;
928;frui_0;3;
958;final-crs_3;3;1176
1045;gate-keeper;4;
1048;vege_0;4;
1117;final-crs_5;4;3116
1230;gate-keeper;5;
1231;vege_0;5;
1265;final-crs_2;5;1162
1541;gate-keeper;6;
1543;frui_0;6;
1544;final-crs_2;6;420
1858;gate-keeper;7;
1859;vege_0;7;
1859;gate-keeper;8;
1860;vege_1;8;
1882;final-crs_4;7;1902
1885;final-crs_1;8;2471
2136;gate-keeper;9;
2144;vege_1;9;
2265;final-crs_2;9;1117
2496;gate-keeper;10;
2497;gate-keeper;11;
2501;vege_1;10;
2503;final-crs_5;10;505
2504;vege_0;11;
2566;final-crs_1;11;2119
2762;gate-keeper;12;
2763;gate-keeper;13;
2767;vege_0;12;
2773;vege_1;13;
2779;final-crs_4;12;819
2792;final-crs_1;13;344
3088;gate-keeper;14;
3093;vege_0;14;
3148;final-crs_2;14;4027
3175;gate-keeper;15;
3182;vege_1;15;
3226;final-crs_0;15;164
3480;gate-keeper;16;
3482;vege_0;16;
3492;final-crs_5;16;1234
3595;gate-keeper;17;
3596;vege_0;17;
3604;final-crs_3;17;2694
3909;gate-keeper;18;
3913;frui_1;18;
3953;final-crs_1;18;2137
4204;gate-keeper;19;
4205;gate-keeper;20;
4206;frui_0;20;
4208;vege_0;19;
4214;final-crs_1;20;1746
4222;final-crs_4;19;2042
4465;gate-keeper;21;
4466;vege_1;21;
4468;final-crs_5;21;3086
4778;gate-keeper;22;
4779;gate-keeper;23;
4782;vege_0;22;
4785;vege_1;23;
4791;final-crs_3;22;106
4926;final-crs_2;23;721
5083;gate-keeper;24;
5084;frui_1;24;
5084;gate-keeper;25;
5088;vege_1;25;
5173;final-crs_2;24;90
5206;final-crs_4;25;779
5381;gate-keeper;26;
5382;vege_1;26;
5422;final-crs_4;26;572
5617;gate-keeper;27;
5618;gate-keeper;28;
5619;vege_0;27;
5627;vege_1;28;
5660;final-crs_5;27;1352
5669;final-crs_0;28;2169
5927;gate-keeper;29;
5933;meat_1;29;
5951;final-crs_2;29;2203
6158;gate-keeper;30;
6163;vege_1;30;
6171;final-crs_2;30;2494
6515;gate-keeper;31;
6516;frui_1;31;
6516;gate-keeper;32;
6519;vege_0;32;
6580;final-crs_0;31;874
6652;final-crs_4;32;2126
6771;gate-keeper;33;
6777;vege_1;33;
6793;final-crs_0;33;116
7045;gate-keeper;34;
7046;gate-keeper;35;
7047;vege_1;34;
7049;vege_0;35;
7089;final-crs_1;34;2112
7129;final-crs_4;35;2524
7339;gate-keeper;36;
7342;frui_0;36;
7358;final-crs_4;36;422
7660;gate-keeper;37;
7661;gate-keeper;38;
7663;frui_0;37;
7666;final-crs_2;37;116
7681;meat_1;38;
7733;final-crs_0;38;3084
7831;gate-keeper;39;
7838;vege_0;39;
7852;final-crs_4;39;605
8261;gate-keeper;40;
8262;gate-keeper;41;
8263;vege_0;41;
8264;frui_1;40;
8294;final-crs_4;41;981
8342;final-crs_3;40;1625
8558;gate-keeper;42;
8559;gate-keeper;43;
8561;vege_0;42;
8564;final-crs_4;42;112
8565;vege_1;43;
8567;final-crs_3;43;1429
8855;gate-keeper;44;
8861;vege_0;44;
8884;final-crs_2;44;2221
9117;gate-keeper;45;
9118;frui_0;45;
9130;final-crs_2;45;1035
9382;gate-keeper;46;
9383;gate-keeper;47;
9388;vege_0;47;
9392;meat_1;46;
9490;final-crs_0;47;183
9526;final-crs_1;46;269
9691;gate-keeper;48;
9694;meat_0;48;
9711;final-crs_1;48;2307
9993;gate-keeper;49;
9994;gate-keeper;50;
9997;vege_0;49;
9998;vege_1;50;
10030;final-crs_0;49;2329
10032;final-crs_4;50;711
10292;gate-keeper;51;
10296;vege_0;51;
10322;final-crs_2;51;1611
10328;gate-keeper;52;
10332;vege_0;52;
10430;final-crs_3;52;2020
10632;gate-keeper;53;
10635;vege_1;53;
10680;final-crs_3;53;4278
10935;gate-keeper;54;
10936;gate-keeper;55;
10937;vege_1;54;
10944;vege_0;55;
10962;final-crs_2;54;444
11014;final-crs_0;55;1385
11227;gate-keeper;56;
11228;vege_0;56;
11228;gate-keeper;57;
11231;frui_0;57;
11254;final-crs_5;56;1153
11262;final-crs_0;57;505
11583;gate-keeper;58;
11584;frui_1;58;
11680;final-crs_2;58;2365
11881;gate-keeper;59;
11882;gate-keeper;60;
11887;vege_0;60;
11887;frui_0;59;
11916;final-crs_2;60;2324
11946;final-crs_0;59;1946
12129;gate-keeper;61;
12130;vege_1;61;
12150;final-crs_2;61;1247
12462;gate-keeper;62;
12463;gate-keeper;63;
12465;vege_0;62;
12471;vege_1;63;
12474;final-crs_3;62;1618
12586;final-crs_4;63;3101
12814;gate-keeper;64;
12815;gate-keeper;65;
12817;vege_1;64;
12819;vege_0;65;
12831;final-crs_2;64;182
12842;final-crs_4;65;900
13152;gate-keeper;66;
13153;gate-keeper;67;
13157;vege_0;66;
13161;vege_1;67;
13178;final-crs_5;66;1663
13206;final-crs_2;67;1990
13447;gate-keeper;68;
13450;vege_1;68;
13469;final-crs_3;68;1658
13733;gate-keeper;69;
13739;vege_0;69;
13750;final-crs_0;69;2338
13768;gate-keeper;70;
13773;frui_0;70;
13912;final-crs_5;70;688
14028;gate-keeper;71;
14033;vege_1;71;
14162;final-crs_2;71;1648
14323;gate-keeper;72;
14327;vege_0;72;
14391;final-crs_2;72;529
14563;gate-keeper;73;
14564;gate-keeper;74;
14567;vege_0;73;
14567;frui_1;74;
14633;final-crs_2;73;177
14635;final-crs_0;74;953
14933;gate-keeper;75;
14934;gate-keeper;76;
14935;frui_1;76;
14939;vege_0;75;
14957;final-crs_3;76;2696
15098;final-crs_5;75;1738
15190;gate-keeper;77;
15192;vege_1;77;
15204;final-crs_3;77;2368
15469;gate-keeper;78;
15471;vege_1;78;
15474;final-crs_4;78;1993
15587;gate-keeper;79;
15590;vege_1;79;
15596;final-crs_5;79;1705
15749;gate-keeper;80;
15752;vege_1;80;
15815;final-crs_1;80;457
16008;gate-keeper;81;
16011;frui_0;81;
16042;final-crs_1;81;2407
16293;gate-keeper;82;
16294;gate-keeper;83;
16296;vege_0;82;
16300;vege_1;83;
16329;final-crs_0;82;82
16340;final-crs_2;83;1932
16484;gate-keeper;84;
16489;frui_0;84;
16526;final-crs_0;84;1142
16870;gate-keeper;85;
16871;gate-keeper;86;
16874;frui_1;85;
16876;frui_0;86;
16897;final-crs_3;85;2933
16898;final-crs_1;86;2282
17214;gate-keeper;87;
17219;vege_0;87;
17309;final-crs_2;87;102
17358;gate-keeper;88;
17360;frui_0;88;
17391;final-crs_1;88;1002
17499;gate-keeper;89;
17502;vege_0;89;
17577;final-crs_0;89;90
17816;gate-keeper;90;
17818;vege_1;90;
17837;final-crs_0;90;2058
18111;gate-keeper;91;
18112;gate-keeper;92;
18113;vege_1;91;
18115;final-crs_1;91;1881
18118;vege_0;92;
18138;final-crs_3;92;2971
18227;gate-keeper;93;
18233;vege_0;93;
18292;final-crs_0;93;109
18409;gate-keeper;94;
18410;gate-keeper;95;
18411;gate-keeper;96;
18412;gate-keeper;97;
18413;vege_0;94;
18414;frui_0;97;
18420;vege_1;95;
18421;vege_0;96;
18452;final-crs_4;94;1262
18455;final-crs_2;97;1339
18496;final-crs_0;95;1374
18596;final-crs_5;96;1677
18699;gate-keeper;98;
18700;vege_0;98;
18700;gate-keeper;99;
18701;frui_1;99;
18701;gate-keeper;100;
18726;meat_0;100;
18732;final-crs_2;98;2120
18735;final-crs_0;99;639
18848;final-crs_5;100;2666
18989;gate-keeper;101;
18990;vege_1;101;
18990;gate-keeper;102;
18991;vege_0;102;
19099;final-crs_5;101;1386
19110;final-crs_1;102;3344
19280;gate-keeper;103;
19287;vege_0;103;
19357;final-crs_1;103;797
19576;gate-keeper;104;
19577;gate-keeper;105;
19579;meat_0;104;
19615;meat_1;105;
19644;final-crs_4;104;1443
19659;final-crs_3;105;1955
19932;gate-keeper;106;
19963;meat_1;106;
20011;final-crs_5;106;1107
20019;gate-keeper;107;
20020;gate-keeper;108;
20021;gate-keeper;109;
20022;gate-keeper;110;
20025;vege_1;107;
20028;vege_0;108;
20028;frui_0;110;
20034;vege_1;109;
20044;final-crs_1;107;3515
20125;final-crs_0;108;2004
20142;final-crs_3;110;1727
20155;final-crs_4;109;174
20226;gate-keeper;111;
20227;gate-keeper;112;
20228;frui_1;112;
20228;gate-keeper;113;
20229;gate-keeper;114;
20230;vege_1;111;
20237;vege_0;113;
20240;vege_1;114;
20251;final-crs_5;112;1247
20274;final-crs_1;111;2311
20348;final-crs_0;113;65
20370;final-crs_4;114;113
20559;gate-keeper;115;
20560;gate-keeper;116;
20561;gate-keeper;117;
20562;gate-keeper;118;
20563;frui_1;115;
20569;vege_0;116;
20570;vege_1;118;
20571;final-crs_1;115;79
20581;final-crs_0;116;829
20587;final-crs_3;118;2888
20589;meat_0;117;
20626;final-crs_4;117;447
20846;gate-keeper;119;
20847;gate-keeper;120;
20848;gate-keeper;121;
20849;gate-keeper;122;
20850;vege_0;119;
20850;vege_1;120;
20851;frui_1;121;
20855;frui_0;122;
20880;final-crs_4;119;3443
20901;gate-keeper;123;
20902;gate-keeper;124;
20903;gate-keeper;125;
20904;gate-keeper;126;
20905;vege_0;125;
20905;frui_0;123;
20906;vege_1;126;
20907;final-crs_2;120;966
20942;meat_0;124;
20989;gate-keeper;127;
20990;vege_0;127;
21017;final-crs_5;121;2721
21047;final-crs_0;122;258
21061;final-crs_1;125;1608
21085;final-crs_4;123;487
21113;final-crs_3;126;908
21148;final-crs_2;124;3703
21215;gate-keeper;128;
21216;gate-keeper;129;
21217;gate-keeper;130;
21218;vege_0;128;
21218;gate-keeper;131;
21219;vege_1;129;
21221;frui_0;131;
21226;vege_0;130;
21230;final-crs_5;127;759
21299;final-crs_4;128;1405
21305;final-crs_0;129;1340
21322;final-crs_1;131;1801
21366;final-crs_2;130;289
21526;gate-keeper;132;
21527;gate-keeper;133;
21528;gate-keeper;134;
21529;gate-keeper;135;
21530;vege_0;132;
21530;frui_1;133;
21533;vege_1;134;
21539;vege_0;135;
21561;final-crs_0;132;1447
21562;final-crs_1;133;3307
21563;final-crs_4;134;1846
21598;final-crs_2;135;3086
21835;gate-keeper;136;
21836;gate-keeper;137;
21837;vege_0;137;
21837;frui_0;136;
21837;gate-keeper;138;
21838;gate-keeper;139;
21845;vege_1;138;
21848;vege_0;139;
21859;final-crs_3;137;981
21859;gate-keeper;140;
21860;gate-keeper;141;
21861;gate-keeper;142;
21862;gate-keeper;143;
21865;vege_0;140;
21865;frui_0;143;
21867;vege_1;141;
21873;vege_0;142;
21931;final-crs_5;136;1557
22018;final-crs_2;138;1505
22019;final-crs_4;139;1592
22044;final-crs_0;140;1264
22044;final-crs_1;143;91
22075;final-crs_3;141;1978
22125;gate-keeper;144;
22126;gate-keeper;145;
22127;gate-keeper;146;
22128;gate-keeper;147;
22130;vege_1;144;
22134;vege_0;145;
22148;final-crs_5;142;3538
22151;meat_1;146;
22163;meat_0;147;
22239;final-crs_2;144;2416
22254;final-crs_4;145;1190
22274;final-crs_1;146;848
22297;final-crs_0;147;345
22461;gate-keeper;148;
22462;vege_0;148;
22462;gate-keeper;149;
22463;gate-keeper;150;
22464;gate-keeper;151;
22465;frui_0;150;
22469;final-crs_2;148;2345
22470;vege_0;149;
22470;frui_1;151;
22505;final-crs_0;150;559
22510;final-crs_4;149;403
22514;final-crs_1;151;917
22740;gate-keeper;152;
22741;frui_0;152;
22741;gate-keeper;153;
22742;gate-keeper;154;
22743;gate-keeper;155;
22745;vege_1;153;
22748;final-crs_4;152;2258
22748;vege_0;154;
22756;vege_1;155;
22778;final-crs_3;153;2567
22865;gate-keeper;156;
22867;vege_0;156;
22910;final-crs_5;154;773
22929;final-crs_2;155;1565
22965;final-crs_1;156;1585
23022;gate-keeper;157;
23027;frui_0;157;
23162;final-crs_5;157;1181
23282;gate-keeper;158;
23283;gate-keeper;159;
23288;vege_0;158;
23291;vege_1;159;
23430;final-crs_0;158;2731
23439;final-crs_2;159;2648
23559;gate-keeper;160;
23560;gate-keeper;161;
23561;gate-keeper;162;
23562;vege_1;160;
23562;gate-keeper;163;
23563;vege_0;161;
23572;vege_1;162;
23573;vege_0;163;
23627;gate-keeper;164;
23628;frui_0;164;
23628;gate-keeper;165;
23634;frui_0;165;
23636;final-crs_0;160;1866
23646;final-crs_5;161;760
23679;final-crs_2;162;878
23715;final-crs_4;163;2912
23716;final-crs_3;164;1119
23725;final-crs_1;165;1582
23833;gate-keeper;166;
23835;vege_1;166;
23880;final-crs_0;166;2175
24120;gate-keeper;167;
24121;gate-keeper;168;
24122;vege_0;167;
24122;gate-keeper;169;
24123;gate-keeper;170;
24124;vege_1;168;
24125;final-crs_2;167;3566
24126;frui_1;170;
24132;vege_0;169;
24148;final-crs_3;168;1616
24154;final-crs_5;170;501
24196;final-crs_4;169;2074
24401;gate-keeper;171;
24402;gate-keeper;172;
24403;frui_0;171;
24403;gate-keeper;173;
24404;gate-keeper;174;
24405;frui_1;173;
24407;vege_0;172;
24410;frui_0;174;
24433;final-crs_4;171;2986
24446;final-crs_1;173;310
24503;gate-keeper;175;
24504;vege_1;175;
24585;final-crs_0;172;1184
24605;final-crs_2;174;1866
24633;final-crs_5;175;788
24705;gate-keeper;176;
24706;frui_0;176;
24816;final-crs_2;176;2865
25024;gate-keeper;177;
25025;gate-keeper;178;
25028;frui_1;177;
25031;frui_0;178;
25033;final-crs_2;177;1267
25055;final-crs_0;178;915
25308;gate-keeper;179;
25309;gate-keeper;180;
25311;frui_0;180;
25351;final-crs_1;180;189
25358;meat_1;179;
25370;final-crs_4;179;2412
25676;gate-keeper;181;
25685;vege_1;181;
25791;final-crs_0;181;164
25992;gate-keeper;182;
25993;gate-keeper;183;
25998;vege_0;182;
25998;vege_1;183;
26017;final-crs_1;182;1255
26017;final-crs_2;183;2197
26228;gate-keeper;184;
26231;vege_1;184;
26259;final-crs_1;184;1294
26346;gate-keeper;185;
26350;vege_0;185;
26362;final-crs_3;185;320
26677;gate-keeper;186;
26678;gate-keeper;187;
26683;vege_0;186;
26693;meat_0;187;
26709;final-crs_1;186;1469
26716;final-crs_2;187;2379
26926;gate-keeper;188;
26932;vege_1;188;
26936;final-crs_1;188;630
27183;gate-keeper;189;
27184;vege_0;189;
27190;final-crs_1;189;1514
27470;gate-keeper;190;
27471;gate-keeper;191;
27473;vege_0;191;
27503;final-crs_5;191;1022
27508;meat_0;190;
27553;final-crs_0;190;2183
27760;gate-keeper;192;
27765;vege_0;192;
27795;final-crs_0;192;2026
28046;gate-keeper;193;
28047;gate-keeper;194;
28049;vege_0;193;
28051;vege_1;194;
28111;final-crs_3;193;1460
28120;final-crs_2;194;1741
28373;gate-keeper;195;
28377;frui_1;195;
28440;final-crs_4;195;3044
28652;gate-keeper;196;
28653;gate-keeper;197;
28655;frui_1;197;
28657;vege_0;196;
28703;final-crs_4;197;1159
28729;final-crs_5;196;2508
28996;gate-keeper;198;
28997;gate-keeper;199;
28998;frui_1;198;
29004;vege_0;199;
29083;final-crs_2;198;3161
29085;final-crs_3;199;1460
29309;gate-keeper;200;
29312;vege_0;200;
29354;final-crs_4;200;1171
29606;gate-keeper;201;
29607;gate-keeper;202;
29611;frui_0;201;
29611;frui_1;202;
29613;final-crs_1;201;779
29665;final-crs_5;202;1563
29929;gate-keeper;203;
29930;vege_1;203;
30009;gate-keeper;204;
30010;vege_1;204;
30089;final-crs_2;203;954
30091;final-crs_3;204;910
30183;gate-keeper;205;
