time;ckpt;id;money
323;gate-keeper;0;
324;gate-keeper;1;
325;vege_0;0;
325;gate-keeper;2;
329;vege_1;1;
335;vege_0;2;
438;final-crs_2;0;738
454;final-crs_7;1;310
471;final-crs_12;2;409
583;gate-keeper;3;
584;gate-keeper;4;
585;gate-keeper;5;
586;frui_1;4;
588;frui_0;5;
592;vege_0;3;
654;final-crs_2;4;273
690;final-crs_7;5;1404
699;final-crs_6;3;580
881;gate-keeper;6;
882;vege_0;6;
882;gate-keeper;7;
883;gate-keeper;8;
892;meat_1;7;
906;final-crs_5;6;137
933;meat_0;8;
939;final-crs_7;7;169
943;final-crs_12;8;1459
1216;gate-keeper;9;
1217;gate-keeper;10;
1218;vege_1;10;
1218;gate-keeper;11;
1219;gate-keeper;12;
1220;meat_1;9;
1221;final-crs_9;10;481
1221;vege_0;11;
1226;final-crs_3;9;1166
1227;vege_1;12;
1228;final-crs_10;11;520
1257;final-crs_1;12;1002
1442;gate-keeper;13;
1443;gate-keeper;14;
1446;frui_0;14;
1448;vege_0;13;
1481;final-crs_11;14;852
1494;final-crs_12;13;175
1743;gate-keeper;15;
1744;gate-keeper;16;
1745;vege_0;15;
1745;gate-keeper;17;
1746;frui_1;16;
1749;vege_1;17;
1756;final-crs_11;15;853
1757;final-crs_12;16;1292
1780;final-crs_8;17;592
1784;gate-keeper;18;
1788;vege_1;18;
1877;final-crs_2;18;572
2046;gate-keeper;19;
2047;gate-keeper;20;
2048;vege_0;19;
2048;gate-keeper;21;
2051;frui_0;21;
2056;vege_1;20;
2098;final-crs_5;19;1599
2099;final-crs_2;21;1332
2142;final-crs_1;20;650
2366;gate-keeper;22;
2367;gate-keeper;23;
2368;gate-keeper;24;
2369;frui_1;23;
2371;final-crs_1;23;619
2371;vege_1;22;
2374;vege_0;24;
2381;final-crs_3;22;487
2407;final-crs_7;24;69
2567;gate-keeper;25;
2568;vege_1;25;
2568;gate-keeper;26;
2569;frui_0;26;
2575;final-crs_5;25;455
2580;final-crs_4;26;973
2650;gate-keeper;27;
2653;vege_0;27;
2674;final-crs_3;27;193
2953;gate-keeper;28;
2954;gate-keeper;29;
2955;frui_0;29;
2955;gate-keeper;30;
2956;final-crs_8;29;191
2957;vege_1;28;
2960;vege_0;30;
2962;final-crs_10;28;1058
2964;final-crs_7;30;368
3173;gate-keeper;31;
3174;gate-keeper;32;
3175;gate-keeper;33;
3177;vege_0;31;
3180;vege_1;32;
3184;final-crs_7;31;203
3185;final-crs_8;32;610
3187;vege_0;33;
3190;final-crs_10;33;1542
3509;gate-keeper;34;
3510;gate-keeper;35;
3511;gate-keeper;36;
3516;vege_0;34;
3517;vege_1;35;
3524;final-crs_2;34;987
3527;vege_0;36;
3598;final-crs_12;35;1607
3605;gate-keeper;37;
3611;vege_0;37;
3613;final-crs_0;36;221
3615;final-crs_10;37;178
3779;gate-keeper;38;
3780;frui_0;38;
3780;gate-keeper;39;
3785;vege_0;39;
3842;final-crs_12;38;111
3851;final-crs_10;39;726
4088;gate-keeper;40;
4089;gate-keeper;41;
4090;gate-keeper;42;
4091;frui_0;41;
4091;gate-keeper;43;
4093;vege_0;40;
4094;vege_1;42;
4101;vege_0;43;
4103;final-crs_6;41;519
4112;final-crs_0;40;1449
4115;final-crs_1;42;682
4121;final-crs_11;43;186
4394;gate-keeper;44;
4395;vege_0;44;
4395;gate-keeper;45;
4396;gate-keeper;46;
4398;frui_0;45;
4404;vege_1;46;
4418;final-crs_3;44;645
4422;final-crs_5;45;1760
4426;final-crs_9;46;764
4512;gate-keeper;47;
4513;gate-keeper;48;
4514;meat_1;47;
4515;frui_0;48;
4567;final-crs_10;47;1138
4569;final-crs_2;48;1961
4696;gate-keeper;49;
4697;gate-keeper;50;
4704;vege_1;49;
4706;vege_0;50;
4738;final-crs_12;49;287
4773;final-crs_10;50;1165
4981;gate-keeper;51;
4982;gate-keeper;52;
4983;gate-keeper;53;
4986;vege_0;51;
4987;final-crs_12;51;1023
4987;vege_1;53;
4991;meat_1;52;
5036;final-crs_2;53;110
5043;final-crs_11;52;1571
5259;gate-keeper;54;
5260;gate-keeper;55;
5261;vege_0;54;
5261;gate-keeper;56;
5262;frui_0;55;
5269;vege_1;56;
5287;final-crs_2;54;1177
5311;final-crs_1;55;591
5331;final-crs_0;56;613
5543;gate-keeper;57;
5544;gate-keeper;58;
5545;gate-keeper;59;
5546;vege_0;57;
5546;frui_0;58;
5547;final-crs_9;57;537
5549;vege_1;59;
5556;final-crs_5;58;1661
5562;final-crs_10;59;601
5812;gate-keeper;60;
5813;gate-keeper;61;
5814;frui_0;60;
5814;gate-keeper;62;
5815;frui_1;61;
5820;frui_0;62;
5821;final-crs_1;60;1379
5831;final-crs_5;61;412
5866;final-crs_7;62;1001
6106;gate-keeper;63;
6107;gate-keeper;64;
6108;gate-keeper;65;
6110;vege_1;63;
6116;vege_0;64;
6120;vege_1;65;
6161;final-crs_6;63;1107
6182;final-crs_12;64;961
6185;final-crs_3;65;1276
6355;gate-keeper;66;
6356;gate-keeper;67;
6357;vege_1;66;
6357;gate-keeper;68;
6363;vege_0;67;
6367;vege_1;68;
6387;final-crs_6;66;334
6401;final-crs_12;67;500
6427;final-crs_3;68;1107
6464;gate-keeper;69;
6465;vege_1;69;
6467;final-crs_10;69;1008
6530;gate-keeper;70;
6533;vege_1;70;
6551;final-crs_7;70;552
6649;gate-keeper;71;
6653;vege_0;71;
6685;final-crs_3;71;1578
6946;gate-keeper;72;
6947;gate-keeper;73;
6948;frui_0;72;
6948;gate-keeper;74;
6951;final-crs_3;72;836
6951;vege_1;73;
6958;vege_0;74;
6977;final-crs_4;73;221
6989;final-crs_9;74;1617
7290;gate-keeper;75;
7291;gate-keeper;76;
7292;vege_0;75;
7292;gate-keeper;77;
7293;gate-keeper;78;
7296;vege_1;78;
7296;frui_0;76;
7297;frui_1;77;
7325;final-crs_6;75;273
7326;final-crs_2;78;225
7369;final-crs_4;76;457
7371;final-crs_10;77;855
7400;gate-keeper;79;
7402;vege_0;79;
7416;final-crs_5;79;182
7577;gate-keeper;80;
7578;gate-keeper;81;
7579;frui_0;80;
7582;vege_1;81;
7584;final-crs_6;80;780
7604;final-crs_4;81;667
7956;gate-keeper;82;
7957;gate-keeper;83;
7958;gate-keeper;84;
7959;gate-keeper;85;
7960;vege_0;82;
7960;gate-keeper;86;
7963;final-crs_9;82;553
7964;vege_1;83;
7969;vege_0;84;
7974;vege_1;85;
7979;vege_0;86;
8017;final-crs_11;83;259
8026;final-crs_2;84;313
8075;final-crs_6;85;1272
8087;final-crs_4;86;233
8247;gate-keeper;87;
8248;gate-keeper;88;
8249;gate-keeper;89;
8252;frui_0;87;
8252;frui_1;88;
8257;vege_0;89;
8272;final-crs_6;87;1843
8279;final-crs_11;88;1028
8281;final-crs_2;89;1232
8350;gate-keeper;90;
8351;gate-keeper;91;
8354;vege_1;90;
8355;frui_0;91;
8399;final-crs_8;90;532
8403;final-crs_7;91;129
8472;gate-keeper;92;
8474;vege_0;92;
8496;final-crs_6;92;589
8781;gate-keeper;93;
8782;gate-keeper;94;
8783;gate-keeper;95;
8784;frui_0;94;
8785;frui_1;95;
8789;vege_1;93;
8790;final-crs_3;94;419
8836;final-crs_10;95;85
8845;final-crs_0;93;790
9091;gate-keeper;96;
9092;vege_1;96;
9092;gate-keeper;97;
9093;gate-keeper;98;
9094;frui_0;97;
9094;gate-keeper;99;
9097;vege_0;98;
9102;vege_1;99;
9110;final-crs_1;96;1425
9118;final-crs_8;97;634
9133;final-crs_5;98;87
9140;final-crs_7;99;1048
9379;gate-keeper;100;
9380;gate-keeper;101;
9381;gate-keeper;102;
9382;vege_1;100;
9388;frui_0;102;
9389;vege_0;101;
9438;final-crs_9;100;534
9446;final-crs_2;102;296
9466;final-crs_11;101;195
9721;gate-keeper;103;
9722;gate-keeper;104;
9723;gate-keeper;105;
9724;gate-keeper;106;
