time;ckpt;id;money
872;gate-keeper;6;
873;gate-keeper;7;
874;vege_1;6;
874;gate-keeper;8;
877;final-crs_4;6;368
878;vege_0;8;
891;meat_0;7;
923;final-crs_6;8;786
943;final-crs_3;7;1364
1165;gate-keeper;9;
1166;gate-keeper;10;
1167;vege_1;9;
1167;gate-keeper;11;
1168;vege_0;10;
1175;final-crs_5;9;1049
1176;vege_1;11;
1194;final-crs_1;10;402
1198;final-crs_6;11;1480
1503;gate-keeper;15;
1505;vege_1;15;
1571;final-crs_4;15;419
1711;gate-keeper;16;
1712;gate-keeper;17;
1713;vege_1;16;
1716;vege_0;17;
1723;final-crs_2;16;1903
1741;final-crs_6;17;1095
1761;gate-keeper;18;
1765;frui_0;18;
1821;final-crs_4;18;413
2071;gate-keeper;21;
2074;frui_1;21;
2094;final-crs_0;21;210
2364;gate-keeper;22;
2365;gate-keeper;23;
2366;gate-keeper;24;
2368;frui_0;23;
2369;frui_1;24;
2370;vege_0;22;
2391;final-crs_6;23;1189
2434;final-crs_5;24;951
2446;final-crs_1;22;1153
2618;gate-keeper;25;
2619;vege_1;25;
2619;gate-keeper;26;
2620;gate-keeper;27;
2621;frui_0;26;
2624;frui_1;27;
2680;final-crs_1;25;634
2688;final-crs_5;26;157
2695;gate-keeper;28;
2696;vege_1;28;
2714;final-crs_2;27;471
2771;final-crs_4;28;1878
3584;gate-keeper;36;
3585;gate-keeper;37;
3586;gate-keeper;38;
3589;frui_0;36;
3589;frui_1;37;
3613;meat_1;38;
3665;final-crs_5;36;158
3681;final-crs_1;37;1195
3708;final-crs_6;38;460
3848;gate-keeper;41;
3851;vege_1;41;
3878;final-crs_1;41;247
4001;gate-keeper;42;
4004;vege_0;42;
4024;final-crs_0;42;441
4127;gate-keeper;43;
4128;vege_1;43;
4128;gate-keeper;44;
4129;frui_0;44;
4175;final-crs_5;43;1539
4222;final-crs_4;44;1207
4384;gate-keeper;45;
4385;gate-keeper;46;
4386;gate-keeper;47;
4388;vege_1;46;
4393;vege_0;47;
4406;meat_0;45;
4407;final-crs_6;46;629
4417;final-crs_5;47;526
4445;final-crs_4;45;1893
4547;gate-keeper;49;
4548;frui_1;49;
4627;final-crs_1;49;974
4652;gate-keeper;50;
4656;vege_1;50;
4682;final-crs_2;50;139
4957;gate-keeper;53;
4974;meat_1;53;
4988;final-crs_3;53;142
5199;gate-keeper;55;
5200;gate-keeper;56;
5201;frui_0;56;
5203;vege_1;55;
5207;final-crs_0;56;243
5217;final-crs_3;55;1027
5528;gate-keeper;58;
5529;gate-keeper;59;
5530;frui_1;59;
5532;vege_1;58;
5568;gate-keeper;60;
5571;vege_1;60;
5614;final-crs_5;59;1731
5615;final-crs_1;58;566
5627;final-crs_6;60;1320
5855;gate-keeper;62;
5856;frui_0;62;
5856;gate-keeper;63;
5863;final-crs_2;62;1158
5873;meat_1;63;
5888;final-crs_6;63;757
6196;gate-keeper;67;
6202;vege_1;67;
6336;final-crs_1;67;754
6566;gate-keeper;70;
6584;meat_1;70;
6604;final-crs_3;70;502
7033;gate-keeper;74;
7034;gate-keeper;75;
7035;vege_0;75;
7035;gate-keeper;76;
7041;vege_1;76;
7044;meat_0;74;
7064;final-crs_3;75;628
7073;final-crs_1;76;874
7075;final-crs_2;74;540
7457;gate-keeper;80;
7461;vege_0;80;
7491;final-crs_6;80;918
7514;gate-keeper;81;
7516;vege_1;81;
