time;ckpt;id;money
270;gate-keeper;0;
271;gate-keeper;1;
272;frui_1;0;
273;vege_1;1;
297;final-crs_6;0;596
428;final-crs_2;1;327
878;gate-keeper;7;
879;vege_0;7;
889;final-crs_1;7;788
1171;gate-keeper;8;
1172;gate-keeper;9;
1177;vege_1;8;
1180;vege_0;9;
1187;final-crs_0;8;247
1228;final-crs_3;9;280
1439;gate-keeper;10;
1440;gate-keeper;11;
1441;gate-keeper;12;
1444;frui_0;12;
1446;final-crs_0;12;62
1448;meat_0;10;
1463;meat_1;11;
1472;final-crs_3;10;740
1474;final-crs_6;11;1936
1711;gate-keeper;14;
1748;meat_1;14;
1815;final-crs_4;14;519
2025;gate-keeper;17;
2028;vege_1;17;
2072;final-crs_5;17;277
2358;gate-keeper;19;
2359;gate-keeper;20;
2362;vege_1;19;
2385;meat_1;20;
2428;final-crs_6;19;1572
2463;final-crs_3;20;67
2987;gate-keeper;25;
2988;gate-keeper;26;
2990;vege_1;26;
3006;final-crs_0;26;435
3007;meat_1;25;
3012;final-crs_5;25;280
3176;gate-keeper;27;
3177;gate-keeper;28;
3178;frui_0;27;
3181;vege_1;28;
3216;final-crs_3;27;949
3261;gate-keeper;29;
3262;final-crs_0;28;517
3265;vege_1;29;
3276;final-crs_2;29;830
3450;gate-keeper;30;
3453;vege_1;30;
3500;final-crs_5;30;534
3532;gate-keeper;31;
3533;frui_0;31;
3557;final-crs_4;31;996
4121;gate-keeper;35;
4122;gate-keeper;36;
4124;frui_0;35;
4127;frui_1;36;
4163;final-crs_5;35;564
4194;final-crs_3;36;748
4254;gate-keeper;38;
4256;vege_1;38;
4257;final-crs_6;38;1256
4407;gate-keeper;39;
4409;frui_0;39;
4410;final-crs_1;39;489
4746;gate-keeper;43;
4747;vege_1;43;
4756;final-crs_6;43;518
4979;gate-keeper;45;
4981;vege_0;45;
4984;final-crs_4;45;673
5275;gate-keeper;47;
5276;vege_1;47;
5380;final-crs_5;47;73
5556;gate-keeper;50;
5557;vege_0;50;
5598;final-crs_0;50;658
5931;gate-keeper;52;
5932;gate-keeper;53;
5933;frui_1;53;
5943;final-crs_1;53;448
5955;meat_1;52;
5956;gate-keeper;54;
5958;frui_0;54;
6017;final-crs_0;52;516
6119;final-crs_6;54;811
6206;gate-keeper;55;
6207;frui_0;55;
6207;gate-keeper;56;
6211;frui_1;56;
6299;final-crs_0;55;508
6331;final-crs_6;56;1690
6518;gate-keeper;58;
6520;frui_1;58;
6525;final-crs_0;58;807
6862;gate-keeper;62;
6866;vege_0;62;
6870;final-crs_5;62;1232
7185;gate-keeper;65;
7189;vege_1;65;
7191;final-crs_1;65;1320
7692;gate-keeper;69;
7693;vege_0;69;
7748;final-crs_0;69;542
7810;gate-keeper;70;
7816;vege_0;70;
7888;final-crs_3;70;669
8058;gate-keeper;73;
8059;frui_0;73;
8125;final-crs_3;73;1076
9368;gate-keeper;84;
9369;gate-keeper;85;
9373;vege_0;84;
9375;vege_1;85;
9439;final-crs_6;84;1516
9467;final-crs_0;85;1382
9648;gate-keeper;86;
9649;gate-keeper;87;
9650;vege_0;86;
9650;gate-keeper;88;
9654;vege_1;87;
9655;frui_1;88;
9681;final-crs_0;86;759
9698;final-crs_2;87;298
9703;final-crs_6;88;301
9975;gate-keeper;90;
9976;gate-keeper;91;
9979;vege_0;90;
9981;frui_0;91;
10031;final-crs_5;90;410
10054;final-crs_3;91;203
10281;gate-keeper;93;
10285;vege_0;93;
10286;final-crs_3;93;327
10337;gate-keeper;94;
10341;frui_0;94;
10360;final-crs_0;94;377
10593;gate-keeper;95;
10594;gate-keeper;96;
10597;frui_0;95;
10598;frui_1;96;
10603;final-crs_0;95;1278
10669;final-crs_2;96;624
10890;gate-keeper;98;
10891;gate-keeper;99;
10892;frui_0;99;
10930;meat_0;98;
10960;final-crs_4;99;650
10995;final-crs_5;98;674
11268;gate-keeper;102;
11276;meat_0;102;
11325;final-crs_0;102;593
11433;gate-keeper;103;
11434;frui_1;103;
11434;gate-keeper;104;
11435;final-crs_5;103;1031
11438;meat_0;104;
11464;final-crs_1;104;402
11748;gate-keeper;105;
11749;gate-keeper;106;
11750;gate-keeper;107;
11756;vege_1;105;
11758;vege_0;107;
11786;meat_1;106;
11818;final-crs_0;105;804
11847;final-crs_4;107;731
11865;final-crs_2;106;531
12047;gate-keeper;108;
12048;gate-keeper;109;
12051;vege_1;109;
12062;final-crs_6;109;649
12069;meat_0;108;
12083;final-crs_2;108;699
12231;gate-keeper;111;
12235;frui_1;111;
12271;final-crs_0;111;879
12374;gate-keeper;112;
12377;vege_1;112;
12389;final-crs_3;112;1439
12696;gate-keeper;114;
12697;frui_1;114;
12697;gate-keeper;115;
12700;vege_1;115;
12761;final-crs_4;114;419
12762;final-crs_6;115;428
13093;gate-keeper;119;
13123;meat_1;119;
13143;final-crs_5;119;331
13282;gate-keeper;120;
13283;gate-keeper;121;
13287;frui_1;121;
13288;vege_1;120;
13364;final-crs_1;121;1031
13382;final-crs_3;120;313
13552;gate-keeper;122;
13553;gate-keeper;123;
13557;vege_1;122;
13557;frui_0;123;
13615;final-crs_1;122;661
13631;final-crs_6;123;116
13871;gate-keeper;124;
13872;gate-keeper;125;
13873;gate-keeper;126;
13877;frui_0;124;
13879;frui_1;125;
13883;frui_0;126;
13899;final-crs_2;124;860
13940;final-crs_0;125;977
13941;final-crs_4;126;784
14170;gate-keeper;127;
14171;gate-keeper;128;
14174;vege_0;127;
14176;vege_1;128;
14190;final-crs_4;127;122
14196;final-crs_0;128;815
14447;gate-keeper;130;
14450;frui_1;130;
14459;final-crs_3;130;60
14708;gate-keeper;132;
14709;gate-keeper;133;
14711;vege_0;132;
14717;vege_1;133;
14787;final-crs_5;132;2616
14793;final-crs_2;133;1017
15000;gate-keeper;136;
15005;vege_1;136;
15006;final-crs_1;136;312
15565;gate-keeper;140;
15566;gate-keeper;141;
15569;frui_1;140;
15572;frui_0;141;
15581;final-crs_4;140;1457
15585;final-crs_6;141;708
15897;gate-keeper;144;
15908;meat_1;144;
16024;final-crs_4;144;1688
16172;gate-keeper;145;
16173;gate-keeper;146;
16174;gate-keeper;147;
16177;vege_1;145;
16202;meat_1;146;
16209;meat_0;147;
16232;final-crs_4;145;150
16264;final-crs_2;146;943
16270;final-crs_5;147;600
16470;gate-keeper;148;
16471;vege_1;148;
16471;gate-keeper;149;
16478;meat_0;149;
16480;final-crs_2;148;1131
16513;final-crs_4;149;1204
16638;gate-keeper;151;
16644;frui_0;151;
16690;final-crs_2;151;190
16787;gate-keeper;152;
16789;frui_0;152;
16802;final-crs_3;152;357
17064;gate-keeper;155;
17067;vege_1;155;
17134;final-crs_2;155;694
17354;gate-keeper;156;
17355;vege_1;156;
17355;gate-keeper;157;
17357;vege_0;157;
17374;final-crs_2;156;64
17433;final-crs_0;157;392
17602;gate-keeper;159;
17603;gate-keeper;160;
17604;vege_0;160;
17625;final-crs_2;160;448
17645;meat_0;159;
17697;final-crs_0;159;399
17949;gate-keeper;162;
17950;vege_0;162;
17950;gate-keeper;163;
17953;frui_0;163;
17972;final-crs_5;162;1091
17989;final-crs_6;163;326
18210;gate-keeper;165;
18213;vege_0;165;
18247;final-crs_5;165;1295
18464;gate-keeper;167;
18465;gate-keeper;168;
18470;vege_1;167;
18472;vege_0;168;
18488;final-crs_5;167;1329
18492;final-crs_3;168;897
19115;gate-keeper;191;
19116;frui_1;191;
19116;gate-keeper;192;
19122;vege_1;192;
19124;final-crs_6;191;2162
19157;final-crs_0;192;630
19406;gate-keeper;195;
19408;frui_1;195;
19459;final-crs_1;195;924
19728;gate-keeper;196;
19729;gate-keeper;197;
19730;gate-keeper;198;
19731;gate-keeper;199;
19732;gate-keeper;200;
19733;gate-keeper;201;
19734;gate-keeper;202;
19735;frui_0;200;
19735;gate-keeper;203;
19736;vege_1;197;
19738;vege_0;198;
19740;meat_0;196;
19743;final-crs_2;200;1088
19744;vege_1;199;
19747;vege_0;201;
19753;vege_1;202;
19756;vege_0;203;
19763;final-crs_5;197;604
19815;final-crs_0;198;1539
19875;final-crs_1;196;297
19888;final-crs_6;199;436
19926;final-crs_4;201;1682
