time;ckpt;id;money
582;gate-keeper;4;
584;vege_0;4;
650;final-crs_3;4;1505
864;gate-keeper;5;
865;gate-keeper;6;
871;meat_0;5;
874;meat_1;6;
884;final-crs_3;5;433
910;final-crs_6;6;634
1398;gate-keeper;10;
1399;gate-keeper;11;
1401;frui_1;11;
1403;final-crs_2;11;701
1445;meat_0;10;
1502;final-crs_0;10;734
1705;gate-keeper;13;
1706;frui_0;13;
1706;gate-keeper;14;
1737;meat_0;14;
1746;final-crs_0;13;1063
1792;final-crs_4;14;254
2002;gate-keeper;17;
2027;meat_0;17;
2031;final-crs_3;17;752
2322;gate-keeper;18;
2323;gate-keeper;19;
2324;vege_1;18;
2331;final-crs_2;18;403
2333;vege_0;19;
2367;final-crs_1;19;363
2594;gate-keeper;20;
2595;gate-keeper;21;
2600;vege_0;20;
2603;vege_1;21;
2617;final-crs_1;20;971
2750;final-crs_0;21;1104
2911;gate-keeper;24;
2912;frui_1;24;
2996;final-crs_3;24;390
3284;gate-keeper;27;
3289;vege_1;27;
3301;final-crs_4;27;401
3430;gate-keeper;28;
3434;vege_1;28;
3489;final-crs_0;28;580
3539;gate-keeper;29;
3544;vege_0;29;
3576;final-crs_4;29;378
3816;gate-keeper;31;
3817;frui_0;31;
3817;gate-keeper;32;
3822;vege_1;32;
3828;final-crs_4;31;320
3855;final-crs_1;32;1319
4084;gate-keeper;34;
4091;vege_1;34;
4109;final-crs_4;34;1125
4260;gate-keeper;35;
4300;meat_0;35;
4336;final-crs_1;35;117
4372;gate-keeper;36;
4377;vege_1;36;
4461;final-crs_0;36;835
4732;gate-keeper;39;
4733;vege_0;39;
4765;final-crs_6;39;289
5079;gate-keeper;41;
5080;gate-keeper;42;
5081;vege_0;42;
5098;meat_1;41;
5127;final-crs_4;42;594
5155;final-crs_3;41;619
5163;gate-keeper;43;
5169;vege_0;43;
5172;final-crs_0;43;803
5670;gate-keeper;45;
5671;gate-keeper;46;
5672;gate-keeper;47;
5674;vege_1;45;
5677;vege_0;46;
5685;vege_0;47;
5690;final-crs_3;45;1485
5692;final-crs_2;46;1034
5732;final-crs_6;47;647
6187;gate-keeper;51;
6188;gate-keeper;52;
6221;meat_1;51;
6232;meat_0;52;
6272;final-crs_1;51;130
6319;final-crs_4;52;636
6589;gate-keeper;54;
6590;vege_0;54;
6590;gate-keeper;55;
6591;final-crs_5;54;80
6627;meat_0;55;
6655;final-crs_3;55;68
6849;gate-keeper;56;
6850;gate-keeper;57;
6853;vege_0;56;
6857;vege_1;57;
6875;final-crs_3;56;428
6876;final-crs_2;57;307
7067;gate-keeper;59;
7092;meat_0;59;
7117;final-crs_2;59;1956
7177;gate-keeper;60;
7180;meat_1;60;
7194;final-crs_6;60;285
7473;gate-keeper;61;
7474;gate-keeper;62;
7475;meat_0;61;
7481;vege_1;62;
7515;final-crs_5;61;540
7544;final-crs_0;62;661
7849;gate-keeper;66;
7854;vege_0;66;
7953;final-crs_6;66;872
7986;gate-keeper;67;
8033;meat_1;67;
8075;final-crs_3;67;273
8099;gate-keeper;68;
8103;meat_0;68;
8170;final-crs_1;68;286
8407;gate-keeper;69;
8408;gate-keeper;70;
8409;meat_1;69;
8416;final-crs_1;69;1799
8416;vege_0;70;
8428;final-crs_4;70;574
8820;gate-keeper;73;
8821;vege_0;73;
8870;final-crs_4;73;465
8991;gate-keeper;75;
9020;meat_0;75;
9075;final-crs_2;75;719
9311;gate-keeper;76;
9312;vege_0;76;
9312;gate-keeper;77;
9313;gate-keeper;78;
9314;frui_1;77;
9317;vege_1;78;
9322;final-crs_4;76;523
9334;final-crs_2;77;309
9403;final-crs_1;78;1359
9754;gate-keeper;81;
9760;vege_0;81;
9780;final-crs_2;81;842
10696;gate-keeper;89;
10702;vege_1;89;
10793;final-crs_5;89;99
10817;gate-keeper;90;
10838;meat_0;90;
10865;final-crs_3;90;1217
11094;gate-keeper;91;
11095;gate-keeper;92;
11097;frui_0;92;
11106;final-crs_3;92;1416
11116;meat_1;91;
11118;final-crs_4;91;278
11428;gate-keeper;95;
11431;vege_1;95;
11467;final-crs_2;95;345
11514;gate-keeper;96;
11516;vege_1;96;
11538;final-crs_1;96;925
11625;gate-keeper;97;
11626;frui_1;97;
11746;final-crs_2;97;1810
11752;gate-keeper;98;
11758;vege_1;98;
11760;final-crs_1;98;1216
12025;gate-keeper;100;
12030;vege_1;100;
12070;final-crs_5;100;295
12353;gate-keeper;102;
12354;gate-keeper;103;
12356;vege_1;103;
12372;final-crs_4;103;653
12385;meat_1;102;
12448;final-crs_1;102;820
12654;gate-keeper;105;
12655;gate-keeper;106;
12656;vege_1;106;
12657;meat_0;105;
12683;final-crs_2;106;1430
12706;final-crs_6;105;129
12904;gate-keeper;108;
12906;vege_1;108;
12923;final-crs_6;108;231
13198;gate-keeper;110;
13199;vege_1;110;
13230;final-crs_5;110;1548
13241;gate-keeper;111;
13279;meat_0;111;
13295;final-crs_0;111;1811
13544;gate-keeper;113;
13546;vege_0;113;
13557;final-crs_0;113;175
13832;gate-keeper;116;
13835;vege_1;116;
13842;final-crs_3;116;261
14045;gate-keeper;118;
14048;vege_1;118;
14051;final-crs_0;118;906
14136;gate-keeper;119;
14137;vege_0;119;
14146;final-crs_5;119;587
14444;gate-keeper;121;
14448;vege_1;121;
14502;final-crs_0;121;840
14735;gate-keeper;124;
14736;vege_0;124;
14789;final-crs_3;124;1118
14972;gate-keeper;125;
14973;gate-keeper;126;
15004;meat_1;125;
15021;meat_0;126;
15045;final-crs_1;125;293
15062;final-crs_3;126;756
15578;gate-keeper;130;
15579;gate-keeper;131;
15586;vege_0;130;
15586;vege_1;131;
15626;final-crs_4;130;1093
15640;final-crs_0;131;445
15798;gate-keeper;133;
15799;vege_1;133;
15812;final-crs_1;133;551
16179;gate-keeper;135;
16180;gate-keeper;136;
16183;vege_0;136;
16184;frui_1;135;
16214;final-crs_6;136;1520
16221;final-crs_3;135;1104
17139;gate-keeper;144;
17144;vege_1;144;
17191;final-crs_5;144;472
17448;gate-keeper;147;
17449;frui_1;147;
17464;final-crs_3;147;1091
17528;gate-keeper;148;
17531;meat_0;148;
17567;final-crs_2;148;941
17700;gate-keeper;149;
17704;vege_0;149;
17708;final-crs_1;149;230
17986;gate-keeper;151;
17987;gate-keeper;152;
17988;vege_0;151;
17988;gate-keeper;153;
17989;gate-keeper;154;
17990;gate-keeper;155;
17991;gate-keeper;156;
17992;gate-keeper;157;
17993;vege_1;152;
17994;meat_1;154;
17996;vege_0;153;
18022;meat_0;155;
18033;final-crs_4;151;1610
18055;meat_1;156;
18068;final-crs_2;152;905
18074;meat_0;157;
18082;final-crs_0;154;439
18106;final-crs_6;153;455
18141;final-crs_5;155;469
18157;final-crs_3;156;1176
18180;final-crs_1;157;600
18325;gate-keeper;161;
18326;gate-keeper;162;
18327;gate-keeper;163;
18328;gate-keeper;164;
18329;gate-keeper;165;
18330;gate-keeper;166;
18331;gate-keeper;167;
18334;vege_1;162;
18336;vege_0;164;
18343;vege_1;167;
18371;meat_0;161;
18371;meat_1;163;
18379;final-crs_6;162;428
18382;final-crs_3;164;286
18399;final-crs_5;167;403
18428;meat_0;165;
18431;meat_1;166;
18436;final-crs_1;161;746
18463;final-crs_2;163;1292
18504;final-crs_4;165;783
18571;final-crs_0;166;67
18590;gate-keeper;180;
18591;gate-keeper;181;
18594;vege_0;180;
18594;vege_1;181;
18606;final-crs_6;180;1665
18618;final-crs_3;181;1500
18889;gate-keeper;183;
18890;vege_0;183;
18894;final-crs_3;183;1428
19192;gate-keeper;186;
19226;meat_1;186;
19232;final-crs_4;186;1032
19527;gate-keeper;189;
19528;meat_0;189;
19570;final-crs_0;189;675
19636;gate-keeper;190;
19637;meat_1;190;
19637;gate-keeper;191;
19638;vege_1;191;
19638;gate-keeper;192;
19639;gate-keeper;193;
19640;vege_0;192;
19640;gate-keeper;194;
19641;gate-keeper;195;
19642;gate-keeper;196;
19647;vege_1;195;
19650;vege_0;196;
19688;final-crs_4;190;1011
19691;meat_1;193;
19695;meat_0;194;
19701;final-crs_2;191;1317
19774;final-crs_0;192;977
19804;final-crs_3;195;1450
19837;gate-keeper;199;
19838;gate-keeper;200;
19858;meat_0;199;
19859;final-crs_1;196;684
19863;final-crs_6;193;241
19879;meat_1;200;
19909;final-crs_4;194;687
19910;final-crs_5;199;1250
19975;final-crs_2;200;1046
20136;gate-keeper;202;
20152;meat_0;202;
20172;final-crs_5;202;270
20395;gate-keeper;205;
20396;gate-keeper;206;
20397;gate-keeper;207;
20398;gate-keeper;208;
20399;vege_0;207;
20399;gate-keeper;209;
20400;gate-keeper;210;
20401;gate-keeper;211;
20403;vege_1;208;
20408;vege_0;209;
20411;meat_1;205;
20413;vege_1;210;
20417;final-crs_5;207;229
20418;vege_0;211;
20445;final-crs_2;208;619
