time;ckpt;id;money
255;gate-keeper;0;
256;gate-keeper;1;
261;vege_1;0;
264;vege_0;1;
441;final-crs_5;0;257
451;final-crs_6;1;182
548;gate-keeper;3;
549;gate-keeper;4;
550;gate-keeper;5;
554;meat_1;3;
558;vege_0;4;
613;meat_0;5;
675;final-crs_5;3;479
677;final-crs_3;4;699
695;final-crs_6;5;1323
838;gate-keeper;9;
841;meat_0;9;
897;final-crs_3;9;282
922;gate-keeper;10;
943;meat_0;10;
945;final-crs_4;10;1260
1154;gate-keeper;11;
1155;gate-keeper;12;
1159;vege_1;12;
1169;meat_1;11;
1172;final-crs_1;12;291
1176;final-crs_6;11;729
1461;gate-keeper;14;
1462;vege_0;14;
1462;gate-keeper;15;
1463;gate-keeper;16;
1466;vege_1;15;
1472;vege_0;16;
1584;final-crs_2;14;657
1616;final-crs_1;15;88
1638;final-crs_6;16;711
2053;gate-keeper;21;
2054;vege_1;21;
2054;gate-keeper;22;
2056;vege_0;22;
2094;final-crs_2;21;535
2113;final-crs_3;22;1029
2335;gate-keeper;24;
2336;gate-keeper;25;
2337;gate-keeper;26;
2346;vege_0;25;
2353;final-crs_6;25;1112
2393;meat_1;24;
2396;final-crs_3;24;95
2399;meat_0;26;
2419;final-crs_0;26;1425
2645;gate-keeper;29;
2654;vege_0;29;
2655;final-crs_0;29;1036
2687;gate-keeper;30;
2690;vege_0;30;
2706;final-crs_4;30;2051
2941;gate-keeper;31;
2942;vege_1;31;
2942;gate-keeper;32;
2943;gate-keeper;33;
2946;meat_1;32;
2948;vege_0;33;
3048;final-crs_2;31;1000
3088;final-crs_3;32;1079
3094;final-crs_1;33;418
3214;gate-keeper;34;
3215;frui_1;34;
3215;gate-keeper;35;
3216;gate-keeper;36;
3218;vege_1;36;
3252;meat_1;35;
3286;final-crs_5;34;619
3301;final-crs_1;36;351
3311;final-crs_3;35;1057
3384;gate-keeper;38;
3392;vege_1;38;
3439;final-crs_0;38;1068
3487;gate-keeper;39;
3491;vege_0;39;
