time;ckpt;id;money
342;gate-keeper;2;
345;vege_1;2;
442;final-crs_4;2;382
599;gate-keeper;5;
602;vege_0;5;
669;final-crs_3;5;761
909;gate-keeper;8;
919;meat_1;8;
921;final-crs_4;8;1214
1217;gate-keeper;12;
1220;vege_0;12;
1233;final-crs_2;12;113
1525;gate-keeper;15;
1532;vege_1;15;
1565;final-crs_5;15;1367
1802;gate-keeper;18;
1811;vege_0;18;
1814;final-crs_5;18;769
2043;gate-keeper;19;
2044;gate-keeper;20;
2049;vege_0;19;
2053;vege_1;20;
2081;final-crs_5;19;1073
2100;final-crs_0;20;1215
2695;gate-keeper;27;
2703;vege_0;27;
2744;final-crs_2;27;931
2905;gate-keeper;28;
2906;gate-keeper;29;
2909;vege_0;29;
2915;meat_1;28;
2960;final-crs_2;29;714
3006;final-crs_5;28;837
3033;gate-keeper;31;
3042;vege_0;31;
3050;final-crs_6;31;191
3278;gate-keeper;34;
3282;vege_0;34;
3292;final-crs_0;34;692
3594;gate-keeper;37;
3628;meat_0;37;
3690;final-crs_6;37;2034
3781;gate-keeper;38;
3782;gate-keeper;39;
3799;meat_0;38;
3820;meat_1;39;
3866;final-crs_1;38;706
3925;final-crs_6;39;627
4690;gate-keeper;47;
4691;frui_0;47;
4691;gate-keeper;48;
4712;final-crs_4;47;2442
4728;gate-keeper;49;
4731;vege_0;49;
4738;meat_1;48;
4832;final-crs_3;49;1056
4848;final-crs_1;48;499
5025;gate-keeper;50;
5026;gate-keeper;51;
5027;gate-keeper;52;
5028;vege_0;50;
5030;vege_1;51;
5037;vege_0;52;
5063;final-crs_1;50;819
5074;final-crs_3;51;609
5157;final-crs_5;52;778
5313;gate-keeper;54;
5314;gate-keeper;55;
5317;vege_0;55;
5337;final-crs_3;55;580
5351;meat_1;54;
5383;final-crs_6;54;946
5521;gate-keeper;57;
5522;vege_1;57;
5566;final-crs_3;57;523
5641;gate-keeper;58;
5655;meat_1;58;
5663;final-crs_0;58;338
6190;gate-keeper;64;
6193;vege_0;64;
6210;gate-keeper;65;
6219;final-crs_3;64;1070
6220;meat_1;65;
6276;final-crs_1;65;1519
6474;gate-keeper;67;
6499;meat_1;67;
6518;final-crs_3;67;123
6769;gate-keeper;70;
6770;gate-keeper;71;
6773;vege_0;70;
6774;vege_1;71;
6791;final-crs_3;70;368
6822;final-crs_2;71;529
7076;gate-keeper;74;
7082;vege_0;74;
7097;final-crs_4;74;629
7344;gate-keeper;77;
7346;vege_0;77;
7356;final-crs_0;77;647
7971;gate-keeper;83;
7972;gate-keeper;84;
7974;meat_0;84;
7975;vege_0;83;
7984;final-crs_5;84;564
8018;final-crs_2;83;114
8277;gate-keeper;86;
8278;gate-keeper;87;
8281;vege_0;87;
8287;meat_1;86;
8296;final-crs_2;87;159
8319;gate-keeper;88;
8325;vege_1;88;
8385;final-crs_4;86;134
8403;final-crs_0;88;961
8978;gate-keeper;93;
8979;gate-keeper;94;
8980;gate-keeper;95;
8983;vege_1;93;
8991;final-crs_2;93;609
9031;meat_0;94;
9031;meat_1;95;
9097;final-crs_3;94;880
9128;final-crs_0;95;273
9204;gate-keeper;97;
9206;vege_0;97;
9212;final-crs_5;97;1611
9290;gate-keeper;98;
9297;vege_0;98;
9313;final-crs_0;98;1869
9871;gate-keeper;105;
9872;vege_0;105;
9909;final-crs_6;105;1337
9952;gate-keeper;106;
9955;vege_1;106;
9982;final-crs_1;106;297
10161;gate-keeper;107;
10162;vege_0;107;
10162;gate-keeper;108;
10166;frui_1;108;
10179;final-crs_6;107;1132
10187;final-crs_2;108;645
10714;gate-keeper;112;
10715;gate-keeper;113;
10716;gate-keeper;114;
10717;vege_1;113;
10718;frui_1;112;
10723;vege_0;114;
10798;final-crs_0;113;1170
10844;final-crs_5;112;1206
10879;final-crs_2;114;1772
11106;gate-keeper;118;
11107;vege_0;118;
11135;final-crs_2;118;150
11600;gate-keeper;122;
11601;gate-keeper;123;
