time;ckpt;id;money
293;gate-keeper;0;
294;gate-keeper;1;
295;gate-keeper;2;
296;vege_1;0;
296;gate-keeper;3;
302;vege_0;1;
305;vege_1;2;
312;vege_0;3;
436;final-crs_6;0;630
454;final-crs_5;1;422
455;final-crs_0;2;1457
458;final-crs_1;3;1260
891;gate-keeper;12;
894;vege_0;12;
896;final-crs_5;12;537
1460;gate-keeper;17;
1461;gate-keeper;18;
1462;gate-keeper;19;
1464;frui_0;19;
1465;vege_0;17;
1466;vege_1;18;
1533;final-crs_8;19;533
1539;final-crs_2;17;1359
1613;final-crs_6;18;2133
1779;gate-keeper;21;
1780;gate-keeper;22;
1781;gate-keeper;23;
1782;vege_1;21;
1782;gate-keeper;24;
1783;vege_0;23;
1784;final-crs_8;21;566
1784;frui_1;22;
1785;frui_0;24;
1799;final-crs_6;23;1503
1806;final-crs_2;22;2162
1868;final-crs_7;24;945
1890;gate-keeper;26;
1892;vege_0;26;
1913;final-crs_1;26;548
2440;gate-keeper;34;
2442;vege_0;34;
2482;final-crs_2;34;922
2698;gate-keeper;35;
2699;gate-keeper;36;
2700;gate-keeper;37;
2701;gate-keeper;38;
2703;frui_0;38;
2705;vege_0;35;
2705;vege_1;36;
2714;vege_0;37;
2726;final-crs_7;38;556
2750;final-crs_2;35;1282
2785;final-crs_8;36;533
2797;final-crs_4;37;1085
2961;gate-keeper;40;
2962;gate-keeper;41;
2963;gate-keeper;42;
2966;vege_1;40;
2968;vege_0;41;
2975;vege_1;42;
3002;gate-keeper;43;
3005;meat_1;43;
3016;final-crs_4;40;1566
3054;final-crs_0;41;484
3094;final-crs_6;42;1218
3109;final-crs_1;43;1579
3198;gate-keeper;45;
3199;frui_0;45;
3199;gate-keeper;46;
3201;vege_0;46;
3211;final-crs_2;45;1148
3259;gate-keeper;47;
3262;vege_1;47;
3282;final-crs_4;46;410
3297;final-crs_0;47;983
3582;gate-keeper;51;
3585;frui_0;51;
3615;final-crs_3;51;682
3832;gate-keeper;54;
3833;gate-keeper;55;
3836;vege_1;54;
3854;meat_1;55;
3896;gate-keeper;56;
3900;final-crs_5;54;601
3900;frui_1;56;
3906;final-crs_8;55;394
3947;final-crs_2;56;617
4132;gate-keeper;57;
4133;gate-keeper;58;
4134;gate-keeper;59;
4135;vege_1;57;
4135;gate-keeper;60;
4141;vege_0;58;
4143;vege_1;59;
4150;vege_0;60;
4156;final-crs_8;57;715
4217;final-crs_2;58;356
4220;final-crs_7;59;508
4239;final-crs_0;60;965
4411;gate-keeper;62;
4412;gate-keeper;63;
4413;gate-keeper;64;
4415;vege_0;62;
4419;vege_1;63;
4423;vege_0;64;
4463;final-crs_2;62;254
4482;final-crs_4;63;835
4509;final-crs_0;64;183
4784;gate-keeper;66;
4785;gate-keeper;67;
4786;gate-keeper;68;
4787;gate-keeper;69;
4788;frui_0;67;
4793;vege_0;66;
4793;vege_1;68;
4803;vege_1;69;
4809;final-crs_1;67;648
4857;final-crs_5;66;114
4871;final-crs_8;68;739
4902;final-crs_6;69;372
4905;gate-keeper;71;
4906;vege_0;71;
4912;final-crs_4;71;1992
5093;gate-keeper;72;
5094;gate-keeper;73;
5095;gate-keeper;74;
5096;vege_1;72;
5097;vege_0;74;
5098;frui_0;73;
5118;final-crs_5;72;616
5150;final-crs_4;74;1266
5181;final-crs_6;73;545
5367;gate-keeper;76;
5368;gate-keeper;77;
5369;gate-keeper;78;
5376;vege_0;76;
5377;vege_1;77;
5386;vege_0;78;
5398;final-crs_4;76;700
5411;final-crs_0;77;896
5431;final-crs_6;78;729
5679;gate-keeper;82;
5683;meat_1;82;
5684;final-crs_7;82;774
5702;gate-keeper;83;
5704;vege_1;83;
5718;final-crs_2;83;358
6016;gate-keeper;84;
6017;vege_0;84;
6017;gate-keeper;85;
6018;gate-keeper;86;
6019;gate-keeper;87;
6024;vege_1;86;
6027;vege_0;87;
6029;final-crs_1;84;253
6044;meat_0;85;
6088;final-crs_4;86;212
6106;final-crs_8;87;334
6184;final-crs_2;85;1204
6332;gate-keeper;89;
6333;frui_0;89;
6333;gate-keeper;90;
6334;gate-keeper;91;
6335;vege_1;90;
6335;gate-keeper;92;
6338;frui_1;91;
6339;frui_0;92;
6353;final-crs_4;89;418
6413;final-crs_6;90;607
6417;final-crs_7;91;353
6427;final-crs_3;92;1239
6537;gate-keeper;94;
6538;gate-keeper;95;
6544;vege_0;94;
6547;vege_1;95;
6582;final-crs_8;94;1772
6583;final-crs_4;95;476
6618;gate-keeper;96;
6626;vege_0;96;
6628;final-crs_3;96;371
6645;gate-keeper;97;
6646;vege_0;97;
6655;final-crs_7;97;587
6952;gate-keeper;99;
6953;gate-keeper;100;
6954;gate-keeper;101;
6958;vege_1;99;
6962;vege_0;100;
6967;vege_1;101;
7002;final-crs_1;99;933
7062;final-crs_8;100;739
7074;final-crs_4;101;694
7903;gate-keeper;112;
7904;gate-keeper;113;
7905;vege_0;113;
7905;gate-keeper;114;
7906;gate-keeper;115;
7908;final-crs_1;113;987
7908;vege_1;114;
7913;vege_0;115;
7917;final-crs_2;114;1292
7923;meat_1;112;
7952;final-crs_5;115;1169
8006;final-crs_3;112;1388
8184;gate-keeper;116;
8185;vege_0;116;
8185;gate-keeper;117;
8186;vege_1;117;
8186;gate-keeper;118;
8187;gate-keeper;119;
8193;final-crs_5;116;1063
8194;vege_0;118;
8195;vege_1;119;
8238;final-crs_3;117;529
8279;final-crs_4;118;191
8319;final-crs_8;119;1029
8486;gate-keeper;121;
8487;gate-keeper;122;
8488;gate-keeper;123;
8489;gate-keeper;124;
8491;vege_0;121;
8497;vege_1;122;
8498;vege_0;123;
8506;vege_0;124;
8534;final-crs_4;121;1586
8580;final-crs_8;122;813
8605;final-crs_0;123;654
8611;final-crs_6;124;897
8768;gate-keeper;125;
8769;gate-keeper;126;
8770;gate-keeper;127;
8771;gate-keeper;128;
8772;vege_0;125;
8777;vege_1;126;
8781;vege_0;127;
8787;vege_1;128;
8825;final-crs_8;125;1163
8830;final-crs_1;126;802
8840;final-crs_6;127;136
8866;final-crs_5;128;621
9064;gate-keeper;130;
9065;gate-keeper;131;
9066;gate-keeper;132;
9070;vege_1;130;
9072;vege_0;131;
9080;vege_1;132;
9108;final-crs_8;130;980
9117;final-crs_7;131;619
9128;final-crs_5;132;1200
9366;gate-keeper;136;
9376;meat_0;136;
9401;gate-keeper;137;
9413;meat_1;137;
9416;final-crs_3;136;360
9444;final-crs_4;137;1010
9657;gate-keeper;138;
9658;gate-keeper;139;
9659;gate-keeper;140;
9660;frui_0;138;
9661;vege_1;139;
9663;vege_0;140;
9689;final-crs_4;138;242
9690;final-crs_3;139;205
9700;final-crs_1;140;995
9888;gate-keeper;142;
9889;gate-keeper;143;
9890;vege_1;142;
9890;gate-keeper;144;
9892;final-crs_8;142;2146
9897;vege_0;143;
9899;vege_1;144;
9919;final-crs_4;143;1693
9932;final-crs_3;144;1353
10103;gate-keeper;147;
10104;vege_0;147;
10121;final-crs_4;147;1149
10217;gate-keeper;148;
10218;gate-keeper;149;
10221;frui_1;149;
10222;vege_1;148;
10238;final-crs_2;149;60
10247;final-crs_5;148;147
10495;gate-keeper;152;
10496;gate-keeper;153;
10500;vege_0;153;
10504;meat_0;152;
10528;gate-keeper;154;
10531;meat_1;154;
10562;final-crs_8;153;633
10579;final-crs_6;152;459
10592;final-crs_4;154;1022
10823;gate-keeper;158;
10828;vege_0;158;
10851;final-crs_0;158;594
11085;gate-keeper;161;
11086;gate-keeper;162;
11093;vege_0;162;
11101;final-crs_6;162;653
11126;meat_0;161;
11132;final-crs_0;161;313
11372;gate-keeper;165;
11373;vege_1;165;
11408;final-crs_5;165;1837
11682;gate-keeper;169;
11683;gate-keeper;170;
11689;vege_1;169;
11691;vege_0;170;
11694;final-crs_5;169;854
11696;final-crs_2;170;360
11948;gate-keeper;173;
11949;gate-keeper;174;
11955;vege_1;174;
11958;final-crs_8;174;1415
11969;meat_1;173;
11987;final-crs_6;173;1463
12026;gate-keeper;175;
12029;vege_0;175;
12071;final-crs_0;175;169
12250;gate-keeper;178;
12251;gate-keeper;179;
12254;vege_0;179;
12254;frui_0;178;
12322;final-crs_1;179;1671
12349;final-crs_0;178;1922
12533;gate-keeper;182;
12534;gate-keeper;183;
12536;vege_1;182;
12538;vege_0;183;
12573;final-crs_0;182;1153
12577;final-crs_4;183;455
12795;gate-keeper;187;
12799;vege_0;187;
12812;final-crs_4;187;537
13092;gate-keeper;190;
13093;gate-keeper;191;
13094;frui_1;190;
13095;frui_0;191;
13123;final-crs_3;190;208
13130;final-crs_7;191;714
13406;gate-keeper;195;
13409;frui_0;195;
13443;final-crs_8;195;598
13977;gate-keeper;203;
13978;gate-keeper;204;
13982;vege_1;203;
13982;frui_0;204;
13991;final-crs_0;203;596
14005;final-crs_3;204;1487
14029;gate-keeper;205;
14030;frui_0;205;
14051;final-crs_6;205;511
14269;gate-keeper;208;
14272;vege_1;208;
14273;final-crs_7;208;1013
14889;gate-keeper;216;
14890;gate-keeper;217;
14891;frui_0;216;
14893;vege_0;217;
14957;final-crs_3;216;538
14971;final-crs_5;217;676
15024;gate-keeper;218;
15025;frui_1;218;
15025;gate-keeper;219;
15027;final-crs_4;218;866
15030;frui_0;219;
15043;final-crs_7;219;965
15173;gate-keeper;221;
15174;gate-keeper;222;
15175;vege_1;222;
15176;final-crs_5;222;195
15176;frui_0;221;
15193;final-crs_8;221;426
15510;gate-keeper;227;
15515;frui_1;227;
15556;final-crs_6;227;1452
15826;gate-keeper;230;
15827;gate-keeper;231;
15828;vege_1;230;
15833;vege_0;231;
15856;final-crs_1;230;903
15876;final-crs_5;231;983
16023;gate-keeper;234;
16028;frui_1;234;
16053;final-crs_2;234;528
16184;gate-keeper;235;
16185;gate-keeper;236;
16186;gate-keeper;237;
16188;meat_1;235;
16189;frui_1;236;
16191;frui_0;237;
16192;final-crs_4;235;285
16219;final-crs_7;236;387
16232;final-crs_3;237;1245
16488;gate-keeper;241;
16496;vege_0;241;
16539;final-crs_6;241;1349
16748;gate-keeper;243;
16749;gate-keeper;244;
16750;frui_0;244;
16750;gate-keeper;245;
16751;final-crs_6;244;468
16755;vege_1;243;
16757;vege_0;245;
16794;final-crs_1;243;895
16823;final-crs_2;245;161
17023;gate-keeper;247;
17024;gate-keeper;248;
17025;gate-keeper;249;
17029;vege_0;248;
17038;final-crs_2;248;187
17064;meat_1;247;
17067;meat_0;249;
17081;final-crs_0;247;277
17087;final-crs_8;249;813
17363;gate-keeper;253;
17364;gate-keeper;254;
17370;vege_0;253;
17372;vege_1;254;
17379;final-crs_7;253;976
17446;final-crs_4;254;215
17687;gate-keeper;258;
17693;vege_1;258;
17709;final-crs_5;258;1619
17719;gate-keeper;259;
17722;vege_0;259;
17739;final-crs_2;259;1236
17786;gate-keeper;260;
17787;vege_0;260;
17788;final-crs_0;260;159
18021;gate-keeper;264;
18026;vege_0;264;
18027;final-crs_0;264;1236
18386;gate-keeper;268;
18387;gate-keeper;269;
18388;vege_1;269;
18393;final-crs_5;269;1412
18419;meat_1;268;
18441;final-crs_3;268;1521
18538;gate-keeper;270;
18539;gate-keeper;271;
18543;vege_0;270;
18545;vege_1;271;
18617;final-crs_1;270;1126
18641;final-crs_5;271;1072
18686;gate-keeper;273;
18690;frui_1;273;
18702;final-crs_7;273;882
19019;gate-keeper;278;
19024;meat_1;278;
19054;final-crs_8;278;404
19330;gate-keeper;281;
19331;gate-keeper;282;
19332;vege_1;281;
19337;vege_0;282;
19356;final-crs_6;281;126
19364;final-crs_1;282;1422
19443;gate-keeper;283;
19444;gate-keeper;284;
19447;frui_0;283;
19449;vege_1;284;
19451;final-crs_4;283;523
19495;final-crs_0;284;813
19612;gate-keeper;298;
19613;gate-keeper;299;
19614;vege_0;298;
19614;gate-keeper;300;
19615;final-crs_6;298;1026
19615;frui_0;300;
19616;vege_1;299;
19648;final-crs_2;300;784
19728;final-crs_4;299;78
19968;gate-keeper;319;
19973;vege_1;319;
19975;final-crs_0;319;164
20335;gate-keeper;323;
20336;gate-keeper;324;
20337;gate-keeper;325;
20338;gate-keeper;326;
20339;gate-keeper;327;
20340;vege_0;323;
20340;gate-keeper;328;
20341;gate-keeper;329;
20342;gate-keeper;330;
20343;gate-keeper;331;
20344;gate-keeper;332;
20345;vege_1;324;
20345;gate-keeper;333;
20346;gate-keeper;334;
20347;gate-keeper;335;
20349;vege_0;325;
20350;frui_0;334;
20352;final-crs_2;323;852
20355;vege_1;326;
20358;vege_0;327;
20365;vege_1;328;
20368;vege_0;329;
20371;final-crs_5;324;1695
20375;vege_1;330;
20377;vege_0;331;
20384;final-crs_0;325;455
20385;vege_1;332;
20387;vege_0;333;
20395;vege_1;335;
20440;final-crs_4;334;828
20444;gate-keeper;349;
20445;gate-keeper;350;
20446;gate-keeper;351;
20447;gate-keeper;352;
20448;frui_0;351;
20448;gate-keeper;353;
20449;gate-keeper;354;
20450;vege_0;349;
20450;gate-keeper;355;
20453;frui_1;355;
20454;vege_1;350;
20460;vege_0;352;
20460;vege_1;353;
20469;vege_0;354;
20471;final-crs_8;326;791
20501;final-crs_1;327;2354
20507;final-crs_7;328;654
20526;final-crs_6;329;173
20578;final-crs_2;330;330
20587;final-crs_3;331;1635
20599;final-crs_0;332;830
20622;final-crs_5;333;1223
20659;gate-keeper;356;
20660;vege_0;356;
20660;gate-keeper;357;
20661;gate-keeper;358;
20668;vege_1;358;
20674;final-crs_4;335;490
20698;final-crs_8;351;646
