time;ckpt;id;money
236;gate-keeper;0;
237;gate-keeper;1;
238;frui_0;1;
244;final-crs_8;1;814
244;vege_1;0;
245;final-crs_0;0;1601
536;gate-keeper;3;
537;gate-keeper;4;
538;gate-keeper;5;
539;vege_0;3;
539;vege_1;4;
553;final-crs_5;3;289
580;meat_1;5;
666;final-crs_3;4;541
686;final-crs_1;5;241
946;gate-keeper;10;
951;meat_0;10;
955;final-crs_4;10;262
1075;gate-keeper;11;
1082;vege_1;11;
1124;final-crs_3;11;109
1405;gate-keeper;14;
1406;gate-keeper;15;
1410;vege_0;15;
1411;final-crs_4;15;540
1448;meat_0;14;
1462;final-crs_0;14;958
2038;gate-keeper;21;
2039;gate-keeper;22;
2040;vege_0;22;
2061;meat_0;21;
2096;final-crs_1;22;1322
2108;final-crs_3;21;1487
2361;gate-keeper;24;
2362;gate-keeper;25;
2363;gate-keeper;26;
2364;vege_1;24;
2364;frui_0;25;
2367;final-crs_3;24;747
2374;final-crs_6;25;557
2381;meat_1;26;
2391;final-crs_4;26;437
2600;gate-keeper;28;
2601;gate-keeper;29;
2608;vege_0;28;
2611;final-crs_4;28;528
2623;meat_1;29;
2659;final-crs_2;29;1623
2666;gate-keeper;30;
2667;vege_0;30;
2684;final-crs_0;30;1219
2991;gate-keeper;31;
2992;gate-keeper;32;
2993;gate-keeper;33;
2994;frui_0;31;
2994;gate-keeper;34;
3000;frui_0;34;
3014;final-crs_1;31;594
3019;meat_0;32;
3043;meat_1;33;
3070;final-crs_3;34;224
3074;final-crs_4;32;122
3087;final-crs_2;33;747
3259;gate-keeper;35;
3260;gate-keeper;36;
3261;gate-keeper;37;
3262;vege_1;35;
3272;final-crs_4;35;1027
3295;meat_1;36;
3320;meat_0;37;
3338;final-crs_2;36;1410
3351;final-crs_6;37;696
3529;gate-keeper;40;
3560;meat_0;40;
3571;final-crs_2;40;605
3630;gate-keeper;41;
3636;vege_1;41;
3641;final-crs_0;41;424
3898;gate-keeper;44;
3915;meat_0;44;
3987;final-crs_1;44;929
4189;gate-keeper;45;
4190;vege_1;45;
4190;gate-keeper;46;
4191;gate-keeper;47;
4192;gate-keeper;48;
4197;vege_0;46;
4200;vege_1;48;
4203;final-crs_1;45;218
4208;meat_0;47;
4251;final-crs_8;46;1052
4264;final-crs_2;48;1002
4272;final-crs_3;47;583
4798;gate-keeper;55;
4818;meat_1;55;
4879;final-crs_5;55;148
5394;gate-keeper;62;
5397;vege_0;62;
5462;final-crs_7;62;1010
5774;gate-keeper;65;
5775;gate-keeper;66;
5776;frui_1;66;
5780;vege_1;65;
5797;final-crs_4;66;690
5833;final-crs_1;65;946
6044;gate-keeper;69;
6050;vege_1;69;
6070;final-crs_5;69;665
6271;gate-keeper;70;
6272;gate-keeper;71;
6273;gate-keeper;72;
6274;vege_1;70;
6276;vege_0;71;
6300;final-crs_4;70;386
6301;final-crs_5;71;269
6307;meat_0;72;
6313;final-crs_0;72;210
6619;gate-keeper;76;
6656;meat_0;76;
6668;final-crs_3;76;376
6923;gate-keeper;79;
6961;meat_0;79;
6964;final-crs_5;79;947
7183;gate-keeper;83;
7195;meat_0;83;
7223;final-crs_5;83;1012
7751;gate-keeper;90;
7788;meat_0;90;
7792;final-crs_8;90;850
7950;gate-keeper;91;
7951;gate-keeper;92;
7959;meat_0;91;
7980;meat_1;92;
8026;final-crs_8;91;536
8027;final-crs_4;92;405
8035;gate-keeper;93;
8040;vege_1;93;
8075;gate-keeper;94;
8076;final-crs_0;93;248
8077;vege_1;94;
8096;final-crs_1;94;1150
9243;gate-keeper;108;
9244;vege_1;108;
9250;final-crs_5;108;505
9519;gate-keeper;112;
9521;vege_0;112;
9546;final-crs_7;112;546
9777;gate-keeper;115;
9808;meat_1;115;
9825;final-crs_0;115;886
9832;gate-keeper;116;
9834;frui_0;116;
9840;final-crs_7;116;838
10110;gate-keeper;119;
10113;frui_0;119;
10125;final-crs_3;119;700
10394;gate-keeper;123;
10406;meat_1;123;
10419;final-crs_1;123;993
10771;gate-keeper;126;
10772;gate-keeper;127;
10779;vege_1;127;
10794;meat_1;126;
10803;final-crs_7;127;950
10833;final-crs_3;126;532
11567;gate-keeper;137;
11568;gate-keeper;138;
11569;vege_0;137;
11579;final-crs_3;137;495
11617;meat_0;138;
