time;ckpt;id;money
302;gate-keeper;0;
303;frui_0;0;
303;gate-keeper;1;
304;gate-keeper;2;
305;gate-keeper;3;
312;vege_0;1;
312;vege_1;2;
321;vege_1;3;
430;final-crs_1;0;305
462;final-crs_8;1;326
469;final-crs_2;2;853
478;final-crs_7;3;431
626;gate-keeper;5;
627;gate-keeper;6;
628;gate-keeper;7;
629;vege_0;6;
629;gate-keeper;8;
630;frui_1;5;
632;vege_1;7;
639;vege_0;8;
652;final-crs_1;6;450
686;final-crs_7;5;699
706;final-crs_5;7;1337
707;final-crs_8;8;1346
881;gate-keeper;10;
882;gate-keeper;11;
883;frui_0;10;
883;gate-keeper;12;
885;vege_0;11;
888;final-crs_1;10;493
892;vege_1;12;
917;final-crs_7;11;430
934;final-crs_8;12;198
1162;gate-keeper;14;
1163;gate-keeper;15;
1164;gate-keeper;16;
1167;vege_0;14;
1167;vege_1;15;
1176;vege_0;16;
1199;final-crs_5;14;820
1208;final-crs_0;15;1296
1212;final-crs_3;16;785
1467;gate-keeper;18;
1468;vege_0;18;
1468;gate-keeper;19;
1469;gate-keeper;20;
1470;gate-keeper;21;
1473;vege_1;20;
1473;frui_0;19;
1479;vege_0;21;
1481;final-crs_0;18;1320
1490;final-crs_6;20;1095
1578;final-crs_4;19;1156
1605;final-crs_7;21;301
1755;gate-keeper;24;
1756;vege_1;24;
1756;gate-keeper;25;
1757;gate-keeper;26;
1763;vege_0;25;
1767;meat_1;26;
1844;final-crs_4;24;281
1845;final-crs_7;25;454
1879;final-crs_8;26;557
1928;gate-keeper;28;
1933;vege_0;28;
1935;final-crs_5;28;852
2079;gate-keeper;29;
2080;gate-keeper;30;
2081;gate-keeper;31;
2082;vege_1;29;
2087;vege_0;30;
2092;vege_1;31;
2116;final-crs_4;29;713
2129;final-crs_8;30;515
2142;final-crs_5;31;1480
2308;gate-keeper;33;
2309;gate-keeper;34;
2310;gate-keeper;35;
2315;vege_0;33;
2315;vege_1;34;
2324;vege_1;35;
2345;final-crs_1;33;1135
2356;final-crs_4;34;901
2369;final-crs_5;35;180
2628;gate-keeper;38;
2629;gate-keeper;39;
2630;frui_1;38;
2630;gate-keeper;40;
2636;vege_0;39;
2636;vege_1;40;
2641;final-crs_0;38;1251
2641;final-crs_2;39;907
2642;final-crs_5;40;923
2835;gate-keeper;42;
2836;gate-keeper;43;
2837;gate-keeper;44;
2840;frui_1;43;
2841;vege_0;42;
2842;final-crs_5;43;1246
2843;vege_1;44;
2862;final-crs_2;42;1889
2863;final-crs_1;44;607
2904;gate-keeper;45;
2909;frui_1;45;
2913;final-crs_0;45;501
3211;gate-keeper;47;
3212;gate-keeper;48;
3213;gate-keeper;49;
3214;vege_1;47;
3214;gate-keeper;50;
3217;vege_0;48;
3223;vege_1;49;
3224;vege_0;50;
3232;final-crs_7;47;675
3249;final-crs_6;48;1721
3266;final-crs_5;49;362
3317;final-crs_4;50;893
3525;gate-keeper;54;
3526;gate-keeper;55;
3527;frui_0;54;
3530;vege_1;55;
3571;final-crs_4;54;865
3604;final-crs_8;55;468
3801;gate-keeper;57;
3802;vege_1;57;
3802;gate-keeper;58;
3803;gate-keeper;59;
3804;frui_0;58;
3816;meat_1;59;
3826;gate-keeper;60;
3830;vege_0;60;
3839;final-crs_0;57;744
3860;final-crs_2;58;552
3882;final-crs_3;59;303
3902;final-crs_1;60;1400
3976;gate-keeper;61;
3977;gate-keeper;62;
3982;frui_0;62;
3983;vege_0;61;
4012;final-crs_4;62;658
4026;final-crs_7;61;535
4439;gate-keeper;66;
4440;gate-keeper;67;
4441;gate-keeper;68;
4442;gate-keeper;69;
4443;gate-keeper;70;
4444;vege_1;66;
4447;vege_0;68;
4453;vege_1;69;
4458;vege_0;70;
4462;final-crs_5;66;444
4474;final-crs_4;68;1007
4486;final-crs_7;69;397
4489;meat_1;67;
4495;final-crs_0;70;1386
4533;gate-keeper;71;
4542;vege_0;71;
4598;final-crs_2;67;535
4621;final-crs_8;71;993
4709;gate-keeper;72;
4710;gate-keeper;73;
4711;gate-keeper;74;
4714;frui_1;74;
4717;vege_1;72;
4718;vege_0;73;
4724;final-crs_0;74;520
4737;final-crs_7;72;1202
4829;final-crs_2;73;198
5286;gate-keeper;81;
5287;gate-keeper;82;
5288;gate-keeper;83;
5289;vege_1;82;
5295;vege_0;83;
5321;final-crs_2;82;1052
5331;meat_1;81;
5364;final-crs_3;83;279
5378;final-crs_1;81;908
5555;gate-keeper;86;
5556;frui_1;86;
5556;gate-keeper;87;
5559;vege_1;87;
5593;final-crs_3;86;383
5615;final-crs_1;87;1192
5871;gate-keeper;92;
5875;vege_0;92;
5877;final-crs_8;92;805
6207;gate-keeper;95;
6208;gate-keeper;96;
6209;vege_0;96;
6209;gate-keeper;97;
6216;vege_1;97;
6238;meat_1;95;
6254;final-crs_2;96;456
6274;final-crs_3;97;704
6296;final-crs_7;95;899
6453;gate-keeper;100;
6454;gate-keeper;101;
6455;vege_0;101;
6455;frui_1;100;
6509;final-crs_2;101;903
6511;gate-keeper;102;
6523;final-crs_7;100;159
6531;meat_1;102;
6533;final-crs_3;102;899
6708;gate-keeper;105;
6709;frui_1;105;
6777;final-crs_3;105;477
7034;gate-keeper;110;
7035;gate-keeper;111;
7037;frui_1;111;
7038;final-crs_3;111;500
7039;vege_0;110;
7071;final-crs_7;110;1263
7204;gate-keeper;113;
7207;vege_0;113;
7273;final-crs_3;113;970
7373;gate-keeper;115;
7374;gate-keeper;116;
7375;vege_1;115;
7376;final-crs_5;115;1835
7381;vege_0;116;
7446;final-crs_2;116;1180
7892;gate-keeper;124;
7897;vege_1;124;
7909;final-crs_2;124;1524
8221;gate-keeper;129;
8224;vege_1;129;
8237;final-crs_3;129;339
8270;gate-keeper;130;
8273;vege_1;130;
8285;final-crs_1;130;628
8531;gate-keeper;135;
8533;vege_1;135;
8540;final-crs_8;135;2023
8855;gate-keeper;139;
8856;gate-keeper;140;
8860;frui_1;140;
8861;vege_1;139;
8926;final-crs_3;140;585
8992;final-crs_4;139;987
9033;gate-keeper;142;
9038;vege_0;142;
9044;final-crs_6;142;857
9176;gate-keeper;144;
9177;gate-keeper;145;
9178;vege_0;145;
9179;frui_1;144;
9227;final-crs_4;145;1258
9271;final-crs_6;144;456
9452;gate-keeper;148;
9453;gate-keeper;149;
9455;vege_1;149;
9456;frui_1;148;
9457;final-crs_4;149;627
9462;final-crs_6;148;213
9651;gate-keeper;150;
9652;gate-keeper;151;
9653;vege_0;150;
9653;gate-keeper;152;
9659;vege_1;152;
9662;final-crs_7;150;287
9666;meat_0;151;
9699;final-crs_6;152;663
9702;final-crs_4;151;718
9938;gate-keeper;155;
9939;gate-keeper;156;
9940;vege_0;156;
9940;gate-keeper;157;
9941;final-crs_3;156;141
9942;vege_1;157;
9944;final-crs_4;157;571
9979;meat_1;155;
9989;final-crs_0;155;439
10023;gate-keeper;158;
10026;vege_1;158;
10138;final-crs_7;158;228
10787;gate-keeper;169;
10788;frui_1;169;
10788;gate-keeper;170;
10794;vege_0;170;
10861;final-crs_5;169;136
10891;final-crs_7;170;1965
11305;gate-keeper;178;
11309;vege_0;178;
11360;final-crs_4;178;86
11547;gate-keeper;182;
11582;meat_1;182;
11611;gate-keeper;183;
11613;vege_1;183;
11629;final-crs_4;182;735
11638;final-crs_0;183;338
11910;gate-keeper;187;
11911;gate-keeper;188;
11914;frui_0;188;
11915;vege_1;187;
11922;final-crs_0;188;2054
11961;final-crs_8;187;645
12167;gate-keeper;192;
12170;frui_1;192;
12182;final-crs_0;192;1455
12432;gate-keeper;197;
12436;frui_0;197;
12475;final-crs_7;197;711
12748;gate-keeper;202;
12752;vege_0;202;
12799;final-crs_6;202;113
13340;gate-keeper;211;
13342;frui_1;211;
13406;final-crs_3;211;365
13449;gate-keeper;212;
13450;gate-keeper;213;
13458;vege_1;212;
13459;vege_0;213;
13484;final-crs_7;212;60
13501;final-crs_2;213;387
13599;gate-keeper;214;
13600;gate-keeper;215;
13604;vege_0;214;
13609;vege_1;215;
13656;final-crs_3;214;115
13706;final-crs_2;215;488
14297;gate-keeper;226;
14298;vege_1;226;
14303;final-crs_5;226;992
14545;gate-keeper;230;
14552;frui_0;230;
14574;final-crs_5;230;1423
14840;gate-keeper;234;
14847;vege_0;234;
14861;final-crs_3;234;560
15184;gate-keeper;238;
15185;frui_1;238;
15185;gate-keeper;239;
15186;gate-keeper;240;
15187;vege_1;240;
15188;frui_0;239;
15237;final-crs_6;238;808
15257;final-crs_7;240;1192
15261;final-crs_8;239;1321
15462;gate-keeper;243;
15463;frui_0;243;
15463;gate-keeper;244;
15470;frui_0;244;
15481;final-crs_7;243;484
15486;final-crs_8;244;590
16027;gate-keeper;252;
16028;gate-keeper;253;
16033;frui_1;252;
16034;frui_0;253;
16040;final-crs_1;252;1201
16046;final-crs_2;253;1227
16351;gate-keeper;257;
16352;gate-keeper;258;
16354;frui_0;257;
16356;vege_0;258;
16399;final-crs_4;257;874
16399;final-crs_7;258;90
16533;gate-keeper;261;
16537;frui_0;261;
16648;final-crs_4;261;243
16897;gate-keeper;265;
16898;gate-keeper;266;
16903;vege_0;265;
16903;vege_1;266;
16909;final-crs_8;265;1139
16915;final-crs_6;266;720
16950;gate-keeper;267;
16951;vege_0;267;
16952;final-crs_1;267;659
17201;gate-keeper;269;
17202;gate-keeper;270;
17203;gate-keeper;271;
17206;vege_0;269;
17207;frui_0;270;
17207;frui_1;271;
17211;final-crs_2;269;125
17256;final-crs_1;270;262
17353;final-crs_0;271;638
17496;gate-keeper;274;
17497;gate-keeper;275;
17499;vege_0;275;
17534;meat_1;274;
17575;final-crs_4;275;790
