time;ckpt;id;money
293;gate-keeper;0;
300;vege_0;0;
432;final-crs_4;0;1446
579;gate-keeper;1;
580;vege_0;1;
674;final-crs_5;1;1140
850;gate-keeper;2;
855;meat_1;2;
888;gate-keeper;3;
890;vege_1;3;
920;final-crs_2;2;387
926;final-crs_5;3;935
1175;gate-keeper;4;
1176;frui_1;4;
1184;final-crs_4;4;1373
1488;gate-keeper;5;
1490;frui_0;5;
1607;final-crs_1;5;810
1769;gate-keeper;6;
1770;frui_0;6;
1770;gate-keeper;7;
1774;vege_1;7;
1845;final-crs_2;6;1048
1885;final-crs_1;7;901
2081;gate-keeper;8;
2087;vege_1;8;
2138;final-crs_1;8;413
2443;gate-keeper;9;
2444;gate-keeper;10;
2446;vege_1;9;
2446;frui_0;10;
2508;final-crs_0;9;715
2558;final-crs_2;10;192
2690;gate-keeper;11;
2705;meat_1;11;
2755;final-crs_0;11;1314
3044;gate-keeper;12;
3052;vege_0;12;
3079;final-crs_1;12;1773
3372;gate-keeper;13;
3373;gate-keeper;14;
3382;vege_0;14;
3390;meat_1;13;
3397;final-crs_4;14;1143
3462;final-crs_2;13;124
3711;gate-keeper;15;
3712;gate-keeper;16;
3713;vege_0;16;
3727;meat_0;15;
3775;final-crs_5;16;300
3777;final-crs_1;15;1266
4046;gate-keeper;17;
4050;frui_1;17;
4104;final-crs_4;17;65
4337;gate-keeper;18;
4338;gate-keeper;19;
4340;vege_1;18;
4342;frui_1;19;
4363;final-crs_4;18;1171
4366;final-crs_2;19;124
4667;gate-keeper;20;
4669;vege_0;20;
4671;final-crs_0;20;1088
4731;gate-keeper;21;
4738;vege_1;21;
4764;final-crs_5;21;295
4932;gate-keeper;22;
4934;frui_0;22;
4946;final-crs_1;22;502
5254;gate-keeper;23;
5284;meat_0;23;
5307;final-crs_2;23;520
5520;gate-keeper;24;
5524;vege_0;24;
5574;gate-keeper;25;
5575;frui_1;25;
5607;final-crs_3;24;169
5640;final-crs_1;25;663
5856;gate-keeper;26;
5857;frui_0;26;
5883;final-crs_3;26;760
6149;gate-keeper;27;
6152;frui_1;27;
6158;final-crs_3;27;181
6406;gate-keeper;28;
6407;frui_0;28;
6431;final-crs_5;28;1418
6714;gate-keeper;29;
6715;gate-keeper;30;
6717;vege_0;29;
6727;meat_1;30;
6773;final-crs_2;29;163
6838;final-crs_3;30;310
7021;gate-keeper;31;
7026;frui_0;31;
7079;final-crs_3;31;841
7247;gate-keeper;32;
7248;vege_0;32;
7252;final-crs_2;32;200
7440;gate-keeper;33;
7452;meat_0;33;
7510;final-crs_2;33;717
7581;gate-keeper;34;
7582;vege_0;34;
7586;final-crs_0;34;1697
7820;gate-keeper;35;
7822;frui_0;35;
7825;final-crs_3;35;444
8061;gate-keeper;36;
8063;frui_0;36;
8077;final-crs_0;36;1348
8445;gate-keeper;37;
8446;gate-keeper;38;
8449;vege_1;37;
8452;vege_0;38;
8505;final-crs_2;37;196
8525;final-crs_3;38;232
8758;gate-keeper;39;
8761;frui_0;39;
8798;final-crs_0;39;1338
8939;gate-keeper;40;
8942;vege_1;40;
8962;final-crs_2;40;834
9083;gate-keeper;41;
9087;frui_0;41;
9179;final-crs_2;41;412
9416;gate-keeper;42;
9421;vege_1;42;
9433;final-crs_1;42;727
9652;gate-keeper;43;
9653;gate-keeper;44;
9654;frui_0;43;
9655;frui_1;44;
9726;final-crs_3;43;812
9743;final-crs_2;44;573
9965;gate-keeper;45;
10001;meat_1;45;
10037;final-crs_0;45;1135
10259;gate-keeper;46;
10261;vege_1;46;
10275;final-crs_2;46;423
10444;gate-keeper;47;
10471;meat_0;47;
10488;final-crs_2;47;606
10552;gate-keeper;48;
10558;frui_0;48;
10593;final-crs_1;48;618
10833;gate-keeper;49;
10835;vege_1;49;
10879;final-crs_3;49;1035
11114;gate-keeper;50;
11121;vege_0;50;
11145;final-crs_4;50;1174
11315;gate-keeper;51;
11375;meat_0;51;
11393;final-crs_4;51;1575
11409;gate-keeper;52;
11411;vege_1;52;
11499;final-crs_5;52;1447
11635;gate-keeper;53;
11684;meat_0;53;
11747;final-crs_5;53;760
12046;gate-keeper;54;
12047;vege_0;54;
12047;gate-keeper;55;
12071;final-crs_0;54;917
12078;meat_1;55;
12093;final-crs_1;55;914
12154;gate-keeper;56;
12156;vege_0;56;
12252;final-crs_5;56;536
12629;gate-keeper;57;
12630;gate-keeper;58;
12632;frui_1;58;
12644;meat_1;57;
12711;final-crs_3;58;896
12730;final-crs_5;57;1216
12944;gate-keeper;59;
12945;vege_0;59;
12946;final-crs_3;59;920
13269;gate-keeper;60;
13270;gate-keeper;61;
13271;vege_1;60;
13275;vege_0;61;
13301;final-crs_4;60;472
13306;final-crs_1;61;514
13586;gate-keeper;62;
13588;meat_0;62;
13636;final-crs_0;62;317
13871;gate-keeper;63;
13872;gate-keeper;64;
13875;frui_1;63;
13901;meat_0;64;
13935;final-crs_5;63;282
13939;final-crs_3;64;798
14152;gate-keeper;65;
14155;vege_1;65;
14170;final-crs_1;65;2071
14450;gate-keeper;66;
14477;meat_0;66;
14503;final-crs_2;66;519
14718;gate-keeper;67;
14719;gate-keeper;68;
14725;vege_1;67;
14737;final-crs_2;67;654
14777;meat_0;68;
14852;final-crs_1;68;1187
15081;gate-keeper;69;
15083;frui_1;69;
15104;final-crs_4;69;381
15393;gate-keeper;70;
15394;gate-keeper;71;
15399;vege_1;70;
15401;vege_0;71;
15465;final-crs_2;70;1614
15538;final-crs_3;71;617
15695;gate-keeper;72;
15700;meat_0;72;
15704;final-crs_2;72;547
16019;gate-keeper;73;
16020;gate-keeper;74;
16023;vege_1;73;
16027;vege_0;74;
16048;final-crs_0;73;991
16048;final-crs_1;74;358
16293;gate-keeper;75;
16294;vege_1;75;
16309;final-crs_0;75;424
16633;gate-keeper;76;
16657;meat_1;76;
16704;final-crs_1;76;497
16887;gate-keeper;77;
16896;meat_0;77;
16945;final-crs_3;77;1254
17135;gate-keeper;78;
17136;frui_1;78;
17136;gate-keeper;79;
17138;final-crs_2;78;944
17138;frui_0;79;
17142;final-crs_4;79;1121
17512;gate-keeper;80;
17513;gate-keeper;81;
17519;meat_0;81;
17520;vege_0;80;
17598;final-crs_1;81;914
17612;final-crs_2;80;1330
17807;gate-keeper;82;
17808;vege_1;82;
17862;final-crs_4;82;805
18038;gate-keeper;83;
18043;vege_1;83;
18053;final-crs_5;83;1176
18379;gate-keeper;84;
18439;meat_0;84;
18540;final-crs_0;84;208
18562;gate-keeper;85;
18564;vege_0;85;
18567;final-crs_5;85;352
18688;gate-keeper;86;
18694;frui_1;86;
18783;final-crs_1;86;1079
18928;gate-keeper;87;
18929;gate-keeper;88;
18930;gate-keeper;89;
18931;frui_0;87;
18931;gate-keeper;90;
18933;vege_0;89;
18933;frui_1;88;
18938;frui_0;90;
19012;final-crs_1;87;1127
19012;gate-keeper;91;
19013;gate-keeper;92;
19014;gate-keeper;93;
19015;gate-keeper;94;
19016;frui_0;91;
19019;frui_1;92;
19023;frui_0;93;
19026;frui_1;94;
19055;final-crs_0;89;451
19092;final-crs_5;88;645
19116;final-crs_2;90;395
19139;final-crs_4;91;709
19157;final-crs_3;92;1235
19199;final-crs_1;93;890
19297;gate-keeper;95;
19298;gate-keeper;96;
19299;gate-keeper;97;
19300;gate-keeper;98;
19301;vege_0;98;
19301;frui_0;95;
19301;frui_1;96;
19306;final-crs_5;94;1227
19307;frui_0;97;
19322;final-crs_0;98;1365
19378;final-crs_2;95;785
19403;final-crs_3;96;282
19431;final-crs_4;97;335
19601;gate-keeper;99;
19602;frui_1;99;
19602;gate-keeper;100;
19603;gate-keeper;101;
19604;gate-keeper;102;
19605;vege_1;101;
19605;frui_0;102;
19626;final-crs_3;99;437
19634;final-crs_1;101;525
19638;final-crs_4;102;280
19647;meat_1;100;
19655;final-crs_2;100;624
19909;gate-keeper;103;
19910;frui_1;103;
19910;gate-keeper;104;
19911;gate-keeper;105;
19912;gate-keeper;106;
19913;gate-keeper;107;
19914;vege_0;106;
19916;frui_1;105;
19916;meat_0;104;
19920;vege_1;107;
19930;final-crs_2;103;198
20003;final-crs_5;106;1061
20033;final-crs_0;105;520
20085;final-crs_3;104;864
20112;final-crs_1;107;1112
20218;gate-keeper;108;
20223;vege_1;108;
20281;final-crs_0;108;1062
20518;gate-keeper;109;
20519;vege_0;109;
20519;gate-keeper;110;
20522;vege_1;110;
20548;final-crs_3;109;796
20594;final-crs_4;110;331
20829;gate-keeper;111;
20835;vege_1;111;
20839;final-crs_1;111;397
21117;gate-keeper;112;
21118;vege_0;112;
21126;final-crs_4;112;420
21475;gate-keeper;113;
21476;gate-keeper;114;
21478;vege_1;113;
21479;frui_0;114;
21552;final-crs_3;113;766
21562;final-crs_1;114;232
21779;gate-keeper;115;
21780;gate-keeper;116;
21781;frui_0;115;
21781;gate-keeper;117;
21782;gate-keeper;118;
21784;vege_1;116;
21787;vege_0;117;
21794;vege_1;118;
21799;gate-keeper;119;
21800;gate-keeper;120;
21801;gate-keeper;121;
21802;frui_0;120;
21802;gate-keeper;122;
21804;vege_1;119;
21809;final-crs_3;115;560
21809;vege_0;121;
21812;vege_1;122;
21885;final-crs_5;116;534
21898;final-crs_0;117;366
21902;final-crs_2;118;1315
21911;final-crs_4;120;245
22027;final-crs_1;119;391
22074;final-crs_3;121;636
22095;gate-keeper;123;
22096;gate-keeper;124;
22097;vege_0;124;
22097;gate-keeper;125;
22098;gate-keeper;126;
22101;frui_1;123;
22102;frui_0;125;
22104;meat_0;126;
22117;final-crs_0;122;61
22141;final-crs_5;124;1632
22150;final-crs_2;123;1358
22166;final-crs_4;125;291
22203;gate-keeper;127;
22204;gate-keeper;128;
22205;gate-keeper;129;
22206;frui_0;128;
22206;gate-keeper;130;
22207;gate-keeper;131;
22208;gate-keeper;132;
22209;gate-keeper;133;
22210;vege_0;127;
22210;gate-keeper;134;
22211;vege_1;129;
22211;gate-keeper;135;
22212;gate-keeper;136;
22213;frui_1;135;
22213;meat_0;130;
22213;gate-keeper;137;
22214;frui_0;136;
22218;vege_0;131;
22220;vege_1;133;
22228;vege_0;134;
22231;vege_1;137;
22265;final-crs_1;126;1778
22270;meat_1;132;
22337;final-crs_3;128;229
22341;final-crs_0;127;896
22381;final-crs_5;129;505
22394;final-crs_2;135;1057
22394;final-crs_4;130;246
22468;gate-keeper;138;
22469;gate-keeper;139;
22470;vege_0;138;
22472;final-crs_1;136;369
22473;frui_0;139;
22618;final-crs_3;131;718
22624;final-crs_5;133;1103
22629;final-crs_0;134;163
22637;final-crs_2;137;666
22645;final-crs_4;132;1413
22705;final-crs_1;138;1020
22763;gate-keeper;140;
22764;vege_1;140;
22840;final-crs_2;139;1611
22876;final-crs_5;140;753
23078;gate-keeper;141;
23079;gate-keeper;142;
23080;gate-keeper;143;
23081;frui_0;143;
23081;meat_0;141;
23081;gate-keeper;144;
23087;vege_1;144;
23090;meat_1;142;
23101;final-crs_5;143;1082
23132;final-crs_0;141;701
23143;final-crs_3;144;768
23150;final-crs_4;142;729
23399;gate-keeper;145;
23400;gate-keeper;146;
23401;gate-keeper;147;
23402;frui_0;146;
23402;gate-keeper;148;
23405;final-crs_0;146;1332
23406;frui_1;148;
23407;vege_0;145;
23409;vege_1;147;
23410;final-crs_4;148;481
23429;final-crs_1;145;420
23545;final-crs_2;147;1273
23719;gate-keeper;149;
23720;gate-keeper;150;
23721;gate-keeper;151;
23722;vege_1;149;
23722;gate-keeper;152;
23724;frui_0;152;
23726;vege_0;150;
23731;vege_1;151;
23781;final-crs_2;149;126
23824;final-crs_5;152;103
23885;final-crs_3;150;643
23903;final-crs_4;151;710
23988;gate-keeper;153;
23989;gate-keeper;154;
23990;gate-keeper;155;
23991;gate-keeper;156;
23993;vege_0;156;
23995;frui_0;154;
23995;frui_1;155;
24025;meat_0;153;
24034;final-crs_5;156;73
24108;final-crs_3;154;157
24147;final-crs_4;155;1310
24148;final-crs_1;153;1122
24253;gate-keeper;157;
24257;vege_0;157;
24288;final-crs_5;157;201
24564;gate-keeper;158;
24565;gate-keeper;159;
24566;meat_1;159;
24568;final-crs_5;159;239
24572;vege_0;158;
24627;final-crs_3;158;1114
24870;gate-keeper;160;
24871;gate-keeper;161;
24872;gate-keeper;162;
24873;gate-keeper;163;
24876;vege_0;160;
24876;vege_1;161;
24885;vege_1;162;
24887;vege_0;163;
24912;final-crs_4;160;164
24967;final-crs_2;161;1235
25005;final-crs_0;162;1093
25016;final-crs_5;163;199
25173;gate-keeper;164;
25174;gate-keeper;165;
25175;gate-keeper;166;
25176;gate-keeper;167;
25177;vege_0;165;
25177;frui_1;164;
25180;vege_1;166;
25181;frui_0;167;
25227;final-crs_2;165;70
25238;final-crs_5;164;361
25265;final-crs_0;166;572
25348;final-crs_3;167;988
25457;gate-keeper;168;
25458;frui_0;168;
25459;final-crs_2;168;807
25711;gate-keeper;169;
25717;frui_0;169;
25766;final-crs_0;169;410
26049;gate-keeper;170;
26050;gate-keeper;171;
26055;frui_1;171;
26055;meat_1;170;
26063;final-crs_5;171;145
26112;final-crs_1;170;310
26425;gate-keeper;172;
26428;vege_1;172;
26459;final-crs_2;172;753
26705;gate-keeper;173;
26708;vege_1;173;
26738;final-crs_5;173;1367
27078;gate-keeper;174;
27079;gate-keeper;175;
27082;vege_0;175;
27082;frui_1;174;
27101;final-crs_1;175;831
27131;final-crs_2;174;1617
27364;gate-keeper;176;
27365;gate-keeper;177;
27371;vege_1;177;
27391;final-crs_2;177;232
27393;meat_0;176;
27406;final-crs_5;176;1193
27655;gate-keeper;178;
27656;vege_1;178;
27667;final-crs_3;178;107
27908;gate-keeper;179;
27911;frui_0;179;
28027;final-crs_0;179;410
28039;gate-keeper;180;
28041;vege_0;180;
28066;final-crs_4;180;96
28213;gate-keeper;181;
28217;frui_0;181;
28241;final-crs_0;181;1258
28515;gate-keeper;182;
28518;vege_1;182;
28519;final-crs_4;182;450
28814;gate-keeper;183;
28822;vege_0;183;
28830;final-crs_5;183;724
28848;gate-keeper;184;
28850;frui_0;184;
28923;final-crs_3;184;1371
29187;gate-keeper;185;
29197;vege_1;185;
29280;final-crs_4;185;543
29488;gate-keeper;186;
29496;vege_0;186;
29548;final-crs_1;186;158
29771;gate-keeper;187;
29772;gate-keeper;188;
29773;vege_1;187;
29773;frui_0;188;
29777;final-crs_1;187;141
29784;final-crs_4;188;757
30083;gate-keeper;189;
30084;gate-keeper;190;
30085;vege_0;189;
30089;vege_1;190;
30126;final-crs_0;189;1002
30134;final-crs_2;190;976
30371;gate-keeper;191;
30372;vege_1;191;
30379;final-crs_2;191;514
30683;gate-keeper;192;
30688;frui_0;192;
30694;final-crs_3;192;1531
30978;gate-keeper;193;
30979;gate-keeper;194;
30983;vege_1;194;
31017;meat_1;193;
31051;final-crs_5;194;315
31121;final-crs_2;193;1379
31307;gate-keeper;195;
31309;frui_1;195;
31316;final-crs_5;195;906
31561;gate-keeper;196;
31563;frui_0;196;
31618;final-crs_0;196;449
31861;gate-keeper;197;
31862;gate-keeper;198;
31863;frui_0;197;
