time;ckpt;id;money
326;gate-keeper;0;
330;vege_0;0;
416;final-crs_4;0;881
659;gate-keeper;1;
662;vege_1;1;
706;final-crs_5;1;267
928;gate-keeper;2;
933;vege_1;2;
953;final-crs_5;2;1057
1237;gate-keeper;3;
1244;vege_0;3;
1246;final-crs_3;3;1504
1521;gate-keeper;4;
1568;meat_1;4;
1613;final-crs_5;4;803
1774;gate-keeper;5;
1802;meat_1;5;
1807;final-crs_5;5;981
1880;gate-keeper;6;
1881;vege_0;6;
1934;final-crs_0;6;1399
2393;gate-keeper;7;
2394;gate-keeper;8;
2397;frui_0;7;
2400;vege_0;8;
2407;final-crs_3;7;578
2432;final-crs_0;8;1034
2683;gate-keeper;9;
2684;vege_0;9;
2711;final-crs_1;9;1704
2916;gate-keeper;10;
2919;frui_0;10;
2971;final-crs_4;10;1132
3229;gate-keeper;11;
3237;vege_1;11;
3280;final-crs_1;11;99
3507;gate-keeper;12;
3508;gate-keeper;13;
3558;meat_1;12;
3570;meat_0;13;
3598;final-crs_0;12;341
3604;final-crs_4;13;1152
3768;gate-keeper;14;
3770;vege_0;14;
3773;final-crs_5;14;123
4008;gate-keeper;15;
4010;vege_0;15;
4014;final-crs_5;15;1118
4341;gate-keeper;16;
4345;frui_0;16;
4482;final-crs_5;16;878
4614;gate-keeper;17;
4617;vege_0;17;
4715;final-crs_5;17;577
4769;gate-keeper;18;
4770;vege_0;18;
4825;final-crs_1;18;920
5305;gate-keeper;19;
5306;gate-keeper;20;
5312;vege_0;20;
5326;meat_0;19;
5413;final-crs_5;20;630
5430;final-crs_4;19;823
5597;gate-keeper;21;
5599;vege_1;21;
5665;final-crs_5;21;69
5884;gate-keeper;22;
5885;vege_0;22;
5916;final-crs_5;22;516
6174;gate-keeper;23;
6176;frui_0;23;
6192;final-crs_0;23;913
6437;gate-keeper;24;
6439;vege_0;24;
6443;final-crs_0;24;385
6680;gate-keeper;25;
6681;frui_0;25;
6681;gate-keeper;26;
6682;final-crs_0;25;655
6686;frui_1;26;
6743;final-crs_1;26;720
7006;gate-keeper;27;
7032;meat_0;27;
7040;final-crs_2;27;1110
7190;gate-keeper;28;
7195;vege_1;28;
7207;final-crs_1;28;797
7561;gate-keeper;29;
7583;meat_1;29;
7608;final-crs_3;29;1332
7821;gate-keeper;30;
7824;vege_1;30;
7826;final-crs_3;30;1366
8059;gate-keeper;31;
8061;vege_0;31;
8065;final-crs_3;31;978
8157;gate-keeper;32;
8163;meat_1;32;
8210;final-crs_2;32;1474
8412;gate-keeper;33;
8457;meat_0;33;
8477;final-crs_2;33;570
8682;gate-keeper;34;
8683;meat_0;34;
8717;final-crs_4;34;601
8991;gate-keeper;35;
8995;vege_0;35;
9082;final-crs_1;35;299
9258;gate-keeper;36;
9259;meat_1;36;
9315;final-crs_1;36;292
9551;gate-keeper;37;
9553;frui_1;37;
9615;final-crs_2;37;788
9813;gate-keeper;38;
9814;frui_0;38;
9814;gate-keeper;39;
9818;frui_1;39;
9846;final-crs_2;38;1164
9880;final-crs_4;39;917
10141;gate-keeper;40;
10143;vege_0;40;
10153;final-crs_5;40;392
10394;gate-keeper;41;
10395;vege_0;41;
10398;final-crs_5;41;581
10669;gate-keeper;42;
10674;vege_0;42;
10731;final-crs_0;42;1208
10899;gate-keeper;43;
10941;meat_1;43;
10953;final-crs_0;43;83
11270;gate-keeper;44;
11273;vege_0;44;
11286;final-crs_4;44;1334
11392;gate-keeper;45;
11393;frui_1;45;
11461;final-crs_1;45;188
11879;gate-keeper;46;
11880;gate-keeper;47;
11881;meat_1;46;
11883;frui_0;47;
11906;final-crs_1;46;1553
11918;final-crs_0;47;1067
12170;gate-keeper;48;
12175;frui_0;48;
12219;final-crs_3;48;569
12451;gate-keeper;49;
12455;frui_1;49;
12478;final-crs_3;49;451
12753;gate-keeper;50;
12782;meat_0;50;
12815;final-crs_4;50;703
12836;gate-keeper;51;
12846;meat_0;51;
12877;final-crs_0;51;200
13310;gate-keeper;52;
13317;vege_0;52;
13330;final-crs_2;52;1000
13633;gate-keeper;53;
13634;gate-keeper;54;
13635;frui_0;53;
13638;frui_1;54;
13665;final-crs_1;53;109
13732;final-crs_5;54;1656
13953;gate-keeper;55;
13954;frui_1;55;
14033;final-crs_4;55;1608
14239;gate-keeper;56;
14268;meat_0;56;
14289;final-crs_4;56;709
