time;ckpt;id;money
288;gate-keeper;0;
289;vege_1;0;
478;final-crs_2;0;186
605;gate-keeper;1;
609;meat_0;1;
680;final-crs_2;1;338
894;gate-keeper;2;
897;vege_0;2;
903;final-crs_5;2;472
1164;gate-keeper;3;
1176;meat_0;3;
1190;final-crs_4;3;954
1449;gate-keeper;4;
1452;frui_1;4;
1467;final-crs_1;4;804
1714;gate-keeper;5;
1718;vege_0;5;
1797;final-crs_0;5;480
2021;gate-keeper;6;
2024;frui_1;6;
2040;final-crs_0;6;1229
2300;gate-keeper;7;
2301;vege_0;7;
2327;final-crs_3;7;572
2610;gate-keeper;8;
2614;vege_0;8;
2664;final-crs_1;8;91
2917;gate-keeper;9;
2920;frui_0;9;
2976;final-crs_0;9;1458
3183;gate-keeper;10;
3189;frui_0;10;
3228;final-crs_3;10;162
3488;gate-keeper;11;
3489;gate-keeper;12;
3494;vege_1;11;
3495;vege_0;12;
3514;final-crs_5;11;1054
3566;final-crs_4;12;327
3785;gate-keeper;13;
3819;meat_0;13;
3887;final-crs_1;13;938
4088;gate-keeper;14;
4095;vege_0;14;
4134;final-crs_1;14;1671
4378;gate-keeper;15;
4383;vege_0;15;
4415;final-crs_3;15;480
4715;gate-keeper;16;
4723;meat_1;16;
4739;final-crs_4;16;323
5031;gate-keeper;17;
5047;meat_1;17;
5094;final-crs_2;17;295
5329;gate-keeper;18;
5333;frui_0;18;
5335;final-crs_3;18;127
5478;gate-keeper;19;
5501;meat_0;19;
5516;final-crs_5;19;1799
5660;gate-keeper;20;
5663;vege_1;20;
5664;final-crs_4;20;1177
5939;gate-keeper;21;
5940;frui_0;21;
5953;final-crs_1;21;935
6271;gate-keeper;22;
6274;frui_1;22;
6368;final-crs_4;22;190
6525;gate-keeper;23;
6529;meat_1;23;
6603;final-crs_4;23;299
6877;gate-keeper;24;
6921;meat_0;24;
6943;final-crs_5;24;1095
7183;gate-keeper;25;
7184;frui_0;25;
7220;final-crs_2;25;1103
7348;gate-keeper;26;
7354;vege_0;26;
7361;final-crs_3;26;988
7801;gate-keeper;27;
7806;frui_1;27;
7836;final-crs_3;27;728
8033;gate-keeper;28;
8038;vege_1;28;
8054;final-crs_4;28;1551
8211;gate-keeper;29;
8213;vege_0;29;
8221;final-crs_1;29;492
8673;gate-keeper;30;
8674;vege_0;30;
8674;gate-keeper;31;
8679;frui_1;31;
8741;final-crs_1;30;1625
8795;final-crs_0;31;2227
8979;gate-keeper;32;
8988;vege_0;32;
9037;final-crs_3;32;864
9230;gate-keeper;33;
9234;vege_0;33;
9266;final-crs_5;33;987
9580;gate-keeper;34;
9581;vege_0;34;
9597;final-crs_2;34;615
9843;gate-keeper;35;
9849;frui_0;35;
9852;final-crs_4;35;576
10118;gate-keeper;36;
10120;frui_1;36;
10140;final-crs_0;36;133
10527;gate-keeper;37;
10529;frui_0;37;
10580;final-crs_2;37;720
10811;gate-keeper;38;
10813;frui_1;38;
10815;final-crs_2;38;298
10997;gate-keeper;39;
10998;vege_0;39;
11040;final-crs_2;39;801
11415;gate-keeper;40;
11416;frui_0;40;
11416;gate-keeper;41;
11418;final-crs_3;40;235
11419;frui_1;41;
11420;final-crs_1;41;440
11725;gate-keeper;42;
11731;vege_1;42;
11734;final-crs_5;42;343
11969;gate-keeper;43;
11974;meat_1;43;
11984;final-crs_2;43;417
12390;gate-keeper;44;
12399;meat_0;44;
12401;final-crs_5;44;987
12713;gate-keeper;45;
12716;frui_0;45;
12770;gate-keeper;46;
12771;vege_1;46;
12814;final-crs_3;45;904
12830;final-crs_4;46;712
13325;gate-keeper;47;
13326;gate-keeper;48;
13329;vege_1;48;
13330;frui_1;47;
13337;final-crs_5;48;978
13359;final-crs_0;47;1752
13560;gate-keeper;49;
13583;meat_1;49;
13606;final-crs_0;49;87
13858;gate-keeper;50;
13864;frui_0;50;
13936;final-crs_2;50;260
14191;gate-keeper;51;
14194;frui_0;51;
14216;final-crs_3;51;1252
14527;gate-keeper;52;
14528;frui_1;52;
14565;final-crs_1;52;1164
14746;gate-keeper;53;
14748;vege_1;53;
14786;final-crs_1;53;123
15161;gate-keeper;54;
15162;vege_0;54;
15171;final-crs_5;54;505
15486;gate-keeper;55;
15487;gate-keeper;56;
15489;frui_1;55;
15495;vege_1;56;
15542;final-crs_4;55;630
15622;final-crs_5;56;662
15753;gate-keeper;57;
15757;vege_0;57;
15775;final-crs_4;57;1304
16113;gate-keeper;58;
16114;vege_0;58;
16130;final-crs_3;58;715
16405;gate-keeper;59;
16412;vege_0;59;
16417;final-crs_3;59;149
16706;gate-keeper;60;
16707;meat_1;60;
16769;final-crs_4;60;68
17123;gate-keeper;61;
17125;vege_1;61;
17195;final-crs_5;61;354
17459;gate-keeper;62;
17460;gate-keeper;63;
17462;frui_1;63;
17469;meat_1;62;
17471;final-crs_4;63;89
17493;final-crs_2;62;1456
17772;gate-keeper;64;
17774;frui_1;64;
17777;final-crs_2;64;279
18109;gate-keeper;65;
18110;vege_0;65;
18110;gate-keeper;66;
18111;gate-keeper;67;
18116;final-crs_3;65;125
18119;vege_1;66;
18125;meat_1;67;
18154;final-crs_5;66;227
18208;final-crs_1;67;570
18295;gate-keeper;68;
18296;gate-keeper;69;
18297;gate-keeper;70;
18300;vege_0;68;
18304;vege_1;69;
18311;vege_0;70;
18320;final-crs_0;68;482
18352;final-crs_3;69;916
18389;final-crs_5;70;208
18740;gate-keeper;71;
18748;vege_1;71;
18791;final-crs_4;71;1090
19045;gate-keeper;72;
19046;frui_1;72;
19046;gate-keeper;73;
19048;vege_1;73;
19055;final-crs_3;72;308
19056;final-crs_4;73;765
19099;gate-keeper;74;
19100;gate-keeper;75;
19101;vege_0;75;
19101;gate-keeper;76;
19108;vege_1;76;
19125;meat_1;74;
19127;final-crs_5;75;597
19146;final-crs_2;76;291
19223;final-crs_1;74;198
19352;gate-keeper;77;
19353;gate-keeper;78;
19358;frui_1;77;
19363;vege_0;78;
19370;final-crs_5;77;1089
19427;final-crs_2;78;1786
19626;gate-keeper;79;
19631;vege_0;79;
19644;final-crs_1;79;567
19923;gate-keeper;80;
19924;gate-keeper;81;
19925;gate-keeper;82;
19926;frui_0;81;
19931;vege_0;82;
19961;meat_1;80;
20010;final-crs_4;81;95
20049;final-crs_3;82;927
20065;final-crs_5;80;1235
20223;gate-keeper;83;
20224;gate-keeper;84;
20225;gate-keeper;85;
20227;frui_0;83;
20227;frui_1;84;
20257;meat_1;85;
20282;final-crs_3;83;752
20293;final-crs_5;84;686
20296;final-crs_4;85;594
20484;gate-keeper;86;
20485;gate-keeper;87;
20486;gate-keeper;88;
20488;vege_1;86;
20488;frui_0;88;
20514;final-crs_3;86;1398
20522;meat_0;87;
20537;final-crs_4;88;451
20549;final-crs_5;87;956
20818;gate-keeper;89;
20819;frui_0;89;
20819;gate-keeper;90;
20820;frui_1;90;
20820;gate-keeper;91;
