time;ckpt;id;money
310;gate-keeper;0;
311;vege_1;0;
311;gate-keeper;1;
314;frui_1;1;
434;final-crs_3;0;440
452;final-crs_1;1;85
595;gate-keeper;2;
596;gate-keeper;3;
598;vege_1;3;
624;meat_1;2;
663;final-crs_1;3;731
674;final-crs_3;2;1029
869;gate-keeper;4;
870;gate-keeper;5;
876;vege_1;4;
877;vege_0;5;
885;final-crs_1;4;296
908;final-crs_3;5;97
1215;gate-keeper;6;
1216;gate-keeper;7;
1217;gate-keeper;8;
1221;frui_0;6;
1222;vege_1;8;
1222;frui_1;7;
1232;final-crs_7;6;258
1386;final-crs_3;8;673
1395;final-crs_1;7;1512
1464;gate-keeper;9;
1465;gate-keeper;10;
1470;vege_1;9;
1490;meat_1;10;
1499;final-crs_7;9;719
1603;final-crs_3;10;765
1814;gate-keeper;11;
1815;gate-keeper;12;
1816;frui_1;11;
1819;vege_0;12;
1840;final-crs_3;11;316
1849;final-crs_0;12;90
1911;gate-keeper;13;
1912;vege_0;13;
1941;final-crs_4;13;60
2114;gate-keeper;14;
2152;meat_1;14;
2181;final-crs_4;14;1685
2401;gate-keeper;15;
2402;gate-keeper;16;
2403;gate-keeper;17;
2407;frui_1;17;
2408;vege_0;15;
2430;final-crs_2;17;431
2450;meat_0;16;
2470;final-crs_5;15;488
2562;final-crs_0;16;1261
2723;gate-keeper;18;
2724;gate-keeper;19;
2726;frui_0;18;
2726;frui_1;19;
2806;final-crs_0;18;147
2835;final-crs_3;19;1703
3046;gate-keeper;20;
3047;gate-keeper;21;
3049;frui_1;20;
3065;meat_1;21;
3090;final-crs_1;20;311
3095;final-crs_3;21;1119
3372;gate-keeper;22;
3373;vege_1;22;
3373;gate-keeper;23;
3375;final-crs_7;22;1271
3393;meat_0;23;
3399;final-crs_2;23;716
3659;gate-keeper;24;
3660;gate-keeper;25;
3661;vege_0;25;
3661;frui_0;24;
3661;gate-keeper;26;
3665;vege_1;26;
3689;final-crs_5;25;670
3730;final-crs_0;24;538
3775;final-crs_3;26;1104
3805;gate-keeper;27;
3812;vege_1;27;
3865;final-crs_4;27;468
4013;gate-keeper;28;
4015;frui_0;28;
4029;final-crs_3;28;921
4292;gate-keeper;29;
4293;gate-keeper;30;
4294;gate-keeper;31;
4295;frui_1;31;
4298;vege_1;30;
4304;meat_0;29;
4307;final-crs_3;31;1541
4308;final-crs_4;30;1057
4328;final-crs_2;29;304
4583;gate-keeper;32;
4584;gate-keeper;33;
4585;vege_1;32;
4590;meat_0;33;
4600;final-crs_6;32;278
4604;final-crs_1;33;1235
4953;gate-keeper;34;
4954;gate-keeper;35;
4955;gate-keeper;36;
4959;vege_0;34;
4959;frui_0;35;
4961;vege_1;36;
4986;final-crs_7;34;2092
5002;final-crs_3;35;156
5008;final-crs_2;36;343
5299;gate-keeper;37;
5300;gate-keeper;38;
5302;vege_0;37;
5305;vege_1;38;
5323;final-crs_6;37;1090
5338;final-crs_5;38;681
5541;gate-keeper;39;
5542;gate-keeper;40;
5547;meat_0;39;
5548;vege_0;40;
5552;final-crs_5;39;1119
5608;final-crs_6;40;686
5643;gate-keeper;41;
5654;meat_1;41;
5667;final-crs_7;41;1946
5918;gate-keeper;42;
5919;gate-keeper;43;
5923;frui_1;43;
5927;meat_0;42;
5929;final-crs_0;43;1162
5946;final-crs_5;42;832
6251;gate-keeper;44;
6252;gate-keeper;45;
6253;frui_0;45;
6256;vege_1;44;
6272;final-crs_6;45;680
6338;final-crs_7;44;1143
6459;gate-keeper;46;
6460;gate-keeper;47;
6464;vege_0;46;
6464;meat_0;47;
6546;final-crs_6;46;1110
6556;gate-keeper;48;
6560;frui_1;48;
6569;final-crs_1;47;500
6571;final-crs_7;48;855
6842;gate-keeper;49;
6843;gate-keeper;50;
6848;vege_0;49;
6867;meat_0;50;
6889;final-crs_3;49;188
6931;final-crs_2;50;1125
7168;gate-keeper;51;
7169;gate-keeper;52;
7170;gate-keeper;53;
7172;frui_1;53;
7185;final-crs_5;53;2004
7214;meat_1;51;
7215;meat_0;52;
7219;final-crs_4;51;189
7244;final-crs_7;52;269
7408;gate-keeper;54;
7409;frui_1;54;
7419;final-crs_5;54;1121
7563;gate-keeper;55;
7567;vege_1;55;
7583;final-crs_2;55;835
7695;gate-keeper;56;
7697;frui_1;56;
7700;final-crs_5;56;667
7947;gate-keeper;57;
7948;gate-keeper;58;
7949;frui_0;58;
7957;final-crs_1;58;380
7979;meat_0;57;
8011;final-crs_7;57;251
