time;ckpt;id;money
302;gate-keeper;0;
303;vege_0;0;
425;final-crs_3;0;809
581;gate-keeper;1;
582;vege_1;1;
680;final-crs_3;1;345
847;gate-keeper;2;
853;vege_0;2;
919;final-crs_3;2;512
1151;gate-keeper;3;
1156;frui_1;3;
1181;final-crs_4;3;870
1461;gate-keeper;4;
1465;vege_0;4;
1468;final-crs_5;4;792
1751;gate-keeper;5;
1753;vege_0;5;
1756;final-crs_1;5;208
2100;gate-keeper;6;
2103;frui_1;6;
2119;final-crs_2;6;299
2409;gate-keeper;7;
2412;frui_0;7;
2488;final-crs_5;7;738
2698;gate-keeper;8;
2702;vege_1;8;
2759;final-crs_0;8;907
3020;gate-keeper;9;
3023;frui_0;9;
3024;final-crs_1;9;1134
3240;gate-keeper;10;
3245;meat_1;10;
3266;final-crs_2;10;1450
3368;gate-keeper;11;
3371;vege_0;11;
3450;final-crs_4;11;90
3670;gate-keeper;12;
3672;frui_0;12;
3677;final-crs_4;12;686
4019;gate-keeper;13;
4020;vege_1;13;
4056;final-crs_2;13;1025
4343;gate-keeper;14;
4377;meat_1;14;
4381;final-crs_4;14;112
4648;gate-keeper;15;
4651;frui_0;15;
4693;final-crs_1;15;323
4958;gate-keeper;16;
4963;frui_0;16;
4966;final-crs_5;16;577
5176;gate-keeper;17;
5178;vege_1;17;
5186;final-crs_1;17;1124
5549;gate-keeper;18;
5566;meat_1;18;
5695;final-crs_1;18;390
5828;gate-keeper;19;
5865;meat_1;19;
5924;final-crs_2;19;1120
6125;gate-keeper;20;
6128;vege_1;20;
6168;final-crs_2;20;77
6406;gate-keeper;21;
6408;frui_0;21;
6414;final-crs_2;21;1017
6772;gate-keeper;22;
6773;gate-keeper;23;
6778;vege_1;22;
6779;vege_0;23;
6903;final-crs_2;22;659
6908;final-crs_0;23;1232
7108;gate-keeper;24;
7114;vege_1;24;
7135;final-crs_0;24;1894
7420;gate-keeper;25;
7421;vege_1;25;
7450;final-crs_5;25;1005
7772;gate-keeper;26;
7790;meat_0;26;
7856;final-crs_1;26;1009
8068;gate-keeper;27;
8074;vege_0;27;
8129;final-crs_2;27;614
8186;gate-keeper;28;
8194;vege_0;28;
8244;final-crs_5;28;1378
8667;gate-keeper;29;
8671;vege_0;29;
8724;final-crs_5;29;582
8905;gate-keeper;30;
8910;vege_1;30;
8946;final-crs_0;30;579
9112;gate-keeper;31;
9115;frui_0;31;
9161;final-crs_1;31;136
9502;gate-keeper;32;
9504;vege_0;32;
9530;final-crs_3;32;1160
9749;gate-keeper;33;
9752;vege_0;33;
9757;final-crs_2;33;755
10062;gate-keeper;34;
10065;vege_0;34;
10068;final-crs_3;34;552
10385;gate-keeper;35;
10393;vege_1;35;
10425;final-crs_5;35;211
10662;gate-keeper;36;
10664;vege_0;36;
10687;final-crs_5;36;1643
10927;gate-keeper;37;
10931;vege_0;37;
10949;final-crs_2;37;751
11053;gate-keeper;38;
11054;vege_0;38;
11084;final-crs_0;38;1400
11248;gate-keeper;39;
11250;vege_1;39;
11287;final-crs_1;39;621
11592;gate-keeper;40;
11595;vege_0;40;
11631;final-crs_0;40;1349
11897;gate-keeper;41;
11900;vege_1;41;
11902;final-crs_2;41;1191
12172;gate-keeper;42;
12216;meat_1;42;
12228;final-crs_1;42;923
12496;gate-keeper;43;
12501;vege_0;43;
12511;final-crs_0;43;658
12757;gate-keeper;44;
12762;frui_0;44;
12781;final-crs_0;44;611
12951;gate-keeper;45;
12957;frui_1;45;
12958;final-crs_1;45;320
13340;gate-keeper;46;
13343;frui_1;46;
13357;final-crs_5;46;846
13614;gate-keeper;47;
13615;gate-keeper;48;
13617;vege_1;47;
13619;vege_0;48;
13624;final-crs_5;47;239
13669;final-crs_2;48;687
13986;gate-keeper;49;
13992;vege_0;49;
14048;final-crs_0;49;220
14369;gate-keeper;50;
14371;vege_0;50;
14372;final-crs_5;50;1045
14551;gate-keeper;51;
14555;meat_0;51;
14556;final-crs_3;51;906
14713;gate-keeper;52;
14715;frui_0;52;
14780;final-crs_0;52;864
14956;gate-keeper;53;
14959;frui_0;53;
15008;final-crs_3;53;1241
15383;gate-keeper;54;
15386;vege_0;54;
15390;final-crs_5;54;484
15684;gate-keeper;55;
15692;vege_1;55;
15698;final-crs_1;55;455
15917;gate-keeper;56;
15922;vege_1;56;
15972;final-crs_1;56;1048
16244;gate-keeper;57;
16284;meat_0;57;
16302;final-crs_0;57;594
16531;gate-keeper;58;
16533;frui_0;58;
16534;final-crs_0;58;730
16808;gate-keeper;59;
16810;vege_0;59;
16828;final-crs_0;59;360
17105;gate-keeper;60;
17110;vege_0;60;
17189;final-crs_1;60;1111
17436;gate-keeper;61;
17440;vege_0;61;
17447;final-crs_1;61;930
17604;gate-keeper;62;
17606;vege_0;62;
17721;final-crs_1;62;452
18079;gate-keeper;63;
18083;frui_1;63;
18085;final-crs_4;63;707
18230;gate-keeper;64;
18232;vege_0;64;
18283;final-crs_5;64;629
18388;gate-keeper;65;
18389;vege_0;65;
18446;final-crs_0;65;752
18703;gate-keeper;66;
18710;vege_1;66;
18721;final-crs_1;66;681
18945;gate-keeper;67;
18954;vege_1;67;
18958;final-crs_3;67;1030
19225;gate-keeper;68;
19226;gate-keeper;69;
19227;gate-keeper;70;
19230;vege_0;68;
19235;vege_1;70;
19243;final-crs_2;68;1016
19249;final-crs_5;70;1145
19272;meat_1;69;
19410;gate-keeper;71;
19411;gate-keeper;72;
19412;frui_0;72;
19415;vege_0;71;
19419;final-crs_1;69;661
19436;final-crs_3;72;219
19467;final-crs_0;71;247
19540;gate-keeper;73;
19547;vege_0;73;
19638;final-crs_1;73;127
19841;gate-keeper;74;
19865;meat_1;74;
19919;final-crs_1;74;711
20132;gate-keeper;75;
20136;frui_0;75;
20143;final-crs_3;75;779
20416;gate-keeper;76;
20424;meat_1;76;
20465;final-crs_0;76;277
20732;gate-keeper;77;
20733;frui_0;77;
20768;final-crs_2;77;1183
21036;gate-keeper;78;
21037;gate-keeper;79;
21038;gate-keeper;80;
21039;frui_0;78;
21041;vege_0;79;
21042;vege_1;80;
21076;final-crs_3;78;1164
21142;final-crs_4;79;1040
21149;final-crs_1;80;1308
21153;gate-keeper;81;
21154;gate-keeper;82;
21157;frui_1;81;
21159;frui_0;82;
21161;final-crs_0;81;1184
21178;final-crs_5;82;778
21365;gate-keeper;83;
21366;gate-keeper;84;
21367;gate-keeper;85;
21369;vege_0;83;
21370;frui_0;85;
21375;meat_0;84;
21381;final-crs_1;83;436
21398;final-crs_4;85;2115
21401;final-crs_0;84;884
21697;gate-keeper;86;
21698;gate-keeper;87;
21699;gate-keeper;88;
21701;vege_1;87;
21701;frui_0;86;
21703;vege_0;88;
21766;final-crs_3;87;779
21779;final-crs_2;86;484
21852;final-crs_5;88;487
22009;gate-keeper;89;
22010;vege_1;89;
22010;gate-keeper;90;
22017;vege_0;90;
22018;final-crs_3;89;640
22093;final-crs_1;90;699
22341;gate-keeper;91;
22342;gate-keeper;92;
