time;ckpt;id;money
649;gate-keeper;0;
650;gate-keeper;1;
652;meat_1;0;
655;vege_0;1;
694;final-crs_4;0;1242
694;final-crs_5;1;1262
937;gate-keeper;2;
938;vege_1;2;
950;final-crs_2;2;186
1223;gate-keeper;3;
1252;meat_0;3;
1375;final-crs_5;3;1133
1522;gate-keeper;4;
1551;meat_0;4;
1553;final-crs_4;4;96
2101;gate-keeper;5;
2104;vege_0;5;
2138;final-crs_0;5;112
2407;gate-keeper;6;
2428;meat_1;6;
2435;final-crs_1;6;314
2667;gate-keeper;7;
2671;meat_0;7;
2673;final-crs_1;7;895
2985;gate-keeper;8;
2988;vege_1;8;
2998;final-crs_4;8;991
3275;gate-keeper;9;
3294;meat_0;9;
3328;final-crs_3;9;1675
3576;gate-keeper;10;
3577;vege_1;10;
3578;final-crs_2;10;2108
3752;gate-keeper;11;
3755;vege_0;11;
3817;final-crs_5;11;943
4177;gate-keeper;12;
4182;vege_1;12;
4226;final-crs_3;12;1339
4488;gate-keeper;13;
4494;vege_1;13;
4497;final-crs_2;13;611
4733;gate-keeper;14;
4737;vege_1;14;
4841;final-crs_0;14;478
5087;gate-keeper;15;
5124;meat_0;15;
5169;final-crs_2;15;681
5375;gate-keeper;16;
5384;meat_0;16;
5406;final-crs_5;16;1414
5624;gate-keeper;17;
5629;frui_0;17;
5638;final-crs_2;17;680
5931;gate-keeper;18;
5960;meat_1;18;
6073;final-crs_1;18;422
6125;gate-keeper;19;
6126;vege_1;19;
6129;final-crs_2;19;93
6533;gate-keeper;20;
6548;meat_1;20;
6560;final-crs_3;20;620
6653;gate-keeper;21;
6673;meat_0;21;
6796;final-crs_4;21;611
7145;gate-keeper;22;
7189;meat_1;22;
7289;final-crs_5;22;506
7493;gate-keeper;23;
7496;vege_0;23;
7515;final-crs_1;23;1174
7529;gate-keeper;24;
7531;frui_0;24;
7544;final-crs_4;24;1739
7833;gate-keeper;25;
7856;meat_0;25;
7935;final-crs_5;25;849
8117;gate-keeper;26;
8118;vege_1;26;
8173;final-crs_5;26;100
8413;gate-keeper;27;
8417;vege_0;27;
8438;final-crs_1;27;1387
8689;gate-keeper;28;
8694;vege_1;28;
8699;final-crs_1;28;74
9249;gate-keeper;29;
9253;meat_0;29;
9293;final-crs_4;29;168
9345;gate-keeper;30;
9377;meat_0;30;
9392;final-crs_3;30;1651
9822;gate-keeper;31;
9825;vege_1;31;
9861;final-crs_3;31;1114
9949;gate-keeper;32;
9952;vege_1;32;
9998;final-crs_4;32;886
10212;gate-keeper;33;
10224;meat_0;33;
10280;final-crs_4;33;2044
10448;gate-keeper;34;
10453;meat_1;34;
10529;final-crs_0;34;752
11015;gate-keeper;35;
11022;vege_0;35;
11027;gate-keeper;36;
11030;vege_0;36;
11053;final-crs_3;35;1322
11065;final-crs_2;36;681
11352;gate-keeper;37;
11355;vege_1;37;
11385;final-crs_0;37;145
11671;gate-keeper;38;
11678;meat_0;38;
11694;final-crs_4;38;1564
12108;gate-keeper;39;
12114;vege_0;39;
12168;final-crs_4;39;1033
12480;gate-keeper;40;
12481;meat_0;40;
12499;final-crs_0;40;1678
12746;gate-keeper;41;
12753;vege_1;41;
12783;final-crs_1;41;189
13066;gate-keeper;42;
13067;vege_0;42;
13167;gate-keeper;43;
13174;final-crs_4;42;1278
13184;meat_0;43;
13195;final-crs_5;43;320
13722;gate-keeper;44;
13743;meat_1;44;
13789;final-crs_1;44;481
13989;gate-keeper;45;
14015;meat_0;45;
14020;final-crs_1;45;302
14063;gate-keeper;46;
14064;vege_0;46;
14105;final-crs_0;46;273
14538;gate-keeper;47;
14556;meat_1;47;
14636;final-crs_0;47;443
14827;gate-keeper;48;
14828;vege_0;48;
14867;final-crs_0;48;483
15119;gate-keeper;49;
15154;meat_0;49;
15162;final-crs_4;49;829
15402;gate-keeper;50;
15405;vege_0;50;
15422;final-crs_4;50;1706
15627;gate-keeper;51;
15632;vege_0;51;
15653;final-crs_4;51;155
15755;gate-keeper;52;
15763;meat_0;52;
15797;final-crs_2;52;1759
16337;gate-keeper;53;
16342;frui_1;53;
16373;final-crs_5;53;100
16598;gate-keeper;54;
16602;frui_1;54;
16623;final-crs_4;54;625
16905;gate-keeper;55;
16906;frui_0;55;
16959;final-crs_2;55;421
17272;gate-keeper;56;
17276;vege_1;56;
17351;final-crs_0;56;481
17563;gate-keeper;57;
17567;meat_0;57;
17577;final-crs_0;57;1272
17891;gate-keeper;58;
17892;vege_1;58;
17919;final-crs_5;58;784
18188;gate-keeper;59;
18189;gate-keeper;60;
18190;gate-keeper;61;
18192;frui_0;61;
18193;vege_1;59;
