time;ckpt;id;money
296;gate-keeper;0;
302;vege_1;0;
456;final-crs_0;0;997
595;gate-keeper;1;
600;meat_0;1;
675;final-crs_0;1;919
875;gate-keeper;2;
876;frui_1;2;
980;final-crs_1;2;342
1148;gate-keeper;3;
1149;frui_1;3;
1201;final-crs_2;3;636
1483;gate-keeper;4;
1485;vege_1;4;
1490;final-crs_4;4;250
1787;gate-keeper;5;
1789;vege_0;5;
1820;final-crs_0;5;936
2192;gate-keeper;6;
2193;frui_1;6;
2193;gate-keeper;7;
2197;frui_0;7;
2217;final-crs_2;6;894
2227;final-crs_3;7;1111
2468;gate-keeper;8;
2474;vege_1;8;
2573;final-crs_0;8;204
2778;gate-keeper;9;
2779;frui_0;9;
2838;final-crs_4;9;429
3055;gate-keeper;10;
3058;vege_1;10;
3069;final-crs_4;10;719
3402;gate-keeper;11;
3404;frui_1;11;
3497;final-crs_4;11;429
3693;gate-keeper;12;
3694;vege_0;12;
3694;gate-keeper;13;
3698;frui_0;13;
3714;final-crs_0;12;587
3737;final-crs_4;13;336
3982;gate-keeper;14;
3984;vege_0;14;
4013;final-crs_1;14;1451
4222;gate-keeper;15;
4232;vege_0;15;
4252;final-crs_1;15;1806
4553;gate-keeper;16;
4558;vege_0;16;
4563;final-crs_3;16;1110
4815;gate-keeper;17;
4852;meat_0;17;
4890;final-crs_4;17;183
5123;gate-keeper;18;
5124;frui_1;18;
5134;final-crs_4;18;784
5498;gate-keeper;19;
5499;gate-keeper;20;
5501;vege_0;19;
5501;vege_1;20;
5550;final-crs_3;19;616
5551;final-crs_5;20;463
5785;gate-keeper;21;
5792;vege_1;21;
5799;final-crs_3;21;1193
6044;gate-keeper;22;
6045;vege_1;22;
6057;final-crs_5;22;477
6187;gate-keeper;23;
6192;vege_1;23;
6210;final-crs_1;23;1492
6599;gate-keeper;24;
6601;frui_0;24;
6665;final-crs_1;24;1137
6890;gate-keeper;25;
6892;frui_1;25;
6959;final-crs_0;25;558
7035;gate-keeper;26;
7044;meat_0;26;
7059;final-crs_2;26;752
7182;gate-keeper;27;
7188;vege_1;27;
7227;final-crs_3;27;1184
7496;gate-keeper;28;
7542;meat_0;28;
7545;final-crs_1;28;131
7797;gate-keeper;29;
7799;vege_1;29;
7865;final-crs_2;29;680
7968;gate-keeper;30;
8017;meat_1;30;
8026;final-crs_5;30;649
8342;gate-keeper;31;
8359;meat_1;31;
8372;final-crs_4;31;849
8638;gate-keeper;32;
8639;gate-keeper;33;
8641;vege_1;32;
8643;vege_0;33;
8663;final-crs_0;32;605
8668;final-crs_4;33;753
8906;gate-keeper;34;
8911;frui_1;34;
8927;final-crs_3;34;870
9467;gate-keeper;35;
9468;gate-keeper;36;
9470;vege_1;35;
9470;frui_0;36;
9477;final-crs_1;35;570
9543;final-crs_0;36;1620
9812;gate-keeper;37;
9814;frui_1;37;
9843;final-crs_3;37;519
9952;gate-keeper;38;
9967;meat_0;38;
9989;final-crs_1;38;654
10457;gate-keeper;39;
10458;vege_0;39;
10458;gate-keeper;40;
10477;meat_0;40;
10492;final-crs_1;39;1031
10495;final-crs_4;40;249
10730;gate-keeper;41;
10733;frui_1;41;
10748;final-crs_1;41;665
11043;gate-keeper;42;
11044;vege_0;42;
11089;final-crs_5;42;250
11356;gate-keeper;43;
11357;gate-keeper;44;
11361;frui_0;43;
11369;meat_0;44;
11419;final-crs_4;43;1178
11466;final-crs_3;44;653
11593;gate-keeper;45;
11595;frui_1;45;
11677;final-crs_4;45;727
12030;gate-keeper;46;
12031;gate-keeper;47;
12035;frui_0;46;
12035;frui_1;47;
12139;final-crs_1;46;830
12145;final-crs_0;47;1294
12361;gate-keeper;48;
12368;vege_0;48;
12374;final-crs_1;48;1190
