time;ckpt;id;money
305;gate-keeper;0;
310;vege_0;0;
395;final-crs_3;0;636
596;gate-keeper;1;
600;meat_1;1;
663;final-crs_1;1;956
918;gate-keeper;2;
923;vege_1;2;
929;final-crs_6;2;1608
1250;gate-keeper;3;
1251;frui_1;3;
1251;gate-keeper;4;
1256;final-crs_5;3;573
1257;vege_0;4;
1369;final-crs_1;4;270
1526;gate-keeper;5;
1531;frui_0;5;
1611;final-crs_4;5;159
1872;gate-keeper;6;
1873;gate-keeper;7;
1875;frui_1;6;
1881;vege_0;7;
1887;final-crs_4;6;1222
1954;final-crs_5;7;1231
2203;gate-keeper;8;
2206;vege_1;8;
2245;final-crs_0;8;978
2451;gate-keeper;9;
2458;vege_1;9;
2469;final-crs_0;9;733
2563;gate-keeper;10;
2564;frui_0;10;
2602;final-crs_2;10;256
3010;gate-keeper;11;
3015;vege_1;11;
3040;final-crs_3;11;340
3315;gate-keeper;12;
3316;gate-keeper;13;
3323;vege_0;12;
3346;final-crs_2;12;1123
3348;meat_1;13;
3378;final-crs_5;13;229
3563;gate-keeper;14;
3568;meat_1;14;
3589;final-crs_6;14;1063
3908;gate-keeper;15;
3910;frui_0;15;
3916;final-crs_0;15;1527
4181;gate-keeper;16;
4183;vege_0;16;
4200;final-crs_3;16;173
4439;gate-keeper;17;
4467;meat_0;17;
4482;final-crs_3;17;252
4703;gate-keeper;18;
4709;vege_1;18;
4780;final-crs_5;18;607
4956;gate-keeper;19;
4957;vege_1;19;
4980;final-crs_3;19;1135
5285;gate-keeper;20;
5286;gate-keeper;21;
5294;vege_0;21;
5299;final-crs_6;21;95
5309;meat_0;20;
5310;final-crs_0;20;788
5598;gate-keeper;22;
5647;meat_0;22;
5665;final-crs_4;22;1670
5887;gate-keeper;23;
5888;vege_1;23;
5900;final-crs_3;23;683
6113;gate-keeper;24;
6114;frui_1;24;
6148;final-crs_4;24;745
6453;gate-keeper;25;
6454;gate-keeper;26;
6455;frui_1;25;
6456;final-crs_0;25;597
6457;vege_1;26;
6481;final-crs_7;26;233
6772;gate-keeper;27;
6774;vege_1;27;
6820;final-crs_4;27;575
7015;gate-keeper;28;
7020;vege_0;28;
7054;final-crs_4;28;1108
7320;gate-keeper;29;
7321;gate-keeper;30;
7328;vege_0;29;
7329;vege_1;30;
7352;final-crs_2;29;1023
7404;final-crs_1;30;400
7639;gate-keeper;31;
7645;frui_1;31;
7659;final-crs_5;31;278
7848;gate-keeper;32;
7852;vege_0;32;
7859;final-crs_1;32;248
8201;gate-keeper;33;
8202;gate-keeper;34;
8204;vege_1;33;
8204;frui_1;34;
8214;final-crs_6;33;878
8254;final-crs_4;34;1621
8510;gate-keeper;35;
8511;frui_1;35;
8515;final-crs_3;35;514
8770;gate-keeper;36;
8774;frui_1;36;
8817;final-crs_1;36;686
9085;gate-keeper;37;
9088;vege_1;37;
9105;final-crs_5;37;1116
9370;gate-keeper;38;
9392;meat_0;38;
9398;final-crs_4;38;75
9567;gate-keeper;39;
9570;vege_1;39;
9629;final-crs_7;39;112
9689;gate-keeper;40;
9692;vege_1;40;
9711;final-crs_1;40;361
9945;gate-keeper;41;
9946;frui_0;41;
9950;final-crs_2;41;123
10242;gate-keeper;42;
10247;frui_1;42;
10342;final-crs_7;42;1362
10428;gate-keeper;43;
10431;frui_1;43;
10434;final-crs_4;43;337
10876;gate-keeper;44;
10877;gate-keeper;45;
10881;frui_1;45;
10882;final-crs_4;45;551
10883;vege_1;44;
10884;final-crs_3;44;279
11146;gate-keeper;46;
11148;frui_1;46;
11171;final-crs_5;46;178
11379;gate-keeper;47;
11386;vege_1;47;
11445;final-crs_1;47;1015
11727;gate-keeper;48;
11732;vege_1;48;
11755;final-crs_7;48;497
12006;gate-keeper;49;
12007;gate-keeper;50;
12013;vege_0;50;
12027;final-crs_2;50;486
12045;meat_1;49;
12099;final-crs_1;49;377
12223;gate-keeper;51;
12227;vege_0;51;
12231;final-crs_7;51;669
12577;gate-keeper;52;
12580;vege_1;52;
12592;final-crs_1;52;960
12849;gate-keeper;53;
12853;vege_0;53;
12892;final-crs_5;53;697
13071;gate-keeper;54;
13074;frui_1;54;
13082;final-crs_1;54;812
13160;gate-keeper;55;
13165;vege_1;55;
13221;final-crs_0;55;588
13472;gate-keeper;56;
13479;vege_1;56;
13487;final-crs_3;56;653
13744;gate-keeper;57;
13747;frui_0;57;
13757;final-crs_0;57;136
13875;gate-keeper;58;
13922;meat_1;58;
13959;final-crs_2;58;561
14291;gate-keeper;59;
14306;meat_0;59;
14374;final-crs_5;59;357
14585;gate-keeper;60;
14586;gate-keeper;61;
14587;vege_1;61;
14587;frui_1;60;
14648;final-crs_5;61;1734
14683;final-crs_0;60;542
14799;gate-keeper;62;
14805;vege_0;62;
14891;final-crs_5;62;889
15206;gate-keeper;63;
15210;vege_1;63;
15211;final-crs_1;63;982
15324;gate-keeper;64;
15331;vege_0;64;
15397;final-crs_5;64;1098
15644;gate-keeper;65;
15668;meat_0;65;
15669;final-crs_2;65;550
15775;gate-keeper;66;
15777;vege_0;66;
15778;final-crs_7;66;1430
16087;gate-keeper;67;
16093;frui_0;67;
16110;final-crs_5;67;405
16357;gate-keeper;68;
16358;gate-keeper;69;
16361;vege_0;68;
16361;frui_1;69;
16376;final-crs_6;68;84
16416;final-crs_1;69;366
16649;gate-keeper;70;
16653;frui_0;70;
16664;final-crs_1;70;146
16954;gate-keeper;71;
16955;gate-keeper;72;
16956;frui_1;71;
16956;gate-keeper;73;
16957;vege_0;72;
16957;vege_1;73;
16970;final-crs_7;71;997
17016;final-crs_0;72;231
17016;final-crs_4;73;681
17119;gate-keeper;74;
17120;gate-keeper;75;
17121;gate-keeper;76;
17122;vege_0;76;
17122;frui_0;74;
17126;final-crs_6;76;114
17129;meat_1;75;
17180;final-crs_7;74;86
17221;final-crs_2;75;1230
17540;gate-keeper;77;
17541;gate-keeper;78;
17542;frui_0;78;
17547;final-crs_5;78;1102
17553;meat_1;77;
17610;final-crs_1;77;824
17863;gate-keeper;79;
17870;meat_1;79;
17897;final-crs_7;79;756
18111;gate-keeper;80;
18112;frui_0;80;
18117;final-crs_7;80;350
18210;gate-keeper;81;
18211;frui_1;81;
18282;final-crs_2;81;1891
18546;gate-keeper;82;
18547;frui_1;82;
18549;final-crs_1;82;1511
18823;gate-keeper;83;
18827;frui_1;83;
18832;final-crs_5;83;1181
19088;gate-keeper;84;
19092;vege_0;84;
19127;final-crs_7;84;434
