time;ckpt;id;money
298;gate-keeper;0;
300;vege_1;0;
427;final-crs_5;0;154
546;gate-keeper;1;
548;vege_0;1;
676;final-crs_5;1;607
854;gate-keeper;2;
855;gate-keeper;3;
856;vege_1;2;
864;vege_0;3;
908;final-crs_5;2;742
930;final-crs_0;3;728
1136;gate-keeper;4;
1137;vege_1;4;
1164;final-crs_0;4;794
1474;gate-keeper;5;
1475;vege_1;5;
1475;gate-keeper;6;
1481;meat_0;6;
1483;final-crs_4;5;104
1572;final-crs_1;6;1599
1795;gate-keeper;7;
1796;gate-keeper;8;
1833;meat_0;7;
1852;meat_1;8;
1896;final-crs_3;7;489
1903;final-crs_7;8;1080
2086;gate-keeper;9;
2090;vege_0;9;
2113;final-crs_6;9;741
2396;gate-keeper;10;
2429;meat_0;10;
2473;final-crs_2;10;601
2669;gate-keeper;11;
2670;gate-keeper;12;
2672;vege_1;11;
2672;meat_0;12;
2682;final-crs_4;11;667
2708;final-crs_2;12;867
2960;gate-keeper;13;
2964;frui_1;13;
2992;final-crs_2;13;468
3213;gate-keeper;14;
3217;vege_0;14;
3294;final-crs_5;14;724
3460;gate-keeper;15;
3461;meat_1;15;
3541;final-crs_5;15;430
3588;gate-keeper;16;
3593;vege_0;16;
3632;final-crs_6;16;374
3714;gate-keeper;17;
3715;frui_0;17;
3738;final-crs_3;17;82
4000;gate-keeper;18;
4001;vege_1;18;
4022;final-crs_5;18;452
4343;gate-keeper;19;
4344;gate-keeper;20;
4347;vege_1;20;
4352;meat_0;19;
4355;final-crs_2;20;263
4359;final-crs_6;19;278
4650;gate-keeper;21;
4651;vege_1;21;
4694;final-crs_5;21;644
4997;gate-keeper;22;
4998;vege_0;22;
4998;gate-keeper;23;
5027;final-crs_3;22;344
5054;meat_1;23;
5074;final-crs_7;23;981
5212;gate-keeper;24;
5216;vege_0;24;
5278;final-crs_3;24;292
5531;gate-keeper;25;
5532;frui_1;25;
5535;final-crs_4;25;314
5815;gate-keeper;26;
5817;meat_0;26;
5819;final-crs_2;26;542
6102;gate-keeper;27;
6103;vege_1;27;
6103;gate-keeper;28;
6118;meat_0;28;
6148;final-crs_1;27;190
6220;final-crs_4;28;241
6450;gate-keeper;29;
6500;meat_1;29;
6506;final-crs_0;29;1538
6753;gate-keeper;30;
6754;gate-keeper;31;
6755;vege_1;30;
6760;vege_0;31;
6766;final-crs_0;30;255
6776;final-crs_6;31;584
7006;gate-keeper;32;
7008;vege_0;32;
7011;final-crs_0;32;892
7155;gate-keeper;33;
7159;frui_0;33;
7161;final-crs_7;33;458
7347;gate-keeper;34;
7348;vege_1;34;
7415;final-crs_1;34;1893
7653;gate-keeper;35;
7655;vege_0;35;
7667;final-crs_3;35;997
7969;gate-keeper;36;
7970;gate-keeper;37;
7975;vege_1;36;
7979;vege_0;37;
7980;final-crs_2;36;909
8030;final-crs_0;37;553
8261;gate-keeper;38;
8263;vege_1;38;
8298;final-crs_0;38;1372
8608;gate-keeper;39;
8609;gate-keeper;40;
8610;vege_0;39;
8634;meat_1;40;
8682;final-crs_2;39;1508
8689;final-crs_1;40;832
8921;gate-keeper;41;
8922;gate-keeper;42;
