time;ckpt;id;money
619;gate-keeper;0;
620;vege_0;0;
646;final-crs_5;0;575
927;gate-keeper;1;
930;vege_0;1;
955;final-crs_3;1;310
1014;gate-keeper;2;
1031;meat_1;2;
1043;final-crs_1;2;864
1276;gate-keeper;3;
1279;vege_0;3;
1318;final-crs_1;3;663
1553;gate-keeper;4;
1559;vege_0;4;
1579;final-crs_1;4;1115
1832;gate-keeper;5;
1835;vege_0;5;
1848;final-crs_1;5;543
2155;gate-keeper;6;
2156;vege_0;6;
2162;final-crs_0;6;930
2433;gate-keeper;7;
2434;vege_0;7;
2553;final-crs_4;7;1348
2724;gate-keeper;8;
2743;meat_0;8;
2813;final-crs_4;8;855
3038;gate-keeper;9;
3039;vege_0;9;
3054;final-crs_4;9;326
3321;gate-keeper;10;
3322;vege_0;10;
3326;final-crs_0;10;272
3610;gate-keeper;11;
3615;vege_1;11;
3632;final-crs_5;11;675
3877;gate-keeper;12;
3881;vege_1;12;
3882;final-crs_5;12;1091
4182;gate-keeper;13;
4183;vege_1;13;
4213;final-crs_2;13;873
4500;gate-keeper;14;
4507;vege_0;14;
4551;final-crs_5;14;373
5134;gate-keeper;15;
5135;gate-keeper;16;
5136;meat_1;15;
5137;vege_1;16;
5155;final-crs_2;15;738
5188;final-crs_4;16;1672
5723;gate-keeper;17;
5728;frui_0;17;
5740;final-crs_4;17;81
6001;gate-keeper;18;
6003;vege_0;18;
6027;final-crs_4;18;1836
6152;gate-keeper;19;
6154;vege_0;19;
6160;final-crs_1;19;1154
6577;gate-keeper;20;
6579;vege_1;20;
6629;final-crs_3;20;1229
6874;gate-keeper;21;
6876;vege_0;21;
6888;final-crs_1;21;687
7064;gate-keeper;22;
7065;vege_0;22;
7080;final-crs_5;22;810
7424;gate-keeper;23;
7466;meat_1;23;
7555;final-crs_0;23;2099
7723;gate-keeper;24;
7761;meat_1;24;
7808;final-crs_0;24;1070
8263;gate-keeper;25;
8295;meat_0;25;
8297;final-crs_1;25;1497
8574;gate-keeper;26;
8575;gate-keeper;27;
8577;vege_1;26;
8579;vege_0;27;
8583;final-crs_4;26;79
8760;final-crs_0;27;802
8946;gate-keeper;28;
8950;vege_1;28;
8988;final-crs_0;28;978
9186;gate-keeper;29;
9192;vege_1;29;
9214;final-crs_0;29;811
9820;gate-keeper;30;
9841;meat_0;30;
9942;final-crs_4;30;318
10111;gate-keeper;31;
10112;vege_0;31;
10200;final-crs_4;31;390
10416;gate-keeper;32;
10422;vege_1;32;
10446;final-crs_4;32;1383
10689;gate-keeper;33;
10713;meat_0;33;
10744;final-crs_2;33;397
10935;gate-keeper;34;
10940;vege_0;34;
10942;final-crs_5;34;361
11340;gate-keeper;35;
11353;meat_0;35;
11386;final-crs_0;35;457
11613;gate-keeper;36;
11618;vege_1;36;
11627;final-crs_5;36;475
11783;gate-keeper;37;
11789;vege_0;37;
11838;final-crs_5;37;692
12127;gate-keeper;38;
12175;meat_0;38;
12187;final-crs_0;38;946
12402;gate-keeper;39;
12421;meat_0;39;
12451;final-crs_1;39;817
12978;gate-keeper;40;
13009;meat_1;40;
13021;final-crs_4;40;1082
13286;gate-keeper;41;
13294;meat_0;41;
13323;final-crs_5;41;422
13591;gate-keeper;42;
13596;frui_0;42;
13619;final-crs_0;42;818
13846;gate-keeper;43;
13847;vege_0;43;
13854;final-crs_5;43;260
14162;gate-keeper;44;
14182;meat_0;44;
14211;final-crs_3;44;975
14431;gate-keeper;45;
14435;vege_1;45;
14441;final-crs_1;45;551
14729;gate-keeper;46;
14739;vege_1;46;
14767;final-crs_4;46;793
15057;gate-keeper;47;
15059;meat_1;47;
15070;final-crs_0;47;123
15512;gate-keeper;48;
15514;frui_1;48;
15576;final-crs_5;48;1414
15874;gate-keeper;49;
15877;vege_1;49;
15908;final-crs_3;49;108
16144;gate-keeper;50;
16145;vege_0;50;
16179;final-crs_1;50;544
16427;gate-keeper;51;
16430;vege_0;51;
16443;final-crs_2;51;336
16708;gate-keeper;52;
16713;vege_1;52;
16742;final-crs_0;52;306
17034;gate-keeper;53;
17070;meat_0;53;
17156;final-crs_1;53;1221
17294;gate-keeper;54;
17296;vege_1;54;
17310;final-crs_2;54;993
17633;gate-keeper;55;
17634;vege_1;55;
17655;final-crs_5;55;561
17909;gate-keeper;56;
17914;vege_0;56;
17945;final-crs_3;56;1916
18192;gate-keeper;57;
18197;vege_1;57;
18211;final-crs_4;57;327
18301;gate-keeper;58;
18336;meat_0;58;
18353;final-crs_0;58;514
18419;gate-keeper;59;
18420;vege_1;59;
18420;gate-keeper;60;
18421;gate-keeper;61;
18428;vege_0;60;
18430;vege_1;61;
18440;final-crs_1;59;611
18446;final-crs_3;60;729
18484;final-crs_4;61;323
18807;gate-keeper;62;
18810;vege_0;62;
18846;final-crs_0;62;216
19069;gate-keeper;63;
19072;vege_0;63;
19117;final-crs_1;63;709
19262;gate-keeper;64;
19265;vege_1;64;
19317;final-crs_0;64;1502
19660;gate-keeper;65;
19661;gate-keeper;66;
19662;frui_0;66;
19673;final-crs_4;66;74
19690;meat_0;65;
19734;final-crs_2;65;811
19939;gate-keeper;67;
19940;gate-keeper;68;
19946;vege_1;67;
19947;meat_0;68;
20026;final-crs_0;67;495
20055;gate-keeper;69;
20061;vege_1;69;
20065;final-crs_1;68;1602
20094;final-crs_3;69;265
20211;gate-keeper;70;
20214;frui_0;70;
