time;ckpt;id;money
319;gate-keeper;0;
323;frui_0;0;
469;final-crs_1;0;4041
900;gate-keeper;1;
901;frui_1;1;
913;final-crs_5;1;617
1241;gate-keeper;2;
1243;vege_1;2;
1277;final-crs_2;2;748
1804;gate-keeper;3;
1805;vege_1;3;
1877;final-crs_5;3;980
1910;gate-keeper;4;
1912;frui_1;4;
1927;final-crs_1;4;882
2473;gate-keeper;5;
2474;vege_0;5;
2478;final-crs_0;5;363
2822;gate-keeper;6;
2824;frui_1;6;
2865;final-crs_4;6;814
3460;gate-keeper;7;
3465;vege_1;7;
3517;final-crs_2;7;2040
3674;gate-keeper;8;
3680;frui_0;8;
3737;final-crs_2;8;1590
4054;gate-keeper;9;
4055;frui_1;9;
4058;final-crs_1;9;2421
4334;gate-keeper;10;
4339;frui_1;10;
4353;final-crs_3;10;3796
4935;gate-keeper;11;
4937;vege_0;11;
4956;final-crs_1;11;2813
5249;gate-keeper;12;
5250;vege_0;12;
5310;final-crs_3;12;152
5466;gate-keeper;13;
5467;vege_1;13;
5569;final-crs_5;13;3636
5813;gate-keeper;14;
5816;vege_0;14;
5827;final-crs_2;14;1838
6379;gate-keeper;15;
6381;vege_0;15;
6507;final-crs_2;15;1451
6692;gate-keeper;16;
6697;vege_0;16;
6713;final-crs_2;16;1793
6995;gate-keeper;17;
7002;vege_0;17;
7097;final-crs_4;17;2055
7361;gate-keeper;18;
7365;vege_0;18;
7401;final-crs_1;18;1987
7912;gate-keeper;19;
7914;vege_1;19;
7918;final-crs_0;19;1137
8169;gate-keeper;20;
8176;vege_1;20;
8192;final-crs_3;20;211
8783;gate-keeper;21;
8787;frui_1;21;
8817;final-crs_1;21;367
9028;gate-keeper;22;
9030;vege_0;22;
9071;final-crs_3;22;2665
9392;gate-keeper;23;
9395;vege_0;23;
9514;final-crs_1;23;3525
10026;gate-keeper;24;
10027;vege_1;24;
10035;final-crs_3;24;128
10329;gate-keeper;25;
10335;vege_1;25;
10355;final-crs_5;25;741
10632;gate-keeper;26;
10633;frui_0;26;
10719;final-crs_1;26;466
10963;gate-keeper;27;
10966;vege_1;27;
10979;final-crs_1;27;1022
