time;ckpt;id;money
307;gate-keeper;0;
309;vege_0;0;
447;final-crs_1;0;1168
653;gate-keeper;1;
654;gate-keeper;2;
661;meat_0;1;
662;final-crs_1;1;304
696;meat_1;2;
706;final-crs_5;2;455
869;gate-keeper;3;
898;meat_0;3;
901;final-crs_5;3;1224
1223;gate-keeper;4;
1247;meat_0;4;
1331;final-crs_1;4;858
1548;gate-keeper;5;
1549;gate-keeper;6;
1550;vege_0;5;
1555;vege_1;6;
1600;final-crs_0;5;2283
1611;final-crs_5;6;1035
1719;gate-keeper;7;
1721;vege_0;7;
1742;final-crs_4;7;369
2100;gate-keeper;8;
2101;gate-keeper;9;
2105;vege_0;8;
2107;vege_1;9;
2108;final-crs_5;8;1126
2143;final-crs_2;9;1008
2384;gate-keeper;10;
2386;vege_0;10;
2438;final-crs_4;10;1762
2707;gate-keeper;11;
2708;gate-keeper;12;
2712;vege_0;11;
2718;final-crs_3;11;764
2732;meat_1;12;
2740;final-crs_1;12;1411
3024;gate-keeper;13;
3047;meat_0;13;
3087;final-crs_0;13;80
3276;gate-keeper;14;
3277;gate-keeper;15;
3281;vege_0;14;
3287;final-crs_5;14;1923
3292;meat_0;15;
3317;final-crs_0;15;386
3560;gate-keeper;16;
3563;vege_1;16;
3568;final-crs_0;16;1282
3881;gate-keeper;17;
3884;vege_0;17;
3886;final-crs_1;17;842
4163;gate-keeper;18;
4164;gate-keeper;19;
4169;vege_0;19;
4193;meat_0;18;
4250;final-crs_5;19;699
4254;final-crs_2;18;467
4472;gate-keeper;20;
4479;vege_0;20;
4525;final-crs_2;20;1253
4789;gate-keeper;21;
4790;gate-keeper;22;
4793;vege_0;21;
4805;meat_0;22;
4845;final-crs_3;21;851
4853;final-crs_0;22;613
5095;gate-keeper;23;
5096;gate-keeper;24;
5097;vege_1;23;
5098;meat_0;24;
5102;final-crs_1;23;617
5130;final-crs_4;24;832
5385;gate-keeper;25;
5388;meat_0;25;
5395;final-crs_5;25;2101
5667;gate-keeper;26;
5668;gate-keeper;27;
5673;vege_1;26;
5692;meat_1;27;
5706;final-crs_3;26;297
5762;final-crs_2;27;680
5944;gate-keeper;28;
5982;meat_1;28;
5986;final-crs_0;28;250
6210;gate-keeper;29;
6217;vege_0;29;
6225;final-crs_2;29;585
6282;gate-keeper;30;
6285;vege_1;30;
6299;final-crs_4;30;2362
6528;gate-keeper;31;
6530;vege_0;31;
6662;final-crs_3;31;1475
6835;gate-keeper;32;
6840;frui_1;32;
6882;final-crs_3;32;595
7112;gate-keeper;33;
7119;vege_1;33;
7162;final-crs_0;33;664
7267;gate-keeper;34;
7278;meat_1;34;
7302;final-crs_5;34;334
7402;gate-keeper;35;
7403;vege_1;35;
7459;final-crs_1;35;99
7685;gate-keeper;36;
7690;vege_0;36;
7714;final-crs_2;36;1160
8014;gate-keeper;37;
8015;gate-keeper;38;
8016;vege_0;38;
8020;meat_1;37;
8071;final-crs_3;38;522
8099;final-crs_4;37;2482
8216;gate-keeper;39;
8224;vege_0;39;
8303;final-crs_4;39;2197
8365;gate-keeper;40;
8366;vege_0;40;
8385;final-crs_5;40;948
8711;gate-keeper;41;
8713;vege_0;41;
8778;final-crs_4;41;465
8993;gate-keeper;42;
8994;gate-keeper;43;
8995;meat_1;42;
8997;vege_1;43;
9027;final-crs_4;42;78
9070;final-crs_0;43;710
9166;gate-keeper;44;
9169;vege_1;44;
9255;final-crs_4;44;1524
9578;gate-keeper;45;
9579;gate-keeper;46;
9584;vege_0;45;
9584;vege_1;46;
9623;final-crs_5;45;441
9755;final-crs_4;46;1117
9880;gate-keeper;47;
9885;vege_0;47;
10007;final-crs_3;47;757
10169;gate-keeper;48;
10176;meat_0;48;
10223;final-crs_3;48;285
10245;gate-keeper;49;
10254;vege_0;49;
10268;final-crs_0;49;698
10558;gate-keeper;50;
10560;vege_0;50;
10636;final-crs_5;50;1093
10888;gate-keeper;51;
10889;gate-keeper;52;
10896;vege_0;52;
10897;final-crs_5;52;504
10914;meat_1;51;
10961;final-crs_3;51;554
11056;gate-keeper;53;
11060;vege_1;53;
11148;final-crs_5;53;1061
11405;gate-keeper;54;
11408;vege_0;54;
11424;final-crs_3;54;427
11470;gate-keeper;55;
11472;vege_0;55;
11487;final-crs_0;55;233
11768;gate-keeper;56;
11770;frui_0;56;
11773;final-crs_2;56;1655
11968;gate-keeper;57;
11977;vege_1;57;
12016;final-crs_4;57;1365
12382;gate-keeper;58;
12383;gate-keeper;59;
12387;vege_0;58;
12400;meat_0;59;
12401;final-crs_5;58;316
12442;final-crs_0;59;1000
12718;gate-keeper;60;
12719;vege_0;60;
12720;final-crs_4;60;1409
12880;gate-keeper;61;
12881;vege_0;61;
12886;final-crs_3;61;1667
13015;gate-keeper;62;
13019;vege_1;62;
13066;final-crs_1;62;1172
13331;gate-keeper;63;
13338;vege_0;63;
13368;final-crs_0;63;804
13641;gate-keeper;64;
13642;gate-keeper;65;
13643;vege_0;64;
13645;vege_1;65;
13773;final-crs_1;64;2562
13779;final-crs_2;65;1166
13920;gate-keeper;66;
13924;vege_1;66;
13976;final-crs_1;66;363
14303;gate-keeper;67;
14304;gate-keeper;68;
14307;vege_1;67;
14311;vege_0;68;
14342;final-crs_5;67;1012
14353;final-crs_3;68;62
14545;gate-keeper;69;
14548;frui_1;69;
14587;final-crs_5;69;1927
14820;gate-keeper;70;
14826;vege_0;70;
14827;final-crs_3;70;1071
15110;gate-keeper;71;
15111;gate-keeper;72;
15112;vege_0;71;
15114;frui_0;72;
15126;final-crs_1;71;494
15128;final-crs_0;72;61
15388;gate-keeper;73;
15392;vege_0;73;
15394;final-crs_0;73;1478
15623;gate-keeper;74;
15668;meat_0;74;
15722;final-crs_2;74;338
15727;gate-keeper;75;
15729;meat_1;75;
15739;final-crs_3;75;308
16015;gate-keeper;76;
16019;vege_0;76;
16053;final-crs_1;76;1012
16337;gate-keeper;77;
16338;gate-keeper;78;
16343;vege_0;77;
16346;vege_1;78;
16432;final-crs_4;77;1451
16441;final-crs_2;78;678
16597;gate-keeper;79;
16598;vege_1;79;
16628;final-crs_4;79;681
16917;gate-keeper;80;
16918;gate-keeper;81;
16920;vege_1;81;
16938;meat_1;80;
16942;final-crs_3;81;567
17029;final-crs_1;80;297
17212;gate-keeper;82;
17214;vege_0;82;
17270;final-crs_1;82;526
17518;gate-keeper;83;
17523;vege_1;83;
17526;final-crs_0;83;696
17835;gate-keeper;84;
17836;gate-keeper;85;
17837;vege_0;85;
17837;gate-keeper;86;
17838;gate-keeper;87;
17846;vege_1;86;
17847;meat_0;84;
17864;meat_1;87;
17876;final-crs_4;85;70
17894;final-crs_1;86;354
17897;final-crs_5;84;457
17924;final-crs_3;87;289
18125;gate-keeper;88;
18126;vege_0;88;
18126;gate-keeper;89;
18127;gate-keeper;90;
18128;gate-keeper;91;
18129;final-crs_1;88;2084
18129;vege_1;89;
18129;frui_0;91;
18150;meat_1;90;
18169;final-crs_5;89;848
18171;final-crs_3;91;548
18228;final-crs_0;90;1085
18338;gate-keeper;92;
18388;meat_0;92;
18392;final-crs_1;92;1079
18435;gate-keeper;93;
18445;meat_0;93;
18459;final-crs_0;93;442
18694;gate-keeper;94;
18696;vege_0;94;
18711;final-crs_0;94;954
18982;gate-keeper;95;
18983;gate-keeper;96;
18986;vege_1;95;
18986;frui_1;96;
19055;final-crs_1;95;1542
19100;final-crs_4;96;706
19283;gate-keeper;97;
19290;vege_0;97;
19366;final-crs_2;97;1435
19538;gate-keeper;98;
19546;vege_1;98;
19571;final-crs_3;98;970
19836;gate-keeper;99;
19837;vege_0;99;
19837;gate-keeper;100;
19838;gate-keeper;101;
19839;gate-keeper;102;
19841;final-crs_2;99;272
19845;vege_1;100;
19848;vege_0;101;
19860;meat_1;102;
19869;final-crs_4;100;447
19886;final-crs_5;101;901
19978;final-crs_0;102;528
20090;gate-keeper;103;
20091;gate-keeper;104;
20092;gate-keeper;105;
20093;gate-keeper;106;
20099;vege_0;103;
20099;vege_1;106;
20101;final-crs_4;103;459
20105;meat_1;104;
20138;meat_0;105;
20221;final-crs_0;106;1254
20284;final-crs_3;104;819
20297;final-crs_1;105;386
20374;gate-keeper;107;
20375;gate-keeper;108;
20376;frui_0;107;
20376;gate-keeper;109;
20377;vege_1;108;
20377;gate-keeper;110;
20382;vege_0;109;
20410;meat_1;110;
20472;final-crs_0;107;880
20475;final-crs_3;108;829
20491;final-crs_1;109;820
20512;final-crs_4;110;159
20654;gate-keeper;111;
20655;vege_1;111;
20655;gate-keeper;112;
20656;gate-keeper;113;
20663;vege_0;112;
20663;vege_1;113;
20704;final-crs_0;111;248
20738;final-crs_1;112;373
20759;final-crs_4;113;530
20991;gate-keeper;114;
20992;gate-keeper;115;
20993;vege_0;114;
20993;vege_1;115;
20994;final-crs_2;114;867
21003;final-crs_1;115;922
21108;gate-keeper;116;
21130;meat_1;116;
21214;final-crs_1;116;460
21585;gate-keeper;117;
21586;vege_1;117;
21586;gate-keeper;118;
21587;gate-keeper;119;
21588;gate-keeper;120;
21595;vege_0;119;
21597;vege_1;120;
21606;meat_0;118;
21710;final-crs_0;117;1851
21720;final-crs_1;119;972
21724;final-crs_5;120;316
21751;final-crs_2;118;158
21862;gate-keeper;121;
21863;gate-keeper;122;
21864;gate-keeper;123;
21865;vege_0;123;
21865;gate-keeper;124;
21871;frui_0;124;
21882;meat_1;121;
21903;meat_0;122;
21927;gate-keeper;125;
21928;gate-keeper;126;
21929;gate-keeper;127;
21930;gate-keeper;128;
21932;vege_0;126;
21932;vege_1;127;
21941;vege_0;128;
21941;meat_1;125;
21948;final-crs_0;123;210
21949;final-crs_5;124;1040
21983;final-crs_2;121;144
21989;final-crs_1;122;1373
22021;final-crs_4;126;1545
22049;final-crs_3;127;580
22138;gate-keeper;129;
22139;gate-keeper;130;
22140;gate-keeper;131;
22141;gate-keeper;132;
22144;frui_1;131;
22145;vege_1;129;
22146;frui_0;132;
22156;meat_0;130;
22167;final-crs_0;128;753
22182;final-crs_2;125;459
22190;final-crs_5;131;421
22241;final-crs_1;129;1590
22274;final-crs_4;132;347
22335;final-crs_3;130;1168
22440;gate-keeper;133;
22441;gate-keeper;134;
22442;vege_0;133;
22442;gate-keeper;135;
22443;gate-keeper;136;
22444;vege_1;134;
22452;vege_1;136;
22462;final-crs_2;133;1888
22470;meat_1;135;
22496;final-crs_4;134;196
22509;final-crs_1;136;126
22585;final-crs_3;135;1284
22718;gate-keeper;137;
22719;gate-keeper;138;
22720;gate-keeper;139;
22721;gate-keeper;140;
22724;frui_0;139;
22726;vege_1;137;
22727;vege_0;138;
22734;final-crs_1;139;147
22736;vege_0;140;
22758;final-crs_4;137;1517
22777;final-crs_3;138;494
22871;final-crs_0;140;607
22908;gate-keeper;141;
22909;gate-keeper;142;
22910;gate-keeper;143;
22911;vege_0;141;
22911;gate-keeper;144;
22916;vege_1;142;
22919;vege_0;143;
22950;meat_1;144;
22955;final-crs_5;141;302
22975;final-crs_3;142;305
22994;final-crs_4;143;159
23023;final-crs_1;144;700
23065;gate-keeper;145;
23108;meat_0;145;
23112;final-crs_0;145;487
23288;gate-keeper;146;
23289;gate-keeper;147;
23290;gate-keeper;148;
23291;meat_0;148;
23291;gate-keeper;149;
23296;vege_0;146;
23296;vege_1;147;
23306;meat_1;149;
23320;final-crs_0;148;1100
23394;final-crs_2;146;2228
23414;final-crs_5;147;616
23457;final-crs_1;149;262
23571;gate-keeper;150;
23572;gate-keeper;151;
23573;gate-keeper;152;
23574;frui_1;151;
23575;frui_0;152;
23579;vege_0;150;
23597;final-crs_0;151;792
23626;final-crs_2;152;639
23636;final-crs_5;150;1921
23819;gate-keeper;153;
23835;meat_1;153;
23850;final-crs_0;153;2039
24188;gate-keeper;154;
24189;gate-keeper;155;
24192;meat_1;154;
24209;meat_0;155;
24234;final-crs_4;154;1873
24245;final-crs_3;155;1412
24401;gate-keeper;156;
24402;gate-keeper;157;
24403;gate-keeper;158;
24404;gate-keeper;159;
24405;meat_0;157;
24406;vege_1;156;
24410;vege_0;158;
24417;vege_1;159;
24459;final-crs_4;157;1107
24481;final-crs_3;156;366
24569;final-crs_2;158;862
24594;final-crs_5;159;430
24695;gate-keeper;160;
24696;gate-keeper;161;
24697;gate-keeper;162;
24699;vege_1;160;
24700;frui_0;162;
24703;vege_0;161;
24716;final-crs_3;160;2206
24722;final-crs_4;162;216
24801;final-crs_2;161;1407
24901;gate-keeper;163;
24902;vege_1;163;
24918;final-crs_0;163;333
25007;gate-keeper;164;
25011;frui_1;164;
25034;final-crs_1;164;1835
25344;gate-keeper;165;
25352;vege_0;165;
25429;final-crs_4;165;1757
25624;gate-keeper;166;
25625;vege_1;166;
25645;gate-keeper;167;
25649;meat_0;167;
25685;final-crs_0;166;545
25690;final-crs_4;167;395
25965;gate-keeper;168;
25966;gate-keeper;169;
25967;frui_0;169;
25967;gate-keeper;170;
25968;gate-keeper;171;
25971;vege_1;170;
25972;vege_0;171;
26007;meat_0;168;
26015;final-crs_5;169;203
26054;final-crs_2;170;903
26065;final-crs_1;171;951
26110;final-crs_0;168;829
26226;gate-keeper;172;
26227;gate-keeper;173;
26228;gate-keeper;174;
26233;vege_0;172;
26238;meat_0;173;
26239;meat_1;174;
26265;final-crs_5;172;346
26278;final-crs_1;173;530
26312;final-crs_2;174;914
26454;gate-keeper;175;
26461;vege_0;175;
26472;final-crs_1;175;918
26519;gate-keeper;176;
26532;meat_0;176;
26575;final-crs_0;176;97
26817;gate-keeper;177;
26820;vege_1;177;
26894;final-crs_4;177;1478
27128;gate-keeper;178;
27129;gate-keeper;179;
27134;vege_0;178;
27136;final-crs_1;178;495
27143;meat_0;179;
