time;ckpt;id;money
638;gate-keeper;0;
643;vege_1;0;
689;final-crs_0;0;1009
821;gate-keeper;1;
826;vege_1;1;
907;final-crs_3;1;921
1292;gate-keeper;2;
1293;gate-keeper;3;
1296;vege_0;2;
1298;vege_1;3;
1383;final-crs_3;2;1334
1426;final-crs_0;3;262
1617;gate-keeper;4;
1643;meat_0;4;
1682;final-crs_4;4;353
2178;gate-keeper;5;
2179;vege_1;5;
2194;final-crs_1;5;909
2498;gate-keeper;6;
2501;frui_1;6;
2564;final-crs_0;6;262
2619;gate-keeper;7;
2620;vege_1;7;
2624;final-crs_4;7;608
3147;gate-keeper;8;
3185;meat_0;8;
3264;final-crs_2;8;1107
3458;gate-keeper;9;
3459;vege_0;9;
3494;final-crs_2;9;93
3738;gate-keeper;10;
3742;frui_0;10;
3743;final-crs_2;10;328
4065;gate-keeper;11;
4086;meat_0;11;
4124;final-crs_3;11;1397
4375;gate-keeper;12;
4378;frui_0;12;
4385;final-crs_3;12;226
4657;gate-keeper;13;
4663;vege_0;13;
4702;final-crs_5;13;1685
5254;gate-keeper;14;
5261;vege_0;14;
5268;final-crs_0;14;1570
5284;gate-keeper;15;
5289;vege_0;15;
5342;final-crs_4;15;323
5809;gate-keeper;16;
5811;vege_1;16;
5826;final-crs_3;16;810
6082;gate-keeper;17;
6091;vege_0;17;
6097;final-crs_3;17;1047
6425;gate-keeper;18;
6462;meat_0;18;
6522;final-crs_5;18;322
6713;gate-keeper;19;
6765;meat_0;19;
6827;final-crs_3;19;1217
7033;gate-keeper;20;
7034;frui_0;20;
7104;final-crs_3;20;341
7335;gate-keeper;21;
7340;vege_0;21;
7363;final-crs_4;21;2170
7586;gate-keeper;22;
7609;meat_1;22;
7648;final-crs_1;22;605
8047;gate-keeper;23;
8049;frui_1;23;
8148;final-crs_1;23;1546
8534;gate-keeper;24;
8542;vege_0;24;
8653;final-crs_0;24;1902
8832;gate-keeper;25;
8834;vege_1;25;
8865;final-crs_0;25;1301
9157;gate-keeper;26;
9192;meat_1;26;
9240;final-crs_3;26;982
9443;gate-keeper;27;
9446;vege_0;27;
9508;final-crs_0;27;1015
9724;gate-keeper;28;
9727;vege_0;28;
9746;final-crs_5;28;679
10053;gate-keeper;29;
10060;vege_1;29;
10080;final-crs_2;29;1925
10517;gate-keeper;30;
10518;vege_1;30;
10527;final-crs_1;30;844
10976;gate-keeper;31;
10981;frui_1;31;
10999;final-crs_5;31;987
11152;gate-keeper;32;
11157;vege_0;32;
11230;final-crs_0;32;2661
11398;gate-keeper;33;
11402;vege_0;33;
11462;final-crs_0;33;2276
11857;gate-keeper;34;
11859;meat_1;34;
11862;final-crs_3;34;277
12197;gate-keeper;35;
12205;vege_0;35;
12215;final-crs_1;35;820
12490;gate-keeper;36;
12492;vege_1;36;
12499;final-crs_2;36;1137
12823;gate-keeper;37;
12861;meat_1;37;
12885;final-crs_0;37;1625
13022;gate-keeper;38;
13025;vege_0;38;
13053;final-crs_3;38;922
13439;gate-keeper;39;
13443;vege_0;39;
13472;final-crs_5;39;125
13723;gate-keeper;40;
13725;vege_0;40;
13738;final-crs_5;40;1658
13989;gate-keeper;41;
13994;vege_0;41;
14007;final-crs_3;41;1460
14269;gate-keeper;42;
14270;frui_1;42;
14284;final-crs_4;42;100
14569;gate-keeper;43;
14577;meat_1;43;
14651;final-crs_2;43;411
14943;gate-keeper;44;
14947;vege_1;44;
15007;final-crs_4;44;676
15200;gate-keeper;45;
15204;vege_0;45;
15245;final-crs_3;45;75
15510;gate-keeper;46;
15511;vege_1;46;
15513;final-crs_4;46;2044
15826;gate-keeper;47;
15831;vege_0;47;
15871;final-crs_2;47;1157
16179;gate-keeper;48;
16180;vege_1;48;
16185;final-crs_3;48;972
16464;gate-keeper;49;
16465;vege_1;49;
16502;final-crs_4;49;251
17040;gate-keeper;50;
17041;vege_0;50;
17071;final-crs_5;50;742
17299;gate-keeper;51;
17301;vege_0;51;
17311;final-crs_2;51;1219
17581;gate-keeper;52;
17586;frui_0;52;
17601;final-crs_2;52;833
17868;gate-keeper;53;
17895;meat_1;53;
17899;final-crs_1;53;261
18134;gate-keeper;54;
18135;vege_0;54;
18137;final-crs_4;54;178
18445;gate-keeper;55;
18447;frui_1;55;
18502;final-crs_5;55;1991
18733;gate-keeper;56;
18740;vege_0;56;
18812;final-crs_2;56;506
19033;gate-keeper;57;
19034;gate-keeper;58;
19038;frui_0;57;
19039;final-crs_5;57;1163
19047;meat_0;58;
19051;gate-keeper;59;
19052;vege_0;59;
19052;gate-keeper;60;
19077;final-crs_0;58;417
19081;final-crs_3;59;1624
19085;meat_1;60;
19119;final-crs_1;60;364
19313;gate-keeper;61;
19314;gate-keeper;62;
19316;vege_1;61;
19318;vege_0;62;
19329;final-crs_0;61;1513
19354;final-crs_1;62;1638
19635;gate-keeper;63;
19636;gate-keeper;64;
19644;meat_0;63;
19668;meat_1;64;
19735;final-crs_2;63;1300
19744;final-crs_5;64;417
19972;gate-keeper;65;
19987;meat_1;65;
20010;final-crs_2;65;1861
20270;gate-keeper;66;
20277;vege_0;66;
20298;final-crs_4;66;1827
20525;gate-keeper;67;
20530;meat_0;67;
20532;final-crs_2;67;1129
20774;gate-keeper;68;
20775;vege_1;68;
20775;gate-keeper;69;
20776;vege_0;69;
20779;final-crs_3;68;454
20812;final-crs_2;69;1120
20893;gate-keeper;70;
20894;gate-keeper;71;
20934;meat_1;70;
20940;meat_0;71;
20965;final-crs_0;70;583
21005;final-crs_3;71;297
21069;gate-keeper;72;
21070;vege_0;72;
21140;final-crs_5;72;540
21317;gate-keeper;73;
21318;vege_0;73;
21397;final-crs_5;73;1896
21508;gate-keeper;74;
21509;gate-keeper;75;
21510;gate-keeper;76;
21511;gate-keeper;77;
21512;frui_0;75;
21512;gate-keeper;78;
21513;gate-keeper;79;
21518;vege_1;77;
21519;vege_0;78;
21525;final-crs_2;75;1244
21527;vege_0;79;
21534;final-crs_4;77;419
21537;meat_1;74;
21557;meat_0;76;
21560;gate-keeper;80;
21565;final-crs_1;78;114
21565;vege_0;80;
21641;final-crs_5;79;1044
21651;final-crs_0;74;2065
21753;final-crs_1;76;817
21782;final-crs_2;80;1291
21817;gate-keeper;81;
21818;gate-keeper;82;
21822;meat_0;81;
21844;gate-keeper;83;
21845;frui_1;83;
21865;final-crs_0;81;1855
21880;meat_1;82;
21881;final-crs_5;83;1173
21987;final-crs_2;82;726
22182;gate-keeper;84;
22183;gate-keeper;85;
22185;vege_1;85;
22190;meat_1;84;
22208;final-crs_1;85;786
22209;final-crs_4;84;766
22518;gate-keeper;86;
22519;vege_0;86;
22519;gate-keeper;87;
22536;final-crs_3;86;716
22567;meat_1;87;
22577;final-crs_0;87;1780
22684;gate-keeper;88;
22685;gate-keeper;89;
22738;meat_0;88;
22741;final-crs_4;88;578
22745;meat_1;89;
22768;final-crs_3;89;1113
23134;gate-keeper;90;
23135;gate-keeper;91;
23140;meat_1;90;
23152;meat_0;91;
23228;final-crs_2;90;1451
23279;final-crs_4;91;1248
23412;gate-keeper;92;
23413;gate-keeper;93;
23414;frui_0;93;
23447;meat_0;92;
23470;final-crs_2;93;600
23510;final-crs_4;92;784
23583;gate-keeper;94;
23584;gate-keeper;95;
23588;vege_0;94;
23588;meat_0;95;
23595;final-crs_5;94;1053
23712;final-crs_4;95;1928
24095;gate-keeper;96;
24096;gate-keeper;97;
24102;vege_1;96;
24115;meat_0;97;
24176;final-crs_2;96;1038
24181;final-crs_4;97;1180
24429;gate-keeper;98;
24435;vege_0;98;
24482;final-crs_3;98;1714
24729;gate-keeper;99;
24730;gate-keeper;100;
24734;vege_0;99;
24736;vege_1;100;
24774;final-crs_1;99;443
24788;final-crs_5;100;762
25003;gate-keeper;101;
25004;gate-keeper;102;
25009;vege_1;102;
25013;final-crs_3;102;521
25047;meat_1;101;
25093;final-crs_2;101;922
25326;gate-keeper;103;
25327;gate-keeper;104;
25331;vege_1;103;
25335;vege_0;104;
25355;final-crs_2;103;475
25408;final-crs_3;104;829
25467;gate-keeper;105;
25468;meat_1;105;
25468;gate-keeper;106;
25480;meat_0;106;
25486;gate-keeper;107;
25491;vege_1;107;
25596;final-crs_2;105;1930
25637;final-crs_4;106;581
25642;final-crs_5;107;1939
25897;gate-keeper;108;
25902;vege_0;108;
25914;final-crs_5;108;1993
26172;gate-keeper;109;
26183;meat_1;109;
26244;final-crs_1;109;296
26380;gate-keeper;110;
26414;meat_1;110;
26525;final-crs_1;110;1372
26756;gate-keeper;111;
26766;meat_1;111;
26789;final-crs_3;111;1324
27110;gate-keeper;112;
27113;vege_0;112;
27210;final-crs_1;112;943
27427;gate-keeper;113;
27433;frui_1;113;
27493;final-crs_3;113;1120
27982;gate-keeper;114;
28017;meat_1;114;
28111;final-crs_1;114;1314
28145;gate-keeper;115;
28147;vege_0;115;
28197;final-crs_4;115;1730
28611;gate-keeper;116;
28613;frui_1;116;
28619;final-crs_1;116;1556
28896;gate-keeper;117;
28915;meat_1;117;
28919;final-crs_5;117;1725
29147;gate-keeper;118;
29152;vege_1;118;
29181;final-crs_4;118;2165
29769;gate-keeper;119;
29771;vege_0;119;
29791;final-crs_2;119;788
29900;gate-keeper;120;
29927;meat_1;120;
29938;final-crs_3;120;455
30335;gate-keeper;121;
30373;meat_0;121;
30394;final-crs_1;121;2316
30653;gate-keeper;122;
30686;meat_0;122;
30745;final-crs_2;122;817
30793;gate-keeper;123;
30794;vege_0;123;
30832;final-crs_1;123;665
31212;gate-keeper;124;
31227;meat_1;124;
31283;final-crs_5;124;308
31530;gate-keeper;125;
31573;meat_1;125;
31612;final-crs_3;125;1609
31786;gate-keeper;126;
31788;frui_0;126;
31839;final-crs_3;126;1067
32176;gate-keeper;127;
32180;vege_0;127;
32204;final-crs_1;127;1189
32501;gate-keeper;128;
32503;frui_1;128;
32518;final-crs_5;128;1446
32855;gate-keeper;129;
32857;vege_0;129;
32862;final-crs_1;129;1128
33195;gate-keeper;130;
33196;vege_0;130;
33197;final-crs_4;130;468
33367;gate-keeper;131;
33368;vege_1;131;
33377;final-crs_1;131;1409
33812;gate-keeper;132;
33813;vege_0;132;
33861;final-crs_1;132;92
34035;gate-keeper;133;
34036;vege_0;133;
34091;final-crs_1;133;301
34425;gate-keeper;134;
34427;frui_1;134;
34559;final-crs_1;134;345
34757;gate-keeper;135;
34760;vege_1;135;
34811;final-crs_0;135;532
35122;gate-keeper;136;
35152;meat_0;136;
35225;final-crs_5;136;60
35403;gate-keeper;137;
35434;meat_1;137;
35440;final-crs_5;137;1479
35686;gate-keeper;138;
35691;vege_0;138;
35724;final-crs_1;138;416
35983;gate-keeper;139;
36002;meat_1;139;
36058;final-crs_2;139;778
36310;gate-keeper;140;
36313;vege_1;140;
36368;final-crs_3;140;564
36821;gate-keeper;141;
36846;meat_0;141;
36866;final-crs_5;141;887
36907;gate-keeper;142;
36909;meat_0;142;
36922;final-crs_1;142;1123
37446;gate-keeper;143;
37448;vege_0;143;
37451;final-crs_0;143;2175
37756;gate-keeper;144;
37760;meat_0;144;
37785;final-crs_5;144;1425
37890;gate-keeper;145;
37891;gate-keeper;146;
37894;vege_0;145;
37895;vege_1;146;
37940;final-crs_0;145;933
37970;final-crs_1;146;438
38080;gate-keeper;147;
38081;gate-keeper;148;
38084;vege_1;148;
38093;final-crs_4;148;516
38104;meat_0;147;
38105;final-crs_3;147;174
38365;gate-keeper;149;
38410;meat_0;149;
38418;final-crs_0;149;252
38661;gate-keeper;150;
38662;vege_1;150;
38679;final-crs_0;150;1069
38795;gate-keeper;151;
38801;vege_1;151;
38828;final-crs_2;151;271
39275;gate-keeper;152;
39276;vege_0;152;
39325;final-crs_5;152;947
39530;gate-keeper;153;
39535;vege_0;153;
39569;final-crs_2;153;292
39863;gate-keeper;154;
39868;frui_0;154;
39989;final-crs_3;154;828
40149;gate-keeper;155;
40173;meat_1;155;
40204;final-crs_3;155;1289
40490;gate-keeper;156;
40495;vege_1;156;
40548;final-crs_5;156;600
40806;gate-keeper;157;
40813;vege_0;157;
40822;final-crs_0;157;510
41076;gate-keeper;158;
41090;meat_1;158;
41188;final-crs_1;158;294
41343;gate-keeper;159;
41346;vege_0;159;
41402;final-crs_1;159;203
41567;gate-keeper;160;
41568;gate-keeper;161;
41570;vege_0;161;
41574;final-crs_2;161;770
41578;meat_1;160;
41633;gate-keeper;162;
41635;meat_1;162;
41646;final-crs_1;160;949
41709;final-crs_4;162;497
41905;gate-keeper;163;
41907;vege_1;163;
41924;final-crs_4;163;1135
42301;gate-keeper;164;
42302;gate-keeper;165;
42310;vege_1;164;
42311;vege_0;165;
42331;final-crs_1;164;296
42340;final-crs_2;165;1096
42379;gate-keeper;166;
42380;gate-keeper;167;
42383;frui_1;167;
42387;meat_1;166;
42397;final-crs_4;167;1401
42439;final-crs_3;166;1460
42575;gate-keeper;168;
42576;gate-keeper;169;
42597;meat_0;168;
42607;meat_1;169;
42625;final-crs_4;168;2514
42675;final-crs_3;169;1311
42733;gate-keeper;170;
42734;gate-keeper;171;
42735;gate-keeper;172;
42737;vege_0;170;
42745;final-crs_5;170;1198
42775;meat_1;171;
42782;meat_0;172;
42798;final-crs_2;171;724
42826;final-crs_1;172;1404
42880;gate-keeper;173;
42881;vege_1;173;
42881;gate-keeper;174;
42882;vege_0;174;
42945;final-crs_3;173;655
42950;final-crs_0;174;1097
43091;gate-keeper;175;
43092;gate-keeper;176;
43098;vege_1;176;
43119;meat_0;175;
43182;final-crs_0;176;990
43201;final-crs_3;175;1285
43317;gate-keeper;177;
43318;vege_1;177;
43319;final-crs_1;177;301
43918;gate-keeper;178;
43919;vege_0;178;
43919;gate-keeper;179;
43927;vege_1;179;
43941;final-crs_0;178;1145
44009;final-crs_2;179;441
44211;gate-keeper;180;
44212;gate-keeper;181;
44216;vege_0;180;
44219;gate-keeper;182;
44221;vege_1;181;
44225;vege_0;182;
44241;final-crs_2;180;1366
44264;final-crs_5;181;748
44291;final-crs_1;182;343
44560;gate-keeper;183;
44561;gate-keeper;184;
44575;meat_0;183;
44612;meat_1;184;
44665;final-crs_0;183;2149
44688;final-crs_3;184;1330
44909;gate-keeper;185;
44910;gate-keeper;186;
44911;meat_1;185;
44912;frui_0;186;
44929;final-crs_0;185;756
44953;final-crs_3;186;769
45120;gate-keeper;187;
45121;gate-keeper;188;
45122;vege_0;188;
45126;frui_0;187;
45166;final-crs_0;188;1308
45182;gate-keeper;189;
45183;gate-keeper;190;
45184;meat_0;189;
45185;vege_1;190;
45193;final-crs_3;187;150
45227;final-crs_4;189;409
45246;final-crs_1;190;825
45393;gate-keeper;191;
45394;gate-keeper;192;
45396;frui_1;191;
45400;vege_0;192;
45433;final-crs_5;191;889
45445;final-crs_3;192;1549
45733;gate-keeper;193;
45775;meat_0;193;
45874;final-crs_0;193;1047
46024;gate-keeper;194;
46077;meat_1;194;
46094;final-crs_3;194;1286
46616;gate-keeper;195;
46624;meat_0;195;
46629;final-crs_4;195;1031
46797;gate-keeper;196;
46805;vege_0;196;
46806;final-crs_3;196;267
47229;gate-keeper;197;
47230;gate-keeper;198;
47236;vege_1;197;
47239;vege_0;198;
47241;final-crs_2;197;436
47248;final-crs_5;198;266
47530;gate-keeper;199;
47531;gate-keeper;200;
47535;vege_1;200;
47535;frui_1;199;
47560;final-crs_3;200;1527
47561;final-crs_0;199;2121
47790;gate-keeper;201;
47791;gate-keeper;202;
47794;frui_0;201;
47799;final-crs_3;201;1410
47832;meat_1;202;
47845;final-crs_1;202;2010
48159;gate-keeper;203;
48168;meat_1;203;
48171;final-crs_2;203;1816
48462;gate-keeper;204;
48465;frui_1;204;
48502;final-crs_3;204;1223
48728;gate-keeper;205;
48729;gate-keeper;206;
48735;vege_1;205;
48737;vege_0;206;
48759;final-crs_3;205;1109
48764;gate-keeper;207;
48765;gate-keeper;208;
48767;vege_0;207;
48772;meat_1;208;
48783;final-crs_4;206;590
48862;final-crs_5;207;1896
48908;final-crs_2;208;1577
49033;gate-keeper;209;
49034;gate-keeper;210;
49035;vege_0;209;
49035;vege_1;210;
49095;final-crs_5;209;747
49150;final-crs_2;210;1523
49376;gate-keeper;211;
49377;gate-keeper;212;
49382;vege_0;211;
49385;vege_1;212;
49388;final-crs_1;211;191
49394;final-crs_2;212;726
49702;gate-keeper;213;
49703;gate-keeper;214;
49706;meat_1;213;
49708;gate-keeper;215;
49709;gate-keeper;216;
49710;gate-keeper;217;
49711;vege_0;215;
49711;gate-keeper;218;
49712;gate-keeper;219;
49713;gate-keeper;220;
49714;gate-keeper;221;
49718;vege_1;216;
49718;meat_0;214;
49719;frui_0;220;
49721;vege_0;218;
49725;vege_1;221;
49728;gate-keeper;222;
49729;gate-keeper;223;
49770;meat_1;217;
49771;meat_0;219;
49780;final-crs_4;213;1095
49824;meat_0;222;
49835;meat_1;223;
49857;final-crs_5;215;649
49860;final-crs_3;216;515
49865;final-crs_2;214;979
