time;ckpt;id;money
335;gate-keeper;3;
337;vege_0;3;
439;final-crs_6;3;1064
630;gate-keeper;6;
677;meat_1;6;
695;final-crs_3;6;1730
813;gate-keeper;9;
815;vege_1;9;
934;final-crs_0;9;340
961;gate-keeper;10;
980;meat_1;10;
983;final-crs_5;10;289
1264;gate-keeper;14;
1267;frui_1;14;
1290;final-crs_8;14;1103
1560;gate-keeper;18;
1563;frui_0;18;
1637;final-crs_3;18;1526
1878;gate-keeper;21;
1879;gate-keeper;22;
1882;vege_1;22;
1883;frui_0;21;
1904;final-crs_7;22;1804
1905;final-crs_4;21;872
2157;gate-keeper;25;
2158;gate-keeper;26;
2159;vege_0;26;
2167;final-crs_6;26;943
2195;meat_1;25;
2214;final-crs_1;25;246
2733;gate-keeper;33;
2737;vege_1;33;
2740;final-crs_8;33;221
3014;gate-keeper;37;
3016;meat_1;37;
3017;final-crs_8;37;214
3398;gate-keeper;41;
3400;vege_1;41;
3420;final-crs_2;41;1170
3459;gate-keeper;42;
3460;frui_1;42;
3466;final-crs_8;42;223
3677;gate-keeper;45;
3679;frui_0;45;
3680;final-crs_2;45;1347
4045;gate-keeper;49;
4047;frui_1;49;
4078;final-crs_0;49;1165
4362;gate-keeper;53;
4367;vege_1;53;
4370;final-crs_6;53;95
4407;gate-keeper;54;
4412;meat_1;54;
4456;final-crs_7;54;147
4687;gate-keeper;57;
4688;vege_0;57;
4715;final-crs_3;57;323
5302;gate-keeper;65;
5304;vege_1;65;
5320;final-crs_8;65;683
5368;gate-keeper;66;
5372;frui_1;66;
5388;final-crs_2;66;876
6569;gate-keeper;81;
6570;gate-keeper;82;
6571;frui_0;81;
6574;final-crs_7;81;556
6574;frui_1;82;
6591;final-crs_5;82;1125
6815;gate-keeper;85;
6822;vege_0;85;
6894;final-crs_3;85;304
7120;gate-keeper;89;
7122;vege_0;89;
7159;final-crs_1;89;538
7412;gate-keeper;92;
7413;vege_0;92;
7424;final-crs_2;92;1610
7470;gate-keeper;93;
7472;frui_0;93;
7484;final-crs_7;93;1398
7710;gate-keeper;96;
7716;frui_0;96;
7717;final-crs_7;96;66
8036;gate-keeper;99;
8037;frui_1;99;
8037;gate-keeper;100;
8043;frui_0;100;
8093;final-crs_1;99;63
8093;final-crs_8;100;160
8347;gate-keeper;104;
8362;meat_0;104;
8455;final-crs_4;104;189
8662;gate-keeper;106;
8663;gate-keeper;107;
8664;gate-keeper;108;
8666;vege_0;107;
8666;meat_0;106;
8674;meat_1;108;
8687;final-crs_0;107;497
8695;final-crs_4;106;483
8734;final-crs_6;108;466
8978;gate-keeper;111;
8979;gate-keeper;112;
8993;meat_1;111;
9005;final-crs_1;111;64
9022;meat_0;112;
9026;final-crs_2;112;439
9322;gate-keeper;116;
9327;frui_0;116;
9347;final-crs_3;116;70
9596;gate-keeper;117;
9597;gate-keeper;118;
9598;frui_0;118;
9598;gate-keeper;119;
9599;vege_1;119;
9599;gate-keeper;120;
9600;frui_1;120;
9619;final-crs_4;118;352
9641;meat_1;117;
9661;final-crs_6;119;779
9737;final-crs_5;120;202
9766;final-crs_1;117;816
9910;gate-keeper;121;
9911;frui_0;121;
9911;gate-keeper;122;
9912;gate-keeper;123;
9913;gate-keeper;124;
9915;vege_0;123;
9920;vege_1;124;
9946;meat_1;122;
9968;final-crs_5;121;367
9973;final-crs_8;123;238
10008;final-crs_1;124;1536
10017;final-crs_7;122;1096
10500;gate-keeper;129;
10501;gate-keeper;130;
10502;vege_1;129;
10502;gate-keeper;131;
10503;gate-keeper;132;
10505;vege_0;130;
10506;final-crs_7;129;1114
10511;vege_1;131;
10521;meat_0;132;
10523;final-crs_1;130;965
10563;final-crs_6;131;1619
10564;final-crs_4;132;930
11147;gate-keeper;140;
11152;vege_0;140;
11180;final-crs_1;140;196
11463;gate-keeper;144;
11468;frui_1;144;
11479;final-crs_5;144;700
11576;gate-keeper;145;
11577;vege_1;145;
11590;final-crs_8;145;608
11924;gate-keeper;149;
11925;vege_1;149;
11940;final-crs_2;149;298
12096;gate-keeper;151;
12097;gate-keeper;152;
12101;vege_0;151;
12104;vege_1;152;
12123;final-crs_3;151;185
12144;final-crs_2;152;1718
12668;gate-keeper;159;
12673;vege_0;159;
12688;final-crs_6;159;884
13002;gate-keeper;163;
13004;vege_1;163;
13037;final-crs_0;163;369
13319;gate-keeper;167;
13320;gate-keeper;168;
13323;frui_0;167;
13347;final-crs_5;167;1426
13363;meat_1;168;
13366;final-crs_3;168;987
13607;gate-keeper;172;
13611;frui_0;172;
13644;final-crs_3;172;64
13703;gate-keeper;173;
13704;frui_1;173;
13737;final-crs_7;173;1593
13900;gate-keeper;175;
13905;frui_0;175;
13975;final-crs_8;175;725
14215;gate-keeper;179;
14216;vege_0;179;
14274;final-crs_6;179;469
14500;gate-keeper;183;
14505;vege_0;183;
14506;final-crs_4;183;1356
14714;gate-keeper;185;
14720;vege_0;185;
14756;final-crs_0;185;1630
16023;gate-keeper;201;
16024;frui_0;201;
16024;gate-keeper;202;
16030;vege_0;202;
16073;final-crs_1;201;697
16074;final-crs_2;202;1129
16220;gate-keeper;203;
16221;gate-keeper;204;
