time;ckpt;id;money
848;gate-keeper;13;
852;frui_0;13;
872;final-crs_7;13;1490
1511;gate-keeper;24;
1515;frui_1;24;
1549;final-crs_8;24;920
1725;gate-keeper;26;
1726;gate-keeper;27;
1727;frui_0;26;
1727;gate-keeper;28;
1730;frui_1;28;
1765;meat_0;27;
1828;final-crs_8;26;1258
1868;final-crs_4;28;554
1870;final-crs_1;27;601
2631;gate-keeper;43;
2648;meat_0;43;
2666;final-crs_3;43;1051
2701;gate-keeper;44;
2705;meat_0;44;
2725;final-crs_8;44;501
3281;gate-keeper;53;
3282;vege_0;53;
3282;gate-keeper;54;
3288;final-crs_6;53;380
3289;vege_1;54;
3315;final-crs_1;54;1446
3562;gate-keeper;59;
3565;vege_1;59;
3588;final-crs_2;59;1499
3871;gate-keeper;64;
3875;vege_1;64;
3880;final-crs_5;64;103
4512;gate-keeper;75;
4513;vege_1;75;
4528;final-crs_0;75;405
4731;gate-keeper;79;
4784;meat_1;79;
4786;final-crs_2;79;753
5080;gate-keeper;84;
5085;vege_0;84;
5097;final-crs_5;84;417
5379;gate-keeper;90;
5381;frui_0;90;
5416;final-crs_7;90;270
5949;gate-keeper;99;
5956;vege_1;99;
5978;final-crs_8;99;1057
6253;gate-keeper;104;
6254;frui_0;104;
6271;final-crs_5;104;306
6405;gate-keeper;105;
6406;gate-keeper;106;
6407;frui_0;105;
6407;gate-keeper;107;
6423;meat_0;106;
6429;final-crs_0;105;967
6457;meat_1;107;
6494;final-crs_5;106;105
6496;final-crs_8;107;561
6575;gate-keeper;110;
6578;frui_0;110;
6590;final-crs_4;110;237
6918;gate-keeper;116;
6923;vege_0;116;
6938;final-crs_2;116;699
7104;gate-keeper;118;
7105;gate-keeper;119;
7107;meat_0;118;
7109;frui_1;119;
7117;final-crs_1;118;1238
7118;final-crs_0;119;531
7221;gate-keeper;120;
7233;meat_0;120;
7236;final-crs_5;120;767
7331;gate-keeper;122;
7346;meat_1;122;
7354;final-crs_1;122;950
7819;gate-keeper;130;
7823;vege_0;130;
7829;final-crs_3;130;487
8113;gate-keeper;135;
8116;frui_0;135;
8129;final-crs_8;135;629
8421;gate-keeper;141;
8446;meat_1;141;
8453;final-crs_7;141;326
8715;gate-keeper;145;
8716;meat_0;145;
8736;final-crs_6;145;195
9073;gate-keeper;150;
9074;frui_0;150;
9074;gate-keeper;151;
9081;vege_0;151;
9087;final-crs_2;150;492
9116;final-crs_4;151;194
9380;gate-keeper;155;
9381;vege_1;155;
9381;gate-keeper;156;
9387;vege_0;156;
9428;final-crs_5;155;177
9454;final-crs_0;156;91
