time;ckpt;id;money
302;gate-keeper;4;
303;frui_1;4;
450;final-crs_2;4;1039
738;gate-keeper;10;
739;gate-keeper;11;
740;gate-keeper;12;
741;vege_0;10;
745;final-crs_8;10;710
748;meat_0;11;
772;final-crs_1;11;221
790;meat_1;12;
828;final-crs_6;12;837
884;gate-keeper;14;
888;vege_0;14;
918;final-crs_3;14;787
1152;gate-keeper;16;
1153;gate-keeper;17;
1154;gate-keeper;18;
1155;frui_0;16;
1157;vege_1;17;
1160;vege_0;18;
1166;final-crs_3;16;207
1177;final-crs_5;17;1026
1179;final-crs_4;18;1379
1464;gate-keeper;20;
1465;vege_1;20;
1465;gate-keeper;21;
1466;gate-keeper;22;
1467;frui_0;21;
1467;gate-keeper;23;
1470;frui_1;22;
1473;vege_1;23;
1476;final-crs_7;20;530
1480;final-crs_1;21;407
1485;final-crs_8;22;131
1522;final-crs_6;23;1249
1537;gate-keeper;25;
1557;meat_0;25;
1646;final-crs_3;25;117
2018;gate-keeper;30;
2019;gate-keeper;31;
2020;gate-keeper;32;
2021;gate-keeper;33;
2023;vege_0;31;
2025;final-crs_8;31;1043
2025;vege_1;32;
2034;vege_0;33;
2043;meat_0;30;
2107;final-crs_3;32;803
2144;final-crs_4;33;782
2155;final-crs_2;30;839
2309;gate-keeper;35;
2310;gate-keeper;36;
2311;gate-keeper;37;
2312;gate-keeper;38;
2349;meat_0;35;
2354;meat_1;36;
2382;final-crs_4;35;976
2397;final-crs_1;36;653
2397;meat_0;37;
2408;meat_1;38;
2424;final-crs_2;37;930
2453;final-crs_7;38;196
2591;gate-keeper;40;
2592;gate-keeper;41;
2593;gate-keeper;42;
2594;frui_0;42;
2595;vege_1;41;
2616;final-crs_1;42;546
2630;meat_0;40;
2652;final-crs_4;41;547
2666;final-crs_2;40;889
2849;gate-keeper;45;
2850;gate-keeper;46;
2851;vege_1;45;
2853;frui_1;46;
2884;final-crs_4;45;979
2895;final-crs_2;46;100
3136;gate-keeper;49;
3137;vege_1;49;
3137;gate-keeper;50;
3138;gate-keeper;51;
3141;final-crs_2;49;1463
3141;vege_0;50;
3142;frui_0;51;
3189;final-crs_7;50;607
3219;final-crs_6;51;120
3356;gate-keeper;55;
3375;meat_1;55;
3427;final-crs_7;55;595
3432;gate-keeper;56;
3433;gate-keeper;57;
3435;frui_0;57;
3440;vege_1;56;
3460;final-crs_6;57;87
3480;final-crs_5;56;160
3706;gate-keeper;61;
3707;vege_0;61;
3722;final-crs_5;61;607
4021;gate-keeper;65;
4022;gate-keeper;66;
4023;gate-keeper;67;
4024;meat_0;67;
4025;final-crs_8;67;781
4026;frui_1;66;
4027;vege_1;65;
4032;final-crs_2;66;427
4048;final-crs_3;65;110
4323;gate-keeper;70;
4324;gate-keeper;71;
4325;gate-keeper;72;
4327;vege_1;72;
4328;frui_1;70;
4328;meat_0;71;
4340;final-crs_6;72;914
4373;final-crs_7;70;104
4380;gate-keeper;73;
4383;meat_0;73;
4408;final-crs_5;71;2101
4470;final-crs_0;73;660
4979;gate-keeper;80;
4980;gate-keeper;81;
4981;gate-keeper;82;
4982;frui_1;80;
4982;gate-keeper;83;
4983;vege_0;81;
4983;frui_0;82;
4994;final-crs_4;80;1963
4996;final-crs_2;81;1745
5020;meat_1;83;
5041;final-crs_1;82;1455
5055;final-crs_6;83;233
5254;gate-keeper;85;
5255;gate-keeper;86;
5256;vege_0;85;
5256;gate-keeper;87;
5257;frui_1;86;
5258;frui_0;87;
5306;final-crs_1;85;417
5314;final-crs_6;86;371
5327;final-crs_3;87;996
5584;gate-keeper;91;
5585;gate-keeper;92;
