time;ckpt;id;money
281;gate-keeper;0;
282;gate-keeper;1;
283;gate-keeper;2;
284;gate-keeper;3;
287;meat_1;2;
289;vege_0;0;
290;vege_1;1;
299;vege_0;3;
413;final-crs_2;2;814
442;final-crs_4;0;967
452;final-crs_6;1;245
457;final-crs_1;3;817
855;gate-keeper;13;
864;vege_0;13;
874;final-crs_2;13;709
963;gate-keeper;15;
964;vege_0;15;
983;final-crs_7;15;917
1765;gate-keeper;26;
1766;gate-keeper;27;
1767;gate-keeper;28;
1772;vege_0;27;
1775;final-crs_5;27;695
1779;meat_1;26;
1789;meat_0;28;
1825;gate-keeper;29;
1828;frui_0;29;
1833;final-crs_0;26;526
1856;final-crs_2;28;181
1865;final-crs_4;29;1603
2070;gate-keeper;30;
2071;gate-keeper;31;
2072;gate-keeper;32;
2073;gate-keeper;33;
2074;vege_0;30;
2075;vege_1;33;
2078;meat_1;31;
2082;final-crs_7;30;385
2090;meat_0;32;
2091;final-crs_2;33;987
2101;final-crs_4;31;875
2103;final-crs_0;32;472
2334;gate-keeper;35;
2335;gate-keeper;36;
2336;vege_1;35;
2336;gate-keeper;37;
2337;final-crs_4;35;158
2341;vege_0;36;
2342;frui_1;37;
2346;final-crs_2;36;352
2378;final-crs_8;37;584
2659;gate-keeper;41;
2660;gate-keeper;42;
2661;gate-keeper;43;
2662;vege_0;41;
2668;vege_1;43;
2671;meat_0;42;
2699;final-crs_5;41;634
2730;final-crs_2;43;767
2767;final-crs_7;42;235
2984;gate-keeper;46;
2985;gate-keeper;47;
2986;gate-keeper;48;
2988;vege_0;47;
2988;vege_1;48;
2988;frui_0;46;
3004;final-crs_7;47;350
3042;final-crs_4;48;1056
3046;final-crs_8;46;1343
3601;gate-keeper;57;
3602;gate-keeper;58;
3608;meat_0;57;
3610;vege_1;58;
3631;final-crs_3;57;1131
3669;final-crs_2;58;134
3897;gate-keeper;61;
3898;gate-keeper;62;
3899;frui_1;61;
3899;gate-keeper;63;
3905;vege_0;62;
3913;meat_0;63;
3938;final-crs_7;61;759
3975;final-crs_5;62;1057
3981;final-crs_6;63;1084
4209;gate-keeper;67;
4210;gate-keeper;68;
4215;vege_0;67;
4218;vege_1;68;
4224;final-crs_5;67;543
4262;final-crs_8;68;1327
4511;gate-keeper;71;
4512;gate-keeper;72;
4513;frui_0;71;
4513;gate-keeper;73;
4518;vege_0;73;
4529;final-crs_3;71;342
4538;meat_1;72;
4577;final-crs_1;73;744
4593;final-crs_2;72;398
4772;gate-keeper;77;
4775;meat_0;77;
4805;final-crs_1;77;346
5090;gate-keeper;82;
5092;vege_1;82;
5102;final-crs_7;82;318
5322;gate-keeper;87;
5328;vege_1;87;
5333;final-crs_4;87;430
5703;gate-keeper;93;
5705;vege_0;93;
5722;final-crs_0;93;589
5994;gate-keeper;97;
5995;gate-keeper;98;
6000;vege_1;97;
6002;vege_0;98;
6005;final-crs_8;97;947
6044;final-crs_2;98;1001
6145;gate-keeper;100;
6155;meat_0;100;
6198;final-crs_8;100;382
6300;gate-keeper;102;
6301;gate-keeper;103;
6302;vege_0;102;
6305;vege_1;103;
6322;final-crs_7;102;356
6347;final-crs_4;103;410
6811;gate-keeper;112;
6815;frui_1;112;
6829;final-crs_0;112;805
7014;gate-keeper;113;
7015;gate-keeper;114;
7016;vege_1;113;
7016;gate-keeper;115;
7018;vege_0;114;
7025;vege_1;115;
7052;gate-keeper;116;
7071;final-crs_7;113;665
7072;final-crs_4;114;294
7082;final-crs_2;115;300
7088;meat_0;116;
7106;final-crs_8;116;1074
7669;gate-keeper;126;
7696;meat_0;126;
7728;final-crs_1;126;1238
7877;gate-keeper;127;
7878;gate-keeper;128;
7879;gate-keeper;129;
7882;vege_1;129;
7886;meat_1;127;
7901;final-crs_3;129;852
7929;meat_0;128;
7940;final-crs_1;127;375
7974;gate-keeper;131;
7993;meat_0;131;
8001;final-crs_2;128;879
8019;final-crs_7;131;274
8230;gate-keeper;133;
8231;gate-keeper;134;
8232;gate-keeper;135;
8233;meat_0;135;
8234;vege_0;134;
8235;frui_1;133;
8239;final-crs_2;135;498
8257;final-crs_7;134;472
8310;final-crs_8;133;1290
9168;gate-keeper;150;
9169;gate-keeper;151;
9172;vege_0;150;
9172;meat_1;151;
9192;final-crs_1;150;910
9213;final-crs_2;151;257
9526;gate-keeper;157;
9529;frui_0;157;
9532;final-crs_5;157;596
9692;gate-keeper;158;
9693;gate-keeper;159;
9694;gate-keeper;160;
9698;vege_1;160;
9702;meat_0;158;
9716;final-crs_5;160;576
9722;meat_1;159;
9799;final-crs_7;158;186
9802;final-crs_0;159;695
10099;gate-keeper;167;
10101;vege_1;167;
10121;final-crs_1;167;788
10404;gate-keeper;172;
10410;vege_1;172;
10461;final-crs_2;172;522
10518;gate-keeper;173;
10519;vege_1;173;
10534;final-crs_4;173;1147
10987;gate-keeper;181;
10992;vege_1;181;
11107;final-crs_6;181;386
11562;gate-keeper;191;
11569;vege_0;191;
11580;final-crs_5;191;322
12189;gate-keeper;201;
12220;meat_0;201;
12280;final-crs_6;201;860
12381;gate-keeper;202;
12382;gate-keeper;203;
12383;gate-keeper;204;
