time;ckpt;id;money
297;gate-keeper;4;
298;vege_1;4;
299;final-crs_3;4;1009
773;gate-keeper;10;
774;meat_0;10;
774;gate-keeper;11;
775;gate-keeper;12;
776;vege_0;11;
783;vege_0;12;
901;final-crs_1;10;1511
912;final-crs_8;11;783
929;final-crs_6;12;193
1163;gate-keeper;17;
1164;gate-keeper;18;
1165;gate-keeper;19;
1166;gate-keeper;20;
1167;vege_1;19;
1173;final-crs_2;19;548
1195;meat_0;17;
1199;final-crs_7;17;803
1219;meat_1;18;
1220;final-crs_3;18;1073
1254;meat_0;20;
1358;final-crs_6;20;1139
1482;gate-keeper;22;
1483;gate-keeper;23;
1484;gate-keeper;24;
1485;gate-keeper;25;
1486;frui_0;25;
1486;gate-keeper;26;
1487;final-crs_4;25;571
1487;vege_1;22;
1488;vege_0;23;
1515;meat_1;24;
1545;meat_0;26;
1579;final-crs_6;22;793
1665;final-crs_8;23;1290
1668;final-crs_7;24;1223
1674;final-crs_2;26;481
2057;gate-keeper;34;
2058;gate-keeper;35;
2059;vege_1;34;
2059;gate-keeper;36;
2072;final-crs_6;34;557
2093;meat_0;35;
2111;final-crs_7;35;1609
2121;meat_1;36;
2161;final-crs_2;36;539
2371;gate-keeper;38;
2372;meat_0;38;
2372;gate-keeper;39;
2373;gate-keeper;40;
2374;gate-keeper;41;
2375;gate-keeper;42;
2378;frui_0;40;
2407;gate-keeper;43;
2408;final-crs_2;38;371
2410;vege_0;43;
2418;final-crs_1;40;270
2425;meat_1;39;
2429;meat_0;41;
2431;final-crs_5;43;964
2444;final-crs_4;39;647
2465;final-crs_8;41;623
2486;meat_1;42;
2498;final-crs_3;42;1239
2902;gate-keeper;50;
2903;gate-keeper;51;
2909;vege_1;50;
2910;vege_0;51;
2937;final-crs_8;50;1563
2941;final-crs_4;51;626
3191;gate-keeper;57;
3195;frui_1;57;
3222;final-crs_6;57;856
3319;gate-keeper;58;
3320;gate-keeper;59;
3321;frui_1;59;
3327;final-crs_5;59;944
3328;meat_0;58;
3369;final-crs_2;58;1072
3511;gate-keeper;63;
3549;meat_0;63;
3559;final-crs_5;63;93
3643;gate-keeper;64;
3644;gate-keeper;65;
3653;vege_0;65;
3667;final-crs_1;65;1544
3684;meat_0;64;
3753;final-crs_3;64;767
3814;gate-keeper;67;
3815;gate-keeper;68;
3818;vege_0;67;
3821;vege_1;68;
3827;final-crs_2;67;2302
3857;final-crs_7;68;1526
4113;gate-keeper;73;
4157;meat_0;73;
4168;final-crs_1;73;878
4210;gate-keeper;74;
4211;gate-keeper;75;
4214;vege_0;74;
4215;vege_1;75;
4238;final-crs_3;74;2386
4265;final-crs_5;75;275
4727;gate-keeper;84;
4733;meat_1;84;
4738;final-crs_5;84;639
4989;gate-keeper;85;
4990;meat_0;85;
4990;gate-keeper;86;
4991;gate-keeper;87;
4992;vege_0;86;
4992;gate-keeper;88;
4998;vege_1;88;
5032;final-crs_2;85;177
5037;final-crs_5;86;1399
5040;meat_1;87;
5062;final-crs_1;88;1851
5067;gate-keeper;90;
5078;final-crs_0;87;101
5099;meat_1;90;
5102;final-crs_4;90;92
5283;gate-keeper;94;
5292;vege_0;94;
5302;final-crs_5;94;1846
5616;gate-keeper;99;
5617;gate-keeper;100;
5620;vege_1;100;
5624;meat_1;99;
5647;final-crs_6;100;647
5729;final-crs_5;99;1397
5911;gate-keeper;104;
5912;gate-keeper;105;
5913;frui_0;105;
5913;gate-keeper;106;
5915;vege_0;104;
5919;vege_1;106;
5965;final-crs_4;105;885
5990;final-crs_3;104;1175
5992;final-crs_5;106;676
6590;gate-keeper;118;
6600;vege_1;118;
6603;final-crs_2;118;1388
7361;gate-keeper;131;
7362;gate-keeper;132;
7363;frui_1;132;
7364;vege_0;131;
7388;final-crs_6;132;672
7389;final-crs_5;131;81
7582;gate-keeper;136;
7583;frui_0;136;
7638;final-crs_6;136;870
8258;gate-keeper;148;
8259;vege_1;148;
8265;final-crs_0;148;760
8579;gate-keeper;154;
8583;vege_0;154;
8617;final-crs_2;154;537
8863;gate-keeper;159;
8874;meat_1;159;
8884;final-crs_6;159;305
10264;gate-keeper;184;
10265;gate-keeper;185;
10267;frui_1;184;
10273;vege_1;185;
10276;final-crs_4;184;1320
10337;final-crs_1;185;914
10847;gate-keeper;195;
10850;vege_0;195;
10852;final-crs_7;195;962
11107;gate-keeper;198;
11108;gate-keeper;199;
11109;vege_1;198;
11109;gate-keeper;200;
11117;vege_0;200;
11120;final-crs_0;198;1395
11122;final-crs_7;200;826
11155;meat_0;199;
11171;gate-keeper;201;
11211;meat_0;201;
11307;final-crs_4;199;1105
11337;final-crs_5;201;1862
11425;gate-keeper;203;
11426;vege_1;203;
11426;gate-keeper;204;
11427;gate-keeper;205;
11430;vege_0;204;
11436;vege_1;205;
11557;final-crs_4;203;352
11569;final-crs_7;204;814
11608;final-crs_8;205;393
11745;gate-keeper;208;
11746;gate-keeper;209;
11747;gate-keeper;210;
11748;frui_1;210;
11748;gate-keeper;211;
11752;vege_1;209;
11756;meat_1;208;
11763;final-crs_4;210;1090
11792;meat_0;211;
11814;final-crs_7;209;375
11818;final-crs_5;208;677
11827;final-crs_8;211;1474
12042;gate-keeper;216;
12044;vege_1;216;
12046;final-crs_5;216;1128
12070;gate-keeper;217;
12071;vege_1;217;
12072;final-crs_8;217;1483
12337;gate-keeper;219;
12338;gate-keeper;220;
12339;gate-keeper;221;
12340;gate-keeper;222;
12343;frui_0;222;
12347;meat_0;219;
12369;final-crs_1;222;134
12382;meat_1;220;
12399;meat_0;221;
12408;final-crs_0;219;760
12474;final-crs_6;220;1617
12480;final-crs_4;221;1239
12672;gate-keeper;227;
12673;gate-keeper;228;
12674;frui_0;228;
12677;vege_0;227;
12717;final-crs_3;228;337
12721;final-crs_4;227;576
13046;gate-keeper;234;
13051;vege_0;234;
13053;final-crs_0;234;1088
13276;gate-keeper;237;
13277;gate-keeper;238;
13278;vege_1;238;
13278;gate-keeper;239;
13301;final-crs_7;238;585
13304;meat_0;237;
13312;final-crs_0;237;1658
13331;meat_1;239;
13352;final-crs_2;239;1407
13556;gate-keeper;244;
13562;vege_0;244;
13574;final-crs_5;244;2208
13825;gate-keeper;248;
13826;gate-keeper;249;
13827;vege_0;248;
13835;vege_0;249;
13891;final-crs_4;248;2679
13904;final-crs_6;249;257
14018;gate-keeper;250;
14019;gate-keeper;251;
14020;vege_1;250;
14020;gate-keeper;252;
14021;gate-keeper;253;
14022;final-crs_5;250;147
14025;vege_0;252;
14038;meat_0;251;
14040;final-crs_1;252;1623
14053;final-crs_2;251;790
14073;meat_1;253;
14130;final-crs_4;253;190
14133;gate-keeper;255;
14135;vege_0;255;
14154;final-crs_6;255;621
14394;gate-keeper;260;
14401;vege_0;260;
14417;final-crs_6;260;858
14479;gate-keeper;261;
14480;vege_1;261;
