time;ckpt;id;money
349;gate-keeper;3;
355;meat_0;3;
438;final-crs_4;3;90
981;gate-keeper;11;
1014;meat_0;11;
1057;final-crs_1;11;205
1302;gate-keeper;15;
1305;frui_1;15;
1333;final-crs_1;15;186
1590;gate-keeper;18;
1593;frui_1;18;
1672;final-crs_8;18;928
1889;gate-keeper;22;
1894;frui_0;22;
1909;final-crs_3;22;648
2070;gate-keeper;23;
2071;gate-keeper;24;
2076;vege_1;23;
2078;meat_0;24;
2148;final-crs_3;23;1359
2169;final-crs_8;24;109
2190;gate-keeper;26;
2191;vege_1;26;
2228;final-crs_5;26;1107
2450;gate-keeper;29;
2452;vege_0;29;
2458;final-crs_8;29;170
2730;gate-keeper;32;
2734;vege_0;32;
2757;final-crs_1;32;279
2963;gate-keeper;34;
2964;gate-keeper;35;
2965;vege_0;34;
2965;vege_1;35;
2966;final-crs_5;34;1168
2992;final-crs_8;35;571
3076;gate-keeper;37;
3077;vege_0;37;
3151;final-crs_6;37;1138
3898;gate-keeper;47;
3904;vege_1;47;
3919;final-crs_3;47;548
4000;gate-keeper;48;
4001;frui_1;48;
4017;final-crs_4;48;530
4556;gate-keeper;55;
4561;vege_1;55;
4593;final-crs_3;55;1445
4983;gate-keeper;59;
4984;frui_0;59;
4984;gate-keeper;60;
4988;final-crs_1;59;109
4988;frui_1;60;
5010;final-crs_3;60;801
5381;gate-keeper;65;
5387;vege_1;65;
5392;final-crs_6;65;166
5959;gate-keeper;72;
5960;vege_0;72;
5980;final-crs_3;72;392
6114;gate-keeper;74;
6117;vege_1;74;
6120;final-crs_7;74;1951
6273;gate-keeper;76;
6274;vege_1;76;
6282;final-crs_0;76;304
6558;gate-keeper;80;
6560;frui_1;80;
6569;final-crs_6;80;723
6955;gate-keeper;84;
6957;frui_0;84;
6961;final-crs_4;84;513
7130;gate-keeper;87;
7140;meat_1;87;
7192;final-crs_4;87;204
7377;gate-keeper;90;
7381;frui_1;90;
7420;final-crs_7;90;596
7756;gate-keeper;95;
7760;vege_0;95;
7767;final-crs_5;95;487
8043;gate-keeper;98;
8044;vege_1;98;
8092;final-crs_7;98;1580
8330;gate-keeper;101;
8331;gate-keeper;102;
8334;vege_0;102;
8338;meat_0;101;
8361;final-crs_7;102;1040
8383;final-crs_0;101;295
9261;gate-keeper;113;
9299;meat_1;113;
9303;final-crs_7;113;962
9516;gate-keeper;116;
9519;vege_0;116;
9587;final-crs_7;116;1592
9862;gate-keeper;120;
9864;frui_0;120;
9888;final-crs_8;120;271
10183;gate-keeper;123;
10184;gate-keeper;124;
10188;vege_1;123;
10192;vege_0;124;
10290;final-crs_7;123;1265
10301;final-crs_1;124;204
10658;gate-keeper;130;
10664;frui_0;130;
10752;gate-keeper;131;
10755;frui_0;131;
10789;final-crs_3;130;973
10816;final-crs_8;131;602
11148;gate-keeper;136;
11149;frui_0;136;
11262;final-crs_4;136;265
11418;gate-keeper;139;
11420;frui_0;139;
11503;final-crs_1;139;1265
11750;gate-keeper;142;
11751;gate-keeper;143;
11753;frui_0;142;
11773;final-crs_7;142;1051
11779;meat_1;143;
11791;final-crs_4;143;1117
12114;gate-keeper;148;
12116;frui_1;148;
12131;final-crs_8;148;785
12348;gate-keeper;151;
12355;frui_0;151;
12376;final-crs_8;151;134
12607;gate-keeper;154;
12608;frui_1;154;
12636;final-crs_8;154;60
12907;gate-keeper;157;
12910;vege_1;157;
12934;final-crs_3;157;538
13703;gate-keeper;167;
13706;vege_0;167;
13720;final-crs_2;167;985
14321;gate-keeper;174;
14340;meat_1;174;
14350;final-crs_7;174;934
14608;gate-keeper;177;
14609;gate-keeper;178;
14610;vege_1;178;
14617;final-crs_3;178;213
14618;meat_1;177;
14658;final-crs_6;177;779
14849;gate-keeper;181;
14853;vege_1;181;
14855;final-crs_3;181;1281
15174;gate-keeper;185;
15178;vege_1;185;
15180;final-crs_0;185;258
15502;gate-keeper;188;
15503;frui_1;188;
15503;gate-keeper;189;
15505;vege_0;189;
15515;final-crs_5;188;453
15539;final-crs_7;189;594
15804;gate-keeper;193;
15806;frui_0;193;
15821;final-crs_6;193;1072
16151;gate-keeper;196;
16152;gate-keeper;197;
16153;frui_1;196;
16157;frui_0;197;
