time;ckpt;id;money
569;gate-keeper;7;
570;gate-keeper;8;
571;gate-keeper;9;
572;gate-keeper;10;
573;gate-keeper;11;
574;meat_1;7;
575;vege_0;8;
575;vege_1;9;
584;vege_0;10;
585;vege_1;11;
661;final-crs_1;7;2107
698;final-crs_6;8;3193
715;final-crs_5;9;743
719;final-crs_3;10;1572
738;final-crs_2;11;1474
1159;gate-keeper;20;
1160;gate-keeper;21;
1161;vege_0;21;
1161;gate-keeper;22;
1162;gate-keeper;23;
1163;gate-keeper;24;
1167;final-crs_3;21;1583
1167;vege_1;22;
1170;vege_0;23;
1176;final-crs_5;22;1039
1180;final-crs_2;23;2865
1181;meat_1;20;
1183;final-crs_6;20;1269
1183;meat_0;24;
1199;final-crs_0;24;3540
1438;gate-keeper;27;
1439;gate-keeper;28;
1440;gate-keeper;29;
1441;gate-keeper;30;
1442;frui_1;29;
1447;vege_0;30;
1456;final-crs_5;29;153
1459;final-crs_8;30;1970
1475;meat_1;27;
1482;meat_0;28;
1502;final-crs_0;27;281
1542;final-crs_7;28;1086
1633;gate-keeper;34;
1651;meat_0;34;
1670;final-crs_2;34;2550
1999;gate-keeper;40;
2000;gate-keeper;41;
2001;frui_1;40;
2001;gate-keeper;42;
2003;vege_1;41;
2004;final-crs_0;40;2811
2005;vege_0;42;
2009;final-crs_7;41;1339
2035;final-crs_4;42;1242
2309;gate-keeper;47;
2310;gate-keeper;48;
2311;gate-keeper;49;
2313;vege_0;47;
2314;meat_0;48;
2318;vege_1;49;
2333;final-crs_1;47;1133
2381;final-crs_2;48;2087
2449;final-crs_6;49;1126
2639;gate-keeper;55;
2640;gate-keeper;56;
2641;vege_0;56;
2643;frui_1;55;
2677;final-crs_0;56;3224
2693;final-crs_4;55;1845
2707;gate-keeper;57;
2716;vege_0;57;
2718;final-crs_7;57;2914
2940;gate-keeper;60;
2941;gate-keeper;61;
2942;gate-keeper;62;
2943;vege_0;62;
2946;final-crs_0;62;673
2967;meat_1;60;
2976;meat_0;61;
2980;final-crs_1;60;1265
3032;final-crs_2;61;1129
3292;gate-keeper;66;
3293;gate-keeper;67;
3294;gate-keeper;68;
3295;gate-keeper;69;
3296;vege_0;66;
3296;gate-keeper;70;
3298;vege_1;68;
3305;meat_0;67;
3306;vege_0;69;
3317;final-crs_8;66;332
3338;final-crs_5;68;1236
3338;meat_1;70;
3374;final-crs_0;67;966
3400;final-crs_4;69;3588
3400;final-crs_6;70;1949
3558;gate-keeper;75;
3559;gate-keeper;76;
3562;frui_0;75;
3563;vege_0;76;
3609;final-crs_5;75;922
3611;final-crs_0;76;178
3624;gate-keeper;77;
3630;vege_0;77;
3666;final-crs_3;77;380
3881;gate-keeper;79;
3882;gate-keeper;80;
3883;gate-keeper;81;
3884;meat_1;79;
3884;gate-keeper;82;
3885;vege_0;80;
3887;vege_1;82;
3888;meat_0;81;
3897;final-crs_3;79;540
3903;final-crs_6;80;1346
3917;final-crs_2;82;2515
3917;final-crs_4;81;3053
4147;gate-keeper;85;
4148;frui_0;85;
4148;gate-keeper;86;
4149;vege_0;86;
4149;gate-keeper;87;
4150;gate-keeper;88;
4151;final-crs_4;85;615
4154;vege_1;87;
4155;final-crs_7;86;1645
4157;final-crs_6;87;1427
4158;vege_0;88;
4161;final-crs_2;88;1690
4852;gate-keeper;104;
4870;meat_0;104;
4896;final-crs_6;104;1452
5221;gate-keeper;109;
5222;gate-keeper;110;
5223;gate-keeper;111;
5224;gate-keeper;112;
5229;vege_0;109;
5229;vege_1;110;
5237;vege_0;111;
5239;meat_0;112;
5268;final-crs_3;109;1881
5304;final-crs_5;110;149
5319;final-crs_0;111;991
5337;gate-keeper;114;
5339;vege_0;114;
5380;final-crs_6;112;767
5384;final-crs_2;114;384
5520;gate-keeper;116;
5521;gate-keeper;117;
5522;gate-keeper;118;
5525;vege_1;117;
5530;vege_0;118;
5548;meat_1;116;
5550;final-crs_0;117;877
5567;final-crs_6;118;2968
5658;final-crs_7;116;1315
5815;gate-keeper;122;
5816;gate-keeper;123;
5817;gate-keeper;124;
5822;vege_1;124;
5834;meat_1;122;
5855;meat_0;123;
5899;final-crs_7;124;2513
5904;final-crs_1;122;2549
5906;final-crs_4;123;3544
6131;gate-keeper;131;
6136;vege_0;131;
6139;final-crs_7;131;1419
6226;gate-keeper;132;
6227;gate-keeper;133;
6232;vege_0;132;
6235;final-crs_5;132;258
6266;meat_0;133;
6355;final-crs_6;133;2104
6415;gate-keeper;136;
6416;gate-keeper;137;
6418;frui_0;136;
6430;final-crs_1;136;2886
6440;meat_1;137;
6458;final-crs_5;137;213
6731;gate-keeper;143;
6732;gate-keeper;144;
6736;vege_1;144;
6751;meat_1;143;
6850;final-crs_6;144;2342
6856;final-crs_4;143;522
7072;gate-keeper;151;
7073;gate-keeper;152;
7081;vege_0;151;
7082;vege_1;152;
7089;final-crs_2;151;2109
7117;final-crs_1;152;1729
7232;gate-keeper;155;
7236;vege_1;155;
7286;final-crs_4;155;347
7387;gate-keeper;156;
7388;gate-keeper;157;
7389;gate-keeper;158;
7390;vege_1;156;
7396;vege_0;158;
7409;meat_0;157;
7416;final-crs_7;156;891
7427;final-crs_0;158;1410
7438;final-crs_3;157;869
7664;gate-keeper;161;
7665;gate-keeper;162;
7666;gate-keeper;163;
7667;gate-keeper;164;
7668;vege_1;161;
7668;frui_1;163;
7671;vege_0;162;
7678;final-crs_3;161;1561
7689;final-crs_0;163;1526
7691;final-crs_6;162;3410
7699;meat_1;164;
7790;final-crs_4;164;1435
7918;gate-keeper;169;
7919;gate-keeper;170;
7938;meat_1;169;
7942;meat_0;170;
7945;final-crs_3;169;1242
7949;final-crs_6;170;3450
8114;gate-keeper;174;
8117;meat_1;174;
8126;final-crs_7;174;1947
8237;gate-keeper;175;
8238;gate-keeper;176;
8239;gate-keeper;177;
8242;vege_0;175;
8256;final-crs_1;175;3593
8281;meat_0;176;
8287;meat_1;177;
8290;final-crs_4;176;3087
8300;final-crs_8;177;2508
8530;gate-keeper;181;
8531;gate-keeper;182;
8532;gate-keeper;183;
8533;vege_0;181;
8534;final-crs_4;181;1285
8537;vege_1;182;
8540;final-crs_8;182;2385
8543;vege_0;183;
8573;final-crs_5;183;778
8861;gate-keeper;190;
8878;meat_0;190;
8894;final-crs_3;190;1310
9167;gate-keeper;196;
9168;gate-keeper;197;
9173;vege_1;197;
9179;final-crs_6;197;1913
9182;meat_0;196;
9221;final-crs_0;196;2840
9484;gate-keeper;198;
9485;gate-keeper;199;
9486;frui_1;199;
9486;gate-keeper;200;
9487;gate-keeper;201;
9488;frui_0;200;
9488;gate-keeper;202;
9489;gate-keeper;203;
9490;vege_0;198;
9490;gate-keeper;204;
9491;meat_0;201;
9492;vege_1;202;
9493;frui_0;203;
9499;meat_1;204;
9530;final-crs_5;199;1409
9543;final-crs_4;200;317
9562;final-crs_7;198;2882
9590;final-crs_3;201;2312
9620;final-crs_8;202;1561
9627;final-crs_1;203;2126
9652;final-crs_6;204;742
9760;gate-keeper;205;
9761;frui_1;205;
9761;gate-keeper;206;
9762;gate-keeper;207;
9763;gate-keeper;208;
9764;vege_0;206;
9764;gate-keeper;209;
9766;vege_1;207;
9772;final-crs_5;205;2993
9775;vege_0;208;
9777;vege_1;209;
9802;final-crs_7;206;3354
9821;final-crs_3;207;2566
9833;final-crs_8;208;1421
9857;final-crs_1;209;3828
9917;gate-keeper;212;
9921;meat_1;212;
9950;final-crs_0;212;1183
10030;gate-keeper;214;
10043;meat_1;214;
10048;final-crs_8;214;244
10333;gate-keeper;217;
10334;gate-keeper;218;
10335;gate-keeper;219;
10336;vege_0;217;
10336;vege_1;218;
10336;gate-keeper;220;
10337;gate-keeper;221;
10346;vege_1;220;
10347;vege_0;221;
10359;final-crs_2;217;1071
10359;meat_1;219;
10431;final-crs_6;218;1886
10447;final-crs_0;220;2200
10482;final-crs_4;221;920
10504;final-crs_3;219;2683
10656;gate-keeper;224;
10657;gate-keeper;225;
10658;gate-keeper;226;
10659;vege_0;224;
10659;gate-keeper;227;
10673;meat_0;225;
10691;final-crs_3;224;705
10695;final-crs_0;225;246
10700;meat_1;226;
10709;final-crs_4;226;2648
10728;meat_0;227;
10749;final-crs_5;227;1110
10938;gate-keeper;231;
10939;gate-keeper;232;
10940;vege_0;232;
10940;gate-keeper;233;
10941;frui_1;231;
10944;vege_1;233;
10972;final-crs_5;232;545
10986;final-crs_8;231;642
11023;final-crs_2;233;98
11182;gate-keeper;238;
11183;gate-keeper;239;
11184;vege_1;239;
11189;final-crs_5;239;256
11197;meat_1;238;
11249;final-crs_1;238;884
11514;gate-keeper;246;
11555;meat_0;246;
11626;final-crs_3;246;1925
11777;gate-keeper;251;
11778;vege_1;251;
11778;gate-keeper;252;
11788;meat_0;252;
11859;final-crs_5;251;2705
11860;final-crs_3;252;529
12059;gate-keeper;257;
12060;gate-keeper;258;
12064;vege_0;257;
12065;meat_1;258;
12090;final-crs_3;257;1987
12092;final-crs_8;258;2453
12720;gate-keeper;270;
12721;gate-keeper;271;
12722;gate-keeper;272;
12725;vege_0;270;
12736;meat_1;271;
12739;final-crs_2;270;119
12765;final-crs_1;271;956
12784;meat_0;272;
12819;final-crs_4;272;1922
12905;gate-keeper;276;
12909;vege_1;276;
