time;ckpt;id;money
599;gate-keeper;7;
600;vege_0;7;
600;gate-keeper;8;
601;gate-keeper;9;
602;gate-keeper;10;
603;gate-keeper;11;
604;gate-keeper;12;
605;gate-keeper;13;
608;vege_1;8;
609;vege_0;9;
609;frui_1;12;
618;vege_1;10;
619;vege_0;13;
626;meat_1;11;
673;final-crs_7;7;911
681;final-crs_0;8;388
682;final-crs_8;9;472
702;final-crs_4;12;570
713;final-crs_1;10;424
714;final-crs_5;13;1834
717;final-crs_6;11;347
899;gate-keeper;21;
900;vege_1;21;
933;final-crs_0;21;1914
1149;gate-keeper;23;
1150;gate-keeper;24;
1151;vege_1;23;
1151;gate-keeper;25;
1152;gate-keeper;26;
1153;gate-keeper;27;
1154;vege_0;24;
1156;final-crs_8;23;278
1161;vege_1;26;
1164;vege_0;27;
1170;final-crs_4;24;1298
1183;meat_0;25;
1205;final-crs_7;26;863
1224;final-crs_3;27;343
1241;final-crs_5;25;929
1440;gate-keeper;34;
1442;vege_1;34;
1463;final-crs_3;34;639
1714;gate-keeper;40;
1715;frui_1;40;
1727;final-crs_5;40;2047
1839;gate-keeper;44;
1884;meat_0;44;
1893;final-crs_8;44;1630
1986;gate-keeper;46;
1987;gate-keeper;47;
1988;vege_0;46;
1990;vege_1;47;
2003;final-crs_6;46;668
2065;final-crs_1;47;457
2253;gate-keeper;52;
2254;gate-keeper;53;
2257;vege_0;52;
2262;vege_1;53;
2321;final-crs_1;52;674
2358;final-crs_4;53;1029
2578;gate-keeper;59;
2579;gate-keeper;60;
2580;gate-keeper;61;
2581;vege_0;61;
2591;meat_0;59;
2613;meat_1;60;
2625;final-crs_0;61;1657
2627;final-crs_7;59;1243
2657;final-crs_3;60;912
2805;gate-keeper;67;
2808;vege_1;67;
2857;final-crs_0;67;720
2869;gate-keeper;68;
2873;vege_1;68;
2881;final-crs_7;68;466
3130;gate-keeper;75;
3134;vege_0;75;
3145;final-crs_0;75;62
3334;gate-keeper;78;
3335;gate-keeper;79;
3336;gate-keeper;80;
3356;meat_1;78;
3362;final-crs_0;78;149
3378;meat_0;79;
3379;final-crs_2;79;284
3419;meat_1;80;
3420;final-crs_1;80;96
3430;gate-keeper;82;
3431;gate-keeper;83;
3434;vege_1;82;
3441;vege_0;83;
3488;final-crs_5;82;1490
3546;final-crs_6;83;711
3745;gate-keeper;91;
3753;vege_0;91;
3797;final-crs_6;91;466
4063;gate-keeper;98;
4070;vege_0;98;
4083;final-crs_0;98;327
4315;gate-keeper;105;
4320;frui_1;105;
4333;final-crs_8;105;1962
4610;gate-keeper;112;
4617;vege_0;112;
4625;final-crs_3;112;655
4916;gate-keeper;114;
4917;gate-keeper;115;
4918;gate-keeper;116;
4919;gate-keeper;117;
4920;vege_1;114;
4920;gate-keeper;118;
4921;gate-keeper;119;
4922;vege_0;115;
4929;vege_1;116;
4931;vege_0;117;
4940;vege_0;118;
4940;vege_1;119;
4957;final-crs_2;114;758
4989;final-crs_7;115;223
5029;final-crs_6;116;264
