time;ckpt;id;money
304;gate-keeper;5;
309;vege_1;5;
405;final-crs_8;5;386
573;gate-keeper;10;
574;frui_0;10;
574;gate-keeper;11;
576;vege_0;11;
659;final-crs_8;10;882
686;final-crs_1;11;1395
886;gate-keeper;18;
888;frui_0;18;
906;final-crs_8;18;993
921;gate-keeper;19;
922;gate-keeper;20;
925;frui_1;20;
930;final-crs_1;20;884
962;meat_1;19;
993;final-crs_0;19;865
1232;gate-keeper;24;
1233;gate-keeper;25;
1234;gate-keeper;26;
1235;frui_1;26;
1238;vege_1;25;
1251;final-crs_0;26;480
1265;meat_1;24;
1286;final-crs_6;25;379
1328;final-crs_7;24;336
1497;gate-keeper;31;
1498;gate-keeper;32;
1499;vege_1;31;
1502;vege_0;32;
1504;final-crs_0;31;1225
1555;final-crs_6;32;1614
1791;gate-keeper;39;
1792;vege_0;39;
1818;final-crs_3;39;317
2395;gate-keeper;53;
2401;vege_0;53;
2407;final-crs_1;53;724
2659;gate-keeper;56;
2660;gate-keeper;57;
2661;gate-keeper;58;
2662;vege_1;58;
2663;frui_0;56;
2665;frui_1;57;
2680;final-crs_1;58;1415
2698;final-crs_2;56;779
2744;final-crs_0;57;432
2908;gate-keeper;61;
2909;gate-keeper;62;
2910;gate-keeper;63;
2911;gate-keeper;64;
2913;vege_0;64;
2920;meat_0;61;
2931;meat_1;62;
2940;final-crs_1;64;1058
2962;final-crs_2;61;1415
2978;meat_0;63;
2986;final-crs_0;62;762
3042;final-crs_3;63;391
3239;gate-keeper;73;
3257;meat_1;73;
3260;final-crs_0;73;592
3547;gate-keeper;80;
3553;vege_1;80;
3635;gate-keeper;81;
3636;gate-keeper;82;
3637;vege_1;81;
3638;final-crs_7;80;2391
3639;final-crs_5;81;135
3655;meat_1;82;
3666;final-crs_2;82;759
3733;gate-keeper;83;
3734;gate-keeper;84;
3735;vege_1;83;
3736;vege_0;84;
3771;final-crs_3;83;1044
3778;final-crs_4;84;699
4118;gate-keeper;94;
4121;frui_0;94;
4138;final-crs_2;94;712
4428;gate-keeper;101;
4429;vege_1;101;
4471;final-crs_8;101;252
4744;gate-keeper;107;
4745;frui_0;107;
4745;gate-keeper;108;
4756;final-crs_4;107;199
4763;meat_0;108;
4774;final-crs_5;108;940
5041;gate-keeper;114;
5043;frui_0;114;
5087;final-crs_1;114;765
5338;gate-keeper;121;
5347;meat_1;121;
5355;final-crs_2;121;256
5622;gate-keeper;127;
5627;vege_1;127;
5643;final-crs_3;127;216
5902;gate-keeper;134;
5921;meat_0;134;
5989;final-crs_6;134;1337
6297;gate-keeper;142;
6298;gate-keeper;143;
6301;vege_1;143;
6302;frui_1;142;
6338;final-crs_1;143;596
6391;final-crs_3;142;1240
6449;gate-keeper;144;
6450;gate-keeper;145;
6451;frui_0;144;
6451;gate-keeper;146;
6453;frui_1;146;
6462;meat_1;145;
6476;final-crs_5;144;1070
6478;final-crs_7;146;502
6484;final-crs_0;145;901
6748;gate-keeper;153;
6749;vege_1;153;
6773;final-crs_2;153;188
7062;gate-keeper;156;
7063;gate-keeper;157;
7064;gate-keeper;158;
7065;frui_1;156;
7065;gate-keeper;159;
7066;gate-keeper;160;
7070;final-crs_8;156;1076
7070;vege_1;157;
7071;vege_0;158;
7080;vege_1;159;
7082;vege_0;160;
7129;final-crs_3;157;789
7151;final-crs_6;158;308
7191;final-crs_5;159;842
7206;final-crs_0;160;88
7334;gate-keeper;166;
7339;frui_0;166;
7346;final-crs_3;166;400
7415;gate-keeper;168;
7416;vege_0;168;
7417;final-crs_0;168;1120
7715;gate-keeper;174;
7716;gate-keeper;175;
7720;vege_1;175;
7736;final-crs_6;175;554
7750;gate-keeper;176;
7751;meat_0;174;
7752;frui_0;176;
7763;final-crs_2;174;66
7769;final-crs_4;176;441
8012;gate-keeper;182;
8036;meat_1;182;
8044;final-crs_8;182;519
8347;gate-keeper;189;
8349;vege_1;189;
8363;final-crs_5;189;140
8647;gate-keeper;196;
8648;frui_1;196;
8648;gate-keeper;197;
8654;frui_0;197;
8678;final-crs_6;196;1322
8697;final-crs_7;197;442
8964;gate-keeper;204;
8968;frui_0;204;
8990;final-crs_3;204;420
9248;gate-keeper;210;
9249;vege_0;210;
9252;final-crs_2;210;307
9547;gate-keeper;217;
9548;frui_0;217;
9587;final-crs_1;217;339
9800;gate-keeper;222;
9801;frui_1;222;
9801;gate-keeper;223;
9803;frui_0;223;
9805;final-crs_1;222;287
9813;final-crs_4;223;816
10143;gate-keeper;231;
10178;meat_0;231;
10187;final-crs_2;231;530
10422;gate-keeper;235;
10423;gate-keeper;236;
10424;gate-keeper;237;
10428;frui_0;237;
10430;final-crs_7;237;513
10431;vege_1;236;
10457;meat_1;235;
10470;final-crs_2;236;599
10473;final-crs_4;235;1600
10750;gate-keeper;244;
10751;gate-keeper;245;
10756;vege_0;244;
10757;vege_1;245;
10804;final-crs_6;244;400
10810;final-crs_0;245;293
10858;gate-keeper;247;
10875;meat_1;247;
10911;final-crs_7;247;127
10918;gate-keeper;248;
10919;gate-keeper;249;
10920;frui_1;248;
10924;frui_0;249;
10952;final-crs_2;248;204
10953;final-crs_1;249;488
11049;gate-keeper;251;
11050;gate-keeper;252;
11051;vege_1;251;
11052;final-crs_5;251;246
11054;meat_1;252;
11069;final-crs_0;252;867
11610;gate-keeper;262;
11611;meat_0;262;
11611;gate-keeper;263;
11612;gate-keeper;264;
11614;frui_0;263;
11616;frui_1;264;
11623;final-crs_1;262;154
11647;final-crs_7;263;271
11648;final-crs_8;264;1044
12023;gate-keeper;273;
12024;gate-keeper;274;
12025;frui_1;274;
12028;final-crs_0;274;962
12030;meat_1;273;
12066;final-crs_1;273;1184
12334;gate-keeper;281;
12354;gate-keeper;282;
12380;meat_1;281;
12390;meat_0;282;
12421;final-crs_2;281;942
12429;final-crs_4;282;451
12669;gate-keeper;289;
12692;meat_1;289;
12717;final-crs_2;289;1019
13250;gate-keeper;303;
13252;frui_1;303;
13259;gate-keeper;304;
13262;vege_0;304;
13313;final-crs_8;303;381
13345;final-crs_7;304;603
13546;gate-keeper;310;
13547;meat_1;310;
13592;final-crs_7;310;1006
13808;gate-keeper;316;
13813;vege_0;316;
13846;final-crs_7;316;211
14112;gate-keeper;321;
14113;frui_1;321;
14113;gate-keeper;322;
14114;gate-keeper;323;
14117;frui_0;323;
14119;final-crs_6;321;570
14119;vege_1;322;
14136;final-crs_5;323;1826
14177;final-crs_3;322;1984
14255;gate-keeper;326;
14256;frui_0;326;
14256;gate-keeper;327;
14259;frui_1;327;
14273;final-crs_2;326;1215
14310;final-crs_8;327;927
14508;gate-keeper;331;
14509;gate-keeper;332;
14512;vege_0;331;
14521;final-crs_6;331;1412
14537;meat_1;332;
