time;ckpt;id;money
337;gate-keeper;4;
340;vege_0;4;
426;final-crs_3;4;1689
643;gate-keeper;9;
645;frui_0;9;
649;final-crs_6;9;3199
961;gate-keeper;14;
965;frui_0;14;
969;final-crs_4;14;459
1206;gate-keeper;18;
1208;vege_0;18;
1241;final-crs_8;18;2710
1806;gate-keeper;29;
1810;vege_0;29;
1846;final-crs_2;29;3038
2103;gate-keeper;34;
2107;frui_1;34;
2110;final-crs_0;34;237
2401;gate-keeper;37;
2402;gate-keeper;38;
2403;vege_0;37;
2405;final-crs_4;37;3078
2410;vege_1;38;
2435;final-crs_8;38;309
2713;gate-keeper;42;
2714;gate-keeper;43;
2718;frui_1;42;
2719;vege_0;43;
2721;final-crs_5;42;1083
2783;final-crs_2;43;2307
3276;gate-keeper;52;
3317;meat_1;52;
3326;final-crs_3;52;1049
3536;gate-keeper;57;
3539;vege_0;57;
3564;final-crs_3;57;363
3616;gate-keeper;58;
3618;vege_1;58;
3624;final-crs_0;58;1250
4193;gate-keeper;66;
4194;frui_0;66;
4194;gate-keeper;67;
4199;vege_1;67;
4288;final-crs_6;66;2408
4305;final-crs_5;67;849
4471;gate-keeper;72;
4479;vege_1;72;
4546;final-crs_6;72;300
4782;gate-keeper;77;
4785;vege_1;77;
4802;final-crs_5;77;1798
5378;gate-keeper;86;
5379;gate-keeper;87;
5382;vege_1;86;
5387;vege_0;87;
5445;final-crs_3;86;2631
5446;final-crs_6;87;3223
5630;gate-keeper;90;
5631;frui_0;90;
5639;final-crs_0;90;896
5921;gate-keeper;95;
5955;meat_1;95;
6001;final-crs_1;95;496
6183;gate-keeper;97;
6184;gate-keeper;98;
6185;vege_0;97;
6185;vege_1;98;
6185;gate-keeper;99;
6186;frui_0;99;
6200;final-crs_1;97;1381
6280;final-crs_4;98;71
6282;final-crs_2;99;2050
6442;gate-keeper;104;
6447;vege_1;104;
6452;final-crs_1;104;124
6759;gate-keeper;106;
6760;gate-keeper;107;
6761;gate-keeper;108;
6762;gate-keeper;109;
6765;vege_0;106;
6767;vege_1;107;
6773;vege_0;108;
6777;final-crs_5;106;1644
6778;final-crs_2;107;688
6778;vege_1;109;
6803;final-crs_0;108;214
6815;final-crs_7;109;141
7072;gate-keeper;114;
7074;vege_0;114;
7081;final-crs_7;114;2213
8029;gate-keeper;129;
8034;frui_0;129;
8057;final-crs_1;129;1080
8146;gate-keeper;130;
8147;gate-keeper;131;
8149;vege_0;130;
8154;vege_1;131;
8216;final-crs_6;130;755
8247;final-crs_5;131;392
8373;gate-keeper;134;
8376;frui_0;134;
8452;final-crs_6;134;1653
8724;gate-keeper;140;
8732;vege_1;140;
8733;final-crs_1;140;493
9145;gate-keeper;146;
9146;frui_1;146;
9146;gate-keeper;147;
9151;frui_0;147;
9169;final-crs_7;146;2427
9198;final-crs_0;147;2993
9340;gate-keeper;149;
9341;gate-keeper;150;
9346;vege_0;149;
9346;vege_1;150;
9363;final-crs_4;149;2172
9371;final-crs_6;150;688
9619;gate-keeper;154;
9620;gate-keeper;155;
9623;vege_1;154;
9627;final-crs_6;154;1444
9640;meat_0;155;
9655;final-crs_7;155;1258
9939;gate-keeper;160;
9950;meat_0;160;
10011;final-crs_2;160;1652
10207;gate-keeper;164;
10208;vege_0;164;
10213;final-crs_1;164;225
10465;gate-keeper;168;
10472;vege_1;168;
10513;final-crs_3;168;550
10887;gate-keeper;174;
10888;gate-keeper;175;
10891;vege_0;174;
10892;vege_1;175;
10903;final-crs_5;174;913
10961;final-crs_3;175;2909
11423;gate-keeper;182;
11424;gate-keeper;183;
11428;vege_0;182;
11428;vege_1;183;
11454;final-crs_3;182;2863
11469;final-crs_2;183;554
11684;gate-keeper;187;
11686;vege_1;187;
11704;final-crs_3;187;171
11716;gate-keeper;188;
11722;vege_0;188;
11726;final-crs_4;188;1903
12016;gate-keeper;192;
12017;gate-keeper;193;
12030;meat_1;192;
12065;meat_0;193;
12097;final-crs_5;192;819
12104;final-crs_1;193;1645
12385;gate-keeper;196;
12386;gate-keeper;197;
12387;gate-keeper;198;
12389;vege_0;196;
12390;final-crs_0;196;2617
12390;frui_1;197;
12393;vege_1;198;
12398;final-crs_3;197;2169
12400;final-crs_7;198;901
12660;gate-keeper;203;
12663;vege_1;203;
12671;final-crs_4;203;1240
12903;gate-keeper;206;
12908;vege_0;206;
12917;final-crs_4;206;2533
13253;gate-keeper;211;
13254;gate-keeper;212;
13255;frui_0;211;
13259;frui_1;212;
13273;final-crs_3;211;3117
13318;final-crs_7;212;2087
13454;gate-keeper;215;
13455;frui_1;215;
13494;final-crs_1;215;2577
13566;gate-keeper;216;
13567;frui_1;216;
13567;gate-keeper;217;
13571;vege_1;217;
13586;final-crs_2;216;1051
13596;final-crs_7;217;1696
14512;gate-keeper;232;
14513;frui_1;232;
14514;final-crs_5;232;443
14616;gate-keeper;234;
14619;vege_1;234;
14641;final-crs_1;234;2460
14788;gate-keeper;237;
14793;vege_0;237;
14800;final-crs_7;237;481
14953;gate-keeper;238;
14954;gate-keeper;239;
14955;gate-keeper;240;
14959;vege_0;238;
14962;vege_1;239;
14968;vege_0;240;
14980;final-crs_8;238;789
14987;final-crs_3;239;1608
15006;final-crs_7;240;853
15223;gate-keeper;243;
15224;gate-keeper;244;
15226;vege_0;243;
15227;vege_1;244;
15236;final-crs_3;243;644
15253;final-crs_5;244;1243
15568;gate-keeper;249;
15569;gate-keeper;250;
15570;vege_1;250;
15574;frui_1;249;
15580;final-crs_1;250;319
