time;ckpt;id;money
322;gate-keeper;0;
326;vege_0;0;
427;final-crs_1;0;311
614;gate-keeper;1;
616;meat_0;1;
655;final-crs_1;1;2575
871;gate-keeper;2;
873;vege_0;2;
906;final-crs_1;2;2247
1197;gate-keeper;3;
1201;vege_0;3;
1209;final-crs_4;3;1258
1496;gate-keeper;4;
1497;gate-keeper;5;
1502;vege_0;4;
1502;vege_1;5;
1595;final-crs_1;4;736
1630;final-crs_0;5;2373
1927;gate-keeper;6;
1931;vege_0;6;
1983;final-crs_2;6;374
2108;gate-keeper;7;
2112;vege_1;7;
2125;final-crs_3;7;2138
2415;gate-keeper;8;
2424;meat_0;8;
2445;final-crs_2;8;4150
2722;gate-keeper;9;
2724;vege_1;9;
2760;final-crs_1;9;1456
2983;gate-keeper;10;
2986;vege_0;10;
2990;final-crs_2;10;771
3225;gate-keeper;11;
3233;vege_0;11;
3239;final-crs_1;11;3851
3517;gate-keeper;12;
3520;vege_0;12;
3576;final-crs_3;12;994
3820;gate-keeper;13;
3825;vege_1;13;
3860;final-crs_4;13;2554
4124;gate-keeper;14;
4127;vege_1;14;
4171;final-crs_1;14;3134
4452;gate-keeper;15;
4453;gate-keeper;16;
4454;vege_0;16;
4465;meat_0;15;
4468;final-crs_0;16;401
4484;final-crs_2;15;2910
4763;gate-keeper;17;
4766;frui_0;17;
4797;final-crs_5;17;1738
5127;gate-keeper;18;
5130;vege_1;18;
5138;final-crs_0;18;1122
5398;gate-keeper;19;
5404;vege_0;19;
5427;final-crs_2;19;418
5810;gate-keeper;20;
5811;frui_1;20;
5811;gate-keeper;21;
5812;vege_1;21;
5877;final-crs_5;20;1395
5879;final-crs_0;21;2124
6098;gate-keeper;22;
6104;frui_0;22;
6134;final-crs_5;22;3856
6389;gate-keeper;23;
6390;frui_1;23;
6411;final-crs_3;23;1262
6724;gate-keeper;24;
6734;meat_1;24;
6810;final-crs_2;24;3082
7026;gate-keeper;25;
7027;gate-keeper;26;
7031;meat_0;26;
7032;vege_1;25;
7048;final-crs_2;26;3102
7075;final-crs_1;25;764
7335;gate-keeper;27;
7337;vege_0;27;
7344;final-crs_5;27;267
7602;gate-keeper;28;
7605;vege_0;28;
7612;final-crs_3;28;1942
7913;gate-keeper;29;
7915;vege_1;29;
7916;final-crs_5;29;1190
8147;gate-keeper;30;
8152;vege_1;30;
8271;final-crs_4;30;1968
8308;gate-keeper;31;
8314;vege_0;31;
8319;final-crs_2;31;2372
8616;gate-keeper;32;
8617;vege_1;32;
8753;final-crs_4;32;478
8881;gate-keeper;33;
8882;vege_1;33;
9001;final-crs_2;33;1737
9115;gate-keeper;34;
9120;vege_1;34;
9231;final-crs_2;34;3181
9488;gate-keeper;35;
9490;vege_0;35;
9521;final-crs_3;35;401
9772;gate-keeper;36;
9773;meat_1;36;
9786;final-crs_3;36;177
10001;gate-keeper;37;
10003;vege_1;37;
10029;final-crs_3;37;706
10118;gate-keeper;38;
10123;vege_1;38;
10217;final-crs_2;38;1376
10421;gate-keeper;39;
10426;vege_1;39;
10440;final-crs_2;39;1990
10654;gate-keeper;40;
10656;frui_0;40;
10666;final-crs_2;40;1045
10965;gate-keeper;41;
10969;vege_1;41;
10972;final-crs_4;41;1025
11252;gate-keeper;42;
11260;vege_0;42;
11367;final-crs_0;42;2361
11509;gate-keeper;43;
11510;vege_1;43;
11567;final-crs_0;43;496
11825;gate-keeper;44;
