time;ckpt;id;money
321;gate-keeper;0;
326;vege_1;0;
440;final-crs_0;0;1082
596;gate-keeper;1;
602;vege_1;1;
671;final-crs_5;1;1818
908;gate-keeper;2;
909;gate-keeper;3;
912;vege_0;2;
915;vege_1;3;
959;final-crs_2;2;479
972;final-crs_3;3;2544
1196;gate-keeper;4;
1202;vege_0;4;
1220;final-crs_2;4;783
1475;gate-keeper;5;
1476;vege_0;5;
1481;final-crs_0;5;2479
1763;gate-keeper;6;
1767;vege_0;6;
1791;final-crs_1;6;2131
1795;gate-keeper;7;
1799;vege_0;7;
1815;final-crs_3;7;1553
2043;gate-keeper;8;
2049;meat_0;8;
2166;final-crs_4;8;1076
2329;gate-keeper;9;
2334;vege_1;9;
2434;final-crs_2;9;562
2625;gate-keeper;10;
2627;frui_0;10;
2648;final-crs_4;10;2602
2785;gate-keeper;11;
2803;meat_1;11;
2838;final-crs_3;11;618
2912;gate-keeper;12;
2913;vege_0;12;
2924;final-crs_0;12;416
3110;gate-keeper;13;
3111;frui_0;13;
3184;final-crs_0;13;850
3540;gate-keeper;14;
3557;meat_0;14;
3677;final-crs_2;14;2877
3720;gate-keeper;15;
3723;vege_1;15;
3754;final-crs_4;15;1912
3850;gate-keeper;16;
3855;meat_0;16;
3912;final-crs_3;16;266
4191;gate-keeper;17;
4193;vege_0;17;
4203;final-crs_0;17;736
4465;gate-keeper;18;
4466;frui_1;18;
4466;gate-keeper;19;
4467;vege_1;19;
4479;final-crs_4;18;1997
4520;final-crs_1;19;2003
4755;gate-keeper;20;
4762;vege_1;20;
4782;final-crs_1;20;963
5066;gate-keeper;21;
5067;vege_1;21;
5090;final-crs_3;21;242
5367;gate-keeper;22;
5368;vege_1;22;
5368;gate-keeper;23;
5369;frui_0;23;
5448;final-crs_0;22;858
5481;final-crs_4;23;1271
5684;gate-keeper;24;
5688;vege_0;24;
5690;final-crs_4;24;2424
6012;gate-keeper;25;
6017;vege_0;25;
6090;final-crs_2;25;2876
6140;gate-keeper;26;
6141;vege_0;26;
6153;final-crs_5;26;1796
6280;gate-keeper;27;
6282;frui_1;27;
6306;final-crs_2;27;3183
6582;gate-keeper;28;
6587;vege_1;28;
6598;final-crs_4;28;2310
6869;gate-keeper;29;
6871;frui_1;29;
6874;final-crs_4;29;1766
7152;gate-keeper;30;
7158;vege_1;30;
7201;gate-keeper;31;
7209;vege_0;31;
7256;final-crs_2;30;2892
7270;final-crs_3;31;3010
7450;gate-keeper;32;
7455;vege_0;32;
7493;final-crs_2;32;905
7733;gate-keeper;33;
7736;vege_1;33;
7791;final-crs_1;33;460
8061;gate-keeper;34;
8064;vege_1;34;
8106;final-crs_5;34;1838
8203;gate-keeper;35;
8205;frui_1;35;
8256;final-crs_2;35;327
8327;gate-keeper;36;
8329;vege_1;36;
8361;final-crs_5;36;3021
8560;gate-keeper;37;
8565;meat_1;37;
8662;final-crs_5;37;199
8933;gate-keeper;38;
8934;vege_0;38;
8966;final-crs_2;38;433
9132;gate-keeper;39;
9136;vege_0;39;
9176;final-crs_1;39;1664
9282;gate-keeper;40;
9285;frui_0;40;
9341;final-crs_5;40;1056
9586;gate-keeper;41;
9591;vege_1;41;
9602;final-crs_5;41;2283
9867;gate-keeper;42;
9868;gate-keeper;43;
9869;vege_1;42;
9878;vege_0;43;
9898;final-crs_3;42;1127
9926;final-crs_2;43;1262
10121;gate-keeper;44;
10126;vege_1;44;
10167;final-crs_3;44;2363
10482;gate-keeper;45;
10483;frui_0;45;
10545;final-crs_1;45;831
10614;gate-keeper;46;
10639;meat_1;46;
10641;final-crs_2;46;213
10797;gate-keeper;47;
10803;vege_0;47;
10811;final-crs_4;47;579
11024;gate-keeper;48;
11025;frui_1;48;
11028;final-crs_4;48;2481
11437;gate-keeper;49;
11438;gate-keeper;50;
11444;vege_0;49;
11446;vege_1;50;
11476;final-crs_5;49;667
11503;final-crs_1;50;515
11702;gate-keeper;51;
11707;vege_1;51;
11739;final-crs_5;51;686
11975;gate-keeper;52;
11981;vege_0;52;
12033;final-crs_3;52;1158
12286;gate-keeper;53;
12287;vege_0;53;
12287;gate-keeper;54;
12292;vege_1;54;
12301;final-crs_2;53;2251
12316;final-crs_3;54;1608
12670;gate-keeper;55;
12700;meat_1;55;
12722;final-crs_1;55;1674
12950;gate-keeper;56;
12955;frui_0;56;
12959;final-crs_4;56;594
13208;gate-keeper;57;
13211;vege_1;57;
13224;final-crs_3;57;560
13488;gate-keeper;58;
13489;vege_1;58;
13489;gate-keeper;59;
13491;frui_1;59;
13537;final-crs_2;58;2864
13630;final-crs_0;59;295
13761;gate-keeper;60;
13766;vege_0;60;
13800;final-crs_2;60;1113
14014;gate-keeper;61;
14015;vege_0;61;
14043;final-crs_2;61;2882
14329;gate-keeper;62;
14331;frui_1;62;
14390;final-crs_1;62;1489
14642;gate-keeper;63;
14643;gate-keeper;64;
14646;vege_1;63;
14653;vege_0;64;
14665;final-crs_3;63;2294
14675;final-crs_5;64;77
14902;gate-keeper;65;
14908;meat_0;65;
14919;final-crs_4;65;2396
15226;gate-keeper;66;
15232;vege_0;66;
15284;final-crs_2;66;2314
15562;gate-keeper;67;
15563;gate-keeper;68;
15565;frui_1;68;
15569;vege_0;67;
15582;final-crs_5;68;162
15588;final-crs_1;67;1236
15919;gate-keeper;69;
15920;gate-keeper;70;
15921;vege_0;70;
15937;meat_1;69;
15947;final-crs_0;70;656
15989;final-crs_3;69;2135
16223;gate-keeper;71;
16229;vege_1;71;
16235;final-crs_3;71;402
16461;gate-keeper;72;
16467;vege_0;72;
16548;final-crs_4;72;1509
16846;gate-keeper;73;
16847;frui_1;73;
16847;gate-keeper;74;
16850;vege_1;74;
16902;final-crs_3;73;396
16968;final-crs_2;74;1816
17187;gate-keeper;75;
17191;frui_0;75;
17198;final-crs_2;75;431
17384;gate-keeper;76;
17394;meat_1;76;
17400;final-crs_3;76;891
17499;gate-keeper;77;
17520;meat_1;77;
17531;final-crs_4;77;275
17776;gate-keeper;78;
17781;vege_1;78;
17788;final-crs_5;78;1524
18003;gate-keeper;79;
18005;vege_1;79;
18058;final-crs_5;79;833
18273;gate-keeper;80;
18274;frui_0;80;
18303;final-crs_5;80;205
18555;gate-keeper;81;
18559;vege_1;81;
18561;final-crs_5;81;424
18838;gate-keeper;82;
18839;gate-keeper;83;
18844;vege_0;83;
18844;frui_1;82;
18846;final-crs_2;83;236
18853;final-crs_4;82;642
19135;gate-keeper;84;
19136;gate-keeper;85;
19137;vege_1;84;
19137;gate-keeper;86;
19138;gate-keeper;87;
19139;gate-keeper;88;
19140;meat_1;85;
19140;gate-keeper;89;
19141;gate-keeper;90;
19142;gate-keeper;91;
19144;vege_0;86;
19144;frui_1;87;
19146;vege_1;88;
19153;vege_0;89;
19155;vege_1;90;
19161;vege_0;91;
19168;final-crs_0;84;2037
19265;final-crs_2;85;845
19303;final-crs_5;86;1202
19326;final-crs_1;87;473
19330;final-crs_4;88;310
19413;final-crs_3;89;1338
19437;final-crs_0;90;403
19477;gate-keeper;92;
19478;frui_0;92;
19478;gate-keeper;93;
19479;vege_0;93;
19479;gate-keeper;94;
19480;gate-keeper;95;
19484;frui_0;94;
19485;frui_1;95;
19526;final-crs_5;91;365
19542;final-crs_2;92;1102
19555;final-crs_1;93;747
19567;final-crs_4;94;1844
