time;ckpt;id;money
581;gate-keeper;0;
582;gate-keeper;1;
584;frui_1;0;
586;vege_1;1;
682;final-crs_4;0;1135
715;final-crs_0;1;499
934;gate-keeper;2;
954;meat_1;2;
958;final-crs_3;2;731
1263;gate-keeper;3;
1264;gate-keeper;4;
1268;frui_0;4;
1270;vege_1;3;
1383;final-crs_4;4;121
1436;final-crs_0;3;80
1529;gate-keeper;5;
1533;frui_0;5;
1577;final-crs_4;5;88
1798;gate-keeper;6;
1799;frui_0;6;
1814;final-crs_4;6;909
2159;gate-keeper;7;
2163;meat_1;7;
2167;final-crs_3;7;1092
2431;gate-keeper;8;
2432;frui_0;8;
2432;gate-keeper;9;
2434;frui_1;9;
2493;final-crs_5;8;641
2496;final-crs_2;9;828
2702;gate-keeper;10;
2704;vege_0;10;
2745;final-crs_2;10;697
2972;gate-keeper;11;
2975;vege_0;11;
2983;final-crs_3;11;161
3290;gate-keeper;12;
3293;vege_1;12;
3362;final-crs_0;12;1177
3604;gate-keeper;13;
3605;frui_0;13;
3606;final-crs_1;13;733
3639;gate-keeper;14;
3640;frui_1;14;
3646;final-crs_5;14;604
3915;gate-keeper;15;
3919;frui_1;15;
3940;final-crs_3;15;1294
4212;gate-keeper;16;
4216;vege_0;16;
4219;final-crs_2;16;924
4478;gate-keeper;17;
4481;frui_1;17;
4512;final-crs_0;17;135
4791;gate-keeper;18;
4794;vege_0;18;
4831;final-crs_1;18;1183
5127;gate-keeper;19;
5128;gate-keeper;20;
5130;vege_0;19;
5132;vege_1;20;
5161;final-crs_0;19;421
5161;final-crs_4;20;1380
5436;gate-keeper;21;
5439;vege_1;21;
5442;final-crs_0;21;961
5746;gate-keeper;22;
5747;frui_1;22;
5769;final-crs_5;22;1824
6047;gate-keeper;23;
6048;vege_1;23;
6048;gate-keeper;24;
6067;meat_1;24;
6084;final-crs_1;23;293
6117;final-crs_4;24;471
6264;gate-keeper;25;
6270;vege_1;25;
6341;final-crs_1;25;1352
6600;gate-keeper;26;
6601;vege_1;26;
6602;final-crs_4;26;910
6931;gate-keeper;27;
6962;meat_1;27;
6976;final-crs_3;27;858
7209;gate-keeper;28;
7215;vege_0;28;
7249;final-crs_3;28;1325
7354;gate-keeper;29;
7362;vege_1;29;
7421;final-crs_5;29;1163
7552;gate-keeper;30;
7555;vege_1;30;
7573;final-crs_0;30;651
7806;gate-keeper;31;
7808;frui_0;31;
7819;final-crs_0;31;701
8073;gate-keeper;32;
8119;meat_0;32;
8181;final-crs_3;32;834
8297;gate-keeper;33;
8300;vege_0;33;
8302;final-crs_4;33;325
8713;gate-keeper;34;
8719;vege_1;34;
8756;final-crs_1;34;1061
9040;gate-keeper;35;
9042;frui_1;35;
9051;final-crs_4;35;1711
9229;gate-keeper;36;
9237;vege_1;36;
9250;final-crs_0;36;881
9367;gate-keeper;37;
9370;frui_0;37;
9396;final-crs_2;37;475
9720;gate-keeper;38;
9721;vege_0;38;
9731;final-crs_4;38;377
10012;gate-keeper;39;
10013;gate-keeper;40;
10016;vege_1;39;
10021;vege_0;40;
10068;final-crs_2;39;342
10088;final-crs_3;40;335
10302;gate-keeper;41;
10307;frui_1;41;
10350;final-crs_3;41;1532
10595;gate-keeper;42;
10610;meat_1;42;
10642;final-crs_4;42;2186
10917;gate-keeper;43;
10918;frui_0;43;
10946;final-crs_1;43;470
11167;gate-keeper;44;
11171;vege_0;44;
11176;final-crs_4;44;837
11233;gate-keeper;45;
11235;frui_0;45;
11299;final-crs_3;45;1315
11514;gate-keeper;46;
11516;vege_1;46;
11520;final-crs_3;46;760
11815;gate-keeper;47;
11845;meat_1;47;
11871;final-crs_4;47;815
12086;gate-keeper;48;
12094;meat_1;48;
12099;final-crs_0;48;939
12357;gate-keeper;49;
12361;vege_1;49;
12388;final-crs_2;49;440
12639;gate-keeper;50;
12690;meat_0;50;
12697;final-crs_3;50;869
12952;gate-keeper;51;
12953;gate-keeper;52;
12954;frui_0;52;
12968;final-crs_1;52;409
12983;meat_0;51;
13036;final-crs_0;51;763
13248;gate-keeper;53;
13252;meat_0;53;
13290;final-crs_0;53;591
13583;gate-keeper;54;
13598;meat_0;54;
13705;final-crs_3;54;720
13856;gate-keeper;55;
13857;frui_1;55;
13930;final-crs_2;55;1992
13936;gate-keeper;56;
13941;frui_1;56;
13974;final-crs_3;56;1494
14151;gate-keeper;57;
14152;vege_0;57;
14187;final-crs_1;57;1649
14511;gate-keeper;58;
14512;frui_0;58;
14556;final-crs_4;58;315
14657;gate-keeper;59;
14658;vege_0;59;
14670;final-crs_1;59;141
15132;gate-keeper;60;
15133;vege_0;60;
15158;final-crs_3;60;852
15187;gate-keeper;61;
15191;vege_0;61;
15196;final-crs_1;61;933
15464;gate-keeper;62;
15470;vege_0;62;
15518;final-crs_2;62;227
15832;gate-keeper;63;
15833;gate-keeper;64;
15840;vege_0;63;
15842;vege_1;64;
15880;final-crs_4;63;217
15915;final-crs_1;64;1088
16087;gate-keeper;65;
16089;vege_0;65;
16154;final-crs_1;65;126
16390;gate-keeper;66;
16394;frui_0;66;
16431;final-crs_5;66;1721
16706;gate-keeper;67;
16710;frui_0;67;
16714;final-crs_3;67;694
16996;gate-keeper;68;
17000;vege_1;68;
17086;final-crs_5;68;1406
17269;gate-keeper;69;
17271;frui_0;69;
17315;final-crs_4;69;777
17465;gate-keeper;70;
17470;frui_0;70;
17510;final-crs_4;70;105
17548;gate-keeper;71;
17551;vege_1;71;
17580;final-crs_1;71;740
17831;gate-keeper;72;
17832;frui_1;72;
17849;final-crs_0;72;535
18105;gate-keeper;73;
18106;frui_1;73;
18117;final-crs_2;73;555
18316;gate-keeper;74;
18323;vege_0;74;
18346;final-crs_3;74;214
18694;gate-keeper;75;
18699;vege_0;75;
18771;final-crs_5;75;2157
19040;gate-keeper;76;
19041;gate-keeper;77;
19042;frui_1;76;
19052;final-crs_4;76;661
19084;meat_1;77;
19101;final-crs_3;77;461
19291;gate-keeper;78;
19292;vege_0;78;
19351;final-crs_3;78;1139
19509;gate-keeper;79;
19510;meat_1;79;
19516;final-crs_5;79;93
19829;gate-keeper;80;
19830;gate-keeper;81;
19831;frui_1;80;
19831;gate-keeper;82;
19833;frui_0;81;
19835;vege_1;82;
19840;final-crs_3;80;1410
19861;final-crs_1;81;255
19920;final-crs_2;82;178
20064;gate-keeper;83;
20065;gate-keeper;84;
20066;gate-keeper;85;
20068;frui_0;83;
20070;frui_1;85;
20089;meat_1;84;
20097;final-crs_3;83;416
20108;final-crs_1;85;1386
20118;final-crs_2;84;868
20379;gate-keeper;86;
20381;vege_0;86;
20435;final-crs_5;86;765
20693;gate-keeper;87;
20694;frui_1;87;
20694;gate-keeper;88;
20695;gate-keeper;89;
20696;frui_0;88;
20698;vege_0;89;
20702;final-crs_4;87;750
20802;gate-keeper;90;
20803;gate-keeper;91;
20804;gate-keeper;92;
20808;vege_1;90;
20810;vege_0;91;
20818;final-crs_2;88;150
20818;vege_1;92;
20828;final-crs_3;89;1275
20878;final-crs_0;90;1132
20895;final-crs_1;91;762
20920;final-crs_4;92;771
20990;gate-keeper;93;
20991;gate-keeper;94;
20992;vege_0;93;
20992;frui_0;94;
