time;ckpt;id;money
257;gate-keeper;0;
261;vege_0;0;
266;final-crs_1;0;913
547;gate-keeper;1;
552;vege_0;1;
674;final-crs_2;1;3522
853;gate-keeper;2;
856;vege_1;2;
921;final-crs_2;2;1346
1152;gate-keeper;3;
1153;vege_0;3;
1153;gate-keeper;4;
1154;final-crs_2;3;1427
1162;vege_1;4;
1212;final-crs_3;4;1780
1463;gate-keeper;5;
1472;vege_1;5;
1476;final-crs_1;5;592
1770;gate-keeper;6;
1771;gate-keeper;7;
1772;vege_0;7;
1795;meat_0;6;
1865;final-crs_2;7;2975
1873;final-crs_3;6;966
2032;gate-keeper;8;
2037;vege_0;8;
2078;final-crs_3;8;1828
2345;gate-keeper;9;
2346;gate-keeper;10;
2348;vege_1;9;
2353;vege_0;10;
2357;final-crs_2;9;3583
2374;final-crs_5;10;1248
2577;gate-keeper;11;
2578;vege_0;11;
2593;final-crs_2;11;242
2895;gate-keeper;12;
2903;vege_0;12;
2939;final-crs_1;12;2290
3208;gate-keeper;13;
3209;gate-keeper;14;
3215;vege_1;13;
3227;meat_0;14;
3228;final-crs_2;13;2592
3233;final-crs_1;14;136
3483;gate-keeper;15;
3490;vege_1;15;
3509;final-crs_1;15;2470
3805;gate-keeper;16;
3806;vege_1;16;
3915;final-crs_4;16;3573
4147;gate-keeper;17;
4148;gate-keeper;18;
4150;frui_0;17;
4151;frui_1;18;
4158;final-crs_3;17;1234
4181;final-crs_0;18;1490
4317;gate-keeper;19;
4320;vege_0;19;
4396;final-crs_4;19;592
4749;gate-keeper;20;
4750;gate-keeper;21;
4751;vege_0;20;
4758;vege_1;21;
4774;final-crs_1;20;1599
4864;final-crs_3;21;582
5067;gate-keeper;22;
5068;gate-keeper;23;
5073;vege_0;22;
5074;vege_1;23;
5085;final-crs_3;22;852
5130;final-crs_2;23;814
5322;gate-keeper;24;
5324;vege_0;24;
5337;final-crs_3;24;1830
5620;gate-keeper;25;
5621;vege_1;25;
5630;final-crs_5;25;2233
5908;gate-keeper;26;
5909;frui_0;26;
5909;gate-keeper;27;
5917;vege_0;27;
5998;final-crs_2;26;1446
6041;final-crs_3;27;574
6141;gate-keeper;28;
6147;frui_0;28;
6225;final-crs_2;28;3080
6410;gate-keeper;29;
6415;frui_1;29;
6427;final-crs_2;29;1469
6538;gate-keeper;30;
6544;vege_1;30;
6582;final-crs_1;30;730
6836;gate-keeper;31;
6839;vege_0;31;
6850;final-crs_2;31;96
6994;gate-keeper;32;
7000;vege_0;32;
7043;final-crs_1;32;1357
7124;gate-keeper;33;
7125;frui_0;33;
7144;final-crs_3;33;2837
7421;gate-keeper;34;
7426;frui_0;34;
7525;final-crs_1;34;1544
7691;gate-keeper;35;
7693;vege_1;35;
7789;gate-keeper;36;
7795;vege_0;36;
7798;final-crs_4;35;234
7801;final-crs_2;36;3934
8023;gate-keeper;37;
8024;vege_1;37;
8031;final-crs_0;37;99
8357;gate-keeper;38;
8358;vege_1;38;
8358;gate-keeper;39;
8360;frui_0;39;
8486;final-crs_2;38;74
8544;final-crs_3;39;2049
8670;gate-keeper;40;
8671;frui_0;40;
8725;final-crs_2;40;1437
9033;gate-keeper;41;
9034;gate-keeper;42;
9036;vege_1;41;
9038;frui_1;42;
9041;final-crs_1;41;83
9050;final-crs_5;42;130
9334;gate-keeper;43;
9337;frui_1;43;
9418;final-crs_2;43;1228
9439;gate-keeper;44;
9443;frui_1;44;
9449;final-crs_3;44;1475
9585;gate-keeper;45;
9586;frui_0;45;
9640;final-crs_0;45;570
9873;gate-keeper;46;
9875;vege_0;46;
9882;final-crs_0;46;1902
10203;gate-keeper;47;
10204;gate-keeper;48;
10213;vege_0;47;
10214;vege_1;48;
10215;final-crs_5;47;402
10312;final-crs_4;48;572
10396;gate-keeper;49;
10399;frui_1;49;
10405;final-crs_3;49;1506
10787;gate-keeper;50;
10788;gate-keeper;51;
10797;vege_0;50;
10797;vege_1;51;
10805;final-crs_4;50;3001
10836;final-crs_5;51;1683
11086;gate-keeper;52;
11094;vege_1;52;
11097;final-crs_2;52;1817
11351;gate-keeper;53;
11353;frui_1;53;
11448;gate-keeper;54;
11451;frui_1;54;
11510;final-crs_2;53;427
11525;final-crs_1;54;1334
11636;gate-keeper;55;
11637;frui_1;55;
11718;final-crs_2;55;1696
11988;gate-keeper;56;
11990;vege_0;56;
11997;final-crs_2;56;1720
12280;gate-keeper;57;
12282;frui_1;57;
12294;final-crs_5;57;1381
12627;gate-keeper;58;
12628;gate-keeper;59;
12630;vege_1;58;
12632;frui_0;59;
12647;final-crs_3;58;2020
12711;final-crs_2;59;1144
12901;gate-keeper;60;
12959;meat_0;60;
12992;final-crs_0;60;600
13168;gate-keeper;61;
13177;vege_0;61;
13180;final-crs_0;61;1494
13228;gate-keeper;62;
13236;vege_0;62;
13260;final-crs_1;62;1353
13552;gate-keeper;63;
13559;vege_1;63;
13587;final-crs_5;63;2054
13882;gate-keeper;64;
13883;vege_0;64;
13883;gate-keeper;65;
13886;frui_1;65;
13897;final-crs_0;64;1941
13945;final-crs_1;65;1099
13994;gate-keeper;66;
13998;vege_0;66;
14046;final-crs_5;66;2504
14234;gate-keeper;67;
14235;vege_1;67;
14264;final-crs_5;67;2645
14604;gate-keeper;68;
14605;gate-keeper;69;
14606;vege_0;68;
14608;vege_1;69;
14611;final-crs_3;68;3399
14620;final-crs_1;69;1675
14841;gate-keeper;70;
14843;frui_0;70;
14855;final-crs_1;70;540
15203;gate-keeper;71;
15206;vege_1;71;
15216;final-crs_5;71;251
15515;gate-keeper;72;
15516;gate-keeper;73;
15540;meat_0;72;
15552;meat_1;73;
15603;final-crs_3;72;1934
15606;final-crs_1;73;803
15736;gate-keeper;74;
15740;vege_0;74;
15763;final-crs_2;74;3032
16068;gate-keeper;75;
16075;vege_0;75;
16127;final-crs_3;75;529
16372;gate-keeper;76;
16373;gate-keeper;77;
16375;vege_0;76;
16378;final-crs_4;76;2032
16380;vege_1;77;
16390;final-crs_3;77;678
16653;gate-keeper;78;
16654;vege_0;78;
16678;final-crs_2;78;1006
16983;gate-keeper;79;
16984;gate-keeper;80;
16985;frui_1;80;
16986;vege_0;79;
17009;final-crs_1;80;904
17056;final-crs_3;79;2992
17260;gate-keeper;81;
17265;vege_1;81;
17272;final-crs_1;81;1493
17579;gate-keeper;82;
17580;gate-keeper;83;
17581;vege_1;82;
17585;vege_0;83;
17610;final-crs_4;82;968
17653;final-crs_2;83;968
17841;gate-keeper;84;
17843;meat_0;84;
17873;final-crs_5;84;2669
18157;gate-keeper;85;
18159;frui_0;85;
18210;final-crs_0;85;675
18488;gate-keeper;86;
18489;gate-keeper;87;
18490;frui_0;86;
18492;vege_0;87;
18498;final-crs_1;86;3885
18568;final-crs_2;87;1050
18780;gate-keeper;88;
18782;vege_1;88;
18823;final-crs_2;88;462
19103;gate-keeper;89;
19104;gate-keeper;90;
19109;vege_1;89;
19111;vege_0;90;
19136;final-crs_0;89;230
19208;final-crs_1;90;805
19424;gate-keeper;91;
19425;gate-keeper;92;
19426;gate-keeper;93;
19427;vege_0;91;
19427;gate-keeper;94;
19432;vege_1;92;
19433;frui_0;94;
19437;vege_0;93;
19498;gate-keeper;95;
19499;frui_1;95;
19499;gate-keeper;96;
19500;gate-keeper;97;
19501;frui_0;97;
