time;ckpt;id;money
364;gate-keeper;0;
367;vege_1;0;
461;final-crs_2;0;307
659;gate-keeper;1;
701;meat_0;1;
708;final-crs_4;1;572
934;gate-keeper;2;
935;vege_0;2;
969;final-crs_4;2;861
1219;gate-keeper;3;
1223;frui_1;3;
1242;final-crs_4;3;1314
1518;gate-keeper;4;
1519;frui_0;4;
1530;final-crs_1;4;951
1835;gate-keeper;5;
1840;vege_0;5;
1863;final-crs_2;5;675
2102;gate-keeper;6;
2103;frui_1;6;
2178;final-crs_5;6;1214
2369;gate-keeper;7;
2371;vege_0;7;
2417;final-crs_0;7;497
2654;gate-keeper;8;
2655;vege_0;8;
2701;final-crs_2;8;692
2975;gate-keeper;9;
2978;vege_1;9;
3020;final-crs_4;9;575
3259;gate-keeper;10;
3266;vege_0;10;
3287;final-crs_5;10;2029
3493;gate-keeper;11;
3494;frui_0;11;
3540;final-crs_5;11;952
3656;gate-keeper;12;
3660;vege_0;12;
3681;final-crs_0;12;178
4157;gate-keeper;13;
4161;vege_1;13;
4172;final-crs_4;13;338
4476;gate-keeper;14;
4480;vege_1;14;
4509;final-crs_5;14;961
4578;gate-keeper;15;
4583;frui_0;15;
4651;final-crs_0;15;399
4811;gate-keeper;16;
4814;vege_0;16;
4857;final-crs_2;16;108
5134;gate-keeper;17;
5137;vege_0;17;
5183;final-crs_4;17;1354
5414;gate-keeper;18;
5441;meat_1;18;
5485;final-crs_1;18;1254
5692;gate-keeper;19;
5697;vege_0;19;
5706;final-crs_5;19;1683
6000;gate-keeper;20;
6005;frui_0;20;
6034;final-crs_2;20;263
6347;gate-keeper;21;
6350;vege_1;21;
6412;final-crs_3;21;223
6538;gate-keeper;22;
6542;frui_0;22;
6635;final-crs_4;22;686
6646;gate-keeper;23;
6647;vege_0;23;
6698;final-crs_5;23;60
6920;gate-keeper;24;
6923;frui_0;24;
6961;final-crs_1;24;405
7226;gate-keeper;25;
7247;meat_1;25;
7260;final-crs_2;25;70
7514;gate-keeper;26;
7519;frui_0;26;
7546;final-crs_2;26;893
7856;gate-keeper;27;
7858;vege_1;27;
7864;final-crs_4;27;1245
8115;gate-keeper;28;
8118;frui_1;28;
8139;final-crs_4;28;467
8467;gate-keeper;29;
8470;frui_1;29;
8518;final-crs_2;29;610
8777;gate-keeper;30;
8808;meat_0;30;
8822;final-crs_4;30;1471
8968;gate-keeper;31;
8976;meat_0;31;
9008;final-crs_2;31;439
9412;gate-keeper;32;
9413;gate-keeper;33;
9414;meat_1;32;
9415;vege_1;33;
9431;final-crs_2;32;370
9436;final-crs_5;33;901
9727;gate-keeper;34;
9732;vege_0;34;
9802;final-crs_4;34;1660
9912;gate-keeper;35;
9913;vege_0;35;
10050;final-crs_4;35;588
10290;gate-keeper;36;
10304;meat_0;36;
10319;final-crs_0;36;430
10604;gate-keeper;37;
10610;vege_0;37;
10681;final-crs_5;37;613
10899;gate-keeper;38;
10900;vege_0;38;
10930;gate-keeper;39;
10936;frui_1;39;
10944;final-crs_5;38;692
11005;final-crs_0;39;808
11215;gate-keeper;40;
11217;vege_0;40;
11269;final-crs_0;40;497
11501;gate-keeper;41;
11506;meat_1;41;
11524;final-crs_2;41;274
11750;gate-keeper;42;
11755;vege_0;42;
11786;final-crs_4;42;424
12371;gate-keeper;43;
12372;gate-keeper;44;
12373;frui_0;43;
12375;frui_1;44;
12378;final-crs_5;43;593
12462;final-crs_4;44;165
12613;gate-keeper;45;
12616;frui_1;45;
12617;final-crs_2;45;794
12942;gate-keeper;46;
12943;meat_1;46;
12972;final-crs_0;46;1116
13261;gate-keeper;47;
13266;meat_1;47;
13315;final-crs_5;47;430
13438;gate-keeper;48;
13443;vege_1;48;
13489;final-crs_1;48;1328
13749;gate-keeper;49;
13750;frui_1;49;
13794;final-crs_5;49;765
14062;gate-keeper;50;
14068;frui_0;50;
14069;final-crs_3;50;1703
14352;gate-keeper;51;
14371;meat_0;51;
14410;final-crs_1;51;382
14624;gate-keeper;52;
14629;vege_0;52;
14635;final-crs_1;52;1613
14946;gate-keeper;53;
14949;frui_0;53;
14966;final-crs_4;53;569
15228;gate-keeper;54;
15229;vege_1;54;
15237;final-crs_4;54;724
15559;gate-keeper;55;
15565;frui_1;55;
15604;final-crs_1;55;774
15849;gate-keeper;56;
15850;frui_0;56;
15861;final-crs_1;56;208
16073;gate-keeper;57;
16074;vege_0;57;
16087;final-crs_2;57;970
16581;gate-keeper;58;
16584;vege_1;58;
