time;ckpt;id;money
630;gate-keeper;0;
633;frui_1;0;
697;final-crs_1;0;130
866;gate-keeper;1;
867;vege_0;1;
917;final-crs_4;1;1324
1242;gate-keeper;2;
1276;meat_0;2;
1371;final-crs_2;2;568
1592;gate-keeper;3;
1593;frui_0;3;
1616;final-crs_1;3;811
2229;gate-keeper;4;
2231;frui_1;4;
2313;final-crs_2;4;641
2556;gate-keeper;5;
2597;meat_0;5;
2647;final-crs_4;5;586
2802;gate-keeper;6;
2823;meat_0;6;
2834;final-crs_2;6;779
3178;gate-keeper;7;
3220;meat_0;7;
3279;final-crs_1;7;1658
3621;gate-keeper;8;
3626;frui_0;8;
3629;final-crs_4;8;322
4066;gate-keeper;9;
4067;vege_1;9;
4071;final-crs_0;9;1241
4334;gate-keeper;10;
4357;meat_1;10;
4363;final-crs_4;10;383
4870;gate-keeper;11;
4872;vege_0;11;
4901;final-crs_1;11;1446
5215;gate-keeper;12;
5219;vege_0;12;
5224;final-crs_0;12;1168
5792;gate-keeper;13;
5794;vege_0;13;
5819;final-crs_4;13;352
6050;gate-keeper;14;
6052;frui_1;14;
6054;final-crs_4;14;841
6679;gate-keeper;15;
6683;vege_0;15;
6757;final-crs_4;15;215
7018;gate-keeper;16;
7020;vege_0;16;
7026;final-crs_1;16;1131
7302;gate-keeper;17;
7318;meat_1;17;
7329;final-crs_0;17;143
7874;gate-keeper;18;
7876;frui_0;18;
7900;final-crs_5;18;714
8166;gate-keeper;19;
8170;frui_0;19;
8180;final-crs_0;19;183
8491;gate-keeper;20;
8493;frui_0;20;
8533;final-crs_2;20;292
8956;gate-keeper;21;
8963;vege_1;21;
9029;final-crs_2;21;500
9413;gate-keeper;22;
9414;frui_0;22;
9441;final-crs_4;22;272
9709;gate-keeper;23;
9710;frui_0;23;
9783;final-crs_5;23;296
9983;gate-keeper;24;
9984;frui_0;24;
10010;final-crs_5;24;454
10627;gate-keeper;25;
10630;vege_0;25;
10657;final-crs_0;25;884
10937;gate-keeper;26;
10987;meat_0;26;
11024;final-crs_2;26;502
11296;gate-keeper;27;
11303;vege_1;27;
11341;final-crs_1;27;686
11594;gate-keeper;28;
11618;meat_1;28;
11625;final-crs_0;28;353
11951;gate-keeper;29;
11954;frui_0;29;
11964;final-crs_2;29;727
12254;gate-keeper;30;
12288;meat_0;30;
12290;final-crs_5;30;1353
12891;gate-keeper;31;
12894;vege_0;31;
12910;final-crs_4;31;1908
13199;gate-keeper;32;
13229;meat_0;32;
13255;final-crs_3;32;244
13848;gate-keeper;33;
13856;vege_0;33;
13996;final-crs_3;33;137
