time;ckpt;id;money
336;gate-keeper;0;
337;vege_1;0;
464;final-crs_4;0;1279
625;gate-keeper;1;
626;gate-keeper;2;
631;vege_1;1;
633;vege_0;2;
705;final-crs_1;1;3148
709;final-crs_2;2;132
875;gate-keeper;3;
876;vege_1;3;
943;final-crs_2;3;201
1221;gate-keeper;4;
1222;gate-keeper;5;
1226;frui_0;5;
1263;meat_0;4;
1284;final-crs_5;5;643
1385;final-crs_2;4;1873
1498;gate-keeper;6;
1506;vege_1;6;
1608;final-crs_2;6;1885
1759;gate-keeper;7;
1760;gate-keeper;8;
1795;meat_0;7;
1815;meat_1;8;
1883;final-crs_2;7;1204
1901;final-crs_4;8;1708
2104;gate-keeper;9;
2105;vege_0;9;
2105;gate-keeper;10;
2118;final-crs_4;9;762
2165;meat_1;10;
2182;final-crs_1;10;1225
2372;gate-keeper;11;
2373;vege_0;11;
2469;final-crs_0;11;2944
2661;gate-keeper;12;
2662;frui_1;12;
2682;gate-keeper;13;
2696;meat_0;13;
2711;final-crs_1;12;1284
2725;final-crs_5;13;428
2994;gate-keeper;14;
2995;vege_1;14;
3044;final-crs_4;14;3151
3293;gate-keeper;15;
3294;gate-keeper;16;
3302;vege_1;15;
3304;vege_0;16;
3327;final-crs_3;15;2785
3339;final-crs_2;16;149
3581;gate-keeper;17;
3583;vege_0;17;
3627;final-crs_0;17;1393
3717;gate-keeper;18;
3721;frui_0;18;
3781;final-crs_2;18;1164
3874;gate-keeper;19;
3875;vege_1;19;
3890;final-crs_5;19;1448
4122;gate-keeper;20;
4125;frui_0;20;
4128;final-crs_1;20;2098
4406;gate-keeper;21;
4407;vege_1;21;
4407;gate-keeper;22;
4408;vege_0;22;
4497;final-crs_2;21;1635
4556;final-crs_3;22;3106
4703;gate-keeper;23;
4705;frui_1;23;
4732;final-crs_2;23;708
4827;gate-keeper;24;
4835;vege_1;24;
4902;final-crs_1;24;1271
5008;gate-keeper;25;
5012;frui_1;25;
5025;final-crs_5;25;1204
5355;gate-keeper;26;
5356;gate-keeper;27;
5363;vege_1;26;
5366;vege_0;27;
5382;final-crs_4;26;2867
5442;final-crs_2;27;3029
5652;gate-keeper;28;
5659;vege_0;28;
5684;final-crs_5;28;1508
5762;gate-keeper;29;
5763;vege_0;29;
5769;final-crs_0;29;1040
5974;gate-keeper;30;
6004;meat_0;30;
6010;final-crs_0;30;1586
6282;gate-keeper;31;
6287;vege_1;31;
6376;final-crs_4;31;1127
6582;gate-keeper;32;
6583;vege_0;32;
6583;gate-keeper;33;
6584;vege_1;33;
6586;final-crs_2;32;1113
6610;final-crs_4;33;2412
6881;gate-keeper;34;
6882;vege_1;34;
6946;final-crs_3;34;1717
7155;gate-keeper;35;
7156;gate-keeper;36;
7158;vege_0;35;
7159;vege_1;36;
7172;final-crs_3;35;542
7201;final-crs_0;36;2894
7516;gate-keeper;37;
7517;gate-keeper;38;
7524;vege_0;37;
7527;vege_1;38;
7559;final-crs_4;37;1680
7573;final-crs_5;38;1253
7636;gate-keeper;39;
7642;vege_0;39;
7648;final-crs_0;39;782
7820;gate-keeper;40;
7823;vege_0;40;
7862;final-crs_1;40;2345
8139;gate-keeper;41;
8140;vege_0;41;
8149;final-crs_0;41;660
8312;gate-keeper;42;
8341;meat_0;42;
8359;final-crs_1;42;201
8489;gate-keeper;43;
8491;vege_0;43;
8536;final-crs_5;43;1107
8809;gate-keeper;44;
8810;gate-keeper;45;
8814;vege_1;44;
8816;vege_0;45;
8857;final-crs_3;44;802
8909;final-crs_0;45;631
9076;gate-keeper;46;
9077;gate-keeper;47;
9078;vege_1;46;
9079;frui_1;47;
9135;final-crs_3;46;1176
9186;final-crs_0;47;788
9412;gate-keeper;48;
9413;gate-keeper;49;
9414;vege_0;49;
9414;frui_0;48;
9443;final-crs_0;49;1261
9484;final-crs_5;48;987
9724;gate-keeper;50;
9725;vege_0;50;
9755;final-crs_2;50;452
9969;gate-keeper;51;
9970;gate-keeper;52;
9973;frui_0;51;
9974;vege_0;52;
9999;final-crs_2;51;2228
10012;final-crs_5;52;1106
10335;gate-keeper;53;
10338;vege_0;53;
10371;final-crs_4;53;1787
10651;gate-keeper;54;
10652;gate-keeper;55;
10658;vege_0;54;
10660;vege_1;55;
10681;final-crs_5;54;79
10706;final-crs_1;55;3248
