time;ckpt;id;money
317;gate-keeper;0;
345;meat_1;0;
434;final-crs_10;0;153
621;gate-keeper;1;
622;gate-keeper;2;
625;vege_0;2;
634;final-crs_10;2;520
646;meat_1;1;
684;final-crs_8;1;711
895;gate-keeper;3;
938;meat_0;3;
949;final-crs_6;3;1205
954;gate-keeper;4;
957;vege_0;4;
966;final-crs_4;4;1672
1196;gate-keeper;5;
1203;vege_0;5;
1219;final-crs_9;5;1190
1498;gate-keeper;6;
1499;gate-keeper;7;
1501;vege_0;6;
1504;vege_1;7;
1518;final-crs_8;6;682
1540;final-crs_3;7;804
1794;gate-keeper;8;
1795;vege_1;8;
1840;final-crs_1;8;719
1862;gate-keeper;9;
1863;frui_0;9;
1906;final-crs_4;9;1060
2120;gate-keeper;10;
2121;vege_1;10;
2156;final-crs_4;10;921
2414;gate-keeper;11;
2420;meat_0;11;
2437;final-crs_6;11;1621
2737;gate-keeper;12;
2738;gate-keeper;13;
2746;vege_1;12;
2748;vege_0;13;
2752;final-crs_3;12;1237
2753;final-crs_0;13;223
3039;gate-keeper;14;
3082;meat_0;14;
3109;final-crs_4;14;167
3213;gate-keeper;15;
3224;meat_1;15;
3225;final-crs_0;15;651
3278;gate-keeper;16;
3282;vege_1;16;
3284;final-crs_10;16;741
3523;gate-keeper;17;
3526;vege_0;17;
3531;final-crs_1;17;633
3722;gate-keeper;18;
3773;meat_0;18;
3821;gate-keeper;19;
3822;vege_1;19;
3823;final-crs_4;18;235
3867;final-crs_5;19;680
4132;gate-keeper;20;
4136;vege_0;20;
4168;final-crs_0;20;365
4413;gate-keeper;21;
4414;frui_0;21;
4414;gate-keeper;22;
4415;final-crs_0;21;1185
4438;meat_1;22;
4504;final-crs_1;22;612
4659;gate-keeper;23;
4660;frui_0;23;
4685;final-crs_0;23;1968
4761;gate-keeper;24;
4765;frui_1;24;
4793;final-crs_10;24;1334
5059;gate-keeper;25;
5060;gate-keeper;26;
5063;vege_1;25;
5077;meat_1;26;
5086;final-crs_2;25;607
5090;final-crs_3;26;1057
5328;gate-keeper;27;
5331;vege_0;27;
5337;final-crs_4;27;1528
5449;gate-keeper;28;
5455;frui_0;28;
5464;final-crs_10;28;1207
5810;gate-keeper;29;
5811;gate-keeper;30;
5815;vege_0;30;
5821;final-crs_2;30;1294
5832;meat_0;29;
5846;final-crs_10;29;567
6151;gate-keeper;31;
6158;vege_1;31;
6192;final-crs_6;31;441
6401;gate-keeper;32;
6402;gate-keeper;33;
6408;vege_0;32;
6421;final-crs_7;32;145
6438;meat_0;33;
6457;final-crs_3;33;520
6637;gate-keeper;34;
6641;frui_0;34;
6677;final-crs_0;34;892
6856;gate-keeper;35;
6867;meat_1;35;
6878;final-crs_8;35;493
6916;gate-keeper;36;
6919;frui_0;36;
6922;final-crs_0;36;1664
7285;gate-keeper;37;
7286;gate-keeper;38;
7289;vege_0;37;
7295;meat_1;38;
7315;final-crs_2;37;506
7345;final-crs_6;38;998
7589;gate-keeper;39;
7592;frui_0;39;
7593;final-crs_6;39;168
7878;gate-keeper;40;
7879;vege_0;40;
7879;gate-keeper;41;
7895;meat_1;41;
7909;final-crs_0;40;384
7923;final-crs_11;41;575
8201;gate-keeper;42;
8202;vege_0;42;
8202;gate-keeper;43;
8212;final-crs_7;42;434
8219;meat_0;43;
8246;final-crs_10;43;1592
8330;gate-keeper;44;
8332;vege_0;44;
8333;final-crs_3;44;657
8783;gate-keeper;45;
8784;gate-keeper;46;
8787;frui_0;45;
8790;vege_1;46;
8830;final-crs_0;45;1921
8876;final-crs_4;46;570
9013;gate-keeper;47;
9014;meat_0;47;
9030;final-crs_8;47;1159
9193;gate-keeper;48;
9194;vege_0;48;
9217;final-crs_2;48;545
9319;gate-keeper;49;
9323;frui_0;49;
9359;final-crs_5;49;317
9610;gate-keeper;50;
9613;vege_1;50;
9618;final-crs_4;50;870
9903;gate-keeper;51;
9904;vege_1;51;
9904;gate-keeper;52;
9905;frui_1;52;
9908;final-crs_10;51;68
9909;final-crs_11;52;1587
10082;gate-keeper;53;
10085;vege_1;53;
10108;final-crs_2;53;492
10194;gate-keeper;54;
10195;vege_1;54;
10228;final-crs_8;54;909
10524;gate-keeper;55;
10525;vege_0;55;
10525;gate-keeper;56;
10527;frui_0;56;
10533;final-crs_6;55;909
10583;final-crs_10;56;163
10802;gate-keeper;57;
10804;vege_0;57;
10812;final-crs_6;57;1356
10990;gate-keeper;58;
10994;vege_0;58;
11027;final-crs_1;58;470
11074;gate-keeper;59;
11106;meat_0;59;
11107;final-crs_4;59;258
11383;gate-keeper;60;
11384;gate-keeper;61;
11386;vege_0;60;
11391;vege_1;61;
11414;final-crs_5;60;157
11429;final-crs_9;61;273
11686;gate-keeper;62;
11690;vege_0;62;
11699;final-crs_9;62;495
11966;gate-keeper;63;
11967;gate-keeper;64;
11968;vege_1;64;
11971;final-crs_6;64;506
11996;meat_0;63;
12059;final-crs_10;63;2403
12246;gate-keeper;65;
12247;vege_1;65;
12273;final-crs_6;65;82
12547;gate-keeper;66;
12548;gate-keeper;67;
12551;vege_1;66;
12556;vege_0;67;
12571;final-crs_8;66;1120
12577;final-crs_4;67;650
12797;gate-keeper;68;
12801;frui_0;68;
12819;final-crs_5;68;648
12946;gate-keeper;69;
12949;frui_0;69;
12964;final-crs_7;69;127
13092;gate-keeper;70;
13093;meat_0;70;
13102;final-crs_9;70;1013
13389;gate-keeper;71;
13390;gate-keeper;72;
13392;meat_1;71;
13394;frui_1;72;
13412;final-crs_3;71;292
13459;final-crs_11;72;631
13686;gate-keeper;73;
13687;vege_1;73;
13702;final-crs_8;73;662
13827;gate-keeper;74;
13831;frui_0;74;
13851;final-crs_3;74;565
13961;gate-keeper;75;
13971;vege_0;75;
13975;final-crs_8;75;1269
14192;gate-keeper;76;
14193;frui_1;76;
14205;final-crs_10;76;181
14573;gate-keeper;77;
14574;vege_1;77;
14574;gate-keeper;78;
14579;meat_0;78;
14666;final-crs_9;77;434
14668;final-crs_8;78;1549
14833;gate-keeper;79;
14834;gate-keeper;80;
14843;meat_1;79;
14888;meat_0;80;
14893;final-crs_8;79;93
14904;final-crs_7;80;717
15017;gate-keeper;81;
15061;meat_0;81;
15114;final-crs_8;81;949
15381;gate-keeper;82;
15382;gate-keeper;83;
15383;frui_0;83;
15386;vege_0;82;
15387;final-crs_9;83;1110
15402;final-crs_5;82;1031
15713;gate-keeper;84;
15714;gate-keeper;85;
15715;meat_0;84;
15718;vege_1;85;
15727;final-crs_10;84;906
15764;final-crs_3;85;947
16031;gate-keeper;86;
16034;vege_0;86;
16042;final-crs_3;86;447
16058;gate-keeper;87;
16060;frui_0;87;
16069;final-crs_8;87;704
16385;gate-keeper;88;
16390;frui_0;88;
16396;final-crs_2;88;872
16693;gate-keeper;89;
16694;gate-keeper;90;
16697;frui_0;89;
16698;frui_1;90;
16715;final-crs_3;89;1247
16729;final-crs_4;90;313
16942;gate-keeper;91;
16943;frui_1;91;
16943;gate-keeper;92;
16947;vege_0;92;
16972;final-crs_4;91;293
16978;final-crs_3;92;1803
17303;gate-keeper;93;
17304;gate-keeper;94;
17305;vege_0;93;
17327;meat_1;94;
17329;final-crs_6;93;333
17341;final-crs_1;94;934
17577;gate-keeper;95;
17583;vege_0;95;
17590;final-crs_6;95;1880
17864;gate-keeper;96;
17865;gate-keeper;97;
17866;frui_0;97;
17866;gate-keeper;98;
17867;gate-keeper;99;
17870;vege_0;98;
17871;frui_1;99;
17883;meat_0;96;
17886;final-crs_7;97;1920
17914;final-crs_10;98;710
17916;final-crs_8;99;752
17918;final-crs_5;96;571
17923;gate-keeper;100;
17924;gate-keeper;101;
17925;gate-keeper;102;
17926;frui_0;101;
17927;frui_1;102;
17928;vege_0;100;
17947;final-crs_3;101;1689
17959;final-crs_4;102;120
17968;final-crs_9;100;966
18248;gate-keeper;103;
18249;gate-keeper;104;
18250;vege_1;103;
18251;frui_0;104;
18272;final-crs_1;103;975
18272;final-crs_6;104;610
18537;gate-keeper;105;
18538;gate-keeper;106;
18539;vege_1;106;
18557;final-crs_2;106;971
18560;meat_1;105;
18570;final-crs_11;105;317
18820;gate-keeper;107;
18821;frui_1;107;
18825;final-crs_2;107;221
18888;gate-keeper;108;
18889;gate-keeper;109;
18890;gate-keeper;110;
18891;vege_1;109;
18891;gate-keeper;111;
18893;vege_0;111;
18898;final-crs_3;109;351
18911;meat_0;108;
18924;final-crs_9;111;260
18931;meat_1;110;
18935;final-crs_8;108;1293
18940;final-crs_4;110;962
19093;gate-keeper;112;
19094;gate-keeper;113;
19095;gate-keeper;114;
19096;vege_0;112;
19098;frui_1;113;
19099;frui_0;114;
19131;final-crs_3;112;1805
19141;final-crs_8;113;618
19173;final-crs_9;114;428
19400;gate-keeper;115;
19401;vege_0;115;
19401;gate-keeper;116;
19402;frui_0;116;
19402;gate-keeper;117;
19403;gate-keeper;118;
19405;frui_1;117;
19407;final-crs_4;115;1115
19407;frui_0;118;
19432;final-crs_10;116;1061
19437;final-crs_9;117;680
19462;final-crs_6;118;1031
19720;gate-keeper;119;
19721;gate-keeper;120;
19722;frui_1;120;
19722;gate-keeper;121;
19723;gate-keeper;122;
19727;vege_1;119;
19727;frui_1;122;
19730;vege_0;121;
19778;final-crs_1;120;1578
19781;final-crs_7;119;650
19812;gate-keeper;123;
19813;gate-keeper;124;
19814;gate-keeper;125;
19815;vege_0;123;
19815;gate-keeper;126;
19817;frui_0;124;
19822;meat_1;125;
19824;vege_0;126;
19825;final-crs_11;122;100
19845;final-crs_3;121;1790
19865;final-crs_4;123;254
19879;final-crs_6;124;845
19888;final-crs_8;125;90
19922;final-crs_2;126;990
19995;gate-keeper;127;
19996;gate-keeper;128;
19997;frui_0;127;
19997;gate-keeper;129;
19999;vege_1;129;
19999;frui_1;128;
20004;final-crs_1;127;465
20011;final-crs_7;129;882
20065;final-crs_11;128;273
20284;gate-keeper;130;
20285;gate-keeper;131;
20286;gate-keeper;132;
