time;ckpt;id;money
291;gate-keeper;0;
292;gate-keeper;1;
295;vege_0;0;
296;frui_1;1;
428;final-crs_10;0;904
437;final-crs_0;1;1658
608;gate-keeper;2;
609;gate-keeper;3;
613;vege_0;3;
613;frui_1;2;
666;final-crs_6;3;230
686;final-crs_0;2;2430
888;gate-keeper;4;
889;gate-keeper;5;
892;vege_0;4;
892;frui_1;5;
903;final-crs_6;4;1565
913;final-crs_9;5;2772
1253;gate-keeper;6;
1254;gate-keeper;7;
1259;vege_0;6;
1262;vege_1;7;
1284;final-crs_5;6;968
1393;final-crs_6;7;265
1575;gate-keeper;8;
1576;frui_0;8;
1576;gate-keeper;9;
1577;gate-keeper;10;
1578;frui_1;10;
1581;vege_0;9;
1607;final-crs_6;8;1291
1641;final-crs_1;10;3068
1654;final-crs_11;9;317
1780;gate-keeper;11;
1787;vege_0;11;
1795;final-crs_5;11;501
1873;gate-keeper;12;
1876;vege_1;12;
1883;final-crs_9;12;1379
2156;gate-keeper;13;
2159;frui_0;13;
2177;final-crs_11;13;198
2483;gate-keeper;14;
2484;gate-keeper;15;
2485;frui_0;15;
2485;gate-keeper;16;
2487;vege_1;14;
2488;vege_0;16;
2496;final-crs_4;15;444
2505;final-crs_8;14;738
2510;final-crs_7;16;2174
2637;gate-keeper;17;
2641;vege_0;17;
2657;final-crs_3;17;1470
2770;gate-keeper;18;
2772;frui_1;18;
2815;final-crs_9;18;1554
3057;gate-keeper;19;
3058;gate-keeper;20;
3059;frui_0;20;
3060;vege_1;19;
3087;final-crs_6;20;1054
3116;final-crs_11;19;687
3242;gate-keeper;21;
3244;vege_0;21;
3256;final-crs_5;21;1329
3361;gate-keeper;22;
3365;frui_0;22;
3392;final-crs_11;22;1033
3592;gate-keeper;23;
3596;frui_1;23;
3606;final-crs_0;23;859
3653;gate-keeper;24;
3657;vege_1;24;
3671;final-crs_10;24;225
4002;gate-keeper;25;
4003;gate-keeper;26;
4010;vege_0;25;
4011;vege_1;26;
4048;final-crs_11;25;1309
4070;final-crs_0;26;1357
4319;gate-keeper;27;
4320;vege_0;27;
4320;gate-keeper;28;
4321;vege_1;28;
4353;final-crs_3;27;1183
4358;final-crs_8;28;1975
4538;gate-keeper;29;
4539;gate-keeper;30;
4543;vege_1;29;
4546;vege_0;30;
4552;final-crs_11;29;326
4581;final-crs_8;30;807
4933;gate-keeper;31;
4934;gate-keeper;32;
4939;vege_1;31;
4940;vege_0;32;
4982;final-crs_6;31;558
4994;final-crs_4;32;1166
5205;gate-keeper;33;
5206;gate-keeper;34;
5207;vege_0;33;
5208;vege_1;34;
5260;final-crs_4;33;789
5283;final-crs_0;34;2210
5452;gate-keeper;35;
5453;gate-keeper;36;
5456;vege_0;36;
5459;meat_0;35;
5498;final-crs_4;36;1872
5511;final-crs_0;35;3327
5774;gate-keeper;37;
5775;gate-keeper;38;
5776;vege_0;37;
5778;vege_1;38;
5780;final-crs_3;37;2414
5796;final-crs_0;38;1327
6082;gate-keeper;39;
6083;gate-keeper;40;
6084;vege_1;39;
6091;vege_0;40;
6095;final-crs_8;39;3100
6095;final-crs_9;40;153
6243;gate-keeper;41;
6244;gate-keeper;42;
6271;meat_1;41;
6274;meat_0;42;
6285;final-crs_1;41;1460
6292;final-crs_3;42;2641
6428;gate-keeper;43;
6431;vege_1;43;
6441;final-crs_2;43;640
6646;gate-keeper;44;
6650;meat_1;44;
6674;final-crs_4;44;1090
6974;gate-keeper;45;
6975;gate-keeper;46;
6976;frui_0;45;
6976;gate-keeper;47;
6978;final-crs_9;45;1359
6979;vege_1;46;
6986;vege_0;47;
6987;final-crs_1;46;1286
6995;final-crs_3;47;2864
7277;gate-keeper;48;
7278;gate-keeper;49;
7281;vege_0;48;
7281;vege_1;49;
7282;final-crs_5;48;717
7311;final-crs_8;49;1414
7549;gate-keeper;50;
7550;gate-keeper;51;
7551;vege_0;50;
7551;vege_1;51;
7576;final-crs_8;50;1769
7635;final-crs_7;51;1036
7828;gate-keeper;52;
7831;vege_1;52;
7860;final-crs_2;52;2157
8178;gate-keeper;53;
8179;frui_1;53;
8179;gate-keeper;54;
8180;gate-keeper;55;
8183;vege_1;54;
8184;meat_1;55;
8197;final-crs_9;53;975
8207;final-crs_3;54;450
8208;final-crs_11;55;154
8470;gate-keeper;56;
8471;gate-keeper;57;
8473;frui_0;57;
8474;vege_1;56;
8479;final-crs_6;57;1950
8482;final-crs_1;56;794
8754;gate-keeper;58;
8755;gate-keeper;59;
8757;vege_0;58;
8760;vege_1;59;
8797;final-crs_2;58;353
8888;final-crs_3;59;1447
8996;gate-keeper;60;
8999;vege_1;60;
9004;final-crs_6;60;1788
9075;gate-keeper;61;
9080;vege_1;61;
9105;final-crs_3;61;1426
9280;gate-keeper;62;
9281;frui_0;62;
9333;final-crs_5;62;2018
9597;gate-keeper;63;
9598;gate-keeper;64;
9599;vege_1;63;
9599;gate-keeper;65;
9600;frui_0;64;
9601;vege_0;65;
9633;final-crs_3;63;1858
9645;final-crs_1;64;1823
9654;final-crs_8;65;1329
9909;gate-keeper;66;
9910;gate-keeper;67;
9914;frui_0;67;
9925;final-crs_4;67;1678
9925;meat_1;66;
9945;final-crs_11;66;273
10040;gate-keeper;68;
10042;frui_0;68;
10075;final-crs_5;68;1469
10155;gate-keeper;69;
10159;vege_1;69;
10180;final-crs_11;69;1809
10540;gate-keeper;70;
10541;gate-keeper;71;
10542;frui_0;71;
10547;vege_1;70;
10548;final-crs_0;71;837
10579;final-crs_5;70;1014
10834;gate-keeper;72;
10835;gate-keeper;73;
10836;vege_0;73;
10837;frui_1;72;
10853;final-crs_5;73;149
10868;final-crs_8;72;372
10916;gate-keeper;74;
10920;vege_1;74;
10939;final-crs_10;74;1808
11108;gate-keeper;75;
11112;frui_0;75;
11114;final-crs_7;75;597
11452;gate-keeper;76;
11453;gate-keeper;77;
11455;frui_1;76;
11459;vege_0;77;
11484;final-crs_9;76;2207
11496;final-crs_3;77;63
11721;gate-keeper;78;
11722;gate-keeper;79;
11723;vege_1;78;
11725;final-crs_3;78;632
11727;frui_0;79;
11757;final-crs_9;79;1285
11939;gate-keeper;80;
11940;gate-keeper;81;
11944;vege_1;81;
11964;final-crs_10;81;1251
11978;meat_1;80;
11996;final-crs_1;80;186
12024;gate-keeper;82;
12036;meat_1;82;
12038;final-crs_2;82;1119
12379;gate-keeper;83;
12380;gate-keeper;84;
12383;vege_0;83;
12387;final-crs_8;83;66
12389;vege_1;84;
12393;final-crs_4;84;2078
12706;gate-keeper;85;
12707;gate-keeper;86;
12708;frui_0;85;
12708;gate-keeper;87;
12710;vege_1;86;
12710;frui_1;87;
12725;final-crs_5;85;493
12775;final-crs_2;86;2850
12781;final-crs_9;87;761
13062;gate-keeper;88;
13063;vege_1;88;
13063;gate-keeper;89;
13071;vege_0;89;
13072;final-crs_6;88;2216
13080;final-crs_4;89;1135
13378;gate-keeper;90;
13379;gate-keeper;91;
13380;vege_0;90;
13380;frui_0;91;
13401;final-crs_7;90;2541
13459;final-crs_5;91;2884
13533;gate-keeper;92;
13536;vege_0;92;
13543;final-crs_4;92;317
13647;gate-keeper;93;
13655;vege_1;93;
13667;final-crs_1;93;844
13760;gate-keeper;94;
13766;vege_1;94;
13776;final-crs_9;94;1140
13933;gate-keeper;95;
13938;frui_1;95;
13947;final-crs_6;95;3084
14296;gate-keeper;96;
14297;gate-keeper;97;
14303;vege_0;96;
14304;vege_1;97;
14360;final-crs_11;96;1795
14375;final-crs_1;97;2883
14607;gate-keeper;98;
14608;frui_0;98;
14608;gate-keeper;99;
14609;gate-keeper;100;
14611;vege_1;99;
14616;vege_0;100;
14625;final-crs_1;98;1735
14627;final-crs_6;99;2151
14651;final-crs_7;100;2955
14952;gate-keeper;101;
14953;gate-keeper;102;
14957;vege_0;101;
14960;vege_1;102;
14986;final-crs_9;101;458
15010;final-crs_8;102;3089
15286;gate-keeper;103;
15287;gate-keeper;104;
15291;vege_0;103;
15293;vege_1;104;
15297;final-crs_4;103;2240
15298;final-crs_11;104;3157
15567;gate-keeper;105;
15568;vege_1;105;
15568;gate-keeper;106;
15573;vege_0;106;
15589;final-crs_1;105;1028
15591;final-crs_7;106;480
15868;gate-keeper;107;
15869;gate-keeper;108;
15874;vege_0;107;
15875;vege_1;108;
15898;final-crs_2;107;207
15901;final-crs_9;108;1281
16173;gate-keeper;109;
16174;gate-keeper;110;
16180;vege_1;109;
16207;final-crs_10;109;2647
16207;meat_1;110;
16236;final-crs_8;110;1278
16435;gate-keeper;111;
16436;gate-keeper;112;
16439;vege_1;111;
16440;vege_0;112;
16444;final-crs_10;111;599
16483;final-crs_8;112;1531
16797;gate-keeper;113;
16798;gate-keeper;114;
16799;frui_1;113;
16802;vege_0;114;
16809;final-crs_7;113;715
16814;final-crs_3;114;804
16987;gate-keeper;115;
16989;frui_1;115;
17006;final-crs_1;115;748
17098;gate-keeper;116;
17099;vege_1;116;
17133;final-crs_9;116;182
17296;gate-keeper;117;
17297;vege_1;117;
17298;final-crs_2;117;3807
17470;gate-keeper;118;
17474;vege_1;118;
17484;final-crs_11;118;463
17821;gate-keeper;119;
17822;vege_1;119;
17822;gate-keeper;120;
17823;gate-keeper;121;
17824;frui_1;120;
17829;vege_0;121;
17837;final-crs_6;119;1449
17849;final-crs_9;120;1186
17909;final-crs_0;121;1133
18130;gate-keeper;122;
18131;gate-keeper;123;
18136;vege_1;122;
18139;vege_0;123;
18141;final-crs_10;122;2541
18173;final-crs_8;123;493
18455;gate-keeper;124;
18456;gate-keeper;125;
18463;vege_1;124;
18464;vege_0;125;
18474;final-crs_2;124;103
18476;final-crs_1;125;2210
18773;gate-keeper;126;
18774;gate-keeper;127;
18776;vege_0;126;
18780;final-crs_6;126;752
18782;vege_1;127;
18784;final-crs_7;127;366
19055;gate-keeper;128;
19056;vege_1;128;
19056;gate-keeper;129;
19059;final-crs_0;128;1476
19064;vege_1;129;
19073;final-crs_3;129;2088
19387;gate-keeper;130;
19388;gate-keeper;131;
19392;vege_1;130;
19409;final-crs_4;130;108
19414;meat_0;131;
19415;final-crs_10;131;3038
19651;gate-keeper;132;
19652;meat_1;132;
19652;gate-keeper;133;
19654;vege_1;133;
19692;final-crs_9;132;1344
19702;final-crs_1;133;2039
19950;gate-keeper;134;
19951;gate-keeper;135;
19952;vege_1;134;
19954;vege_0;135;
19955;final-crs_3;134;2302
19968;final-crs_9;135;717
20277;gate-keeper;136;
20278;gate-keeper;137;
20279;gate-keeper;138;
20280;vege_0;136;
20280;vege_1;137;
20280;gate-keeper;139;
20281;gate-keeper;140;
20282;frui_0;139;
20282;gate-keeper;141;
20283;frui_1;141;
20289;vege_0;138;
20289;vege_1;140;
20294;final-crs_7;136;83
20313;final-crs_8;137;2311
20325;final-crs_4;139;1707
20335;final-crs_0;141;180
20395;final-crs_5;138;2428
20408;final-crs_9;140;710
20566;gate-keeper;142;
20567;gate-keeper;143;
20568;gate-keeper;144;
20569;vege_0;142;
20569;frui_0;144;
20569;gate-keeper;145;
20570;gate-keeper;146;
20571;gate-keeper;147;
20572;frui_1;145;
20576;vege_1;146;
20578;vege_0;147;
20589;final-crs_4;142;696
20594;meat_0;143;
20622;final-crs_5;144;1627
20637;final-crs_9;145;415
20650;final-crs_6;146;915
20676;final-crs_2;147;529
20697;final-crs_3;143;2692
20849;gate-keeper;148;
20850;frui_0;148;
20850;gate-keeper;149;
20851;gate-keeper;150;
20852;gate-keeper;151;
20853;final-crs_5;148;3806
20853;vege_0;149;
20853;gate-keeper;152;
20854;final-crs_0;149;2498
20854;vege_1;151;
20854;gate-keeper;153;
20857;frui_0;150;
20863;vege_0;152;
20864;final-crs_6;151;2256
20864;vege_1;153;
20891;final-crs_9;150;454
20907;gate-keeper;154;
20908;gate-keeper;155;
20910;final-crs_2;152;1336
20910;vege_1;154;
20911;vege_0;155;
20923;final-crs_10;153;1278
20933;final-crs_3;154;1265
20971;final-crs_8;155;2289
21182;gate-keeper;156;
21183;gate-keeper;157;
21185;vege_0;156;
21185;vege_1;157;
21198;final-crs_3;156;322
21205;final-crs_1;157;284
21494;gate-keeper;158;
21495;meat_0;158;
21495;gate-keeper;159;
21496;frui_0;159;
21496;gate-keeper;160;
21497;vege_0;160;
21497;gate-keeper;161;
21498;gate-keeper;162;
21499;gate-keeper;163;
21502;vege_1;161;
21507;vege_0;162;
21513;vege_1;163;
21522;final-crs_11;158;2803
21534;final-crs_6;159;989
21554;final-crs_2;160;84
21567;final-crs_7;161;1542
21577;final-crs_0;162;391
21629;final-crs_10;163;606
21695;gate-keeper;164;
21696;gate-keeper;165;
21697;gate-keeper;166;
21698;gate-keeper;167;
21699;vege_0;164;
21700;vege_1;166;
21709;vege_1;167;
21712;meat_0;165;
21716;final-crs_8;164;1513
21723;final-crs_1;166;908
21746;final-crs_5;167;1112
21751;final-crs_11;165;970
21762;gate-keeper;168;
21768;vege_0;168;
21787;final-crs_6;168;809
22082;gate-keeper;169;
22083;gate-keeper;170;
22084;gate-keeper;171;
22085;vege_1;170;
22085;gate-keeper;172;
22086;final-crs_0;170;1416
22086;gate-keeper;173;
22087;gate-keeper;174;
22089;vege_0;171;
22095;vege_1;172;
22098;vege_0;173;
22101;final-crs_10;171;847
22104;vege_1;174;
22105;final-crs_3;172;645
22119;final-crs_9;173;580
22125;meat_0;169;
22200;final-crs_8;174;1671
22206;final-crs_4;169;2028
22389;gate-keeper;175;
22390;gate-keeper;176;
22391;gate-keeper;177;
22392;gate-keeper;178;
22393;gate-keeper;179;
22400;vege_1;175;
22401;vege_0;176;
22410;vege_1;177;
22411;vege_0;178;
22413;final-crs_4;175;95
22420;vege_0;179;
22430;final-crs_8;176;1466
22456;final-crs_5;177;1757
22489;final-crs_11;178;2524
22494;final-crs_6;179;1842
22518;gate-keeper;180;
22520;vege_1;180;
22541;final-crs_7;180;177
22697;gate-keeper;181;
22700;vege_0;181;
22722;final-crs_11;181;2796
22994;gate-keeper;182;
22995;gate-keeper;183;
22996;gate-keeper;184;
22997;gate-keeper;185;
22998;vege_0;182;
22998;gate-keeper;186;
22999;gate-keeper;187;
23000;frui_1;184;
23001;frui_0;185;
23003;vege_1;186;
23008;vege_0;187;
23012;final-crs_6;182;1665
23016;final-crs_10;184;566
23020;meat_1;183;
23071;final-crs_2;185;155
23074;final-crs_7;186;1282
23079;final-crs_3;187;1327
23094;final-crs_4;183;403
23249;gate-keeper;188;
23250;frui_0;188;
23250;gate-keeper;189;
23251;gate-keeper;190;
23252;gate-keeper;191;
23253;gate-keeper;192;
23254;frui_1;189;
23254;gate-keeper;193;
23257;frui_0;190;
23258;vege_1;191;
23260;vege_0;192;
23260;frui_1;193;
23297;final-crs_10;188;1881
23308;final-crs_0;189;1734
23325;final-crs_3;190;938
23326;final-crs_4;191;3157
23328;final-crs_2;192;1174
23331;final-crs_7;193;1640
23412;gate-keeper;194;
23413;gate-keeper;195;
23414;gate-keeper;196;
23415;frui_1;194;
23415;meat_1;195;
23415;gate-keeper;197;
23416;vege_0;197;
23416;gate-keeper;198;
23417;frui_0;196;
23417;gate-keeper;199;
23424;vege_0;198;
23424;vege_1;199;
23432;final-crs_11;194;394
23452;final-crs_1;195;1259
23506;final-crs_6;197;1427
23512;gate-keeper;200;
23513;gate-keeper;201;
23514;gate-keeper;202;
23515;gate-keeper;203;
23516;gate-keeper;204;
23517;gate-keeper;205;
23519;vege_1;201;
23521;final-crs_0;196;2246
23522;vege_0;202;
23523;frui_0;205;
23529;meat_0;200;
23530;vege_1;203;
23531;vege_0;204;
23536;final-crs_7;198;983
23558;final-crs_2;199;759
23561;final-crs_5;201;3460
23571;final-crs_10;202;1647
23584;final-crs_3;205;629
23592;final-crs_4;200;172
23597;final-crs_9;203;1481
23636;final-crs_8;204;2104
23813;gate-keeper;206;
23814;gate-keeper;207;
23815;gate-keeper;208;
23816;frui_0;206;
23816;frui_1;208;
23816;gate-keeper;209;
23817;gate-keeper;210;
23819;final-crs_8;206;946
23821;meat_1;207;
23822;frui_0;209;
23823;final-crs_4;208;1765
23824;vege_0;210;
23830;final-crs_3;207;1245
23846;final-crs_9;209;1810
23862;final-crs_5;210;1660
24127;gate-keeper;211;
24128;gate-keeper;212;
24129;gate-keeper;213;
24130;gate-keeper;214;
24131;vege_1;211;
24131;gate-keeper;215;
24132;gate-keeper;216;
24133;vege_0;213;
24141;vege_1;215;
24143;vege_0;216;
24147;meat_1;212;
24149;final-crs_11;211;1479
24156;meat_0;214;
24165;final-crs_1;213;1123
24199;final-crs_2;215;663
24209;final-crs_7;216;1690
24238;gate-keeper;217;
24239;gate-keeper;218;
24240;gate-keeper;219;
24242;frui_0;218;
24243;final-crs_8;212;716
24244;vege_1;217;
24245;vege_0;219;
24249;final-crs_0;214;177
24276;final-crs_3;218;1910
24280;final-crs_6;217;2843
24305;final-crs_10;219;1835
24390;gate-keeper;220;
24392;frui_0;220;
24398;final-crs_9;220;77
24674;gate-keeper;221;
24675;gate-keeper;222;
24676;gate-keeper;223;
24677;vege_0;221;
24677;frui_1;222;
24677;gate-keeper;224;
24678;gate-keeper;225;
24679;gate-keeper;226;
24683;vege_1;223;
24683;frui_1;225;
24687;vege_0;224;
24692;vege_1;226;
24708;final-crs_6;221;209
24716;final-crs_8;222;585
24756;final-crs_3;223;470
24762;final-crs_10;225;2192
24772;final-crs_0;224;1440
24835;final-crs_5;226;769
24999;gate-keeper;227;
25000;vege_1;227;
25000;gate-keeper;228;
25001;gate-keeper;229;
25002;gate-keeper;230;
25003;frui_0;229;
25003;gate-keeper;231;
25004;gate-keeper;232;
25005;final-crs_3;227;1205
25005;frui_1;230;
25009;final-crs_0;229;91
25009;vege_0;228;
25010;vege_1;231;
25018;vege_0;232;
25055;final-crs_5;230;82
25090;final-crs_11;228;653
25100;final-crs_7;231;1298
25103;final-crs_1;232;1908
25169;gate-keeper;233;
25170;gate-keeper;234;
25171;gate-keeper;235;
25172;gate-keeper;236;
25173;vege_1;233;
25173;frui_1;234;
25173;gate-keeper;237;
25174;gate-keeper;238;
25175;vege_0;235;
25176;frui_0;236;
25183;vege_1;237;
25185;vege_0;238;
25187;final-crs_6;233;2611
25211;final-crs_10;234;833
25214;final-crs_2;235;1108
25214;final-crs_8;236;621
25249;final-crs_3;237;1404
25258;final-crs_0;238;1218
25274;gate-keeper;239;
25275;gate-keeper;240;
25291;meat_0;239;
25300;final-crs_5;239;953
25319;meat_1;240;
25339;final-crs_11;240;365
25541;gate-keeper;241;
25542;gate-keeper;242;
25545;vege_1;241;
25548;vege_0;242;
25565;final-crs_9;241;968
25598;final-crs_11;242;440
25864;gate-keeper;243;
25865;gate-keeper;244;
25866;vege_1;243;
25866;gate-keeper;245;
25870;meat_0;245;
25874;vege_0;244;
25881;final-crs_2;243;2078
25885;final-crs_11;245;1670
25922;final-crs_3;244;2375
26061;gate-keeper;246;
26064;meat_1;246;
26067;final-crs_4;246;626
26193;gate-keeper;247;
26201;vege_0;247;
26211;final-crs_5;247;550
26486;gate-keeper;248;
26487;gate-keeper;249;
26491;vege_1;248;
26496;vege_0;249;
26497;final-crs_10;248;2178
26500;final-crs_4;249;946
26784;gate-keeper;250;
26785;gate-keeper;251;
26789;vege_0;251;
26790;frui_0;250;
26814;final-crs_1;251;557
26848;final-crs_11;250;1866
27017;gate-keeper;252;
27019;vege_0;252;
27037;final-crs_11;252;1315
27125;gate-keeper;253;
27132;vege_0;253;
27141;final-crs_5;253;2255
27396;gate-keeper;254;
27397;vege_0;254;
27397;gate-keeper;255;
27398;vege_1;255;
27402;final-crs_10;254;1893
27407;final-crs_5;255;1351
27689;gate-keeper;256;
27691;frui_0;256;
27696;final-crs_7;256;1120
27971;gate-keeper;257;
27972;gate-keeper;258;
27973;vege_1;257;
27973;gate-keeper;259;
27977;final-crs_2;257;1338
27980;vege_0;258;
27983;vege_1;259;
28025;final-crs_3;258;1245
28035;final-crs_1;259;1346
28308;gate-keeper;260;
28309;gate-keeper;261;
28313;vege_0;260;
28314;vege_1;261;
28334;final-crs_9;260;3139
28335;final-crs_4;261;1134
28574;gate-keeper;262;
28575;frui_1;262;
28575;gate-keeper;263;
28576;vege_1;263;
28590;final-crs_11;262;2470
28593;final-crs_0;263;1865
28871;gate-keeper;264;
28872;gate-keeper;265;
28874;frui_0;265;
28875;meat_0;264;
28916;final-crs_3;265;972
28930;final-crs_10;264;773
29137;gate-keeper;266;
29139;vege_0;266;
29145;final-crs_3;266;667
29477;gate-keeper;267;
29478;gate-keeper;268;
29479;gate-keeper;269;
29480;frui_1;267;
29484;frui_0;268;
29486;final-crs_0;267;132
29527;meat_0;269;
29554;final-crs_5;268;928
29555;final-crs_9;269;1231
29810;gate-keeper;270;
29811;gate-keeper;271;
29816;vege_0;270;
29817;vege_1;271;
29823;final-crs_9;270;1240
29862;final-crs_3;271;826
30101;gate-keeper;272;
30102;gate-keeper;273;
30105;frui_0;272;
30106;frui_1;273;
30117;final-crs_10;272;70
30129;final-crs_11;273;2980
30435;gate-keeper;274;
30436;gate-keeper;275;
30437;vege_0;274;
30437;vege_1;275;
30442;final-crs_0;274;523
30489;final-crs_1;275;2154
30729;gate-keeper;276;
30730;frui_1;276;
30730;gate-keeper;277;
30737;vege_1;277;
30775;final-crs_7;276;894
30799;final-crs_9;277;1170
31053;gate-keeper;278;
31054;gate-keeper;279;
31055;meat_1;279;
31059;vege_1;278;
31062;final-crs_5;279;1142
31063;final-crs_9;278;2342
31320;gate-keeper;280;
31321;frui_0;280;
31321;gate-keeper;281;
31338;final-crs_2;280;434
31347;meat_1;281;
31360;final-crs_3;281;85
31589;gate-keeper;282;
31590;gate-keeper;283;
31592;vege_0;282;
31596;vege_1;283;
31609;final-crs_6;282;2700
31611;final-crs_4;283;1813
31806;gate-keeper;284;
31812;meat_1;284;
31847;final-crs_6;284;469
31890;gate-keeper;285;
31892;frui_1;285;
31901;final-crs_0;285;696
32181;gate-keeper;286;
32182;frui_0;286;
32182;gate-keeper;287;
32188;frui_1;287;
32206;final-crs_0;286;2055
32214;final-crs_9;287;628
32471;gate-keeper;288;
32472;gate-keeper;289;
32473;frui_0;289;
32474;vege_0;288;
32475;final-crs_9;289;789
32477;final-crs_8;288;2760
32664;gate-keeper;290;
32667;vege_0;290;
32682;final-crs_8;290;2651
33082;gate-keeper;291;
33083;gate-keeper;292;
33084;vege_0;291;
33084;gate-keeper;293;
33085;vege_1;292;
33094;vege_0;293;
33168;final-crs_2;291;598
33172;final-crs_8;292;1139
33174;final-crs_4;293;603
33283;gate-keeper;294;
33285;frui_0;294;
33339;final-crs_6;294;1221
33423;gate-keeper;295;
33425;vege_0;295;
33443;final-crs_11;295;1039
33745;gate-keeper;296;
33746;vege_0;296;
33746;gate-keeper;297;
33774;final-crs_9;296;1834
33785;meat_1;297;
33786;final-crs_6;297;1089
34022;gate-keeper;298;
34023;gate-keeper;299;
34025;vege_1;298;
34027;vege_0;299;
