time;ckpt;id;money
268;gate-keeper;0;
269;frui_0;0;
269;gate-keeper;1;
275;vege_1;1;
291;final-crs_3;0;1383
292;final-crs_10;1;1677
550;gate-keeper;2;
551;vege_1;2;
551;gate-keeper;3;
552;frui_0;3;
656;final-crs_4;2;925
659;final-crs_6;3;334
817;gate-keeper;4;
818;gate-keeper;5;
820;vege_0;4;
821;frui_1;5;
889;gate-keeper;6;
891;vege_0;6;
915;final-crs_4;4;946
927;final-crs_6;5;1361
934;final-crs_0;6;1084
1088;gate-keeper;7;
1089;gate-keeper;8;
1091;vege_1;7;
1092;frui_1;8;
1118;final-crs_2;7;254
1129;final-crs_4;8;1685
1397;gate-keeper;9;
1398;gate-keeper;10;
1405;vege_0;9;
1406;vege_1;10;
1415;final-crs_9;9;809
1421;final-crs_11;10;160
1690;gate-keeper;11;
1691;gate-keeper;12;
1692;gate-keeper;13;
1693;vege_0;11;
1696;vege_1;13;
1700;final-crs_7;11;1049
1713;meat_0;12;
1744;final-crs_8;13;230
1757;final-crs_5;12;237
1884;gate-keeper;14;
1885;frui_1;14;
1894;final-crs_11;14;1447
2051;gate-keeper;15;
2052;vege_1;15;
2052;gate-keeper;16;
2054;final-crs_6;15;1428
2055;vege_0;16;
2074;final-crs_4;16;508
2309;gate-keeper;17;
2310;gate-keeper;18;
2312;vege_1;17;
2314;vege_0;18;
2358;final-crs_2;17;1476
2384;final-crs_3;18;1500
2671;gate-keeper;19;
2672;gate-keeper;20;
2673;gate-keeper;21;
2676;frui_1;19;
2678;vege_1;21;
2708;final-crs_7;19;121
2715;final-crs_4;21;655
2724;meat_0;20;
2732;final-crs_6;20;244
2770;gate-keeper;22;
2777;vege_1;22;
2859;final-crs_2;22;111
2960;gate-keeper;23;
2962;vege_1;23;
2981;final-crs_4;23;116
3303;gate-keeper;24;
3304;gate-keeper;25;
3305;vege_1;24;
3305;gate-keeper;26;
3310;final-crs_1;24;954
3311;vege_0;25;
3313;vege_1;26;
3317;final-crs_3;25;339
3322;final-crs_9;26;258
3445;gate-keeper;27;
3451;vege_1;27;
3473;final-crs_7;27;1981
3599;gate-keeper;28;
3601;frui_0;28;
3631;final-crs_11;28;780
3691;gate-keeper;29;
3693;meat_0;29;
3722;final-crs_7;29;398
3913;gate-keeper;30;
3914;gate-keeper;31;
3916;vege_0;30;
3920;vege_1;31;
3929;final-crs_7;30;1846
3998;final-crs_1;31;65
4177;gate-keeper;32;
4178;vege_0;32;
4178;gate-keeper;33;
4181;vege_1;33;
4214;final-crs_9;32;811
4245;final-crs_1;33;1079
4456;gate-keeper;34;
4457;gate-keeper;35;
4464;vege_0;34;
4477;final-crs_1;34;489
4483;meat_0;35;
4503;final-crs_5;35;828
4729;gate-keeper;36;
4730;gate-keeper;37;
4731;gate-keeper;38;
4734;vege_0;36;
4736;frui_0;38;
4738;vege_1;37;
4751;final-crs_2;36;655
4807;final-crs_10;38;532
4827;final-crs_4;37;869
5062;gate-keeper;39;
5063;gate-keeper;40;
5064;gate-keeper;41;
5065;vege_0;39;
5067;vege_1;40;
5075;vege_0;41;
5083;final-crs_0;39;776
5085;final-crs_11;40;193
5116;final-crs_6;41;899
5386;gate-keeper;42;
5387;gate-keeper;43;
5390;frui_0;43;
5391;vege_0;42;
5432;final-crs_5;43;339
5444;final-crs_2;42;773
5516;gate-keeper;44;
5519;vege_0;44;
5523;final-crs_4;44;824
5680;gate-keeper;45;
5681;gate-keeper;46;
5682;vege_1;46;
5682;frui_0;45;
5688;final-crs_5;46;586
5732;final-crs_1;45;1817
5939;gate-keeper;47;
5940;frui_0;47;
5940;gate-keeper;48;
5941;final-crs_2;47;590
5941;vege_1;48;
5942;final-crs_1;48;697
6221;gate-keeper;49;
6222;vege_0;49;
6222;gate-keeper;50;
6223;final-crs_10;49;635
6227;frui_0;50;
6244;final-crs_3;50;690
6385;gate-keeper;51;
6391;vege_0;51;
6412;final-crs_5;51;1475
6536;gate-keeper;52;
6538;vege_1;52;
6607;final-crs_11;52;368
6826;gate-keeper;53;
6827;vege_0;53;
6827;gate-keeper;54;
6828;gate-keeper;55;
6832;frui_0;55;
6834;vege_1;54;
6877;final-crs_1;53;707
6877;final-crs_11;55;1691
6902;final-crs_2;54;132
7037;gate-keeper;56;
7038;gate-keeper;57;
7040;vege_0;57;
7054;final-crs_0;57;1235
7090;meat_0;56;
7103;final-crs_1;56;490
7121;gate-keeper;58;
7124;vege_1;58;
7149;final-crs_2;58;708
7400;gate-keeper;59;
7401;gate-keeper;60;
7402;vege_0;60;
7405;frui_1;59;
7460;final-crs_2;60;434
7469;final-crs_4;59;716
7744;gate-keeper;61;
7745;gate-keeper;62;
7747;vege_0;61;
