time;ckpt;id;money
312;gate-keeper;3;
341;meat_1;3;
461;final-crs_3;3;836
583;gate-keeper;4;
584;gate-keeper;5;
585;gate-keeper;6;
587;frui_1;4;
588;vege_0;6;
589;frui_0;5;
688;final-crs_1;4;1522
696;final-crs_0;6;1002
708;final-crs_4;5;518
883;gate-keeper;10;
884;gate-keeper;11;
885;vege_1;10;
886;vege_0;11;
935;final-crs_0;10;1245
935;final-crs_1;11;948
1142;gate-keeper;12;
1143;gate-keeper;13;
1144;gate-keeper;14;
1147;frui_1;12;
1149;frui_0;13;
1151;vege_0;14;
1181;final-crs_0;12;478
1184;final-crs_3;13;838
1204;final-crs_7;14;753
1425;gate-keeper;16;
1426;frui_0;16;
1426;gate-keeper;17;
1427;final-crs_3;16;691
1427;gate-keeper;18;
1429;vege_0;17;
1432;frui_0;18;
1438;final-crs_7;17;713
1440;final-crs_5;18;455
1775;gate-keeper;20;
1776;gate-keeper;21;
1777;gate-keeper;22;
1778;frui_0;21;
1779;vege_1;20;
1784;gate-keeper;23;
1785;vege_0;22;
1800;meat_1;23;
1871;final-crs_1;21;113
1884;final-crs_0;20;736
1886;final-crs_3;22;330
1890;final-crs_5;23;1161
2090;gate-keeper;24;
2091;gate-keeper;25;
2092;gate-keeper;26;
2094;frui_0;24;
2095;final-crs_5;24;757
2097;vege_0;26;
2101;meat_1;25;
2109;final-crs_0;26;605
2119;final-crs_3;25;1190
2382;gate-keeper;28;
2383;gate-keeper;29;
2384;gate-keeper;30;
2388;vege_0;28;
2389;vege_1;30;
2410;final-crs_2;28;1074
2417;final-crs_4;30;395
2429;meat_1;29;
2447;final-crs_7;29;1265
2648;gate-keeper;32;
2649;gate-keeper;33;
2652;frui_1;33;
2653;vege_1;32;
2693;final-crs_6;33;423
2698;final-crs_7;32;905
2935;gate-keeper;35;
2936;gate-keeper;36;
2937;gate-keeper;37;
2938;vege_0;35;
2942;vege_1;36;
2947;vege_0;37;
2966;final-crs_7;35;361
3010;final-crs_1;36;264
3034;final-crs_8;37;186
3225;gate-keeper;38;
3226;vege_1;38;
3226;gate-keeper;39;
3227;gate-keeper;40;
3228;gate-keeper;41;
3229;vege_0;39;
3229;frui_0;40;
3234;vege_1;41;
3241;final-crs_1;38;1032
3252;final-crs_3;39;1496
3281;final-crs_8;40;314
3302;final-crs_5;41;252
3500;gate-keeper;44;
3535;meat_1;44;
3541;final-crs_0;44;312
3684;gate-keeper;46;
3685;gate-keeper;47;
3687;frui_1;47;
3691;vege_1;46;
3726;final-crs_3;47;782
3733;final-crs_8;46;672
3782;gate-keeper;48;
3784;frui_1;48;
3813;final-crs_0;48;682
3924;gate-keeper;49;
3925;gate-keeper;50;
3927;vege_0;49;
3930;vege_1;50;
3947;final-crs_3;49;416
3984;final-crs_1;50;388
4085;gate-keeper;52;
4088;vege_0;52;
4107;final-crs_5;52;726
4435;gate-keeper;56;
4436;gate-keeper;57;
4441;vege_1;56;
4443;vege_0;57;
4461;final-crs_8;56;1066
4505;final-crs_0;57;1159
4610;gate-keeper;59;
4613;frui_1;59;
4617;final-crs_7;59;124
4729;gate-keeper;60;
4730;gate-keeper;61;
4734;frui_0;61;
4751;meat_1;60;
4752;final-crs_1;61;474
4777;final-crs_6;60;1916
5034;gate-keeper;63;
5035;vege_0;63;
5035;gate-keeper;64;
5038;frui_1;64;
5042;final-crs_3;63;353
5044;final-crs_0;64;918
5579;gate-keeper;70;
5580;frui_1;70;
5580;gate-keeper;71;
5581;gate-keeper;72;
5586;frui_0;71;
5586;frui_1;72;
5602;final-crs_4;70;396
5619;final-crs_8;71;615
5639;final-crs_1;72;875
5686;gate-keeper;74;
5688;vege_1;74;
5735;final-crs_3;74;1147
6007;gate-keeper;77;
6008;frui_0;77;
6022;final-crs_0;77;255
6314;gate-keeper;81;
6316;vege_1;81;
6324;final-crs_8;81;865
6420;gate-keeper;82;
6421;meat_0;82;
6421;gate-keeper;83;
6424;frui_0;83;
6447;final-crs_1;82;535
6480;final-crs_4;83;1031
6618;gate-keeper;84;
6619;gate-keeper;85;
6623;frui_1;84;
6653;meat_0;85;
6654;final-crs_4;84;1001
6691;final-crs_3;85;457
6849;gate-keeper;88;
6850;vege_1;88;
6858;final-crs_2;88;567
7140;gate-keeper;92;
7144;vege_0;92;
7206;final-crs_3;92;798
7309;gate-keeper;93;
7310;gate-keeper;94;
7311;gate-keeper;95;
7312;frui_1;94;
7313;vege_1;95;
7328;meat_1;93;
7333;final-crs_4;94;299
7440;final-crs_3;95;536
7450;final-crs_1;93;1019
7470;gate-keeper;96;
7471;gate-keeper;97;
7474;frui_1;96;
7476;frui_0;97;
7500;final-crs_7;96;1173
7516;final-crs_5;97;1163
7731;gate-keeper;100;
7735;frui_0;100;
7767;final-crs_7;100;1837
8001;gate-keeper;104;
8007;frui_0;104;
8023;final-crs_4;104;1643
8346;gate-keeper;108;
8347;frui_0;108;
8441;final-crs_0;108;1212
8656;gate-keeper;112;
8684;meat_1;112;
8699;final-crs_0;112;101
8948;gate-keeper;116;
8954;vege_1;116;
8998;final-crs_7;116;128
9283;gate-keeper;119;
9284;gate-keeper;120;
9285;vege_0;120;
9285;frui_0;119;
9286;final-crs_3;120;525
9299;final-crs_6;119;253
9385;gate-keeper;121;
9386;frui_1;121;
9386;gate-keeper;122;
9397;meat_1;122;
9413;final-crs_5;121;245
9427;final-crs_4;122;1196
9604;gate-keeper;125;
9605;vege_1;125;
9639;final-crs_4;125;210
9903;gate-keeper;126;
9904;gate-keeper;127;
9905;frui_1;127;
9905;gate-keeper;128;
9906;gate-keeper;129;
9907;final-crs_5;127;1058
9907;vege_0;126;
9908;frui_0;128;
9909;final-crs_0;126;1063
9909;vege_1;129;
9915;final-crs_4;128;799
9953;final-crs_8;129;831
10174;gate-keeper;130;
10175;gate-keeper;131;
10176;vege_0;130;
10176;gate-keeper;132;
10180;vege_1;131;
10184;vege_0;132;
10247;final-crs_6;130;1583
10262;final-crs_7;131;1470
10282;final-crs_2;132;792
10299;gate-keeper;134;
10301;vege_0;134;
10304;final-crs_1;134;972
10359;gate-keeper;135;
10360;vege_0;135;
10373;final-crs_8;135;668
10492;gate-keeper;136;
10493;vege_1;136;
10494;final-crs_2;136;747
10798;gate-keeper;139;
10799;vege_0;139;
10799;gate-keeper;140;
10825;final-crs_3;139;853
10826;meat_1;140;
10835;final-crs_8;140;1393
11096;gate-keeper;143;
11097;gate-keeper;144;
11098;gate-keeper;145;
11099;vege_1;143;
11102;vege_0;144;
11128;meat_1;145;
11138;final-crs_0;143;414
11144;final-crs_4;144;631
11224;gate-keeper;147;
11225;final-crs_7;145;1402
11228;vege_1;147;
11294;final-crs_8;147;683
11421;gate-keeper;149;
11427;vege_1;149;
11450;final-crs_6;149;510
11703;gate-keeper;151;
11704;frui_1;151;
11704;gate-keeper;152;
11705;gate-keeper;153;
11708;frui_0;152;
11710;frui_1;153;
11725;final-crs_8;151;212
11732;final-crs_5;152;645
11732;final-crs_7;153;404
11987;gate-keeper;154;
11988;gate-keeper;155;
11989;gate-keeper;156;
11990;gate-keeper;157;
11991;vege_0;154;
11992;final-crs_8;154;936
11997;vege_1;155;
11998;meat_0;156;
12001;vege_0;157;
