time;ckpt;id;money
234;gate-keeper;0;
235;gate-keeper;1;
236;gate-keeper;2;
238;meat_0;0;
240;frui_1;2;
242;final-crs_5;0;286
242;vege_1;1;
244;final-crs_7;2;552
252;final-crs_3;1;415
558;gate-keeper;3;
559;gate-keeper;4;
560;vege_0;3;
560;gate-keeper;5;
561;vege_1;4;
561;gate-keeper;6;
569;vege_0;6;
588;meat_0;5;
693;final-crs_6;3;858
712;final-crs_4;4;1116
722;final-crs_3;6;869
723;final-crs_1;5;1262
867;gate-keeper;7;
868;gate-keeper;8;
869;gate-keeper;9;
870;gate-keeper;10;
871;vege_1;7;
876;vege_0;8;
880;vege_1;10;
885;meat_0;9;
912;final-crs_6;7;811
921;gate-keeper;11;
928;vege_0;11;
943;final-crs_2;8;525
948;final-crs_4;10;867
964;final-crs_1;9;956
970;final-crs_3;11;70
1837;gate-keeper;23;
1841;frui_0;23;
1854;final-crs_3;23;354
2799;gate-keeper;34;
2800;gate-keeper;35;
2801;gate-keeper;36;
2804;frui_0;35;
2805;final-crs_3;35;198
2805;frui_1;36;
2805;meat_0;34;
2829;final-crs_2;36;822
2837;final-crs_0;34;584
2899;gate-keeper;37;
2903;vege_0;37;
2907;final-crs_7;37;962
3164;gate-keeper;38;
3165;gate-keeper;39;
3166;gate-keeper;40;
3168;vege_0;40;
3170;meat_1;38;
3202;final-crs_4;40;1475
3218;meat_0;39;
3243;final-crs_1;38;1234
3309;final-crs_3;39;1963
3471;gate-keeper;42;
3472;gate-keeper;43;
3473;gate-keeper;44;
3474;gate-keeper;45;
3476;frui_0;42;
3476;frui_1;43;
3476;meat_1;44;
3515;meat_0;45;
3545;final-crs_3;42;863
3558;final-crs_2;43;878
3585;final-crs_5;44;937
3599;final-crs_6;45;322
3789;gate-keeper;48;
3790;gate-keeper;49;
3793;frui_0;48;
3802;meat_0;49;
3823;final-crs_5;48;749
3826;final-crs_2;49;1198
4113;gate-keeper;53;
4116;vege_1;53;
4123;final-crs_7;53;1616
4670;gate-keeper;61;
4709;meat_1;61;
4726;final-crs_2;61;218
4993;gate-keeper;65;
4995;vege_0;65;
5003;final-crs_1;65;97
5344;gate-keeper;69;
5345;gate-keeper;70;
5347;vege_1;69;
5365;meat_1;70;
5395;final-crs_3;69;1489
5422;final-crs_6;70;848
5650;gate-keeper;73;
5651;gate-keeper;74;
5654;frui_0;73;
5657;frui_1;74;
5663;final-crs_3;73;1183
5667;final-crs_6;74;1664
5949;gate-keeper;77;
5950;gate-keeper;78;
5951;meat_1;78;
5952;frui_1;77;
5958;final-crs_2;78;1375
5960;final-crs_6;77;202
6280;gate-keeper;81;
6281;gate-keeper;82;
6282;frui_1;82;
6282;gate-keeper;83;
