time;ckpt;id;money
301;gate-keeper;0;
302;gate-keeper;1;
303;vege_1;1;
303;gate-keeper;2;
304;gate-keeper;3;
307;vege_0;2;
311;vege_1;3;
311;meat_0;0;
403;final-crs_3;1;2284
454;final-crs_1;2;1937
460;final-crs_0;3;4353
471;final-crs_2;0;726
600;gate-keeper;8;
606;vege_0;8;
650;final-crs_3;8;1633
868;gate-keeper;12;
876;vege_0;12;
897;final-crs_3;12;3020
1143;gate-keeper;17;
1146;vege_1;17;
1151;final-crs_0;17;2205
1461;gate-keeper;18;
1462;vege_1;18;
1462;gate-keeper;19;
1463;gate-keeper;20;
1464;meat_1;19;
1464;gate-keeper;21;
1465;gate-keeper;22;
1471;vege_0;20;
1472;vege_1;21;
1479;vege_0;22;
1492;final-crs_4;18;97
1499;final-crs_5;19;2316
1561;final-crs_6;20;1889
1571;final-crs_3;21;2340
1578;final-crs_7;22;618
1631;gate-keeper;24;
1632;gate-keeper;25;
1635;vege_1;24;
1639;vege_0;25;
1654;final-crs_8;24;3244
1662;final-crs_2;25;2551
2062;gate-keeper;28;
2063;gate-keeper;29;
2064;gate-keeper;30;
2065;gate-keeper;31;
2066;gate-keeper;32;
2067;vege_1;29;
2070;frui_0;32;
2071;vege_0;30;
2075;meat_1;28;
2076;vege_1;31;
2080;final-crs_3;29;2702
2143;final-crs_8;32;1483
2154;final-crs_1;30;63
2184;final-crs_2;28;1174
2212;final-crs_5;31;1847
2380;gate-keeper;37;
2383;vege_1;37;
2410;final-crs_8;37;1456
2615;gate-keeper;38;
2616;gate-keeper;39;
2617;gate-keeper;40;
2618;vege_0;38;
2620;vege_1;40;
2624;final-crs_8;38;1859
2629;final-crs_7;40;3148
2655;meat_0;39;
2661;gate-keeper;41;
2663;vege_0;41;
2695;final-crs_5;39;1681
2716;final-crs_4;41;1718
2981;gate-keeper;46;
2989;vege_1;46;
3025;final-crs_3;46;291
3288;gate-keeper;52;
3289;meat_1;52;
3290;final-crs_6;52;162
3506;gate-keeper;56;
3509;vege_0;56;
3539;final-crs_3;56;3575
3608;gate-keeper;57;
3620;meat_1;57;
3672;final-crs_5;57;2397
3955;gate-keeper;62;
3956;vege_0;62;
3956;gate-keeper;63;
3957;vege_1;63;
3960;final-crs_0;62;628
4027;final-crs_6;63;3467
4292;gate-keeper;68;
4293;frui_0;68;
4293;gate-keeper;69;
4296;vege_1;69;
4300;final-crs_7;68;2304
4331;final-crs_1;69;2188
4555;gate-keeper;73;
4581;meat_0;73;
4583;final-crs_4;73;2776
4844;gate-keeper;77;
4845;gate-keeper;78;
4846;vege_1;78;
4869;meat_0;77;
4882;final-crs_5;78;1845
4969;final-crs_0;77;1094
5120;gate-keeper;81;
5121;gate-keeper;82;
5122;gate-keeper;83;
5126;vege_0;82;
5129;vege_1;83;
5141;meat_1;81;
5237;final-crs_0;82;907
5251;final-crs_8;83;844
5253;final-crs_7;81;1165
5377;gate-keeper;87;
5380;frui_0;87;
5483;final-crs_7;87;918
5715;gate-keeper;91;
5716;gate-keeper;92;
5718;meat_1;91;
5751;meat_0;92;
5759;final-crs_7;91;2303
5759;final-crs_8;92;2554
5960;gate-keeper;95;
5961;gate-keeper;96;
5964;meat_0;95;
5968;vege_0;96;
5988;final-crs_0;95;672
5999;final-crs_7;96;656
6266;gate-keeper;100;
6267;gate-keeper;101;
6272;vege_0;100;
6273;frui_0;101;
6277;final-crs_6;100;640
6328;gate-keeper;102;
6332;vege_1;102;
6339;final-crs_4;101;1888
6368;final-crs_8;102;1387
6554;gate-keeper;103;
6555;gate-keeper;104;
6556;gate-keeper;105;
6558;meat_1;103;
6565;vege_0;104;
6565;vege_1;105;
6602;final-crs_4;103;1007
6614;final-crs_2;104;875
6621;final-crs_8;105;804
6828;gate-keeper;108;
6829;gate-keeper;109;
6860;meat_1;108;
6865;final-crs_2;108;2124
6890;meat_0;109;
6897;final-crs_8;109;2505
7085;gate-keeper;113;
7095;meat_0;113;
7104;final-crs_4;113;2313
7247;gate-keeper;115;
7250;frui_0;115;
7252;final-crs_1;115;2125
7377;gate-keeper;117;
7378;vege_0;117;
7387;final-crs_8;117;3355
7682;gate-keeper;122;
7685;vege_0;122;
7716;final-crs_1;122;290
8158;gate-keeper;127;
8159;gate-keeper;128;
8160;vege_1;127;
8160;gate-keeper;129;
8161;vege_0;128;
8162;frui_0;129;
8202;final-crs_1;127;1834
8219;final-crs_8;128;2649
8220;final-crs_6;129;298
8229;gate-keeper;130;
8231;vege_0;130;
8241;final-crs_2;130;2626
8831;gate-keeper;136;
8832;gate-keeper;137;
8833;vege_1;137;
8833;gate-keeper;138;
8834;gate-keeper;139;
8835;frui_1;139;
8835;gate-keeper;140;
8840;frui_0;140;
8841;final-crs_7;137;540
8842;vege_1;138;
8855;meat_0;136;
8868;final-crs_8;139;760
8914;final-crs_2;140;2765
8925;final-crs_1;138;334
8952;final-crs_6;136;361
9134;gate-keeper;141;
9135;gate-keeper;142;
9136;gate-keeper;143;
9137;vege_1;141;
9137;frui_0;143;
9137;gate-keeper;144;
9138;gate-keeper;145;
9141;vege_0;142;
9145;vege_1;144;
9151;vege_0;145;
9202;final-crs_4;141;1731
9204;final-crs_6;143;1921
9211;gate-keeper;146;
9212;frui_1;146;
9221;final-crs_1;142;270
9225;final-crs_3;144;2866
9263;final-crs_5;145;1265
9267;final-crs_0;146;2147
9442;gate-keeper;147;
9443;gate-keeper;148;
9444;gate-keeper;149;
9445;gate-keeper;150;
9447;vege_0;147;
9449;vege_1;148;
9456;vege_0;150;
9470;final-crs_3;147;1496
9474;final-crs_1;148;2240
9475;meat_1;149;
9506;final-crs_7;150;1485
9509;final-crs_0;149;374
9747;gate-keeper;151;
9748;gate-keeper;152;
9749;gate-keeper;153;
9750;gate-keeper;154;
9751;gate-keeper;155;
9752;vege_0;151;
9754;vege_1;153;
9759;meat_1;152;
9761;vege_0;155;
9766;final-crs_8;151;2117
9786;final-crs_5;153;653
9793;final-crs_0;152;578
9796;meat_0;154;
9857;final-crs_2;155;606
9896;final-crs_6;154;91
10089;gate-keeper;157;
10090;gate-keeper;158;
10091;gate-keeper;159;
10092;vege_0;157;
10092;gate-keeper;160;
10093;vege_1;158;
10099;final-crs_6;157;174
10101;vege_0;159;
10102;vege_1;160;
10123;final-crs_2;158;2977
10182;gate-keeper;162;
10183;final-crs_4;159;1236
10184;vege_0;162;
10199;final-crs_3;160;2539
10219;final-crs_7;162;2701
10673;gate-keeper;166;
10674;gate-keeper;167;
10675;gate-keeper;168;
10676;gate-keeper;169;
10677;frui_1;166;
10677;gate-keeper;170;
10678;vege_1;169;
10683;vege_0;170;
10689;final-crs_4;166;974
10699;final-crs_0;169;3038
10700;meat_1;167;
10713;final-crs_1;170;2723
10717;meat_0;168;
10719;final-crs_3;167;1141
10770;final-crs_8;168;2595
10972;gate-keeper;171;
10973;gate-keeper;172;
10974;gate-keeper;173;
10975;vege_0;172;
10975;gate-keeper;174;
10978;vege_1;173;
10982;meat_0;171;
10985;vege_0;174;
11009;final-crs_8;172;1135
11010;final-crs_1;173;1126
11011;final-crs_6;171;3456
11038;final-crs_5;174;2644
11151;gate-keeper;176;
11152;gate-keeper;177;
11159;meat_1;176;
11174;final-crs_0;176;2714
11174;meat_0;177;
11184;final-crs_3;177;1721
11272;gate-keeper;178;
11273;gate-keeper;179;
11278;vege_1;178;
11281;vege_0;179;
11289;final-crs_5;178;87
11303;final-crs_2;179;2607
11458;gate-keeper;180;
11459;vege_0;180;
11459;gate-keeper;181;
11460;frui_0;181;
11460;gate-keeper;182;
11463;final-crs_6;180;1424
11465;vege_1;182;
11467;final-crs_1;181;1708
11474;final-crs_8;182;2602
12074;gate-keeper;191;
12090;meat_0;191;
12107;final-crs_4;191;4009
12883;gate-keeper;204;
12893;meat_1;204;
12920;final-crs_1;204;2898
13196;gate-keeper;209;
13204;vege_1;209;
13229;final-crs_2;209;3239
13512;gate-keeper;214;
13514;vege_0;214;
13541;final-crs_0;214;280
13835;gate-keeper;219;
13839;meat_1;219;
13860;final-crs_5;219;2308
14162;gate-keeper;223;
14163;gate-keeper;224;
14165;frui_1;223;
14167;vege_0;224;
14201;final-crs_3;223;3135
14224;final-crs_0;224;209
14412;gate-keeper;228;
14417;vege_1;228;
14440;final-crs_3;228;571
14568;gate-keeper;229;
14569;gate-keeper;230;
14570;frui_1;230;
14570;gate-keeper;231;
14607;meat_1;229;
14633;meat_0;231;
14657;final-crs_8;230;350
14672;final-crs_7;229;173
14701;final-crs_3;231;639
14711;gate-keeper;233;
14729;meat_1;233;
14757;final-crs_4;233;1690
15004;gate-keeper;237;
15005;vege_0;237;
15008;final-crs_4;237;1128
15293;gate-keeper;241;
15294;gate-keeper;242;
15298;vege_1;241;
15302;vege_0;242;
15303;final-crs_5;241;1747
15332;final-crs_8;242;1398
15580;gate-keeper;245;
15581;gate-keeper;246;
15583;vege_0;246;
15589;gate-keeper;247;
15590;meat_0;245;
15592;vege_0;247;
15594;final-crs_8;246;1149
15619;final-crs_7;245;1915
15706;final-crs_6;247;594
15915;gate-keeper;249;
15916;gate-keeper;250;
15917;vege_1;250;
15917;gate-keeper;251;
15918;frui_0;251;
15930;meat_1;249;
15949;final-crs_6;250;3275
15961;final-crs_5;251;1568
15992;final-crs_1;249;1002
16227;gate-keeper;254;
16228;gate-keeper;255;
