time;ckpt;id;money
332;gate-keeper;0;
334;vege_0;0;
425;final-crs_5;0;530
604;gate-keeper;1;
607;frui_1;1;
675;final-crs_5;1;355
920;gate-keeper;2;
921;vege_1;2;
921;gate-keeper;3;
950;meat_0;3;
965;final-crs_3;2;1601
966;final-crs_1;3;298
1218;gate-keeper;4;
1220;frui_1;4;
1337;final-crs_2;4;2044
1562;gate-keeper;5;
1564;vege_0;5;
1644;final-crs_4;5;432
1845;gate-keeper;6;
1846;gate-keeper;7;
1847;frui_0;6;
1849;frui_1;7;
1877;final-crs_4;6;1539
1887;final-crs_1;7;758
2158;gate-keeper;8;
2160;vege_0;8;
2161;final-crs_1;8;1465
2502;gate-keeper;9;
2503;frui_0;9;
2550;final-crs_2;9;1510
2812;gate-keeper;10;
2813;gate-keeper;11;
2820;vege_0;10;
2821;vege_1;11;
2883;final-crs_0;10;1325
2917;final-crs_5;11;63
3111;gate-keeper;12;
3113;frui_1;12;
3141;final-crs_5;12;549
3436;gate-keeper;13;
3437;vege_1;13;
3481;final-crs_2;13;209
3688;gate-keeper;14;
3691;vege_0;14;
3733;final-crs_2;14;61
3846;gate-keeper;15;
3850;vege_1;15;
3966;final-crs_2;15;115
4027;gate-keeper;16;
4032;frui_1;16;
4075;final-crs_0;16;994
4316;gate-keeper;17;
4317;frui_1;17;
4328;final-crs_5;17;87
4613;gate-keeper;18;
4618;gate-keeper;19;
4620;vege_0;19;
4637;meat_0;18;
4661;final-crs_3;19;2131
4697;final-crs_4;18;716
4934;gate-keeper;20;
4935;frui_0;20;
4946;final-crs_4;20;718
5269;gate-keeper;21;
5271;frui_0;21;
5282;final-crs_1;21;231
5400;gate-keeper;22;
5408;vege_1;22;
5434;final-crs_2;22;103
5595;gate-keeper;23;
5597;vege_1;23;
5601;final-crs_0;23;1109
5903;gate-keeper;24;
5912;vege_0;24;
5969;final-crs_1;24;618
6182;gate-keeper;25;
6183;gate-keeper;26;
6185;frui_1;26;
6186;vege_0;25;
6192;final-crs_1;26;1354
6300;final-crs_2;25;147
6423;gate-keeper;27;
6462;meat_0;27;
6517;final-crs_4;27;526
6635;gate-keeper;28;
6639;vege_0;28;
6680;final-crs_3;28;265
7105;gate-keeper;29;
7106;gate-keeper;30;
7107;vege_1;29;
7110;frui_1;30;
7117;final-crs_1;29;575
7120;final-crs_0;30;275
7464;gate-keeper;31;
7465;gate-keeper;32;
7467;frui_1;32;
7493;meat_0;31;
7533;final-crs_2;32;731
7600;final-crs_0;31;1486
7760;gate-keeper;33;
7763;frui_1;33;
7824;final-crs_0;33;881
8070;gate-keeper;34;
8074;vege_0;34;
8093;final-crs_0;34;559
8175;gate-keeper;35;
8178;vege_0;35;
8190;final-crs_5;35;508
8340;gate-keeper;36;
8342;frui_0;36;
8363;final-crs_3;36;110
8672;gate-keeper;37;
8676;frui_0;37;
8680;final-crs_2;37;584
8936;gate-keeper;38;
8939;vege_1;38;
8968;final-crs_4;38;1011
9099;gate-keeper;39;
9106;vege_1;39;
9115;final-crs_2;39;1317
9527;gate-keeper;40;
9528;frui_0;40;
9528;gate-keeper;41;
9533;frui_0;41;
9546;final-crs_0;40;1192
9562;final-crs_5;41;545
9832;gate-keeper;42;
9836;frui_0;42;
9903;final-crs_1;42;1025
9969;gate-keeper;43;
9971;frui_0;43;
9973;final-crs_3;43;529
10387;gate-keeper;44;
10394;vege_1;44;
10400;final-crs_4;44;1020
10737;gate-keeper;45;
10738;vege_1;45;
10738;gate-keeper;46;
10741;final-crs_2;45;472
10742;vege_0;46;
10773;final-crs_0;46;380
11042;gate-keeper;47;
11043;frui_0;47;
11096;final-crs_3;47;545
11305;gate-keeper;48;
11312;vege_0;48;
11320;final-crs_4;48;341
11606;gate-keeper;49;
11607;gate-keeper;50;
11608;frui_0;50;
11609;vege_1;49;
11692;final-crs_0;50;746
11697;final-crs_2;49;656
11886;gate-keeper;51;
11892;frui_0;51;
11925;final-crs_2;51;1025
12240;gate-keeper;52;
12241;gate-keeper;53;
12245;vege_0;52;
12246;vege_1;53;
12327;final-crs_4;52;137
12339;final-crs_3;53;370
12574;gate-keeper;54;
12581;vege_0;54;
12607;final-crs_0;54;334
12632;gate-keeper;55;
12633;vege_0;55;
12640;final-crs_2;55;582
12897;gate-keeper;56;
12899;vege_1;56;
12905;final-crs_2;56;233
13228;gate-keeper;57;
13231;vege_1;57;
13248;final-crs_1;57;1988
13550;gate-keeper;58;
13551;vege_1;58;
13551;gate-keeper;59;
13557;frui_0;59;
13565;final-crs_3;58;754
13565;final-crs_5;59;160
13823;gate-keeper;60;
13826;frui_1;60;
13827;final-crs_0;60;502
14073;gate-keeper;61;
14076;vege_0;61;
14115;final-crs_2;61;737
14429;gate-keeper;62;
14430;gate-keeper;63;
14431;frui_1;63;
14441;meat_1;62;
14510;final-crs_5;63;165
14517;final-crs_1;62;2272
14694;gate-keeper;64;
14695;vege_0;64;
14734;final-crs_5;64;567
14975;gate-keeper;65;
14976;frui_1;65;
15031;final-crs_2;65;764
15266;gate-keeper;66;
15267;gate-keeper;67;
15270;frui_0;67;
15282;meat_1;66;
15283;final-crs_1;67;1121
15293;final-crs_3;66;271
15559;gate-keeper;68;
15563;frui_0;68;
15567;final-crs_3;68;564
15858;gate-keeper;69;
15864;vege_1;69;
15904;final-crs_4;69;251
16170;gate-keeper;70;
16171;gate-keeper;71;
16176;frui_0;70;
16178;vege_0;71;
16220;final-crs_1;70;60
16292;final-crs_0;71;752
16459;gate-keeper;72;
16467;meat_1;72;
16495;final-crs_0;72;183
16728;gate-keeper;73;
16729;vege_0;73;
16895;final-crs_3;73;251
16998;gate-keeper;74;
17000;frui_0;74;
17100;final-crs_5;74;1442
17286;gate-keeper;75;
17287;gate-keeper;76;
17288;frui_0;75;
17311;meat_0;76;
17342;final-crs_5;75;540
17349;final-crs_4;76;435
17580;gate-keeper;77;
17593;meat_1;77;
17597;final-crs_0;77;1513
17854;gate-keeper;78;
17855;vege_1;78;
17861;final-crs_5;78;1041
18170;gate-keeper;79;
18171;gate-keeper;80;
18172;vege_0;79;
18172;gate-keeper;81;
18177;frui_1;81;
18186;final-crs_2;79;874
18194;meat_0;80;
18284;gate-keeper;82;
18285;gate-keeper;83;
18286;gate-keeper;84;
18289;final-crs_3;81;550
18290;vege_1;82;
18291;vege_0;83;
18293;final-crs_0;80;945
18298;vege_1;84;
18322;final-crs_4;82;541
18355;final-crs_5;83;142
18395;final-crs_2;84;377
18482;gate-keeper;85;
18483;vege_1;85;
18523;final-crs_3;85;235
18804;gate-keeper;86;
18808;vege_0;86;
18842;final-crs_5;86;75
19060;gate-keeper;87;
19076;meat_0;87;
19087;final-crs_1;87;599
19205;gate-keeper;88;
19206;vege_1;88;
