time;ckpt;id;money
314;gate-keeper;0;
318;vege_0;0;
418;final-crs_5;0;1102
608;gate-keeper;1;
614;vege_0;1;
628;final-crs_5;1;569
895;gate-keeper;2;
900;vege_1;2;
935;gate-keeper;3;
938;vege_1;3;
958;final-crs_4;2;1878
970;final-crs_0;3;1796
1274;gate-keeper;4;
1276;meat_1;4;
1380;final-crs_5;4;920
1634;gate-keeper;5;
1635;gate-keeper;6;
1640;vege_1;6;
1650;meat_1;5;
1680;final-crs_4;6;503
1688;final-crs_0;5;250
1899;gate-keeper;7;
1926;meat_1;7;
1952;final-crs_3;7;1437
2161;gate-keeper;8;
2212;meat_1;8;
2217;final-crs_0;8;1218
2439;gate-keeper;9;
2444;frui_0;9;
2462;final-crs_0;9;446
2732;gate-keeper;10;
2736;frui_1;10;
2761;final-crs_1;10;1305
2906;gate-keeper;11;
2911;vege_1;11;
2941;final-crs_0;11;382
3033;gate-keeper;12;
3046;meat_1;12;
3080;final-crs_2;12;672
3329;gate-keeper;13;
3330;vege_0;13;
3336;final-crs_4;13;1593
3605;gate-keeper;14;
3609;frui_0;14;
3665;final-crs_3;14;577
3915;gate-keeper;15;
3916;gate-keeper;16;
3918;vege_0;15;
3922;vege_1;16;
3960;final-crs_1;15;446
3981;final-crs_5;16;159
4152;gate-keeper;17;
4153;vege_1;17;
4157;final-crs_0;17;243
4432;gate-keeper;18;
4433;vege_0;18;
4557;final-crs_2;18;1045
4572;gate-keeper;19;
4586;meat_1;19;
4624;final-crs_3;19;852
4986;gate-keeper;20;
4991;vege_0;20;
5046;final-crs_2;20;524
5333;gate-keeper;21;
5334;gate-keeper;22;
5336;vege_1;21;
5337;final-crs_5;21;1400
5337;frui_0;22;
5346;final-crs_1;22;791
5593;gate-keeper;23;
5597;meat_1;23;
5600;final-crs_0;23;104
5902;gate-keeper;24;
5903;vege_0;24;
5903;gate-keeper;25;
5907;vege_1;25;
5965;final-crs_1;24;256
6031;final-crs_5;25;843
6151;gate-keeper;26;
6153;vege_1;26;
6213;final-crs_1;26;743
6400;gate-keeper;27;
6402;vege_0;27;
6439;final-crs_1;27;223
6681;gate-keeper;28;
6686;frui_1;28;
6755;final-crs_4;28;593
6994;gate-keeper;29;
6995;gate-keeper;30;
6996;vege_1;30;
7036;meat_1;29;
7047;final-crs_2;30;182
7065;final-crs_0;29;226
7244;gate-keeper;31;
7248;vege_1;31;
7289;final-crs_2;31;286
7644;gate-keeper;32;
7645;gate-keeper;33;
7649;vege_0;33;
7666;final-crs_1;33;504
7677;meat_1;32;
7744;final-crs_3;32;913
7941;gate-keeper;34;
7967;meat_0;34;
8008;final-crs_3;34;834
8156;gate-keeper;35;
8157;vege_1;35;
8165;final-crs_1;35;789
8563;gate-keeper;36;
8565;vege_0;36;
8569;final-crs_0;36;171
8838;gate-keeper;37;
8839;gate-keeper;38;
8845;vege_1;37;
8846;vege_0;38;
8877;final-crs_5;37;943
8912;final-crs_1;38;861
9195;gate-keeper;39;
9204;vege_0;39;
9213;final-crs_4;39;84
9496;gate-keeper;40;
9497;gate-keeper;41;
9504;vege_1;40;
9506;vege_0;41;
9568;final-crs_5;40;1173
9639;final-crs_2;41;66
9817;gate-keeper;42;
9848;meat_0;42;
9907;final-crs_2;42;1566
9977;gate-keeper;43;
10019;meat_0;43;
10087;final-crs_5;43;547
10437;gate-keeper;44;
10438;gate-keeper;45;
10439;vege_0;44;
10464;meat_1;45;
10470;final-crs_0;44;1071
10528;final-crs_3;45;202
10708;gate-keeper;46;
10711;vege_0;46;
10781;final-crs_3;46;177
10893;gate-keeper;47;
10896;vege_1;47;
10905;final-crs_0;47;157
