time;ckpt;id;money
269;gate-keeper;0;
273;vege_1;0;
283;final-crs_2;0;3077
602;gate-keeper;1;
604;frui_1;1;
698;final-crs_0;1;1182
915;gate-keeper;2;
919;vege_1;2;
937;final-crs_5;2;1102
1199;gate-keeper;3;
1200;vege_1;3;
1202;final-crs_0;3;145
1474;gate-keeper;4;
1481;meat_0;4;
1579;final-crs_2;4;1642
1748;gate-keeper;5;
1751;vege_1;5;
1837;final-crs_1;5;4677
2132;gate-keeper;6;
2134;vege_1;6;
2137;final-crs_5;6;4115
2414;gate-keeper;7;
2417;vege_1;7;
2445;final-crs_4;7;1241
2725;gate-keeper;8;
2726;gate-keeper;9;
2729;vege_1;8;
2733;vege_0;9;
2773;final-crs_0;8;1222
2782;final-crs_5;9;253
3019;gate-keeper;10;
3021;vege_0;10;
3041;final-crs_0;10;2064
3293;gate-keeper;11;
3297;frui_0;11;
3353;final-crs_2;11;582
3619;gate-keeper;12;
3624;vege_1;12;
3670;final-crs_5;12;2670
3813;gate-keeper;13;
3814;vege_0;13;
3887;final-crs_2;13;2188
4096;gate-keeper;14;
4098;frui_1;14;
4133;final-crs_5;14;1027
4354;gate-keeper;15;
4360;vege_1;15;
4367;final-crs_1;15;1016
4628;gate-keeper;16;
4634;vege_0;16;
4668;final-crs_5;16;1953
4923;gate-keeper;17;
4943;meat_0;17;
5045;final-crs_2;17;384
5233;gate-keeper;18;
5234;vege_0;18;
5242;final-crs_2;18;789
5583;gate-keeper;19;
5589;vege_0;19;
5636;final-crs_5;19;3980
5901;gate-keeper;20;
5902;gate-keeper;21;
5903;vege_1;20;
5909;vege_0;21;
5932;final-crs_0;20;3647
6057;final-crs_1;21;2754
6239;gate-keeper;22;
6241;frui_1;22;
6266;final-crs_1;22;3020
6517;gate-keeper;23;
6520;frui_0;23;
6568;final-crs_3;23;1465
6870;gate-keeper;24;
6874;vege_1;24;
6888;gate-keeper;25;
6917;final-crs_5;24;1393
6919;meat_0;25;
6946;final-crs_0;25;2124
7212;gate-keeper;26;
7213;frui_0;26;
7286;final-crs_4;26;1997
7446;gate-keeper;27;
7448;frui_0;27;
7538;final-crs_3;27;526
7795;gate-keeper;28;
7796;vege_0;28;
7816;final-crs_4;28;3486
8100;gate-keeper;29;
8104;frui_0;29;
8155;final-crs_1;29;915
8391;gate-keeper;30;
8392;frui_1;30;
8410;final-crs_0;30;2194
8676;gate-keeper;31;
8679;vege_0;31;
8770;final-crs_2;31;348
8818;gate-keeper;32;
8821;vege_1;32;
8840;final-crs_5;32;2013
9233;gate-keeper;33;
9239;frui_0;33;
9278;final-crs_2;33;1180
9569;gate-keeper;34;
9571;vege_0;34;
9586;final-crs_1;34;4054
9713;gate-keeper;35;
9715;vege_1;35;
9717;final-crs_2;35;1867
9881;gate-keeper;36;
9883;vege_0;36;
9896;final-crs_0;36;2988
10194;gate-keeper;37;
10200;vege_1;37;
10293;final-crs_1;37;1922
10510;gate-keeper;38;
10512;vege_1;38;
10543;final-crs_1;38;433
10766;gate-keeper;39;
10771;vege_1;39;
10809;final-crs_5;39;1789
11066;gate-keeper;40;
11067;vege_0;40;
11080;final-crs_3;40;1231
11393;gate-keeper;41;
11398;frui_0;41;
11440;final-crs_5;41;2232
11713;gate-keeper;42;
11716;vege_0;42;
11718;final-crs_3;42;3910
11995;gate-keeper;43;
11996;frui_0;43;
12074;final-crs_4;43;2477
12322;gate-keeper;44;
12326;vege_0;44;
12362;final-crs_3;44;1489
12635;gate-keeper;45;
12636;frui_1;45;
12654;final-crs_0;45;3150
12926;gate-keeper;46;
12928;vege_0;46;
12957;final-crs_1;46;196
