time;ckpt;id;money
285;gate-keeper;0;
294;vege_0;0;
398;final-crs_3;0;409
642;gate-keeper;1;
648;vege_0;1;
668;final-crs_0;1;2313
869;gate-keeper;2;
870;frui_0;2;
892;final-crs_0;2;601
1144;gate-keeper;3;
1145;vege_0;3;
1188;final-crs_2;3;368
1442;gate-keeper;4;
1461;meat_0;4;
1466;final-crs_5;4;1937
1722;gate-keeper;5;
1733;meat_1;5;
1772;final-crs_4;5;1483
1960;gate-keeper;6;
1961;vege_1;6;
1974;final-crs_4;6;911
2272;gate-keeper;7;
2294;meat_0;7;
2304;final-crs_3;7;1308
2575;gate-keeper;8;
2604;meat_1;8;
2616;final-crs_2;8;1365
2869;gate-keeper;9;
2873;frui_1;9;
2983;final-crs_4;9;128
3180;gate-keeper;10;
3183;vege_1;10;
3184;final-crs_4;10;310
3348;gate-keeper;11;
3350;vege_0;11;
3402;final-crs_4;11;931
3777;gate-keeper;12;
3782;vege_0;12;
3821;final-crs_2;12;1929
4070;gate-keeper;13;
4075;frui_1;13;
4112;final-crs_4;13;2779
4231;gate-keeper;14;
4234;vege_0;14;
4257;final-crs_2;14;1292
4738;gate-keeper;15;
4739;vege_1;15;
4739;gate-keeper;16;
4741;frui_1;16;
4749;final-crs_0;15;649
4779;final-crs_2;16;727
5017;gate-keeper;17;
5020;vege_1;17;
5043;final-crs_2;17;713
5336;gate-keeper;18;
5344;vege_0;18;
5349;final-crs_1;18;1915
5647;gate-keeper;19;
5659;meat_0;19;
5710;final-crs_5;19;1400
5953;gate-keeper;20;
5959;meat_0;20;
5999;final-crs_2;20;3104
6252;gate-keeper;21;
6257;vege_1;21;
6268;final-crs_1;21;1308
6552;gate-keeper;22;
6555;vege_0;22;
6556;final-crs_4;22;2225
6858;gate-keeper;23;
6859;frui_1;23;
6859;gate-keeper;24;
6861;vege_1;24;
6920;final-crs_3;23;566
6928;final-crs_5;24;1748
7191;gate-keeper;25;
7195;vege_1;25;
7210;final-crs_2;25;695
7411;gate-keeper;26;
7416;vege_0;26;
7433;final-crs_2;26;452
7756;gate-keeper;27;
7758;vege_1;27;
7791;final-crs_0;27;1440
8012;gate-keeper;28;
8013;vege_0;28;
8021;final-crs_0;28;1452
8304;gate-keeper;29;
8305;vege_1;29;
8351;final-crs_3;29;1050
8568;gate-keeper;30;
8569;vege_0;30;
8589;final-crs_2;30;1415
8859;gate-keeper;31;
8864;vege_1;31;
8867;final-crs_3;31;617
9129;gate-keeper;32;
9130;vege_1;32;
9251;final-crs_4;32;421
9384;gate-keeper;33;
9388;vege_1;33;
9450;final-crs_4;33;1149
9657;gate-keeper;34;
9658;frui_0;34;
9693;final-crs_2;34;1579
9921;gate-keeper;35;
9951;meat_0;35;
10016;final-crs_1;35;509
10276;gate-keeper;36;
10280;meat_1;36;
10294;final-crs_5;36;538
10522;gate-keeper;37;
10529;vege_1;37;
10544;final-crs_3;37;2106
10802;gate-keeper;38;
10807;vege_0;38;
10901;final-crs_2;38;1263
11123;gate-keeper;39;
11127;vege_0;39;
11165;final-crs_4;39;137
11633;gate-keeper;40;
11634;vege_0;40;
11652;final-crs_4;40;106
11961;gate-keeper;41;
11962;gate-keeper;42;
11966;vege_0;41;
11968;frui_0;42;
12010;final-crs_2;41;529
12042;final-crs_3;42;1100
12322;gate-keeper;43;
12326;vege_1;43;
12330;final-crs_1;43;3197
12634;gate-keeper;44;
12639;vege_0;44;
12673;final-crs_5;44;988
12899;gate-keeper;45;
12908;vege_0;45;
12955;final-crs_5;45;2089
13223;gate-keeper;46;
13256;meat_1;46;
13292;final-crs_3;46;572
13584;gate-keeper;47;
13589;vege_1;47;
13631;final-crs_5;47;2260
14056;gate-keeper;48;
14063;vege_0;48;
14074;final-crs_1;48;412
14348;gate-keeper;49;
14350;frui_1;49;
14356;final-crs_4;49;745
14545;gate-keeper;50;
14547;vege_1;50;
14549;final-crs_1;50;1883
14927;gate-keeper;51;
14928;vege_1;51;
14997;final-crs_3;51;401
15234;gate-keeper;52;
15239;vege_1;52;
15250;final-crs_3;52;1182
15461;gate-keeper;53;
15464;frui_0;53;
15465;final-crs_3;53;239
15827;gate-keeper;54;
15831;frui_1;54;
15832;final-crs_0;54;1238
16173;gate-keeper;55;
16174;gate-keeper;56;
16175;vege_0;55;
16175;gate-keeper;57;
16187;final-crs_1;55;625
16189;meat_0;56;
16195;meat_1;57;
16232;final-crs_4;56;1713
16285;final-crs_0;57;1263
16397;gate-keeper;58;
16398;vege_1;58;
16398;gate-keeper;59;
16399;gate-keeper;60;
16400;frui_0;60;
16402;final-crs_3;58;2217
16411;meat_1;59;
16461;final-crs_1;60;1019
16470;final-crs_4;59;1271
16500;gate-keeper;61;
16501;vege_1;61;
16516;final-crs_0;61;1344
16845;gate-keeper;62;
16847;vege_0;62;
16883;final-crs_3;62;2214
17125;gate-keeper;63;
17126;gate-keeper;64;
17127;gate-keeper;65;
17131;vege_0;63;
17133;vege_1;64;
17142;vege_0;65;
17156;final-crs_4;63;69
17168;final-crs_0;64;2533
17178;final-crs_2;65;682
17436;gate-keeper;66;
17437;gate-keeper;67;
17438;gate-keeper;68;
17439;vege_0;66;
17439;vege_1;67;
17440;frui_0;68;
17509;final-crs_1;66;398
17525;final-crs_5;67;1405
17534;final-crs_3;68;481
17736;gate-keeper;69;
17737;frui_1;69;
17743;final-crs_5;69;1539
17944;gate-keeper;70;
17945;vege_0;70;
17969;final-crs_3;70;619
18386;gate-keeper;71;
18387;vege_1;71;
