time;ckpt;id;money
303;gate-keeper;0;
304;gate-keeper;1;
305;gate-keeper;2;
306;gate-keeper;3;
307;vege_0;0;
307;gate-keeper;4;
308;frui_0;1;
308;frui_1;2;
308;meat_0;4;
308;gate-keeper;5;
314;frui_0;3;
315;frui_1;5;
427;final-crs_5;0;407
456;final-crs_6;1;1052
463;final-crs_0;2;644
466;final-crs_8;4;1064
480;final-crs_2;3;476
482;final-crs_4;5;1261
538;gate-keeper;7;
539;vege_0;7;
539;gate-keeper;8;
540;gate-keeper;9;
543;vege_1;8;
544;frui_1;9;
667;final-crs_0;7;957
673;final-crs_5;8;481
699;final-crs_1;9;1075
829;gate-keeper;13;
830;gate-keeper;14;
831;gate-keeper;15;
835;vege_1;13;
836;vege_0;14;
851;gate-keeper;16;
854;vege_1;16;
869;final-crs_0;13;880
870;meat_0;15;
871;final-crs_1;14;723
899;final-crs_5;16;381
913;final-crs_8;15;1358
1136;gate-keeper;19;
1137;gate-keeper;20;
1138;gate-keeper;21;
1140;vege_0;19;
1146;vege_1;20;
1159;meat_0;21;
1184;final-crs_7;19;808
1197;final-crs_2;20;544
1240;final-crs_3;21;652
1445;gate-keeper;26;
1446;gate-keeper;27;
1447;gate-keeper;28;
1450;vege_1;27;
1456;vege_0;28;
1457;meat_1;26;
1466;final-crs_6;27;907
1470;final-crs_3;28;1462
1503;final-crs_0;26;1200
1735;gate-keeper;33;
1740;frui_1;33;
1759;final-crs_1;33;1319
1781;gate-keeper;34;
1784;vege_0;34;
1832;final-crs_8;34;1452
2058;gate-keeper;37;
2059;gate-keeper;38;
2060;vege_1;37;
2060;gate-keeper;39;
2061;gate-keeper;40;
2064;frui_0;39;
2066;final-crs_3;37;685
2069;vege_1;40;
2084;meat_1;38;
2095;final-crs_8;39;174
2110;final-crs_5;40;570
2121;final-crs_7;38;1348
2344;gate-keeper;44;
2345;gate-keeper;45;
2346;frui_1;45;
2346;gate-keeper;46;
2348;vege_0;46;
2352;meat_1;44;
2397;final-crs_6;45;909
2440;final-crs_4;46;1383
2448;final-crs_0;44;515
2627;gate-keeper;51;
2632;vege_0;51;
2670;final-crs_4;51;883
2937;gate-keeper;57;
2938;gate-keeper;58;
2939;vege_1;58;
2939;frui_0;57;
2940;final-crs_2;58;880
2981;final-crs_1;57;1472
3213;gate-keeper;61;
3214;gate-keeper;62;
3215;vege_1;62;
3215;gate-keeper;63;
3225;vege_0;63;
3232;meat_1;61;
3249;final-crs_7;62;881
3294;final-crs_5;63;992
3307;final-crs_3;61;699
3463;gate-keeper;67;
3464;gate-keeper;68;
3467;vege_0;67;
3470;vege_1;68;
3492;final-crs_7;67;400
3504;final-crs_5;68;1616
3578;gate-keeper;71;
3583;vege_0;71;
3618;final-crs_2;71;1476
3772;gate-keeper;75;
3775;vege_1;75;
3801;final-crs_3;75;335
4033;gate-keeper;80;
4036;vege_1;80;
4040;final-crs_8;80;1675
4102;gate-keeper;81;
4107;vege_0;81;
4114;final-crs_6;81;1235
4297;gate-keeper;82;
4298;gate-keeper;83;
4299;frui_0;82;
4299;gate-keeper;84;
4300;frui_1;83;
4300;gate-keeper;85;
4303;vege_0;84;
4308;final-crs_8;82;2162
4320;meat_0;85;
4341;final-crs_4;83;944
4346;final-crs_2;84;781
4348;final-crs_7;85;820
4446;gate-keeper;86;
4447;gate-keeper;87;
4448;gate-keeper;88;
4451;vege_1;87;
4452;final-crs_5;87;1148
4452;frui_0;86;
4452;frui_1;88;
4500;final-crs_3;86;170
4564;final-crs_7;88;1119
5155;gate-keeper;103;
5162;vege_1;103;
5175;final-crs_5;103;437
5449;gate-keeper;108;
5450;gate-keeper;109;
5455;vege_0;109;
5462;final-crs_0;109;1017
5479;meat_1;108;
5500;final-crs_6;108;140
5800;gate-keeper;114;
5801;gate-keeper;115;
5802;gate-keeper;116;
5804;vege_0;115;
5804;frui_0;114;
5807;frui_1;116;
5870;final-crs_5;115;1549
5879;final-crs_8;114;2155
5884;final-crs_1;116;1002
6105;gate-keeper;121;
6106;gate-keeper;122;
6107;vege_1;122;
6119;final-crs_5;122;652
6131;meat_1;121;
6151;final-crs_0;121;1886
6394;gate-keeper;128;
6395;frui_1;128;
6396;final-crs_0;128;346
6682;gate-keeper;134;
6721;meat_1;134;
6742;final-crs_4;134;100
6998;gate-keeper;139;
6999;frui_0;139;
6999;gate-keeper;140;
7000;final-crs_3;139;1460
7001;frui_1;140;
7032;final-crs_8;140;545
7309;gate-keeper;146;
7310;gate-keeper;147;
7312;frui_0;146;
7314;final-crs_5;146;588
7330;meat_1;147;
7344;final-crs_1;147;1609
7591;gate-keeper;152;
7592;frui_0;152;
7646;final-crs_7;152;1063
7852;gate-keeper;156;
7853;gate-keeper;157;
7854;vege_1;157;
7854;frui_0;156;
7870;gate-keeper;158;
