time;ckpt;id;money
576;gate-keeper;10;
582;frui_1;10;
675;final-crs_6;10;1226
1225;gate-keeper;22;
1226;gate-keeper;23;
1227;frui_0;22;
1229;frui_1;23;
1272;final-crs_5;22;827
1280;final-crs_1;23;62
1531;gate-keeper;29;
1557;meat_1;29;
1599;final-crs_3;29;665
1674;gate-keeper;32;
1675;frui_1;32;
1690;final-crs_6;32;654
1859;gate-keeper;36;
1860;frui_0;36;
1915;final-crs_0;36;586
2126;gate-keeper;41;
2133;vege_0;41;
2144;final-crs_8;41;793
2426;gate-keeper;47;
2427;frui_1;47;
2442;final-crs_5;47;341
2524;gate-keeper;48;
2525;vege_1;48;
2525;gate-keeper;49;
2530;final-crs_3;48;216
2533;vege_0;49;
2562;final-crs_6;49;1045
2676;gate-keeper;52;
2677;vege_0;52;
2698;final-crs_4;52;530
3043;gate-keeper;59;
3044;gate-keeper;60;
3045;frui_0;59;
3046;final-crs_6;59;1228
3048;vege_0;60;
3072;final-crs_8;60;1567
3354;gate-keeper;65;
3355;gate-keeper;66;
3358;vege_1;65;
3358;frui_1;66;
3370;final-crs_4;65;1467
3379;final-crs_0;66;711
3494;gate-keeper;69;
3495;frui_1;69;
3517;final-crs_8;69;1483
3628;gate-keeper;72;
3633;vege_0;72;
3635;final-crs_0;72;344
3988;gate-keeper;77;
3989;gate-keeper;78;
3990;vege_0;77;
3990;gate-keeper;79;
3993;vege_1;78;
3999;vege_0;79;
4053;final-crs_3;77;805
4066;final-crs_7;78;542
4073;final-crs_4;79;769
4566;gate-keeper;90;
4574;vege_0;90;
4628;final-crs_5;90;1738
4855;gate-keeper;96;
4856;gate-keeper;97;
4862;vege_1;97;
4890;final-crs_2;97;423
4896;meat_1;96;
4916;final-crs_6;96;754
5365;gate-keeper;104;
5366;gate-keeper;105;
5367;vege_0;105;
5367;gate-keeper;106;
5368;gate-keeper;107;
5370;frui_1;104;
5372;frui_0;106;
5376;frui_1;107;
5392;final-crs_2;105;806
5401;final-crs_6;104;1244
5445;final-crs_8;106;800
5456;final-crs_3;107;332
5531;gate-keeper;110;
5532;gate-keeper;111;
5533;vege_0;110;
5536;vege_1;111;
5562;final-crs_4;110;335
5576;final-crs_0;111;592
6138;gate-keeper;123;
6140;vege_0;123;
6162;final-crs_1;123;1300
7004;gate-keeper;141;
7011;vege_0;141;
7013;final-crs_0;141;1603
7226;gate-keeper;145;
7230;vege_0;145;
7231;final-crs_6;145;979
7534;gate-keeper;151;
7585;meat_1;151;
7613;final-crs_3;151;1877
7654;gate-keeper;153;
7658;vege_0;153;
7681;final-crs_7;153;480
8213;gate-keeper;165;
8214;vege_0;165;
8295;final-crs_8;165;298
8772;gate-keeper;177;
8777;frui_1;177;
8809;final-crs_8;177;554
9080;gate-keeper;183;
9082;meat_0;183;
9099;final-crs_8;183;1372
9371;gate-keeper;188;
9372;gate-keeper;189;
9373;vege_0;188;
9374;vege_1;189;
9425;final-crs_2;188;461
9432;final-crs_0;189;587
9688;gate-keeper;194;
9689;gate-keeper;195;
9692;vege_1;194;
9695;frui_0;195;
9714;final-crs_0;194;995
9728;final-crs_8;195;472
9977;gate-keeper;201;
9981;frui_0;201;
9997;final-crs_4;201;323
10314;gate-keeper;208;
10316;frui_0;208;
10360;final-crs_2;208;614
10456;gate-keeper;209;
10457;gate-keeper;210;
10458;gate-keeper;211;
10460;frui_0;210;
10462;frui_1;211;
10478;final-crs_8;210;1399
10506;meat_1;209;
10511;final-crs_6;211;1408
10536;final-crs_7;209;60
10647;gate-keeper;215;
10691;meat_0;215;
10693;final-crs_5;215;342
10985;gate-keeper;220;
10986;gate-keeper;221;
10987;vege_0;220;
10987;gate-keeper;222;
10994;vege_1;221;
10996;vege_0;222;
11035;final-crs_0;220;499
11055;final-crs_7;221;625
11078;final-crs_2;222;201
11257;gate-keeper;226;
11258;gate-keeper;227;
11260;vege_1;226;
11266;final-crs_7;226;1015
11266;vege_0;227;
11303;final-crs_2;227;907
11351;gate-keeper;229;
11394;meat_0;229;
11419;final-crs_4;229;175
11518;gate-keeper;231;
11519;meat_0;231;
11519;gate-keeper;232;
11521;vege_0;232;
11530;final-crs_3;231;1936
11557;final-crs_2;232;165
11809;gate-keeper;237;
11810;gate-keeper;238;
11815;vege_0;238;
11823;meat_1;237;
11828;final-crs_2;238;938
