time;ckpt;id;money
273;gate-keeper;0;
279;vege_0;0;
441;final-crs_0;0;3780
581;gate-keeper;2;
583;vege_1;2;
662;final-crs_0;2;1898
823;gate-keeper;4;
830;vege_0;4;
879;final-crs_0;4;3105
1108;gate-keeper;6;
1111;vege_0;6;
1118;final-crs_0;6;1667
1438;gate-keeper;8;
1440;vege_0;8;
1444;final-crs_8;8;1829
1651;gate-keeper;10;
1652;vege_0;10;
1657;final-crs_0;10;1738
2601;gate-keeper;16;
2602;frui_1;16;
2605;final-crs_5;16;1778
2738;gate-keeper;17;
2746;vege_0;17;
2774;final-crs_2;17;2940
3044;gate-keeper;19;
3046;vege_1;19;
3059;final-crs_7;19;90
3312;gate-keeper;20;
3315;vege_0;20;
3316;final-crs_5;20;165
3421;gate-keeper;21;
3425;frui_1;21;
3481;final-crs_3;21;2243
3983;gate-keeper;25;
3996;meat_0;25;
4019;final-crs_7;25;206
4228;gate-keeper;27;
4231;vege_0;27;
4256;final-crs_8;27;310
4401;gate-keeper;28;
4405;frui_1;28;
4419;final-crs_0;28;2768
4541;gate-keeper;29;
4547;vege_1;29;
4551;final-crs_5;29;400
5120;gate-keeper;33;
5121;vege_1;33;
5145;final-crs_0;33;203
5367;gate-keeper;34;
5372;vege_0;34;
5387;final-crs_0;34;1801
6037;gate-keeper;38;
6038;frui_0;38;
6038;gate-keeper;39;
6040;vege_0;39;
6111;final-crs_7;38;426
6155;final-crs_4;39;993
8158;gate-keeper;53;
8159;frui_0;53;
8165;final-crs_1;53;2934
8868;gate-keeper;58;
8870;frui_0;58;
8875;final-crs_4;58;640
9182;gate-keeper;60;
9183;vege_0;60;
9278;final-crs_0;60;1325
9515;gate-keeper;62;
9517;frui_1;62;
9530;final-crs_6;62;1454
9775;gate-keeper;64;
9776;vege_1;64;
9800;final-crs_1;64;289
10499;gate-keeper;68;
10501;vege_1;68;
10529;final-crs_7;68;677
10574;gate-keeper;69;
10579;vege_1;69;
10605;final-crs_2;69;2321
10793;gate-keeper;70;
10794;frui_1;70;
10794;gate-keeper;71;
10796;vege_0;71;
10806;final-crs_6;70;878
10833;final-crs_3;71;396
11443;gate-keeper;75;
11446;vege_0;75;
11451;final-crs_7;75;1633
11703;gate-keeper;77;
11733;meat_1;77;
11738;final-crs_4;77;587
12640;gate-keeper;83;
12644;vege_0;83;
12664;final-crs_4;83;383
12920;gate-keeper;85;
12922;frui_1;85;
13010;final-crs_2;85;1616
13216;gate-keeper;87;
13217;vege_1;87;
13257;final-crs_6;87;898
13503;gate-keeper;88;
13504;gate-keeper;89;
13505;vege_1;88;
13511;final-crs_1;88;357
13512;vege_0;89;
13555;final-crs_5;89;2737
14126;gate-keeper;93;
14135;meat_0;93;
14185;final-crs_7;93;2134
14475;gate-keeper;96;
14480;vege_1;96;
14551;final-crs_8;96;2779
14633;gate-keeper;97;
14639;vege_1;97;
14657;final-crs_2;97;4560
14771;gate-keeper;98;
14773;frui_1;98;
14794;final-crs_8;98;2818
15035;gate-keeper;99;
15044;vege_0;99;
15047;final-crs_8;99;3755
16022;gate-keeper;106;
16029;vege_0;106;
16073;final-crs_7;106;1831
16699;gate-keeper;110;
16700;vege_0;110;
16765;final-crs_1;110;1750
17883;gate-keeper;118;
17885;vege_0;118;
17928;final-crs_2;118;3658
18107;gate-keeper;125;
18111;vege_1;125;
18130;final-crs_0;125;2877
18744;gate-keeper;136;
18746;vege_1;136;
18778;final-crs_6;136;2951
19562;gate-keeper;147;
19563;gate-keeper;148;
19564;gate-keeper;149;
19565;vege_0;147;
19565;gate-keeper;150;
19566;gate-keeper;151;
19568;vege_1;148;
19570;frui_1;150;
19571;final-crs_3;147;1571
19572;final-crs_0;148;3783
19573;vege_0;149;
19578;vege_1;151;
19622;gate-keeper;154;
19623;vege_0;154;
19642;final-crs_1;150;1507
19661;final-crs_8;149;1383
19677;final-crs_2;151;177
19768;final-crs_4;154;3006
20506;gate-keeper;160;
20537;meat_0;160;
20545;final-crs_6;160;1406
21207;gate-keeper;171;
21209;vege_1;171;
21221;final-crs_5;171;1347
22382;gate-keeper;191;
22383;vege_1;191;
22383;gate-keeper;192;
22384;gate-keeper;193;
22385;gate-keeper;194;
22386;gate-keeper;195;
22387;frui_1;195;
22388;vege_0;192;
22392;vege_1;193;
22397;vege_0;194;
22416;final-crs_7;191;2979
22421;final-crs_1;195;1903
22447;final-crs_5;192;2938
22450;final-crs_0;193;1267
22497;final-crs_6;194;2174
22838;gate-keeper;198;
22839;gate-keeper;199;
22840;vege_1;198;
22846;vege_0;199;
22847;final-crs_4;198;218
22892;final-crs_5;199;3488
23481;gate-keeper;203;
23508;meat_1;203;
23544;final-crs_2;203;3107
23794;gate-keeper;205;
23795;vege_1;205;
23795;gate-keeper;206;
23796;gate-keeper;207;
23797;gate-keeper;208;
23798;gate-keeper;209;
23799;frui_0;206;
23802;final-crs_4;205;849
23803;vege_0;208;
23805;vege_1;209;
23819;meat_0;207;
23833;final-crs_0;206;1975
23857;final-crs_3;208;4752
23871;final-crs_7;209;578
23877;final-crs_1;207;2541
24312;gate-keeper;221;
24317;vege_0;221;
24353;final-crs_7;221;1347
24655;gate-keeper;223;
24664;vege_0;223;
24720;final-crs_2;223;4794
24961;gate-keeper;225;
24962;vege_1;225;
24983;final-crs_2;225;1752
25231;gate-keeper;227;
25251;meat_0;227;
25276;final-crs_4;227;1823
25493;gate-keeper;229;
25496;vege_0;229;
25525;final-crs_8;229;1809
25579;gate-keeper;230;
25606;meat_1;230;
25640;final-crs_6;230;3239
25747;gate-keeper;231;
25752;frui_0;231;
25788;final-crs_8;231;241
26075;gate-keeper;233;
26077;vege_0;233;
26092;final-crs_7;233;144
27825;gate-keeper;245;
27831;vege_0;245;
27871;final-crs_5;245;1597
28165;gate-keeper;247;
28170;vege_1;247;
28189;final-crs_7;247;2529
29127;gate-keeper;253;
29128;frui_1;253;
29141;final-crs_3;253;2748
29238;gate-keeper;254;
29241;vege_1;254;
29249;final-crs_0;254;3046
