time;ckpt;id;money
294;gate-keeper;0;
295;gate-keeper;1;
296;gate-keeper;2;
297;vege_0;0;
297;gate-keeper;3;
298;frui_1;1;
300;meat_0;3;
302;frui_0;2;
419;final-crs_3;0;347
463;final-crs_6;1;378
473;final-crs_5;3;369
476;final-crs_8;2;1045
556;gate-keeper;5;
557;gate-keeper;6;
558;vege_0;5;
558;gate-keeper;7;
559;vege_1;6;
559;gate-keeper;8;
568;vege_0;7;
569;vege_1;8;
640;final-crs_3;5;721
689;final-crs_1;6;893
710;final-crs_8;7;459
713;final-crs_4;8;1503
844;gate-keeper;10;
845;gate-keeper;11;
846;gate-keeper;12;
847;gate-keeper;13;
849;vege_0;10;
870;meat_1;11;
890;final-crs_3;10;213
900;meat_0;12;
908;final-crs_1;11;482
924;final-crs_6;12;1342
935;meat_1;13;
953;gate-keeper;15;
962;final-crs_5;13;155
963;meat_0;15;
969;final-crs_2;15;85
1102;gate-keeper;16;
1103;gate-keeper;17;
1131;meat_0;16;
1155;meat_1;17;
1166;final-crs_6;16;862
1180;final-crs_1;17;479
1413;gate-keeper;20;
1414;gate-keeper;21;
1415;gate-keeper;22;
1416;gate-keeper;23;
1419;vege_0;20;
1422;vege_1;22;
1428;final-crs_1;20;163
1432;meat_0;21;
1456;meat_1;23;
1459;final-crs_5;22;376
1466;final-crs_2;21;942
1468;final-crs_4;23;235
1701;gate-keeper;26;
1702;gate-keeper;27;
1703;gate-keeper;28;
1705;vege_1;27;
1709;vege_0;28;
1730;final-crs_4;27;715
1741;meat_0;26;
1809;final-crs_3;28;274
1811;final-crs_8;26;368
2035;gate-keeper;32;
2036;gate-keeper;33;
2042;vege_0;32;
2043;vege_1;33;
2057;final-crs_3;32;841
2057;final-crs_8;33;1192
2337;gate-keeper;38;
2338;gate-keeper;39;
2344;vege_1;38;
2347;vege_0;39;
2388;final-crs_7;38;1053
2405;final-crs_2;39;766
2642;gate-keeper;45;
2645;vege_1;45;
2647;final-crs_2;45;483
2704;gate-keeper;46;
2706;vege_1;46;
2710;final-crs_4;46;646
2910;gate-keeper;49;
2915;vege_0;49;
2937;final-crs_1;49;778
3230;gate-keeper;53;
3231;vege_0;53;
3231;gate-keeper;54;
3232;gate-keeper;55;
3237;vege_1;54;
3240;vege_0;55;
3296;final-crs_3;53;872
3305;final-crs_8;54;469
3315;final-crs_6;55;1158
3503;gate-keeper;59;
3504;gate-keeper;60;
3526;meat_0;59;
3532;meat_1;60;
3567;final-crs_6;59;290
3576;final-crs_8;60;1519
3784;gate-keeper;63;
3785;gate-keeper;64;
3786;gate-keeper;65;
3790;vege_1;64;
3807;final-crs_2;64;970
3821;meat_0;63;
3821;meat_1;65;
3825;final-crs_6;63;1349
3866;final-crs_7;65;1427
4066;gate-keeper;69;
4067;gate-keeper;70;
4069;vege_0;69;
4074;meat_0;70;
4079;final-crs_0;69;454
4118;final-crs_5;70;1422
4328;gate-keeper;74;
4330;vege_1;74;
4347;final-crs_0;74;311
4651;gate-keeper;80;
4657;vege_1;80;
4708;final-crs_3;80;702
4959;gate-keeper;86;
4962;vege_0;86;
5004;final-crs_0;86;1134
5126;gate-keeper;87;
5127;gate-keeper;88;
5128;gate-keeper;89;
5133;vege_1;89;
5151;meat_0;87;
5171;meat_1;88;
5179;final-crs_3;89;961
5183;final-crs_6;87;440
5233;final-crs_8;88;503
5275;gate-keeper;91;
5295;meat_1;91;
5314;final-crs_4;91;437
5560;gate-keeper;96;
5561;meat_0;96;
5587;final-crs_2;96;109
5863;gate-keeper;101;
5864;gate-keeper;102;
5869;meat_1;101;
5903;meat_0;102;
5918;final-crs_0;101;619
5918;final-crs_6;102;1180
6419;gate-keeper;111;
6420;gate-keeper;112;
6424;vege_0;111;
6424;vege_1;112;
6431;final-crs_7;111;803
6461;final-crs_2;112;1007
6710;gate-keeper;117;
6712;meat_0;117;
6728;final-crs_5;117;135
6921;gate-keeper;118;
6922;gate-keeper;119;
6923;vege_0;119;
6923;gate-keeper;120;
6924;gate-keeper;121;
6927;vege_1;121;
6934;final-crs_2;119;343
6941;final-crs_5;121;674
6969;meat_0;118;
6975;final-crs_1;118;388
6980;meat_1;120;
6990;final-crs_3;120;1341
7202;gate-keeper;126;
7221;meat_0;126;
7241;final-crs_3;126;405
7519;gate-keeper;130;
7520;gate-keeper;131;
7521;meat_1;131;
7522;final-crs_4;131;669
7523;vege_0;130;
7533;final-crs_8;130;1321
7574;gate-keeper;132;
7579;meat_1;132;
7604;final-crs_0;132;429
7773;gate-keeper;134;
7774;gate-keeper;135;
7775;gate-keeper;136;
7776;vege_0;134;
7776;vege_1;135;
7788;final-crs_8;134;1932
7796;final-crs_6;135;625
7800;meat_1;136;
7825;final-crs_7;136;1245
8113;gate-keeper;142;
8114;vege_1;142;
8153;final-crs_2;142;1673
8426;gate-keeper;145;
8427;gate-keeper;146;
8428;gate-keeper;147;
8433;vege_0;146;
8437;vege_1;147;
8462;final-crs_3;146;764
8469;final-crs_1;147;1261
8475;meat_0;145;
8485;final-crs_8;145;1363
8576;gate-keeper;149;
8577;gate-keeper;150;
8589;meat_0;149;
8594;final-crs_5;149;959
8595;meat_1;150;
8615;final-crs_2;150;1673
9093;gate-keeper;159;
9094;vege_0;159;
9111;final-crs_2;159;869
9451;gate-keeper;165;
9452;vege_1;165;
9452;gate-keeper;166;
9453;frui_0;166;
9457;final-crs_3;165;533
9459;final-crs_8;166;759
9774;gate-keeper;171;
9780;vege_0;171;
9826;final-crs_4;171;427
10085;gate-keeper;176;
10086;gate-keeper;177;
10087;vege_1;177;
10107;meat_0;176;
10128;final-crs_8;177;129
10136;final-crs_1;176;698
10190;gate-keeper;178;
10191;vege_1;178;
10196;final-crs_5;178;530
10369;gate-keeper;181;
10370;gate-keeper;182;
10373;vege_0;182;
10378;final-crs_2;182;128
10390;meat_0;181;
10396;final-crs_8;181;949
10624;gate-keeper;186;
10632;vege_1;186;
10635;final-crs_8;186;87
10770;gate-keeper;189;
10777;vege_1;189;
10778;final-crs_4;189;809
10943;gate-keeper;191;
10944;vege_0;191;
10944;gate-keeper;192;
10947;frui_1;192;
10998;final-crs_7;191;1346
11041;final-crs_1;192;207
11099;gate-keeper;193;
11100;gate-keeper;194;
11101;gate-keeper;195;
11104;vege_1;195;
11116;meat_0;193;
11117;meat_1;194;
11142;final-crs_3;195;334
11147;final-crs_8;193;611
11184;final-crs_6;194;125
11249;gate-keeper;197;
11252;vege_0;197;
11272;final-crs_2;197;107
11573;gate-keeper;202;
11574;gate-keeper;203;
11597;meat_1;202;
11605;final-crs_8;202;428
11629;meat_0;203;
11668;final-crs_6;203;1036
11847;gate-keeper;208;
11849;meat_0;208;
11874;final-crs_3;208;123
12911;gate-keeper;224;
12912;gate-keeper;225;
12913;vege_1;224;
12913;gate-keeper;226;
12914;gate-keeper;227;
12926;meat_1;225;
12957;meat_0;226;
12968;final-crs_7;224;605
12981;meat_1;227;
12981;gate-keeper;228;
12983;vege_1;228;
13016;final-crs_0;225;119
13021;final-crs_5;226;900
13051;final-crs_2;227;620
13066;final-crs_6;228;149
13288;gate-keeper;229;
13289;gate-keeper;230;
13290;gate-keeper;231;
13291;frui_0;231;
13291;gate-keeper;232;
13292;gate-keeper;233;
13295;vege_1;233;
13298;final-crs_6;231;1217
13325;meat_0;229;
13339;meat_1;230;
13347;final-crs_8;233;1674
13396;meat_0;232;
13411;final-crs_1;229;326
13428;final-crs_7;230;1293
13459;final-crs_5;232;725
13608;gate-keeper;236;
13609;gate-keeper;237;
13610;frui_0;237;
13610;gate-keeper;238;
13611;vege_0;238;
13645;meat_1;236;
13647;final-crs_1;237;561
13650;final-crs_7;238;610
13682;final-crs_5;236;340
13734;gate-keeper;240;
13736;vege_0;240;
13739;final-crs_3;240;338
14566;gate-keeper;255;
14577;meat_1;255;
14590;final-crs_5;255;709
15207;gate-keeper;266;
15208;vege_1;266;
15210;final-crs_3;266;72
15268;gate-keeper;267;
15269;frui_0;267;
15291;final-crs_2;267;362
15419;gate-keeper;268;
