time;ckpt;id;money
348;gate-keeper;5;
355;vege_1;5;
412;final-crs_5;5;590
835;gate-keeper;12;
836;gate-keeper;13;
837;gate-keeper;14;
840;frui_0;13;
844;vege_0;12;
844;meat_0;14;
904;final-crs_6;13;1678
919;final-crs_0;12;558
919;final-crs_3;14;514
989;gate-keeper;18;
992;frui_1;18;
997;final-crs_4;18;65
1270;gate-keeper;23;
1273;frui_0;23;
1298;final-crs_2;23;1628
1775;gate-keeper;31;
1776;gate-keeper;32;
1778;vege_0;31;
1783;vege_1;32;
1791;final-crs_7;31;364
1832;final-crs_6;32;292
2113;gate-keeper;36;
2114;vege_1;36;
2114;gate-keeper;37;
2115;gate-keeper;38;
2116;gate-keeper;39;
2117;frui_0;38;
2121;vege_0;37;
2124;meat_0;39;
2153;final-crs_4;36;707
2159;final-crs_0;38;1047
2191;final-crs_8;37;555
2199;final-crs_1;39;1007
2849;gate-keeper;52;
2854;vege_1;52;
2855;final-crs_1;52;866
2995;gate-keeper;53;
2996;gate-keeper;54;
2997;gate-keeper;55;
2999;frui_0;55;
3001;vege_0;53;
3004;vege_1;54;
3067;final-crs_1;55;1266
3094;final-crs_5;53;2082
3099;final-crs_3;54;285
3321;gate-keeper;61;
3324;frui_1;61;
3333;final-crs_3;61;942
3693;gate-keeper;68;
3710;meat_1;68;
3780;gate-keeper;69;
3781;gate-keeper;70;
3782;frui_1;70;
3783;vege_0;69;
3796;final-crs_3;68;631
3813;final-crs_1;70;340
3826;final-crs_5;69;1946
3889;gate-keeper;71;
3890;gate-keeper;72;
3891;frui_1;71;
3892;vege_1;72;
3901;final-crs_2;71;154
3903;final-crs_6;72;1337
4489;gate-keeper;83;
4490;vege_0;83;
4509;final-crs_4;83;433
4564;gate-keeper;84;
4569;vege_1;84;
4582;final-crs_6;84;99
4756;gate-keeper;85;
4757;gate-keeper;86;
4758;gate-keeper;87;
4759;gate-keeper;88;
4764;vege_1;87;
4766;final-crs_5;87;1136
4766;vege_0;88;
4793;meat_0;85;
4795;final-crs_6;88;1074
4808;meat_1;86;
4812;final-crs_0;85;1369
4813;final-crs_1;86;153
5349;gate-keeper;98;
5350;vege_0;98;
5350;gate-keeper;99;
5358;meat_0;99;
5364;final-crs_7;98;161
5411;final-crs_3;99;1760
5631;gate-keeper;101;
5632;frui_0;101;
5632;gate-keeper;102;
5633;gate-keeper;103;
5634;gate-keeper;104;
5635;vege_0;103;
5635;frui_1;102;
5639;frui_0;104;
5660;final-crs_5;101;417
5663;final-crs_3;103;341
5665;final-crs_4;102;609
5695;final-crs_8;104;1138
5963;gate-keeper;107;
5964;vege_0;107;
5964;gate-keeper;108;
5965;vege_1;108;
5965;gate-keeper;109;
5966;gate-keeper;110;
5972;vege_0;110;
5972;frui_0;109;
6012;final-crs_0;107;927
6018;final-crs_1;108;619
6020;final-crs_6;110;1799
6057;final-crs_2;109;797
6434;gate-keeper;119;
6444;meat_0;119;
6467;final-crs_0;119;894
6594;gate-keeper;120;
6595;gate-keeper;121;
6596;vege_0;121;
6596;frui_0;120;
6596;gate-keeper;122;
6599;vege_1;122;
6617;final-crs_5;121;1022
6632;final-crs_8;120;942
6643;final-crs_3;122;980
7397;gate-keeper;136;
7398;gate-keeper;137;
7402;vege_0;137;
7403;frui_1;136;
7457;final-crs_7;137;517
7463;gate-keeper;138;
7464;gate-keeper;139;
7465;vege_1;139;
7480;meat_0;138;
7548;final-crs_8;136;359
7553;final-crs_6;139;160
7554;final-crs_5;138;568
7613;gate-keeper;141;
7614;gate-keeper;142;
7617;vege_1;141;
7619;final-crs_1;141;794
7671;meat_0;142;
7687;final-crs_7;142;782
7735;gate-keeper;143;
7736;gate-keeper;144;
7738;vege_0;144;
7738;frui_1;143;
7760;final-crs_8;144;508
7776;final-crs_6;143;77
8040;gate-keeper;150;
8042;frui_0;150;
8060;final-crs_8;150;664
8305;gate-keeper;152;
8306;gate-keeper;153;
8307;vege_1;152;
8307;gate-keeper;154;
8308;gate-keeper;155;
8314;vege_0;153;
8316;vege_1;154;
8319;final-crs_3;152;1482
8320;final-crs_4;153;98
8324;vege_0;155;
8338;final-crs_1;154;656
8365;gate-keeper;156;
8366;vege_0;156;
8374;final-crs_2;155;299
8398;final-crs_7;156;546
8602;gate-keeper;158;
8603;gate-keeper;159;
8604;gate-keeper;160;
8606;frui_1;158;
8609;frui_0;160;
8622;meat_1;159;
8629;final-crs_2;158;487
8637;final-crs_1;160;447
8692;final-crs_6;159;1194
8869;gate-keeper;164;
8870;gate-keeper;165;
8873;vege_1;165;
8877;meat_0;164;
8909;final-crs_1;165;535
8947;final-crs_6;164;516
9153;gate-keeper;169;
9154;gate-keeper;170;
9155;frui_0;169;
9156;vege_1;170;
9220;final-crs_6;169;1344
9227;final-crs_8;170;1099
9839;gate-keeper;182;
9840;gate-keeper;183;
9843;frui_0;182;
9853;meat_1;183;
9887;final-crs_1;182;369
9912;final-crs_3;183;500
10142;gate-keeper;189;
10143;frui_0;189;
10169;final-crs_3;189;950
10311;gate-keeper;191;
10313;vege_1;191;
10373;final-crs_7;191;71
10463;gate-keeper;193;
10464;vege_0;193;
10464;gate-keeper;194;
10465;vege_1;194;
10482;final-crs_2;193;767
10566;final-crs_1;194;982
10806;gate-keeper;200;
10810;vege_0;200;
10842;final-crs_8;200;1379
11044;gate-keeper;203;
11045;gate-keeper;204;
11046;frui_0;203;
11046;gate-keeper;205;
11049;frui_1;204;
11052;frui_0;205;
11093;final-crs_4;203;2642
11113;final-crs_7;204;1036
11114;final-crs_0;205;1063
11435;gate-keeper;212;
11436;gate-keeper;213;
11437;frui_1;212;
11441;vege_0;213;
11467;final-crs_1;212;1231
11492;final-crs_3;213;936
11699;gate-keeper;217;
11700;vege_1;217;
11709;final-crs_3;217;1135
11828;gate-keeper;220;
11830;meat_0;220;
11846;final-crs_0;220;1204
12019;gate-keeper;223;
12023;meat_1;223;
12031;final-crs_4;223;1025
12254;gate-keeper;225;
12255;gate-keeper;226;
12256;gate-keeper;227;
12259;frui_1;226;
12262;vege_1;225;
12263;vege_0;227;
12278;final-crs_5;226;112
12299;final-crs_2;225;312
12302;final-crs_8;227;640
12547;gate-keeper;231;
12548;gate-keeper;232;
12549;gate-keeper;233;
12550;vege_1;231;
12556;vege_0;233;
12570;meat_1;232;
12583;final-crs_6;231;797
12598;final-crs_7;233;1823
12649;final-crs_3;232;724
12712;gate-keeper;236;
12719;vege_0;236;
12752;final-crs_0;236;94
13144;gate-keeper;243;
13146;vege_1;243;
13173;final-crs_1;243;556
13414;gate-keeper;249;
13418;frui_0;249;
13478;final-crs_0;249;519
13727;gate-keeper;254;
13730;frui_1;254;
13732;final-crs_5;254;528
14016;gate-keeper;260;
14017;vege_0;260;
14025;final-crs_3;260;1181
14338;gate-keeper;266;
14339;frui_1;266;
14377;final-crs_0;266;478
14448;gate-keeper;268;
14468;meat_1;268;
14484;final-crs_8;268;777
14901;gate-keeper;277;
14903;vege_0;277;
14975;final-crs_4;277;706
15204;gate-keeper;282;
15207;frui_0;282;
15231;final-crs_8;282;1332
15523;gate-keeper;288;
15524;frui_1;288;
15559;final-crs_6;288;993
16036;gate-keeper;297;
16054;meat_0;297;
16067;final-crs_6;297;836
16116;gate-keeper;299;
16119;frui_1;299;
16141;final-crs_8;299;606
16405;gate-keeper;302;
16406;gate-keeper;303;
16407;gate-keeper;304;
16408;frui_1;302;
16411;frui_0;304;
16416;meat_0;303;
16455;final-crs_3;302;726
16470;final-crs_7;304;69
16508;final-crs_2;303;574
16662;gate-keeper;307;
16663;gate-keeper;308;
16664;gate-keeper;309;
16666;frui_1;309;
16668;vege_1;308;
16670;meat_1;307;
16748;final-crs_3;309;788
16751;final-crs_2;308;299
16769;final-crs_6;307;531
16930;gate-keeper;314;
16949;meat_1;314;
16952;final-crs_3;314;114
16990;gate-keeper;315;
16991;frui_1;315;
17016;final-crs_6;315;1336
17245;gate-keeper;319;
17246;vege_1;319;
17246;gate-keeper;320;
17248;final-crs_6;319;514
17259;meat_1;320;
17281;final-crs_5;320;355
17553;gate-keeper;338;
17554;gate-keeper;339;
17555;gate-keeper;340;
17556;gate-keeper;341;
17557;gate-keeper;342;
17559;frui_0;341;
17562;vege_1;339;
17563;vege_0;342;
17573;final-crs_0;341;861
17574;meat_1;338;
17607;meat_0;340;
17611;final-crs_7;339;330
17647;final-crs_3;342;428
17677;final-crs_2;338;1332
17713;final-crs_5;340;394
18126;gate-keeper;353;
18141;meat_0;353;
18145;final-crs_5;353;307
18411;gate-keeper;359;
18419;vege_0;359;
18442;final-crs_6;359;1486
19064;gate-keeper;387;
19070;vege_0;387;
19071;final-crs_8;387;1522
19368;gate-keeper;393;
