time;ckpt;id;money
967;gate-keeper;15;
968;frui_0;15;
969;final-crs_0;15;1884
1215;gate-keeper;19;
1217;vege_0;19;
1269;final-crs_5;19;3027
1757;gate-keeper;27;
1758;gate-keeper;28;
1759;vege_0;27;
1761;frui_0;28;
1813;final-crs_7;27;576
1815;final-crs_2;28;1184
1835;gate-keeper;29;
1836;frui_0;29;
1838;final-crs_8;29;1011
2152;gate-keeper;35;
2153;vege_1;35;
2172;final-crs_5;35;1944
2416;gate-keeper;38;
2417;gate-keeper;39;
2420;vege_0;39;
2425;final-crs_0;39;1543
2432;meat_1;38;
2433;final-crs_5;38;1172
2557;gate-keeper;41;
2559;frui_1;41;
2579;final-crs_8;41;1332
3280;gate-keeper;53;
3282;frui_0;53;
3283;final-crs_3;53;1755
3478;gate-keeper;55;
3479;frui_1;55;
3479;gate-keeper;56;
3480;gate-keeper;57;
3485;vege_1;56;
3497;meat_0;57;
3501;final-crs_3;55;1727
3515;final-crs_6;56;2545
3516;final-crs_7;57;1362
4200;gate-keeper;69;
4203;frui_0;69;
4205;final-crs_7;69;1507
4435;gate-keeper;73;
4441;frui_1;73;
4445;final-crs_7;73;2032
4740;gate-keeper;77;
4741;gate-keeper;78;
4744;frui_0;77;
4746;frui_1;78;
4765;final-crs_8;77;200
4789;final-crs_1;78;681
5049;gate-keeper;80;
5050;gate-keeper;81;
5051;frui_1;81;
5051;gate-keeper;82;
5052;gate-keeper;83;
5053;vege_0;80;
5057;frui_0;83;
5058;vege_1;82;
5078;final-crs_5;81;2510
5116;final-crs_6;80;1843
5147;final-crs_4;83;426
5152;final-crs_2;82;223
5272;gate-keeper;84;
5273;gate-keeper;85;
5274;gate-keeper;86;
5275;gate-keeper;87;
5276;vege_1;86;
5284;vege_0;87;
5309;final-crs_1;86;656
5311;meat_0;84;
5318;gate-keeper;88;
5320;vege_0;88;
5325;meat_1;85;
5335;final-crs_5;87;66
5379;final-crs_4;84;864
5380;final-crs_6;88;1236
5395;final-crs_2;85;1692
5630;gate-keeper;94;
5637;vege_0;94;
5678;final-crs_3;94;2734
5976;gate-keeper;99;
5977;frui_1;99;
6021;final-crs_1;99;404
6147;gate-keeper;101;
6148;gate-keeper;102;
6200;meat_1;101;
6210;meat_0;102;
6219;final-crs_8;101;1485
6220;final-crs_7;102;836
6697;gate-keeper;110;
6698;gate-keeper;111;
6701;frui_0;111;
6715;final-crs_8;111;1596
6724;meat_1;110;
6768;final-crs_0;110;780
7096;gate-keeper;115;
7097;gate-keeper;116;
7098;vege_0;116;
7098;gate-keeper;117;
7099;frui_1;117;
7101;final-crs_7;116;1222
7104;meat_0;115;
7170;final-crs_3;117;648
7195;gate-keeper;119;
7216;final-crs_8;115;1394
7233;meat_0;119;
7278;final-crs_4;119;275
7842;gate-keeper;130;
7848;vege_0;130;
7900;final-crs_3;130;1651
8043;gate-keeper;133;
8045;vege_1;133;
8067;final-crs_0;133;298
8176;gate-keeper;135;
8183;vege_1;135;
8218;final-crs_6;135;243
9048;gate-keeper;150;
9049;vege_1;150;
9052;final-crs_2;150;1910
9680;gate-keeper;160;
9681;frui_0;160;
9714;final-crs_1;160;2913
9935;gate-keeper;164;
9939;vege_0;164;
9995;final-crs_1;164;319
10023;gate-keeper;165;
10025;vege_0;165;
10046;final-crs_2;165;1243
10329;gate-keeper;170;
10330;gate-keeper;171;
10333;vege_1;170;
10339;vege_0;171;
10370;final-crs_7;170;1157
10389;final-crs_0;171;325
10586;gate-keeper;175;
10588;frui_0;175;
10599;final-crs_7;175;790
10862;gate-keeper;180;
10867;vege_1;180;
10878;final-crs_0;180;862
11233;gate-keeper;185;
11234;gate-keeper;186;
11235;frui_0;185;
11238;final-crs_6;185;1671
11241;vege_0;186;
11253;final-crs_7;186;629
11550;gate-keeper;191;
11553;frui_1;191;
11571;final-crs_5;191;905
11809;gate-keeper;196;
11815;vege_0;196;
11911;final-crs_1;196;1116
12176;gate-keeper;201;
12177;gate-keeper;202;
12179;vege_0;201;
12181;final-crs_7;201;104
12183;vege_1;202;
12217;final-crs_3;202;2374
13021;gate-keeper;215;
13022;gate-keeper;216;
13026;frui_1;215;
13048;final-crs_2;215;2359
13059;meat_0;216;
13114;final-crs_1;216;1587
13364;gate-keeper;220;
13365;gate-keeper;221;
13366;gate-keeper;222;
13367;vege_0;220;
13368;final-crs_3;220;2376
13369;vege_1;221;
13376;vege_0;222;
13384;final-crs_5;221;2678
13393;final-crs_6;222;2274
13619;gate-keeper;226;
13625;frui_0;226;
13645;final-crs_7;226;1386
13950;gate-keeper;230;
13951;gate-keeper;231;
13952;vege_1;231;
13952;gate-keeper;232;
13980;final-crs_2;231;3081
13985;meat_0;230;
13992;meat_1;232;
14020;final-crs_1;230;2105
14041;final-crs_5;232;566
14294;gate-keeper;236;
14295;gate-keeper;237;
14300;frui_0;237;
14340;meat_1;236;
14347;final-crs_6;237;1331
14372;final-crs_2;236;419
14466;gate-keeper;240;
14467;vege_0;240;
14493;final-crs_4;240;727
14630;gate-keeper;243;
14639;vege_0;243;
14644;final-crs_8;243;1199
15238;gate-keeper;250;
15239;gate-keeper;251;
15240;vege_0;250;
15240;gate-keeper;252;
15241;gate-keeper;253;
15244;frui_1;253;
15244;meat_0;251;
15263;final-crs_3;250;1076
15270;meat_1;252;
15277;final-crs_5;253;2060
15279;final-crs_6;251;1769
15333;final-crs_0;252;486
15489;gate-keeper;256;
15490;vege_0;256;
15490;gate-keeper;257;
15495;final-crs_3;256;411
15495;vege_1;257;
15548;final-crs_5;257;1051
15749;gate-keeper;259;
15750;frui_0;259;
15750;gate-keeper;260;
15751;gate-keeper;261;
15754;final-crs_5;259;3212
15757;vege_0;261;
15766;meat_0;260;
15805;final-crs_2;261;221
15826;final-crs_0;260;2600
16059;gate-keeper;264;
16060;gate-keeper;265;
16061;frui_1;264;
16061;gate-keeper;266;
16062;gate-keeper;267;
16063;final-crs_0;264;1873
16065;frui_0;265;
16068;final-crs_1;265;1006
16068;frui_1;267;
16070;meat_0;266;
16089;final-crs_7;267;973
16124;final-crs_4;266;385
16352;gate-keeper;270;
16353;frui_0;270;
16353;gate-keeper;271;
16354;gate-keeper;272;
16362;vege_1;271;
16363;vege_0;272;
16369;final-crs_4;270;591
16375;final-crs_8;271;1294
16444;final-crs_5;272;1300
16611;gate-keeper;274;
16612;frui_1;274;
16612;gate-keeper;275;
16613;vege_0;275;
16613;gate-keeper;276;
16615;meat_0;276;
16616;final-crs_8;274;625
16658;final-crs_5;275;2608
16697;final-crs_7;276;1764
16970;gate-keeper;279;
16971;gate-keeper;280;
16972;gate-keeper;281;
16973;frui_0;281;
16973;gate-keeper;282;
16976;vege_1;280;
16976;meat_0;279;
16989;final-crs_3;281;852
17010;meat_1;282;
17035;final-crs_6;280;2067
17040;final-crs_1;279;265
17069;final-crs_0;282;1217
17250;gate-keeper;284;
17251;gate-keeper;285;
17252;gate-keeper;286;
17254;frui_0;284;
17254;frui_1;285;
17260;frui_0;286;
17268;final-crs_6;284;1570
17282;final-crs_1;285;165
17312;final-crs_0;286;227
17546;gate-keeper;288;
17547;gate-keeper;289;
17548;gate-keeper;290;
17549;vege_1;288;
17549;gate-keeper;291;
17554;vege_0;289;
17558;vege_1;290;
17564;vege_0;291;
17591;final-crs_4;288;1123
17594;final-crs_5;289;3326
17691;final-crs_2;290;623
17700;final-crs_7;291;2235
18075;gate-keeper;300;
18076;gate-keeper;301;
18078;vege_0;301;
18078;frui_0;300;
18083;final-crs_4;301;551
18158;final-crs_2;300;1649
18414;gate-keeper;303;
18415;gate-keeper;304;
18416;gate-keeper;305;
18417;frui_1;303;
18417;gate-keeper;306;
18420;vege_0;304;
18420;vege_1;305;
18421;final-crs_2;303;684
18437;final-crs_3;304;1451
18438;final-crs_0;305;905
18456;meat_1;306;
18483;final-crs_5;306;2311
18510;gate-keeper;308;
18516;vege_0;308;
18605;final-crs_4;308;194
18713;gate-keeper;311;
18714;gate-keeper;312;
18715;gate-keeper;313;
18716;gate-keeper;314;
18717;frui_0;312;
18717;gate-keeper;315;
18718;gate-keeper;316;
18719;frui_1;313;
18719;gate-keeper;317;
18720;gate-keeper;318;
18721;gate-keeper;319;
18722;vege_1;315;
18722;gate-keeper;320;
18723;frui_0;318;
18723;gate-keeper;321;
18724;gate-keeper;322;
18725;vege_0;316;
18725;gate-keeper;323;
18726;gate-keeper;324;
18728;meat_1;311;
18731;vege_1;320;
18734;vege_0;323;
18739;vege_1;324;
18745;final-crs_8;312;3774
18758;final-crs_5;313;1520
18763;meat_0;314;
18783;meat_1;317;
18831;meat_0;319;
18848;meat_1;321;
18875;final-crs_6;315;3372
18879;meat_0;322;
18884;final-crs_4;318;975
18897;final-crs_7;316;426
18900;final-crs_0;311;1487
18910;final-crs_2;320;2014
18928;final-crs_1;323;1420
18946;final-crs_3;324;694
18986;gate-keeper;341;
18987;gate-keeper;342;
18988;frui_1;342;
18988;gate-keeper;343;
18989;gate-keeper;344;
18990;vege_1;341;
18990;gate-keeper;345;
18992;vege_0;343;
18997;final-crs_8;314;1638
19000;vege_1;344;
19002;vege_0;345;
19010;final-crs_5;317;707
19103;final-crs_4;319;375
19120;final-crs_6;321;795
19125;final-crs_7;322;1477
19141;final-crs_0;342;2779
19146;final-crs_2;341;355
19161;final-crs_3;343;645
19200;final-crs_1;344;923
19247;final-crs_8;345;988
19317;gate-keeper;350;
19318;gate-keeper;351;
19323;frui_1;350;
19324;frui_0;351;
19326;final-crs_4;350;3411
19351;final-crs_7;351;1968
19692;gate-keeper;355;
19693;gate-keeper;356;
19694;meat_1;355;
19703;meat_0;356;
19786;final-crs_5;355;471
19787;final-crs_4;356;629
19828;gate-keeper;359;
19832;frui_1;359;
19844;final-crs_7;359;448
19980;gate-keeper;361;
19988;vege_0;361;
20027;final-crs_5;361;105
20282;gate-keeper;365;
20283;gate-keeper;366;
20287;frui_0;366;
20310;final-crs_5;366;584
20323;meat_0;365;
20335;final-crs_3;365;476
20619;gate-keeper;385;
20620;gate-keeper;386;
20621;vege_1;385;
20625;vege_0;386;
20649;final-crs_7;385;212
20676;final-crs_8;386;3098
21209;gate-keeper;395;
21210;gate-keeper;396;
21213;vege_1;395;
21216;vege_0;396;
21217;final-crs_5;395;816
21221;final-crs_2;396;1996
21499;gate-keeper;401;
