time;ckpt;id;money
326;gate-keeper;5;
333;vege_0;5;
407;final-crs_0;5;1996
1215;gate-keeper;23;
1218;frui_1;23;
1229;final-crs_1;23;136
1516;gate-keeper;29;
1519;vege_1;29;
1545;final-crs_2;29;169
1851;gate-keeper;35;
1852;gate-keeper;36;
1874;meat_0;35;
1902;meat_1;36;
1931;final-crs_4;35;1190
1956;final-crs_8;36;1729
2067;gate-keeper;39;
2068;gate-keeper;40;
2069;gate-keeper;41;
2074;vege_0;39;
2075;vege_1;40;
2082;vege_0;41;
2096;final-crs_7;39;911
2123;final-crs_6;40;1727
2144;final-crs_4;41;328
2342;gate-keeper;42;
2343;gate-keeper;43;
2344;gate-keeper;44;
2345;vege_1;42;
2345;gate-keeper;45;
2346;gate-keeper;46;
2348;frui_0;46;
2350;vege_0;43;
2355;vege_1;44;
2361;vege_0;45;
2370;final-crs_1;42;1801
2370;final-crs_7;46;403
2371;final-crs_4;43;346
2391;final-crs_6;44;970
2414;final-crs_3;45;1899
2658;gate-keeper;53;
2662;vege_0;53;
2689;final-crs_3;53;285
2782;gate-keeper;55;
2783;vege_0;55;
2792;final-crs_4;55;481
2937;gate-keeper;59;
2943;vege_0;59;
2949;final-crs_3;59;172
3204;gate-keeper;62;
3205;gate-keeper;63;
3206;gate-keeper;64;
3210;vege_0;62;
3211;vege_1;63;
3212;final-crs_0;62;945
3215;final-crs_2;63;901
3218;vege_0;64;
3302;final-crs_4;64;456
3838;gate-keeper;75;
3839;gate-keeper;76;
3840;gate-keeper;77;
3844;vege_0;75;
3844;vege_1;76;
3854;vege_0;77;
3867;final-crs_1;75;600
3873;final-crs_6;76;737
3881;final-crs_3;77;889
4493;gate-keeper;90;
4494;gate-keeper;91;
4498;vege_0;90;
4506;meat_1;91;
4535;final-crs_4;90;736
4555;final-crs_6;91;885
4611;gate-keeper;92;
4612;gate-keeper;93;
4617;vege_0;92;
4617;vege_1;93;
4625;final-crs_5;92;236
4627;final-crs_3;93;433
4784;gate-keeper;97;
4786;frui_1;97;
4811;final-crs_1;97;1243
5023;gate-keeper;98;
5024;frui_0;98;
5024;gate-keeper;99;
5025;gate-keeper;100;
5026;vege_0;99;
5026;gate-keeper;101;
5027;gate-keeper;102;
5030;frui_1;100;
5032;vege_1;101;
5036;vege_0;102;
5056;final-crs_1;98;1716
5083;final-crs_2;99;744
5111;final-crs_5;100;536
5125;final-crs_8;101;667
5128;final-crs_3;102;952
5304;gate-keeper;104;
5305;gate-keeper;105;
5306;gate-keeper;106;
5307;gate-keeper;107;
5309;vege_1;104;
5311;vege_0;105;
5313;final-crs_5;104;1001
5319;vege_1;106;
5322;vege_0;107;
5370;final-crs_0;105;693
5390;final-crs_3;106;1329
5426;final-crs_8;107;387
5465;gate-keeper;110;
5466;gate-keeper;111;
5470;vege_0;110;
5474;vege_1;111;
5483;final-crs_4;110;1222
5495;final-crs_1;111;914
5617;gate-keeper;112;
5618;gate-keeper;113;
5621;frui_0;112;
5623;frui_1;113;
5646;final-crs_0;112;911
5648;final-crs_8;113;465
5876;gate-keeper;117;
5877;gate-keeper;118;
5878;gate-keeper;119;
5879;vege_0;118;
5879;frui_0;117;
5880;vege_1;119;
5889;final-crs_0;118;595
5917;final-crs_4;117;110
5923;final-crs_7;119;470
6239;gate-keeper;126;
6241;frui_1;126;
6294;final-crs_5;126;135
6315;gate-keeper;128;
6322;vege_1;128;
6341;final-crs_0;128;1095
6564;gate-keeper;133;
6565;vege_0;133;
6577;final-crs_0;133;181
6841;gate-keeper;137;
6842;gate-keeper;138;
6847;vege_1;137;
6850;vege_0;138;
6852;final-crs_4;137;1054
6854;final-crs_7;138;1240
6906;gate-keeper;140;
6912;vege_1;140;
6927;final-crs_1;140;1466
7372;gate-keeper;148;
7373;gate-keeper;149;
7377;vege_0;149;
7394;final-crs_7;149;425
7414;meat_0;148;
7438;gate-keeper;151;
7443;vege_0;151;
7455;final-crs_1;148;1117
7468;final-crs_5;151;912
7739;gate-keeper;153;
7740;gate-keeper;154;
7741;gate-keeper;155;
7742;frui_0;155;
7742;gate-keeper;156;
7745;vege_0;156;
7761;final-crs_0;155;179
7765;final-crs_2;156;342
7766;meat_0;153;
7770;meat_1;154;
7787;final-crs_3;153;1381
7808;final-crs_8;154;221
8029;gate-keeper;161;
8030;frui_0;161;
8030;gate-keeper;162;
8035;frui_1;162;
8036;final-crs_8;161;901
8094;final-crs_7;162;1849
8278;gate-keeper;167;
8281;frui_0;167;
8357;final-crs_7;167;253
9825;gate-keeper;198;
9826;gate-keeper;199;
