time;ckpt;id;money
315;gate-keeper;0;
316;gate-keeper;1;
318;vege_0;1;
318;frui_1;0;
440;final-crs_1;1;1300
453;final-crs_7;0;1484
616;gate-keeper;3;
617;vege_0;3;
617;gate-keeper;4;
638;meat_1;4;
653;final-crs_5;3;720
688;final-crs_1;4;934
929;gate-keeper;7;
936;meat_1;7;
975;final-crs_4;7;549
1219;gate-keeper;8;
1220;gate-keeper;9;
1221;frui_0;8;
1221;gate-keeper;10;
1229;final-crs_4;8;678
1264;meat_1;9;
1286;meat_0;10;
1358;final-crs_3;9;973
1359;final-crs_0;10;357
1812;gate-keeper;15;
1813;vege_0;15;
1826;final-crs_5;15;738
2755;gate-keeper;23;
2780;meat_1;23;
2789;final-crs_7;23;593
2863;gate-keeper;24;
2865;vege_0;24;
2870;final-crs_4;24;1267
3068;gate-keeper;26;
3071;vege_0;26;
3109;final-crs_4;26;320
3698;gate-keeper;31;
3704;vege_1;31;
3705;final-crs_6;31;1435
3977;gate-keeper;33;
3981;frui_1;33;
3997;final-crs_6;33;563
4131;gate-keeper;34;
4133;vege_1;34;
4154;final-crs_1;34;71
4254;gate-keeper;35;
4260;vege_0;35;
4303;final-crs_4;35;579
4536;gate-keeper;38;
4540;vege_0;38;
4582;gate-keeper;39;
4587;frui_0;39;
4598;final-crs_7;38;918
4623;final-crs_1;39;744
4897;gate-keeper;41;
4900;frui_0;41;
4906;final-crs_0;41;63
5213;gate-keeper;44;
5226;meat_0;44;
5252;final-crs_6;44;1340
5513;gate-keeper;47;
5527;meat_0;47;
5550;final-crs_0;47;1208
5845;gate-keeper;50;
5881;meat_0;50;
5905;final-crs_2;50;471
6143;gate-keeper;52;
6152;vege_0;52;
6163;final-crs_3;52;1255
6399;gate-keeper;55;
6406;vege_0;55;
6419;final-crs_4;55;571
6769;gate-keeper;57;
6770;gate-keeper;58;
6771;frui_0;57;
6775;frui_1;58;
6788;final-crs_2;57;811
6828;final-crs_5;58;699
7070;gate-keeper;61;
7121;meat_1;61;
7154;final-crs_3;61;711
7438;gate-keeper;64;
7441;vege_0;64;
7466;final-crs_0;64;1177
7697;gate-keeper;66;
7698;meat_1;66;
7717;final-crs_1;66;1722
7968;gate-keeper;69;
7996;meat_0;69;
8037;final-crs_4;69;1028
8687;gate-keeper;75;
8691;vege_1;75;
8705;final-crs_2;75;1137
8969;gate-keeper;77;
8971;vege_1;77;
8990;final-crs_7;77;1315
9468;gate-keeper;82;
9471;meat_0;82;
9495;final-crs_5;82;351
9735;gate-keeper;83;
9736;gate-keeper;84;
9740;frui_0;83;
9742;vege_0;84;
9755;final-crs_5;83;1283
9811;final-crs_4;84;778
10051;gate-keeper;85;
10052;gate-keeper;86;
10085;meat_1;85;
10095;gate-keeper;87;
10096;vege_1;87;
10098;final-crs_1;85;1136
10108;meat_0;86;
10122;final-crs_0;87;269
10127;final-crs_3;86;457
10314;gate-keeper;88;
10315;vege_1;88;
10343;final-crs_0;88;159
10632;gate-keeper;91;
10633;gate-keeper;92;
10636;vege_0;91;
10639;vege_1;92;
10660;final-crs_7;91;1088
10704;final-crs_5;92;425
10906;gate-keeper;94;
10909;vege_1;94;
10940;final-crs_7;94;1367
11180;gate-keeper;96;
11181;gate-keeper;97;
11182;meat_1;96;
11184;vege_0;97;
11220;final-crs_2;96;526
11240;final-crs_5;97;1234
11481;gate-keeper;99;
11529;meat_1;99;
11530;final-crs_1;99;572
11771;gate-keeper;102;
11774;frui_0;102;
11797;final-crs_1;102;1165
12371;gate-keeper;107;
12372;frui_0;107;
12386;final-crs_4;107;409
12682;gate-keeper;110;
12687;vege_1;110;
12693;final-crs_0;110;925
12975;gate-keeper;112;
12978;frui_0;112;
12981;final-crs_3;112;401
13286;gate-keeper;115;
13290;vege_1;115;
13322;final-crs_4;115;1199
13571;gate-keeper;118;
13572;vege_0;118;
13600;final-crs_3;118;1442
14446;gate-keeper;125;
14453;vege_1;125;
14478;final-crs_3;125;1041
14788;gate-keeper;128;
14791;vege_1;128;
14793;final-crs_7;128;1227
15098;gate-keeper;130;
15099;gate-keeper;131;
15100;vege_1;130;
15106;final-crs_4;130;1811
15108;vege_0;131;
15156;final-crs_1;131;1282
15242;gate-keeper;132;
15243;vege_0;132;
15285;final-crs_2;132;740
15384;gate-keeper;133;
15422;meat_1;133;
15438;final-crs_3;133;1009
15673;gate-keeper;135;
15677;meat_1;135;
15690;final-crs_3;135;1494
15981;gate-keeper;137;
15982;gate-keeper;138;
15985;vege_0;137;
15985;frui_0;138;
16005;final-crs_2;137;234
16039;final-crs_7;138;971
16993;gate-keeper;147;
16995;vege_1;147;
17008;final-crs_0;147;1026
17188;gate-keeper;148;
17189;vege_0;148;
17189;gate-keeper;149;
17190;gate-keeper;150;
17191;gate-keeper;151;
17192;gate-keeper;152;
17193;gate-keeper;153;
17194;vege_1;149;
